CodigoEstadisticaNormal,CodigoEstadistica
01/010037TC,01-010037TC
01/010037TM,01-010037TM
01/010037TP,01-010037TP
01/010039C,01-010039C
01/010039M,01-010039M
01/010039TC,01-010039TC
01/010039TM,01-010039TM
01/010040C,01-010040C
01/010040M,01-010040M
01/010040TC,01-010040TC
01/010040TM,01-010040TM
01/010041C,01-010041C
01/010041M,01-010041M
01/010041TC,01-010041TC
01/010041TM,01-010041TM
01/010042C,01-010042C
01/010042M,01-010042M
01/010042TC,01-010042TC
01/010042TM,01-010042TM
01/010043C,01-010043C
01/010043M,01-010043M
01/010043TC,01-010043TC
01/010043TM,01-010043TM
01/010044C,01-010044C
01/010044M,01-010044M
01/010044TC,01-010044TC
01/010044TM,01-010044TM
01/010045A,01-010045A
01/010045C,01-010045C
01/010045M,01-010045M
01/010045P,01-010045P
01/010045TC,01-010045TC
01/010045TM,01-010045TM
01/010045TP,01-010045TP
01/010046A,01-010046A
01/010046C,01-010046C
01/010046M,01-010046M
01/010046P,01-010046P
01/010046TC,01-010046TC
01/010046TM,01-010046TM
01/010046TP,01-010046TP
01/010047A,01-010047A
01/010047C,01-010047C
01/010047M,01-010047M
01/010047P,01-010047P
01/010047TC,01-010047TC
01/010047TM,01-010047TM
01/010047TP,01-010047TP
01/010048A,01-010048A
01/010048C,01-010048C
01/010048M,01-010048M
01/010048P,01-010048P
01/010048TC,01-010048TC
01/010048TM,01-010048TM
01/010048TP,01-010048TP
01/010049A,01-010049A
01/010049C,01-010049C
01/010049M,01-010049M
01/010049P,01-010049P
01/010049TC,01-010049TC
01/010049TM,01-010049TM
01/010049TP,01-010049TP
01/010050A,01-010050A
01/010050C,01-010050C
01/010050M,01-010050M
01/010050P,01-010050P
01/010050TC,01-010050TC
01/010050TM,01-010050TM
01/010050TP,01-010050TP
01/010051A,01-010051A
01/010051C,01-010051C
01/010051M,01-010051M
01/010051P,01-010051P
01/010051TC,01-010051TC
01/010051TM,01-010051TM
01/010051TP,01-010051TP
01/010052A,01-010052A
01/010052C,01-010052C
01/010052M,01-010052M
01/010052P,01-010052P
01/010052TC,01-010052TC
01/010052TM,01-010052TM
01/010052TP,01-010052TP
01/010053A,01-010053A
01/010053C,01-010053C
01/010053M,01-010053M
01/010053P,01-010053P
01/010053TC,01-010053TC
01/010053TM,01-010053TM
01/010053TP,01-010053TP
01/010054A,01-010054A
01/010054C,01-010054C
01/010054M,01-010054M
01/010054P,01-010054P
01/010054TC,01-010054TC
01/010054TM,01-010054TM
01/010054TP,01-010054TP
01/010055A,01-010055A
01/010055C,01-010055C
01/010055M,01-010055M
01/010055P,01-010055P
01/010055TC,01-010055TC
01/010055TM,01-010055TM
01/010055TP,01-010055TP
01/010056A,01-010056A
01/010056C,01-010056C
01/010056M,01-010056M
01/010056P,01-010056P
01/010056TC,01-010056TC
01/010056TM,01-010056TM
01/010056TP,01-010056TP
01/010057A,01-010057A
01/010057C,01-010057C
01/010057M,01-010057M
01/010057P,01-010057P
01/010057TC,01-010057TC
01/010057TM,01-010057TM
01/010057TP,01-010057TP
01/010058A,01-010058A
01/010058C,01-010058C
01/010058M,01-010058M
01/010058P,01-010058P
01/010058TC,01-010058TC
01/010058TM,01-010058TM
01/010058TP,01-010058TP
01/010059A,01-010059A
01/010059C,01-010059C
01/010059M,01-010059M
01/010059P,01-010059P
01/010059TC,01-010059TC
01/010059TM,01-010059TM
01/010059TP,01-010059TP
01/010060A,01-010060A
01/010060C,01-010060C
01/010060M,01-010060M
01/010060P,01-010060P
01/010060TC,01-010060TC
01/010060TM,01-010060TM
01/010060TP,01-010060TP
01/010061A,01-010061A
01/010061C,01-010061C
01/010061M,01-010061M
01/010061P,01-010061P
01/010061TC,01-010061TC
01/010061TM,01-010061TM
01/010061TP,01-010061TP
01/010062A,01-010062A
01/010062C,01-010062C
01/010062M,01-010062M
01/010062P,01-010062P
01/010062TC,01-010062TC
01/010062TM,01-010062TM
01/010062TP,01-010062TP
01/010063A,01-010063A
01/010063C,01-010063C
01/010063M,01-010063M
01/010063TC,01-010063TC
01/010063TM,01-010063TM
01/010064A,01-010064A
01/010064C,01-010064C
01/010064M,01-010064M
01/010064TC,01-010064TC
01/010064TM,01-010064TM
01/010065M,01-010065M
01/010065TM,01-010065TM
01/010066A,01-010066A
01/010066C,01-010066C
01/010066TC,01-010066TC
01/010067A,01-010067A
01/010067C,01-010067C
01/010067TC,01-010067TC
01/010068A,01-010068A
01/010068M,01-010068M
01/010068P,01-010068P
01/010068TM,01-010068TM
01/010068TP,01-010068TP
01/010069A,01-010069A
01/010069C,01-010069C
01/010069M,01-010069M
01/010069P,01-010069P
01/010069TC,01-010069TC
01/010069TM,01-010069TM
01/010069TP,01-010069TP
01/010070A,01-010070A
01/010070M,01-010070M
01/010070P,01-010070P
01/010070TM,01-010070TM
01/010070TP,01-010070TP
01/010071A,01-010071A
01/010071C,01-010071C
01/010071M,01-010071M
01/010071P,01-010071P
01/010071TC,01-010071TC
01/010071TM,01-010071TM
01/010071TP,01-010071TP
01/010073A,01-010073A
01/010073C,01-010073C
01/010073M,01-010073M
01/010073P,01-010073P
01/010073TC,01-010073TC
01/010073TM,01-010073TM
01/010073TP,01-010073TP
01/010074A,01-010074A
01/010074C,01-010074C
01/010074TC,01-010074TC
01/010075A,01-010075A
01/010075C,01-010075C
01/010075TC,01-010075TC
01/010076A,01-010076A
01/010076C,01-010076C
01/010076M,01-010076M
01/010076P,01-010076P
01/010076TC,01-010076TC
01/010076TM,01-010076TM
01/010076TP,01-010076TP
01/010077A,01-010077A
01/010077C,01-010077C
01/010077M,01-010077M
01/010077P,01-010077P
01/010077TC,01-010077TC
01/010077TM,01-010077TM
01/010077TP,01-010077TP
02/020001A,02-020001A
02/020001M,02-020001M
02/020001P,02-020001P
02/020001TC,02-020001TC
02/020001TM,02-020001TM
02/020001TP,02-020001TP
02/020002A,02-020002A
02/020002C,02-020002C
02/020002M,02-020002M
02/020002P,02-020002P
02/020002TC,02-020002TC
02/020002TM,02-020002TM
02/020002TP,02-020002TP
02/020004A,02-020004A
02/020004C,02-020004C
02/020004M,02-020004M
02/020004P,02-020004P
02/020004TC,02-020004TC
02/020005A,02-020005A
02/020005C,02-020005C
02/020005M,02-020005M
02/020005P,02-020005P
02/020005TC,02-020005TC
03/02010301/030079A,03-02010301-030079A
03/02010301/030079C,03-02010301-030079C
03/02010301/030079M,03-02010301-030079M
03/02010301/030079P,03-02010301-030079P
03/02010301/030079TC,03-02010301-030079TC
03/02010301/030079TP,03-02010301-030079TP
03/02010301/030080M,03-02010301-030080M
03/02010301/030080TM,03-02010301-030080TM
03/02010301/030081A,03-02010301-030081A
03/02010301/030081C,03-02010301-030081C
03/02010301/030081M,03-02010301-030081M
03/02010301/030081P,03-02010301-030081P
03/02010301/030081TC,03-02010301-030081TC
03/02010301/030081TM,03-02010301-030081TM
03/02010301/030081TP,03-02010301-030081TP
03/02010301/030082A,03-02010301-030082A
03/02010301/030082C,03-02010301-030082C
03/02010301/030082M,03-02010301-030082M
03/02010301/030082P,03-02010301-030082P
03/02010301/030082TC,03-02010301-030082TC
03/02010301/030082TP,03-02010301-030082TP
03/02010301/030083M,03-02010301-030083M
03/02010301/030083TM,03-02010301-030083TM
03/02010301/030084A,03-02010301-030084A
03/02010301/030084C,03-02010301-030084C
03/02010301/030084M,03-02010301-030084M
03/02010301/030084P,03-02010301-030084P
03/02010301/030084TC,03-02010301-030084TC
03/02010301/030084TP,03-02010301-030084TP
03/02010301/030085M,03-02010301-030085M
03/02010301/030085TM,03-02010301-030085TM
03/02010301/030086A,03-02010301-030086A
03/02010301/030086C,03-02010301-030086C
03/02010301/030086M,03-02010301-030086M
03/02010301/030086P,03-02010301-030086P
03/02010301/030086TC,03-02010301-030086TC
03/02010301/030086TP,03-02010301-030086TP
03/02010301/030087M,03-02010301-030087M
03/02010301/030087TM,03-02010301-030087TM
03/02010301/030088A,03-02010301-030088A
03/02010301/030088C,03-02010301-030088C
03/02010301/030088M,03-02010301-030088M
03/02010301/030088P,03-02010301-030088P
03/02010301/030088TC,03-02010301-030088TC
03/02010301/030088TP,03-02010301-030088TP
03/02010301/030089M,03-02010301-030089M
03/02010301/030089TM,03-02010301-030089TM
03/02010301/030090A,03-02010301-030090A
03/02010301/030090C,03-02010301-030090C
03/02010301/030090M,03-02010301-030090M
03/02010301/030090P,03-02010301-030090P
03/02010301/030090TC,03-02010301-030090TC
03/02010301/030090TM,03-02010301-030090TM
03/02010301/030090TP,03-02010301-030090TP
03/02010301/030091A,03-02010301-030091A
03/02010301/030091C,03-02010301-030091C
03/02010301/030091M,03-02010301-030091M
03/02010301/030091P,03-02010301-030091P
03/02010301/030091TC,03-02010301-030091TC
03/02010301/030091TM,03-02010301-030091TM
03/02010301/030091TP,03-02010301-030091TP
03/02010301/030092A,03-02010301-030092A
03/02010301/030092C,03-02010301-030092C
03/02010301/030092M,03-02010301-030092M
03/02010301/030092P,03-02010301-030092P
03/02010301/030092TC,03-02010301-030092TC
03/02010301/030092TM,03-02010301-030092TM
03/02010301/030092TP,03-02010301-030092TP
03/02010301/030093A,03-02010301-030093A
03/02010301/030093C,03-02010301-030093C
03/02010301/030093M,03-02010301-030093M
03/02010301/030093P,03-02010301-030093P
03/02010301/030093TC,03-02010301-030093TC
03/02010301/030093TM,03-02010301-030093TM
03/02010301/030093TP,03-02010301-030093TP
03/02010301/030094A,03-02010301-030094A
03/02010301/030094C,03-02010301-030094C
03/02010301/030094M,03-02010301-030094M
03/02010301/030094P,03-02010301-030094P
03/02010301/030094TC,03-02010301-030094TC
03/02010301/030094TM,03-02010301-030094TM
03/02010301/030094TP,03-02010301-030094TP
03/02010301/030095A,03-02010301-030095A
03/02010301/030095C,03-02010301-030095C
03/02010301/030095M,03-02010301-030095M
03/02010301/030095P,03-02010301-030095P
03/02010301/030095TC,03-02010301-030095TC
03/02010301/030095TM,03-02010301-030095TM
03/02010301/030095TP,03-02010301-030095TP
03/02010301/030096A,03-02010301-030096A
03/02010301/030096C,03-02010301-030096C
03/02010301/030096M,03-02010301-030096M
03/02010301/030096P,03-02010301-030096P
03/02010301/030096TC,03-02010301-030096TC
03/02010301/030096TM,03-02010301-030096TM
03/02010301/030096TP,03-02010301-030096TP
03/02010301/030097A,03-02010301-030097A
03/02010301/030097C,03-02010301-030097C
03/02010301/030097M,03-02010301-030097M
03/02010301/030097P,03-02010301-030097P
03/02010301/030097TC,03-02010301-030097TC
03/02010301/030097TM,03-02010301-030097TM
03/02010301/030097TP,03-02010301-030097TP
03/02010301/030100A,03-02010301-030100A
03/02010301/030100C,03-02010301-030100C
03/02010301/030100M,03-02010301-030100M
03/02010301/030100P,03-02010301-030100P
03/02010301/030100TC,03-02010301-030100TC
03/02010301/030100TP,03-02010301-030100TP
03/02010301/030101A,03-02010301-030101A
03/02010301/030101C,03-02010301-030101C
03/02010301/030101M,03-02010301-030101M
03/02010301/030101P,03-02010301-030101P
03/02010301/030101TC,03-02010301-030101TC
03/02010301/030101TP,03-02010301-030101TP
03/02010301/030102A,03-02010301-030102A
03/02010301/030102C,03-02010301-030102C
03/02010301/030102M,03-02010301-030102M
03/02010301/030102P,03-02010301-030102P
03/02010301/030102TC,03-02010301-030102TC
03/02010301/030102TM,03-02010301-030102TM
03/02010301/030102TP,03-02010301-030102TP
03/02010301/030103M,03-02010301-030103M
03/02010301/030103TM,03-02010301-030103TM
03/02010301/030104M,03-02010301-030104M
03/02010301/030104TM,03-02010301-030104TM
03/02HISPIRAMIDE_GRGRUP_MUN,03-02HISPIRAMIDE_GRGRUP_MUN
03/02HISPIRAMIDE_GRQUIN_MUN,03-02HISPIRAMIDE_GRQUIN_MUN
03/030001A,03-030001A
03/030001C,03-030001C
03/030001M,03-030001M
03/030001P,03-030001P
03/030001TC,03-030001TC
03/030001TM,03-030001TM
03/030001TP,03-030001TP
03/030002A,03-030002A
