Régimen de tenencia	Régimen de tenencia, código	Comarca nombre	Comarca codigo	Nº viviendas
Alquilada	4	Valdejalón	16	1866,4043617845
Alquilada	4	D.C. Zaragoza	17	45628,9860783743
Alquilada	4	Ribera Baja del Ebro	18	212,0792170961
Alquilada	4	Bajo Aragón-Caspe / Baix Aragó-Casp	19	657,8168695378
Alquilada	4	Comunidad de Calatayud	20	1714,0227581065
Alquilada	4	Campo de Cariñena	21	578,0822266677
Alquilada	4	Campo de Belchite	22	189,7178136819
Alquilada	4	Bajo Martín	23	277,8803426263
Alquilada	4	Campo de Daroca	24	166,5861373881
Alquilada	4	Jiloca	25	447,4299750828
Alquilada	4	Cuencas Mineras	26	246,9298464141
Alquilada	4	Andorra-Sierra de Arcos	27	341,0151731499
Alquilada	4	Bajo Aragón	28	1638,8237490183
Alquilada	4	Comunidad de Teruel	29	2333,6752022914
Alquilada	4	Maestrazgo	30	148,6712942362
Alquilada	4	Sierra de Albarracín	31	206,6601848523
Alquilada	4	Gúdar-Javalambre	32	505,2275278161
Alquilada	4	Matarraña / Matarranya	33	372,8123526974
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	La Jacetania	01	252,8661019161
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Alto Gállego	02	150,0331878397
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Sobrarbe	03	94,0381530982
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	La Ribagorza	04	161,8379727575
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Cinco Villas	05	560,3673303669
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Hoya de Huesca / Plana de Uesca	06	515,3266422524
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Somontano de Barbastro	07	286,6544923526
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Cinca Medio	08	259,2568158209
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	La Litera / La Llitera	09	213,8652374052
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Los Monegros	10	312,963427229
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Bajo Cinca / Baix Cinca	11	210,9299249784
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Tarazona y el Moncayo	12	271,8951944836
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Campo de Borja	13	122,8997879579
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Aranda	14	69,1572221691
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Ribera Alta del Ebro	15	241,0121799532
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Valdejalón	16	176,782687281
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	D.C. Zaragoza	17	6286,8501076357
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Ribera Baja del Ebro	18	100,8572338133
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Bajo Aragón-Caspe / Baix Aragó-Casp	19	113,8185897341
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Comunidad de Calatayud	20	662,3610979044
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Campo de Cariñena	21	198,4202791362
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Campo de Belchite	22	88,1064645269
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Bajo Martín	23	92,3640295527
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Campo de Daroca	24	172,1620968681
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Jiloca	25	101,7994052705
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Cuencas Mineras	26	105,1025132878
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Andorra-Sierra de Arcos	27	204,611195335
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Bajo Aragón	28	331,4674051668
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Comunidad de Teruel	29	535,7917609331
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Maestrazgo	30	104,39921794
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Sierra de Albarracín	31	94,286250934
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Gúdar-Javalambre	32	114,6428018861
Cedida gratis o a bajo precio (por otro hogar, pagada por la empresa...)	5	Matarraña / Matarranya	33	154,1793246348
Otra forma	6	La Jacetania	01	384,1108759558
Otra forma	6	Alto Gállego	02	343,2097850647
Otra forma	6	Sobrarbe	03	193,9740741946
Otra forma	6	La Ribagorza	04	341,9236314944
Otra forma	6	Cinco Villas	05	893,9231680451
Otra forma	6	Hoya de Huesca / Plana de Uesca	06	1196,1551136444
Otra forma	6	Somontano de Barbastro	07	531,5250235708
Otra forma	6	Cinca Medio	08	422,264204707
Otra forma	6	La Litera / La Llitera	09	375,9388458814
Otra forma	6	Los Monegros	10	606,0316711016
Otra forma	6	Bajo Cinca / Baix Cinca	11	434,1026597105
Otra forma	6	Tarazona y el Moncayo	12	265,659934697
Otra forma	6	Campo de Borja	13	395,2888857398
Otra forma	6	Aranda	14	169,0569271367
Otra forma	6	Ribera Alta del Ebro	15	534,9037331017
Otra forma	6	Valdejalón	16	606,8003228812
Otra forma	6	D.C. Zaragoza	17	10960,4253440915
Otra forma	6	Ribera Baja del Ebro	18	262,0453281541
Otra forma	6	Bajo Aragón-Caspe / Baix Aragó-Casp	19	369,0564496775
Otra forma	6	Comunidad de Calatayud	20	922,4349362831
Otra forma	6	Campo de Cariñena	21	327,0175035158
Otra forma	6	Campo de Belchite	22	147,6797549831
Otra forma	6	Bajo Martín	23	148,0933580694
Otra forma	6	Campo de Daroca	24	279,8055818873
Otra forma	6	Jiloca	25	417,5267983896
Otra forma	6	Cuencas Mineras	26	176,4362715224
Otra forma	6	Andorra-Sierra de Arcos	27	176,5389649148
Otra forma	6	Bajo Aragón	28	488,587797346
Otra forma	6	Comunidad de Teruel	29	936,9340659412
Otra forma	6	Maestrazgo	30	118,0618004233
Otra forma	6	Sierra de Albarracín	31	226,3467701667
Otra forma	6	Gúdar-Javalambre	32	273,0556521128
Otra forma	6	Matarraña / Matarranya	33	188,3693787383
