Mes y año	Mes (código)	Mes nombre	Año	Sexo	Temporalidad	Comarca código	Comarca nombre	CIF	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	15	Ribera Alta del Ebro	A través de una ETT	1	31	710	22,90322580645161290322580645161290322581
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	15	Ribera Alta del Ebro	Otros	0	91	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	15	Ribera Alta del Ebro	Otros	1	69	17007	246,478260869565217391304347826086956522
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	15	Ribera Alta del Ebro	Otros	0	31	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	15	Ribera Alta del Ebro	Otros	1	37	5778	156,162162162162162162162162162162162162
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	16	Valdejalón	A través de una ETT	0	122	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	16	Valdejalón	A través de una ETT	1	582	8001	13,74742268041237113402061855670103092784
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	16	Valdejalón	A través de una ETT	0	83	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	16	Valdejalón	A través de una ETT	1	362	4741	13,09668508287292817679558011049723756906
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	16	Valdejalón	Otros	0	1702	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	16	Valdejalón	Otros	1	195	11740	60,20512820512820512820512820512820512821
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	16	Valdejalón	Otros	0	961	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	16	Valdejalón	Otros	1	75	3954	52,72
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	17	Central	A través de una ETT	0	685	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	17	Central	A través de una ETT	1	1748	14603	8,35411899313501144164759725400457665904
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	17	Central	A través de una ETT	0	180	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	17	Central	A través de una ETT	1	1160	9472	8,16551724137931034482758620689655172414
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	17	Central	Otros	0	1768	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	17	Central	Otros	1	1507	158347	105,074319840743198407431984074319840743
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	17	Central	Otros	0	1324	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	17	Central	Otros	1	1712	140428	82,0257009345794392523364485981308411215
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	18	Ribera Baja del Ebro	A través de una ETT	0	4	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	18	Ribera Baja del Ebro	A través de una ETT	1	14	120	8,57142857142857142857142857142857142857
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	18	Ribera Baja del Ebro	A través de una ETT	1	13	114	8,76923076923076923076923076923076923077
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	18	Ribera Baja del Ebro	Otros	0	74	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	18	Ribera Baja del Ebro	Otros	1	115	3499	30,42608695652173913043478260869565217391
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	18	Ribera Baja del Ebro	Otros	0	16	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	18	Ribera Baja del Ebro	Otros	1	90	3251	36,12222222222222222222222222222222222222
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	A través de una ETT	0	111	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	A través de una ETT	1	1	2	2
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	A través de una ETT	0	29	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	A través de una ETT	1	1	3	3
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros	0	924	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros	1	146	5902	40,42465753424657534246575342465753424658
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros	0	312	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros	1	54	2359	43,68518518518518518518518518518518518519
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	20	Comunidad de Calatayud	A través de una ETT	0	39	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	20	Comunidad de Calatayud	A través de una ETT	1	117	662	5,65811965811965811965811965811965811966
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	20	Comunidad de Calatayud	A través de una ETT	0	33	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	20	Comunidad de Calatayud	A través de una ETT	1	90	607	6,74444444444444444444444444444444444444
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	20	Comunidad de Calatayud	Otros	0	412	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	20	Comunidad de Calatayud	Otros	1	69	5063	73,37681159420289855072463768115942028986
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	20	Comunidad de Calatayud	Otros	0	164	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	20	Comunidad de Calatayud	Otros	1	53	4414	83,28301886792452830188679245283018867925
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	21	Campo de Cariñena	A través de una ETT	0	44	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	21	Campo de Cariñena	A través de una ETT	1	5	52	10,4
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	21	Campo de Cariñena	A través de una ETT	0	29	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	21	Campo de Cariñena	A través de una ETT	1	14	86	6,14285714285714285714285714285714285714
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	21	Campo de Cariñena	Otros	0	219	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	21	Campo de Cariñena	Otros	1	164	3971	24,21341463414634146341463414634146341463
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	21	Campo de Cariñena	Otros	0	112	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	21	Campo de Cariñena	Otros	1	61	1548	25,37704918032786885245901639344262295082
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	22	Campo de Belchite	A través de una ETT	1	4	136	34
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	22	Campo de Belchite	Otros	0	21	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	22	Campo de Belchite	Otros	1	5	497	99,4
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	22	Campo de Belchite	Otros	0	10	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	22	Campo de Belchite	Otros	1	16	1411	88,1875
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	23	Bajo Martín	Otros	0	122	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	23	Bajo Martín	Otros	1	41	7174	174,97560975609756097560975609756097561
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	23	Bajo Martín	Otros	0	22	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	23	Bajo Martín	Otros	1	9	1004	111,555555555555555555555555555555555556
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	24	Campo de Daroca	A través de una ETT	0	7	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	24	Campo de Daroca	A través de una ETT	0	10	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	24	Campo de Daroca	Otros	0	17	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	24	Campo de Daroca	Otros	1	14	2053	146,642857142857142857142857142857142857
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	24	Campo de Daroca	Otros	0	6	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	24	Campo de Daroca	Otros	1	4	450	112,5
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	25	Jiloca	A través de una ETT	0	13	0	0
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	25	Jiloca	A través de una ETT	1	2	60	30
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	25	Jiloca	A través de una ETT	0	14	0	0
Mayo 2020	202005	Mayo	2020	Mujeres	Temporal	25	Jiloca	A través de una ETT	1	1	28	28
Mayo 2020	202005	Mayo	2020	Hombres	Temporal	25	Jiloca	Otros	0	21	0	0
