Año	Grupo Antigüedad	Nº Accidentes	Ord_Temporalidad	Temporalidad	Código	Municipio
2020	De 4 a 6 meses	3	1	Indefinido	22130	Jaca
2020	De 4 a 6 meses	3	2	Temporal	22130	Jaca
2020	De 4 a 6 meses	7	1	Indefinido	22158	Monzón
2020	De 4 a 6 meses	14	2	Temporal	22158	Monzón
2020	De 4 a 6 meses	1	3	Sin clasificar	22158	Monzón
2020	De 4 a 6 meses	1	1	Indefinido	22199	Sabiñánigo
2020	De 4 a 6 meses	6	2	Temporal	22199	Sabiñánigo
2020	De 4 a 6 meses	1	3	Sin clasificar	22199	Sabiñánigo
2020	De 4 a 6 meses	2	1	Indefinido	44013	Alcañiz
2020	De 4 a 6 meses	13	2	Temporal	44013	Alcañiz
2020	De 4 a 6 meses	1	2	Temporal	44025	Andorra
2020	De 4 a 6 meses	15	1	Indefinido	44216	Teruel
2020	De 4 a 6 meses	25	2	Temporal	44216	Teruel
2020	De 4 a 6 meses	1	2	Temporal	50008	Alagón
2020	De 4 a 6 meses	1	3	Sin clasificar	50008	Alagón
2020	De 4 a 6 meses	1	1	Indefinido	50025	Almunia de Doña Godina (La)
2020	De 4 a 6 meses	11	2	Temporal	50025	Almunia de Doña Godina (La)
2020	De 4 a 6 meses	4	1	Indefinido	50067	Calatayud
2020	De 4 a 6 meses	9	2	Temporal	50067	Calatayud
2020	De 4 a 6 meses	2	1	Indefinido	50074	Caspe
2020	De 4 a 6 meses	7	2	Temporal	50074	Caspe
2020	De 4 a 6 meses	1	1	Indefinido	50089	Cuarte de Huerva
2020	De 4 a 6 meses	11	2	Temporal	50089	Cuarte de Huerva
2020	De 4 a 6 meses	3	1	Indefinido	50095	Ejea de los Caballeros
2020	De 4 a 6 meses	18	2	Temporal	50095	Ejea de los Caballeros
2020	De 4 a 6 meses	2	2	Temporal	50163	María de Huerva
2020	De 4 a 6 meses	1	1	Indefinido	50182	Muela (La)
2020	De 4 a 6 meses	9	2	Temporal	50182	Muela (La)
2020	De 4 a 6 meses	3	1	Indefinido	50219	Puebla de Alfindén (La)
2020	De 4 a 6 meses	5	2	Temporal	50219	Puebla de Alfindén (La)
2020	De 4 a 6 meses	1	1	Indefinido	50251	Tarazona
2020	De 4 a 6 meses	4	2	Temporal	50251	Tarazona
2020	De 4 a 6 meses	2	1	Indefinido	50252	Tauste
2020	De 4 a 6 meses	6	2	Temporal	50252	Tauste
2020	De 4 a 6 meses	5	1	Indefinido	50272	Utebo
2020	De 4 a 6 meses	17	2	Temporal	50272	Utebo
2020	De 4 a 6 meses	1	3	Sin clasificar	50272	Utebo
2020	De 4 a 6 meses	109	1	Indefinido	50297	Zaragoza
