Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22	Huesca	2010	Secano	1353355	317106	217689	80265	19152	266147	5844	13931	246372	690187	368614	123729	197844	79915	0	13982	32393	33540
44	Teruel	2010	Regadío	38868	37262	18925	13527	4810	632	632	0	0	974	974	0	0	0	0	0	0	0
44	Teruel	2010	Secano	1441419	409351	197011	165790	46550	509837	13707	130022	366108	469672	250989	97965	120718	52559	0	7911	33102	11546
50	Zaragoza	2010	Regadío	201348	200795	141499	22712	36584	0	0	0	0	553	553	0	0	0	0	0	0	0
50	Zaragoza	2010	Secano	1524593	602514	305097	227448	69969	423712	0	59742	363970	393756	202159	68613	122984	104611	10	18932	53450	32219
22	Huesca	2009	Regadío	210266	210151	162839	29078	18234	0	0	0	0	115	115	0	0	0	0	0	0	0
22	Huesca	2009	Secano	1352026	318482	212442	86012	20028	434233	384	99918	333931	515680	314018	83428	118234	83631	0	16946	32781	33904
44	Teruel	2009	Regadío	36848	36731	19848	11823	5060	0	0	0	0	117	117	0	0	0	0	0	0	0
44	Teruel	2009	Secano	1443500	427692	189763	190883	47046	495253	6857	129041	359355	468297	239698	104062	124537	52258	0	7889	32744	11625
50	Zaragoza	2009	Regadío	199345	198905	141406	21972	35527	0	0	0	0	440	440	0	0	0	0	0	0	0
50	Zaragoza	2009	Secano	1526596	602279	296387	233293	72599	477256	0	65979	411277	340658	176589	46820	117249	106403	203	19814	54280	32106
22	Huesca	2008	Regadío	219662	217742	160113	37260	20369	1545	1545	0	0	375	375	0	0	0	0	0	0	0
22	Huesca	2008	Secano	1342630	337365	204684	111796	20885	404010	24672	94522	284816	477547	246059	94584	136904	123708	46	73078	22804	27780
44	Teruel	2008	Regadío	38257	37460	19793	12753	4914	680	680	0	0	117	117	0	0	0	0	0	0	0
44	Teruel	2008	Secano	1442081	430710	191455	192243	47012	480405	11419	155926	313060	478803	239934	114412	124457	52163	0	7859	32615	11689
50	Zaragoza	2008	Regadío	200483	200045	140380	24336	35329	0	0	0	0	438	438	0	0	0	0	0	0	0
50	Zaragoza	2008	Secano	1525458	601811	295453	233810	72548	465576	0	99115	366461	350895	179555	53041	118299	107176	240	21478	53493	31965
22	Huesca	2007	Regadío	209981	207899	151501	36145	20253	1618	1618	0	0	464	464	0	0	0	0	0	0	0
22	Huesca	2007	Secano	1343663	337224	187158	127878	22188	405031	25034	94522	285475	477988	246032	97450	134506	123420	46	73080	22504	27790
44	Teruel	2007	Regadío	39542	36345	19479	11963	4903	1072	1072	0	0	2125	2125	0	0	0	0	0	0	0
44	Teruel	2007	Secano	1439298	409332	181652	181463	46217	562229	13456	188326	360447	402961	175463	104218	123280	64776	1147	21258	36564	5807
50	Zaragoza	2007	Regadío	207867	207501	141398	33464	32639	10	10	0	0	356	356	0	0	0	0	0	0	0
50	Zaragoza	2007	Secano	1509436	626705	263678	302209	60818	271572	0	109871	161701	459739	162420	139127	158192	151420	3005	53621	74824	19970
22	Huesca	2006	Regadío	200555	198428	139928	39013	19487	1422	1422	0	0	705	705	0	0	0	0	0	0	0
22	Huesca	2006	Secano	1343833	341712	182356	137746	21610	420539	21361	109460	289718	449528	233450	89288	126790	132054	0	88352	19195	24507
44	Teruel	2006	Regadío	39381	36188	19303	12249	4636	1072	1072	0	0	2121	2121	0	0	0	0	0	0	0
44	Teruel	2006	Secano	1439091	407035	178421	182820	45794	563899	13456	188326	362117	403381	175463	104525	123393	64776	1147	21258	36564	5807
50	Zaragoza	2006	Regadío	217825	217229	131041	53348	32840	10	10	0	0	586	586	0	0	0	0	0	0	0
50	Zaragoza	2006	Secano	1496718	709533	309499	330822	69212	180352	0	41341	139011	460972	163107	139068	158797	145861	3005	51146	71723	19987
22	Huesca	2005	Regadío	208110	205983	138608	48313	19062	1422	1422	0	0	705	705	0	0	0	0	0	0	0
22	Huesca	2005	Secano	1343314	340647	195127	124279	21241	420547	21361	109468	289718	450067	233262	89288	127517	132053	0	88351	19195	24507
44	Teruel	2005	Regadío	39488	36295	19705	12238	4352	1072	1072	0	0	2121	2121	0	0	0	0	0	0	0
44	Teruel	2005	Secano	1438963	406925	183959	177517	45449	563881	13456	188308	362117	403381	175463	104525	123393	64776	1147	21258	36564	5807
50	Zaragoza	2005	Regadío	208994	208582	123987	53542	31053	10	10	0	0	402	402	0	0	0	0	0	0	0
50	Zaragoza	2005	Secano	1425164	681967	311663	309322	60982	176380	0	42254	134126	428944	151366	129617	147961	137873	2938	47478	68300	19157
22	Huesca	2004	Regadío	204413	201092	154742	27763	18587	1452	1452	0	0	1869	1869	0	0	0	0	0	0	0
22	Huesca	2004	Secano	1344051	342039	194722	125530	21787	420786	20797	108623	291366	448379	232304	90463	125612	132847	60	94152	17241	21394
44	Teruel	2004	Regadío	38313	35120	20290	10593	4237	1072	1072	0	0	2121	2121	0	0	0	0	0	0	0
44	Teruel	2004	Secano	1439621	407563	193666	168955	44942	563901	13456	188328	362117	403381	175463	104525	123393	64776	1147	21258	36564	5807
50	Zaragoza	2004	Regadío	209360	208762	133956	43355	31451	10	10	0	0	588	588	0	0	0	0	0	0	0
50	Zaragoza	2004	Secano	1498859	704964	303013	335199	66752	185190	0	46818	138372	462823	164074	140393	158356	145882	3005	51034	71670	20173
22	Huesca	2003	Regadío	222522	219344	168063	28295	22986	1695	1695	0	0	1483	1483	0	0	0	0	0	0	0
22	Huesca	2003	Secano	1345809	346098	220735	100845	24518	422439	4231	128172	290036	428429	223240	82686	122503	148843	0	112663	16120	20060
44	Teruel	2003	Regadío	42527	36350	22107	9036	5207	4127	4127	0	0	2050	2050	0	0	0	0	0	0	0
44	Teruel	2003	Secano	1438813	409513	196828	162562	50123	565601	24022	377606	163973	400035	175563	104497	119975	63664	1523	19770	36564	5807
50	Zaragoza	2003	Regadío	190731	189945	143633	6214	40098	44	44	0	0	742	742	0	0	0	0	0	0	0
50	Zaragoza	2003	Secano	1539627	587230	304720	203609	78901	303992	0	94753	209239	489964	172587	148590	168787	158441	3005	52383	82329	20724
