Año	Municipio código	Municipio nombre	Origen	Tipo de alojamiento	Plazas	Establecimientos
2009	22042	Azlor	IAEST	Viviendas de turismo rural	0	0
2009	22043	Baells	IAEST	Apartamentos turísticos	0	0
2009	22043	Baells	IAEST	Campings y áreas de acampada	0	0
2009	22043	Baells	IAEST	Hoteles, hostales y similares	0	0
2009	22043	Baells	IAEST	Viviendas de turismo rural	0	0
2009	22044	Bailo	IAEST	Apartamentos turísticos	8	1
2009	22044	Bailo	IAEST	Campings y áreas de acampada	0	0
2009	22044	Bailo	IAEST	Hoteles, hostales y similares	10	1
2009	22044	Bailo	IAEST	Viviendas de turismo rural	6	1
2009	22045	Baldellou	IAEST	Apartamentos turísticos	0	0
2009	22045	Baldellou	IAEST	Campings y áreas de acampada	0	0
2009	22045	Baldellou	IAEST	Hoteles, hostales y similares	0	0
2009	22045	Baldellou	IAEST	Viviendas de turismo rural	6	1
2009	22046	Ballobar	IAEST	Apartamentos turísticos	0	0
2009	22046	Ballobar	IAEST	Campings y áreas de acampada	0	0
2009	22046	Ballobar	IAEST	Hoteles, hostales y similares	0	0
2009	22046	Ballobar	IAEST	Viviendas de turismo rural	10	1
2009	22047	Banastás	IAEST	Apartamentos turísticos	0	0
2009	22047	Banastás	IAEST	Campings y áreas de acampada	0	0
2009	22047	Banastás	IAEST	Hoteles, hostales y similares	0	0
2009	22047	Banastás	IAEST	Viviendas de turismo rural	0	0
2009	22048	Barbastro	IAEST	Apartamentos turísticos	0	0
2009	22048	Barbastro	IAEST	Campings y áreas de acampada	0	0
2009	22048	Barbastro	IAEST	Hoteles, hostales y similares	518	8
2009	22048	Barbastro	IAEST	Viviendas de turismo rural	0	0
2009	22049	Barbués	IAEST	Apartamentos turísticos	0	0
2009	22049	Barbués	IAEST	Campings y áreas de acampada	0	0
2009	22049	Barbués	IAEST	Hoteles, hostales y similares	0	0
2009	22049	Barbués	IAEST	Viviendas de turismo rural	0	0
2009	22050	Barbuñales	IAEST	Apartamentos turísticos	0	0
2009	22050	Barbuñales	IAEST	Campings y áreas de acampada	0	0
2009	22050	Barbuñales	IAEST	Hoteles, hostales y similares	0	0
2009	22050	Barbuñales	IAEST	Viviendas de turismo rural	0	0
2009	22051	Bárcabo	IAEST	Apartamentos turísticos	8	2
2009	22051	Bárcabo	IAEST	Campings y áreas de acampada	90	1
2009	22051	Bárcabo	IAEST	Hoteles, hostales y similares	17	1
2009	22051	Bárcabo	IAEST	Viviendas de turismo rural	42	8
2009	22052	Belver de Cinca	IAEST	Apartamentos turísticos	0	0
2009	22052	Belver de Cinca	IAEST	Campings y áreas de acampada	0	0
2009	22052	Belver de Cinca	IAEST	Hoteles, hostales y similares	24	1
2009	22052	Belver de Cinca	IAEST	Viviendas de turismo rural	0	0
2009	22053	Benabarre	IAEST	Apartamentos turísticos	0	0
2009	22053	Benabarre	IAEST	Campings y áreas de acampada	108	1
2009	22053	Benabarre	IAEST	Hoteles, hostales y similares	61	4
2009	22053	Benabarre	IAEST	Viviendas de turismo rural	9	2
2009	22054	Benasque	IAEST	Apartamentos turísticos	453	94
2009	22054	Benasque	IAEST	Campings y áreas de acampada	1280	4
2009	22054	Benasque	IAEST	Hoteles, hostales y similares	1663	25
2009	22054	Benasque	IAEST	Viviendas de turismo rural	108	12
2009	22055	Berbegal	IAEST	Apartamentos turísticos	0	0
2009	22055	Berbegal	IAEST	Campings y áreas de acampada	0	0
2009	22055	Berbegal	IAEST	Hoteles, hostales y similares	0	0
2009	22055	Berbegal	IAEST	Viviendas de turismo rural	0	0
2009	22057	Bielsa	IAEST	Apartamentos turísticos	64	14
2009	22057	Bielsa	IAEST	Campings y áreas de acampada	879	3
2009	22057	Bielsa	IAEST	Hoteles, hostales y similares	464	10
2009	22057	Bielsa	IAEST	Viviendas de turismo rural	87	14
2009	22058	Bierge	IAEST	Apartamentos turísticos	0	0
2009	22058	Bierge	IAEST	Campings y áreas de acampada	695	2
2009	22058	Bierge	IAEST	Hoteles, hostales y similares	118	6
2009	22058	Bierge	IAEST	Viviendas de turismo rural	40	4
2009	22059	Biescas	IAEST	Apartamentos turísticos	129	28
2009	22059	Biescas	IAEST	Campings y áreas de acampada	674	1
2009	22059	Biescas	IAEST	Hoteles, hostales y similares	373	10
2009	22059	Biescas	IAEST	Viviendas de turismo rural	89	13
2009	22060	Binaced	IAEST	Apartamentos turísticos	0	0
2009	22060	Binaced	IAEST	Campings y áreas de acampada	0	0
2009	22060	Binaced	IAEST	Hoteles, hostales y similares	6	1
2009	22060	Binaced	IAEST	Viviendas de turismo rural	0	0
2009	22061	Binéfar	IAEST	Apartamentos turísticos	0	0
2009	22061	Binéfar	IAEST	Campings y áreas de acampada	0	0
2009	22061	Binéfar	IAEST	Hoteles, hostales y similares	126	2
2009	22061	Binéfar	IAEST	Viviendas de turismo rural	0	0
2009	22062	Bisaurri	IAEST	Apartamentos turísticos	12	2
2009	22062	Bisaurri	IAEST	Campings y áreas de acampada	0	0
2009	22062	Bisaurri	IAEST	Hoteles, hostales y similares	0	0
2009	22062	Bisaurri	IAEST	Viviendas de turismo rural	22	3
2009	22063	Biscarrués	IAEST	Apartamentos turísticos	0	0
2009	22063	Biscarrués	IAEST	Campings y áreas de acampada	0	0
2009	22063	Biscarrués	IAEST	Hoteles, hostales y similares	0	0
2009	22063	Biscarrués	IAEST	Viviendas de turismo rural	42	5
2009	22064	Blecua y Torres	IAEST	Apartamentos turísticos	0	0
2009	22064	Blecua y Torres	IAEST	Campings y áreas de acampada	0	0
2009	22064	Blecua y Torres	IAEST	Hoteles, hostales y similares	0	0
2009	22064	Blecua y Torres	IAEST	Viviendas de turismo rural	6	1
2009	22066	Boltaña	IAEST	Apartamentos turísticos	0	0
2009	22066	Boltaña	IAEST	Campings y áreas de acampada	1280	2
2009	22066	Boltaña	IAEST	Hoteles, hostales y similares	442	3
2009	22066	Boltaña	IAEST	Viviendas de turismo rural	103	13
2009	22067	Bonansa	IAEST	Apartamentos turísticos	0	0
2009	22067	Bonansa	IAEST	Campings y áreas de acampada	660	1
2009	22067	Bonansa	IAEST	Hoteles, hostales y similares	0	0
2009	22067	Bonansa	IAEST	Viviendas de turismo rural	24	4
2009	22068	Borau	IAEST	Apartamentos turísticos	4	1
2009	22068	Borau	IAEST	Campings y áreas de acampada	0	0
2009	22068	Borau	IAEST	Hoteles, hostales y similares	0	0
2009	22068	Borau	IAEST	Viviendas de turismo rural	25	3
2009	22069	Broto	IAEST	Apartamentos turísticos	115	27
2009	22069	Broto	IAEST	Campings y áreas de acampada	843	1
2009	22069	Broto	IAEST	Hoteles, hostales y similares	536	13
2009	22069	Broto	IAEST	Viviendas de turismo rural	145	17
2009	22072	Caldearenas	IAEST	Apartamentos turísticos	12	2
2009	22072	Caldearenas	IAEST	Campings y áreas de acampada	111	1
2009	22072	Caldearenas	IAEST	Hoteles, hostales y similares	0	0
2009	22072	Caldearenas	IAEST	Viviendas de turismo rural	8	2
2009	22074	Campo	IAEST	Apartamentos turísticos	104	18
2009	22074	Campo	IAEST	Campings y áreas de acampada	0	0
2009	22074	Campo	IAEST	Hoteles, hostales y similares	101	5
2009	22074	Campo	IAEST	Viviendas de turismo rural	138	16
2009	22075	Camporrells	IAEST	Apartamentos turísticos	0	0
2009	22075	Camporrells	IAEST	Campings y áreas de acampada	0	0
2009	22075	Camporrells	IAEST	Hoteles, hostales y similares	0	0
2009	22075	Camporrells	IAEST	Viviendas de turismo rural	0	0
2009	22076	Canal de Berdún	IAEST	Apartamentos turísticos	24	4
2009	22076	Canal de Berdún	IAEST	Campings y áreas de acampada	0	0
2009	22076	Canal de Berdún	IAEST	Hoteles, hostales y similares	34	3
2009	22076	Canal de Berdún	IAEST	Viviendas de turismo rural	38	6
2009	22077	Candasnos	IAEST	Apartamentos turísticos	0	0
2009	22077	Candasnos	IAEST	Campings y áreas de acampada	0	0
2009	22077	Candasnos	IAEST	Hoteles, hostales y similares	84	3
2009	22077	Candasnos	IAEST	Viviendas de turismo rural	0	0
2009	22078	Canfranc	IAEST	Apartamentos turísticos	0	0
2009	22078	Canfranc	IAEST	Campings y áreas de acampada	90	1
2009	22078	Canfranc	IAEST	Hoteles, hostales y similares	386	5
2009	22078	Canfranc	IAEST	Viviendas de turismo rural	36	5
