Número de miembros	Nº medio de miembros	Municipio codigo 	Municipio nombre	Nº hogares
4 personas	4	22013	Alberuela de Tubo	26,5301609529
5 personas	5	22013	Alberuela de Tubo	7,9424375629
6 personas	6	22013	Alberuela de Tubo	7,2910270814
7 o más personas	7	22013	Alberuela de Tubo	1,8844854421
1 persona	1	22014	Alcalá de Gurrea	68,2265174554
2 personas	2	22014	Alcalá de Gurrea	27,6520758146
3 personas	3	22014	Alcalá de Gurrea	22,4593161271
4 personas	4	22014	Alcalá de Gurrea	15,3439124574
5 personas	5	22014	Alcalá de Gurrea	5,0640127062
6 personas	6	22014	Alcalá de Gurrea	1,7326115291
7 o más personas		22014	Alcalá de Gurrea	
1 persona	1	22015	Alcalá del Obispo	31,7988004542
2 personas	2	22015	Alcalá del Obispo	29,7435268193
3 personas	3	22015	Alcalá del Obispo	39,0364719914
4 personas	4	22015	Alcalá del Obispo	28,0563994283
6 personas	6	22015	Alcalá del Obispo	8,1338142687
7 o más personas		22015	Alcalá del Obispo	
1 persona	1	22016	Alcampell	103,6077667404
2 personas	2	22016	Alcampell	99,0503483263
3 personas	3	22016	Alcampell	36,0842630427
4 personas	4	22016	Alcampell	51,2388240448
5 personas	5	22016	Alcampell	10,7430302026
6 personas	6	22016	Alcampell	13,1425343759
7 o más personas		22016	Alcampell	
1 persona	1	22017	Alcolea de Cinca	90,9441401063
2 personas	2	22017	Alcolea de Cinca	115,7905733955
3 personas	3	22017	Alcolea de Cinca	104,7469234489
4 personas	4	22017	Alcolea de Cinca	94,1289792796
5 personas	5	22017	Alcolea de Cinca	17,2463280878
6 personas	6	22017	Alcolea de Cinca	5,0650276063
7 o más personas		22017	Alcolea de Cinca	
1 persona	1	22018	Alcubierre	59,897734368
2 personas	2	22018	Alcubierre	43,4182972303
3 personas	3	22018	Alcubierre	37,6817451254
4 personas	4	22018	Alcubierre	31,5442323681
5 personas	5	22018	Alcubierre	4,5593461935
6 personas	6	22018	Alcubierre	2,3990880654
7 o más personas		22018	Alcubierre	
1 persona	1	22019	Alerre	21,0595543619
2 personas	2	22019	Alerre	24,623661233
3 personas	3	22019	Alerre	24,6172137755
4 personas	4	22019	Alerre	7,2831398851
5 personas	5	22019	Alerre	5,7521536069
6 personas	6	22019	Alerre	2,0506125192
7 o más personas		22019	Alerre	
1 persona	1	22020	Alfántega	25,4513444074
2 personas	2	22020	Alfántega	16,6845618402
3 personas	3	22020	Alfántega	10,9981732571
4 personas	4	22020	Alfántega	4,7505114802
5 personas	5	22020	Alfántega	3,1711921919
6 personas	6	22020	Alfántega	1,8869453681
7 o más personas		22020	Alfántega	
1 persona	1	22021	Almudévar	178,1351018688
2 personas	2	22021	Almudévar	288,5490061233
3 personas	3	22021	Almudévar	230,1642808677
4 personas	4	22021	Almudévar	178,8427567909
5 personas	5	22021	Almudévar	32,1982783649
6 personas	6	22021	Almudévar	15,972126993
7 o más personas	8	22021	Almudévar	8,8215565831
1 persona	1	22022	Almunia de San Juan	49,5737796559
2 personas	2	22022	Almunia de San Juan	101,9775478859
3 personas	3	22022	Almunia de San Juan	62,1040857983
4 personas	4	22022	Almunia de San Juan	41,3489475796
5 personas	5	22022	Almunia de San Juan	10,5948362372
7 o más personas	7	22022	Almunia de San Juan	0,8698327666
1 persona	1	22023	Almuniente	48,7984299197
2 personas	2	22023	Almuniente	64,9658362245
3 personas	3	22023	Almuniente	51,5520952717
4 personas	4	22023	Almuniente	38,8656859967
5 personas	5	22023	Almuniente	10,7473560213
6 personas	6	22023	Almuniente	2,4894717218
7 o más personas		22023	Almuniente	
1 persona	1	22024	Alquézar	61,1981539194
2 personas	2	22024	Alquézar	39,937377294
3 personas	3	22024	Alquézar	23,2614017084
4 personas	4	22024	Alquézar	15,464617995
5 personas	5	22024	Alquézar	1,819511909
7 o más personas		22024	Alquézar	
1 persona	1	22025	Altorricón	91,0071959687
2 personas	2	22025	Altorricón	188,1248140417
3 personas	3	22025	Altorricón	183,1072644624
4 personas	4	22025	Altorricón	57,626268755
5 personas	5	22025	Altorricón	43,3339657666
6 personas	6	22025	Altorricón	2,2241060277
7 o más personas		22025	Altorricón	
1 persona	1	22027	Angüés	37,1883322552
2 personas	2	22027	Angüés	47,2216464649
3 personas	3	22027	Angüés	15,5604201373
4 personas	4	22027	Angüés	37,72980617
5 personas	5	22027	Angüés	5,512041532
7 o más personas		22027	Angüés	
1 persona	1	22028	Ansó	65,4374371844
2 personas	2	22028	Ansó	72,0515970503
3 personas	3	22028	Ansó	24,1899418928
4 personas	4	22028	Ansó	30,7801935157
5 personas	5	22028	Ansó	10,9720863701
7 o más personas		22028	Ansó	
1 persona	1	22029	Antillón	8,9162331227
2 personas	2	22029	Antillón	9,1249848273
3 personas	3	22029	Antillón	8,4540368651
4 personas	4	22029	Antillón	12,8224986298
5 personas	5	22029	Antillón	4,2899343307
6 personas	6	22029	Antillón	3,6220034089
7 o más personas		22029	Antillón	
1 persona	1	22032	Aragüés del Puerto	24,9100334497
2 personas	2	22032	Aragüés del Puerto	17,7156598723
3 personas	3	22032	Aragüés del Puerto	12,9530608913
4 personas	4	22032	Aragüés del Puerto	3,3341397105
5 personas	5	22032	Aragüés del Puerto	3,3349341019
7 o más personas		22032	Aragüés del Puerto	
1 persona	1	22035	Arén	59,4127912639
2 personas	2	22035	Arén	28,7317716446
3 personas	3	22035	Arén	19,618441698
4 personas	4	22035	Arén	14,0289135615
5 personas	5	22035	Arén	11,8237663838
6 personas	6	22035	Arén	2,642098628
7 o más personas	7	22035	Arén	4,5569165216
1 persona	1	22036	Argavieso	12,8103677266
2 personas	2	22036	Argavieso	18,1347898637
3 personas	3	22036	Argavieso	6,7429526998
4 personas	4	22036	Argavieso	4,1678567577
5 personas	5	22036	Argavieso	2,3993716506
6 personas	6	22036	Argavieso	3,1065439082
7 o más personas		22036	Argavieso	
1 persona	1	22037	Arguis	19,4497717223
2 personas	2	22037	Arguis	27,3475307324
3 personas	3	22037	Arguis	4,4346720395
4 personas	4	22037	Arguis	0,6027725707
6 personas	6	22037	Arguis	6,2131420972
7 o más personas		22037	Arguis	
1 persona	1	22039	Ayerbe	152,2924163166
2 personas	2	22039	Ayerbe	133,5450323676
3 personas	3	22039	Ayerbe	104,4521893652
4 personas	4	22039	Ayerbe	69,6137923426
5 personas	5	22039	Ayerbe	20,5192626331
7 o más personas		22039	Ayerbe	
1 persona	1	22040	Azanuy-Alins	24,4469798238
2 personas	2	22040	Azanuy-Alins	25,8510095155
3 personas	3	22040	Azanuy-Alins	12,1321433983
4 personas	4	22040	Azanuy-Alins	7,580929932
5 personas	5	22040	Azanuy-Alins	6,4774401508
7 o más personas		22040	Azanuy-Alins	
1 persona	1	22041	Azara	17,3355781672
2 personas	2	22041	Azara	21,1367213713
3 personas	3	22041	Azara	10,9176455483
4 personas	4	22041	Azara	11,5480922352
5 personas	5	22041	Azara	9,5350171375
6 personas	6	22041	Azara	2,4461921275
7 o más personas		22041	Azara	
1 persona	1	22042	Azlor	13,916798267
2 personas	2	22042	Azlor	16,0513521968
3 personas	3	22042	Azlor	9,9522538379
4 personas	4	22042	Azlor	7,7535753149
5 personas	5	22042	Azlor	2,7631169714
6 personas	6	22042	Azlor	1,9601243253
7 o más personas		22042	Azlor	
1 persona	1	22043	Baells	31,7244005466
2 personas	2	22043	Baells	12,7669752543
3 personas	3	22043	Baells	12,6241535967
4 personas	4	22043	Baells	2,0227670627
5 personas	5	22043	Baells	2,7243184755
7 o más personas		22043	Baells	
1 persona	1	22044	Bailo	36,3201254046
2 personas	2	22044	Bailo	40,9587269891
3 personas	3	22044	Bailo	22,5037403129
4 personas	4	22044	Bailo	12,5134234834
5 personas	5	22044	Bailo	4,5716119663
6 personas	6	22044	Bailo	9,6510817709
7 o más personas		22044	Bailo	
1 persona	1	22045	Baldellou	18,4340287607
2 personas	2	22045	Baldellou	11,2026921242
3 personas	3	22045	Baldellou	8,5461601061
4 personas	4	22045	Baldellou	6,9021700663
5 personas	5	22045	Baldellou	2,0426746359
6 personas	6	22045	Baldellou	1,2698652232
7 o más personas		22045	Baldellou	
1 persona	1	22046	Ballobar	90,7964982695
2 personas	2	22046	Ballobar	68,7396502974
3 personas	3	22046	Ballobar	102,8749041601
4 personas	4	22046	Ballobar	45,9681007884
5 personas	5	22046	Ballobar	24,5750015696
6 personas	6	22046	Ballobar	4,911214135
7 o más personas	7,69669225204133	22046	Ballobar	9,3317023533
1 persona	1	22047	Banastás	10,0581063089
2 personas	2	22047	Banastás	32,4896895695
3 personas	3	22047	Banastás	31,6444399655
4 personas	4	22047	Banastás	24,691303892
5 personas	5	22047	Banastás	0,9473820881
6 personas	6	22047	Banastás	1,8358627828
7 o más personas		22047	Banastás	
1 persona	1	22048	Barbastro	1871,5485752888
2 personas	2	22048	Barbastro	2294,1110788047
3 personas	3	22048	Barbastro	1409,9167918512
4 personas	4	22048	Barbastro	1212,0202875618
5 personas	5	22048	Barbastro	185,4689829238
6 personas	6	22048	Barbastro	71,8832470639
7 o más personas	7	22048	Barbastro	5,4062996279
1 persona	1	22049	Barbués	11,1088106602
2 personas	2	22049	Barbués	7,1121347666
3 personas	3	22049	Barbués	7,6062517531
4 personas	4	22049	Barbués	6,9242710639
5 personas	5	22049	Barbués	4,7629286394
7 o más personas		22049	Barbués	
1 persona	1	22050	Barbuñales	4,860646484
2 personas	2	22050	Barbuñales	12,2389607752
3 personas	3	22050	Barbuñales	7,126275125
4 personas	4	22050	Barbuñales	4,3019525459
5 personas	5	22050	Barbuñales	6,2440712145
6 personas	6	22050	Barbuñales	1,2466366773
7 o más personas		22050	Barbuñales	
1 persona	1	22051	Bárcabo	16,4426071142
2 personas	2	22051	Bárcabo	18,680990569
3 personas	3	22051	Bárcabo	6,0972710335
4 personas	4	22051	Bárcabo	4,0759157022
5 personas	5	22051	Bárcabo	3,6983937529
6 personas	6	22051	Bárcabo	0,8124350819
7 o más personas	7	22051	Bárcabo	0,7853109938
1 persona	1	22052	Belver de Cinca	107,3771947104
2 personas	2	22052	Belver de Cinca	137,2493685379
3 personas	3	22052	Belver de Cinca	128,7720444423
4 personas	4	22052	Belver de Cinca	128,9929447075
5 personas	5	22052	Belver de Cinca	11,3940593843
7 o más personas		22052	Belver de Cinca	
1 persona	1	22053	Benabarre	119,5852581132
2 personas	2	22053	Benabarre	138,6271468989
3 personas	3	22053	Benabarre	85,7901789167
4 personas	4	22053	Benabarre	94,031169326
5 personas	5	22053	Benabarre	12,9855925092
6 personas	6	22053	Benabarre	4,9771259713
7 o más personas		22053	Benabarre	
1 persona	1	22054	Benasque	206,5139696528
2 personas	2	22054	Benasque	406,0440810325
3 personas	3	22054	Benasque	188,4622822689
4 personas	4	22054	Benasque	105,6625564586
5 personas	5	22054	Benasque	25,1539239865
6 personas	6	22054	Benasque	6,4348035309
7 o más personas		22054	Benasque	
1 persona	1	22055	Berbegal	49,3465375369
2 personas	2	22055	Berbegal	39,0341768088
3 personas	3	22055	Berbegal	48,3584002778
4 personas	4	22055	Berbegal	25,270328796
5 personas	5	22055	Berbegal	8,0350562673
7 o más personas		22055	Berbegal	
1 persona	1	22057	Bielsa	32,4125070983
2 personas	2	22057	Bielsa	64,3082355975
3 personas	3	22057	Bielsa	50,1353118824
4 personas	4	22057	Bielsa	27,5959882776
5 personas	5	22057	Bielsa	15,7249319651
7 o más personas		22057	Bielsa	
1 persona	1	22058	Bierge	35,2875069689
2 personas	2	22058	Bierge	38,6419286436
3 personas	3	22058	Bierge	17,6089089639
4 personas	4	22058	Bierge	10,6955143269
6 personas	6	22058	Bierge	3,7775467936
7 o más personas	7	22058	Bierge	1,8012012449
1 persona	1	22059	Biescas	235,3414389757
2 personas	2	22059	Biescas	219,7422197491
3 personas	3	22059	Biescas	141,4824811946
4 personas	4	22059	Biescas	58,1307030829
5 personas	5	22059	Biescas	19,2214257531
6 personas	6	22059	Biescas	10,8011541117
7 o más personas		22059	Biescas	
1 persona	1	22060	Binaced	93,6383943786
2 personas	2	22060	Binaced	168,6467500208
3 personas	3	22060	Binaced	140,0168281744
4 personas	4	22060	Binaced	89,1926694241
5 personas	5	22060	Binaced	32,3745855323
6 personas	6	22060	Binaced	14,9263324957
7 o más personas	8	22060	Binaced	6,3864528095
1 persona	1	22061	Binéfar	724,1540785464
2 personas	2	22061	Binéfar	1249,7063336329
3 personas	3	22061	Binéfar	780,6023808794
4 personas	4	22061	Binéfar	727,0863808909
5 personas	5	22061	Binéfar	107,7639073357
6 personas	6	22061	Binéfar	34,5233581707
7 o más personas	7	22061	Binéfar	28,334191291
1 persona	1	22062	Bisaurri	12,6901793611
2 personas	2	22062	Bisaurri	37,1758396721
3 personas	3	22062	Bisaurri	24,0361341622
4 personas	4	22062	Bisaurri	10,635424187
7 o más personas		22062	Bisaurri	
1 persona	1	22063	Biscarrués	25,9839702579
2 personas	2	22063	Biscarrués	23,6098243887
3 personas	3	22063	Biscarrués	23,9065987634
4 personas	4	22063	Biscarrués	17,0321309847
5 personas	5	22063	Biscarrués	1,2329759504
6 personas	6	22063	Biscarrués	0,7037321483
7 o más personas		22063	Biscarrués	
1 persona	1	22064	Blecua y Torres	30,1758466347
2 personas	2	22064	Blecua y Torres	30,4125705015
3 personas	3	22064	Blecua y Torres	7,1621079547
4 personas	4	22064	Blecua y Torres	20,3241706855
5 personas	5	22064	Blecua y Torres	1,5093754868
6 personas	6	22064	Blecua y Torres	2,6790058481
7 o más personas		22064	Blecua y Torres	
1 persona	1	22066	Boltaña	92,8517553597
2 personas	2	22066	Boltaña	144,7042581539
3 personas	3	22066	Boltaña	76,4253909353
4 personas	4	22066	Boltaña	80,3121734107
5 personas	5	22066	Boltaña	18,5267346585
6 personas	6	22066	Boltaña	1,6947659214
7 o más personas	9	22066	Boltaña	1,4049164164
1 persona	1	22067	Bonansa	10,393557791
2 personas	2	22067	Bonansa	9,9713561363
3 personas	3	22067	Bonansa	7,3844860156
4 personas	4	22067	Bonansa	9,1402848694
6 personas	6	22067	Bonansa	1,9915220686
7 o más personas		22067	Bonansa	
1 persona	1	22068	Borau	19,9514816839
2 personas	2	22068	Borau	9,8703293251
3 personas	3	22068	Borau	8,8533156129
4 personas	4	22068	Borau	1,1571789683
6 personas	6	22068	Borau	2,3531994923
7 o más personas		22068	Borau	
1 persona	1	22069	Broto	33,4013141508
2 personas	2	22069	Broto	63,4588026022
3 personas	3	22069	Broto	42,8700086996
4 personas	4	22069	Broto	40,9369622819
5 personas	5	22069	Broto	8,7085534425
6 personas	6	22069	Broto	3,4723085217
7 o más personas		22069	Broto	
1 persona	1	22072	Caldearenas	29,2635068358
2 personas	2	22072	Caldearenas	31,9716020554
3 personas	3	22072	Caldearenas	8,6092067038
4 personas	4	22072	Caldearenas	14,2831055506
5 personas	5	22072	Caldearenas	2,4628695046
7 o más personas	8	22072	Caldearenas	5,7555348126
1 persona	1	22074	Campo	53,7376676083
2 personas	2	22074	Campo	35,2186841331
3 personas	3	22074	Campo	37,7279580652
4 personas	4	22074	Campo	16,8230916158
5 personas	5	22074	Campo	3,0629123809
6 personas	6	22074	Campo	1,4621456843
7 o más personas		22074	Campo	
1 persona	1	22075	Camporrells	26,2140876219
2 personas	2	22075	Camporrells	33,215904508
3 personas	3	22075	Camporrells	16,8789426915
4 personas	4	22075	Camporrells	4,7243768659
7 o más personas		22075	Camporrells	
1 persona	1	22076	Canal de Berdún	40,4317744825
2 personas	2	22076	Canal de Berdún	47,962758891
3 personas	3	22076	Canal de Berdún	30,4205941868
4 personas	4	22076	Canal de Berdún	23,143948458
5 personas	5	22076	Canal de Berdún	9,0637233802
6 personas	6	22076	Canal de Berdún	1,9429959764
7 o más personas		22076	Canal de Berdún	
1 persona	1	22077	Candasnos	57,7463671038
2 personas	2	22077	Candasnos	53,1058426556
3 personas	3	22077	Candasnos	31,9502084348
4 personas	4	22077	Candasnos	14,418003136
5 personas	5	22077	Candasnos	14,458073592
6 personas	6	22077	Candasnos	1,7048236295
7 o más personas		22077	Candasnos	
1 persona	1	22078	Canfranc	158,9439091743
2 personas	2	22078	Canfranc	72,1190986029
3 personas	3	22078	Canfranc	33,320092815
4 personas	4	22078	Canfranc	46,9524914926
7 o más personas		22078	Canfranc	
1 persona	1	22079	Capdesaso	21,3392415753
2 personas	2	22079	Capdesaso	25,0402103035
3 personas	3	22079	Capdesaso	14,3596717021
4 personas	4	22079	Capdesaso	15,7489711195
6 personas	6	22079	Capdesaso	0,1665632853
7 o más personas		22079	Capdesaso	
1 persona	1	22080	Capella	28,6580631508
2 personas	2	22080	Capella	72,5353678787
3 personas	3	22080	Capella	22,5260609736
4 personas	4	22080	Capella	14,5972664964
5 personas	5	22080	Capella	13,8007085143
7 o más personas		22080	Capella	
1 persona	1	22081	Casbas de Huesca	29,2139866679
2 personas	2	22081	Casbas de Huesca	46,4026457634
3 personas	3	22081	Casbas de Huesca	20,271123933
4 personas	4	22081	Casbas de Huesca	27,0828067587
6 personas	6	22081	Casbas de Huesca	1,7845309098
7 o más personas		22081	Casbas de Huesca	
1 persona	1	22082	Castejón del Puente	30,3909922529
2 personas	2	22082	Castejón del Puente	42,8803475151
3 personas	3	22082	Castejón del Puente	18,3679047091
4 personas	4	22082	Castejón del Puente	28,9012477921
5 personas	5	22082	Castejón del Puente	5,0786852266
6 personas	6	22082	Castejón del Puente	6,9701281689
7 o más personas		22082	Castejón del Puente	
1 persona	1	22083	Castejón de Monegros	56,9329932308
2 personas	2	22083	Castejón de Monegros	74,6239172978
3 personas	3	22083	Castejón de Monegros	82,4626950415
4 personas	4	22083	Castejón de Monegros	31,7795436583
5 personas	5	22083	Castejón de Monegros	6,2368624446
7 o más personas		22083	Castejón de Monegros	
1 persona	1	22084	Castejón de Sos	75,0881355472
2 personas	2	22084	Castejón de Sos	63,3955498121
3 personas	3	22084	Castejón de Sos	77,0939477128
4 personas	4	22084	Castejón de Sos	69,2112653997
5 personas	5	22084	Castejón de Sos	7,1396997128
7 o más personas		22084	Castejón de Sos	
1 persona	1	22085	Castelflorite	15,5391140533
2 personas	2	22085	Castelflorite	8,7983196987
3 personas	3	22085	Castelflorite	13,4075908816
4 personas	4	22085	Castelflorite	11,0107841066
5 personas	5	22085	Castelflorite	1,2358810511
6 personas	6	22085	Castelflorite	1,4031553705
7 o más personas		22085	Castelflorite	
1 persona	1	22086	Castiello de Jaca	34,3798945128
2 personas	2	22086	Castiello de Jaca	25,33859699
3 personas	3	22086	Castiello de Jaca	33,522139317
4 personas	4	22086	Castiello de Jaca	11,2907135299
5 personas	5	22086	Castiello de Jaca	4,2427278873
7 o más personas		22086	Castiello de Jaca	
1 persona	1	22087	Castigaleu	10,149849935
2 personas	2	22087	Castigaleu	8,4520238107
3 personas	3	22087	Castigaleu	15,7566753942
4 personas	4	22087	Castigaleu	3,0529636028
5 personas	5	22087	Castigaleu	0,7156349213
6 personas	6	22087	Castigaleu	2,7191464985
7 o más personas		22087	Castigaleu	
1 persona	1	22088	Castillazuelo	38,0339691392
2 personas	2	22088	Castillazuelo	19,8187536895
3 personas	3	22088	Castillazuelo	17,5007149036
4 personas	4	22088	Castillazuelo	11,9848272953
6 personas	6	22088	Castillazuelo	1,8099001395
7 o más personas		22088	Castillazuelo	
1 persona	1	22089	Castillonroy	30,0840880613
2 personas	2	22089	Castillonroy	49,7942517494
3 personas	3	22089	Castillonroy	31,5889487884
4 personas	4	22089	Castillonroy	24,8756200952
5 personas	5	22089	Castillonroy	4,659832777
6 personas	6	22089	Castillonroy	2,4736992374
7 o más personas		22089	Castillonroy	
1 persona	1	22090	Colungo	26,833815594
2 personas	2	22090	Colungo	27,346488822
3 personas	3	22090	Colungo	7,1434860157
4 personas	4	22090	Colungo	4,178764107
5 personas	5	22090	Colungo	1,339856767
7 o más personas		22090	Colungo	
1 persona	1	22094	Chalamera	11,4610380026
2 personas	2	22094	Chalamera	9,4724335373
3 personas	3	22094	Chalamera	6,2919421945
4 personas	4	22094	Chalamera	8,3688742204
5 personas	5	22094	Chalamera	5,8991708544
6 personas	6	22094	Chalamera	0,939820718
7 o más personas		22094	Chalamera	
1 persona	1	22095	Chía	17,4970336718
3 personas	3	22095	Chía	18,4767383072
4 personas	4	22095	Chía	6,0181878517
7 o más personas		22095	Chía	
1 persona	1	22096	Chimillas	26,3689158445
2 personas	2	22096	Chimillas	35,0065912093
3 personas	3	22096	Chimillas	38,0231101105
4 personas	4	22096	Chimillas	24,4889826164
5 personas	5	22096	Chimillas	8,3450181294
6 personas	6	22096	Chimillas	1,5812353432
7 o más personas	7	22096	Chimillas	1,8009912907
1 persona	1	22099	Esplús	59,6638389837
2 personas	2	22099	Esplús	89,0940160292
3 personas	3	22099	Esplús	55,9067770883
4 personas	4	22099	Esplús	30,9282650936
5 personas	5	22099	Esplús	5,4691673616
6 personas	6	22099	Esplús	1,548187198
7 o más personas	7	22099	Esplús	2,7649838153
1 persona	1	22102	Estada	25,8998501924
2 personas	2	22102	Estada	17,723930799
3 personas	3	22102	Estada	29,945392532
4 personas	4	22102	Estada	17,7076246305
5 personas	5	22102	Estada	1,472880116
7 o más personas		22102	Estada	
1 persona	1	22103	Estadilla	68,8982573073
2 personas	2	22103	Estadilla	82,2696449956
3 personas	3	22103	Estadilla	87,1590397717
4 personas	4	22103	Estadilla	40,8280453513
5 personas	5	22103	Estadilla	19,2161738587
6 personas	6	22103	Estadilla	15,6495945207
7 o más personas		22103	Estadilla	
1 persona	1	22105	Estopiñán del Castillo	16,385371812
2 personas	2	22105	Estopiñán del Castillo	25,2610243134
3 personas	3	22105	Estopiñán del Castillo	12,9739353678
4 personas	4	22105	Estopiñán del Castillo	9,4627195477
5 personas	5	22105	Estopiñán del Castillo	2,5454146337
6 personas	6	22105	Estopiñán del Castillo	0,7708835395
7 o más personas		22105	Estopiñán del Castillo	
1 persona	1	22106	Fago	4,5791308322
2 personas	2	22106	Fago	1,7399532258
3 personas	3	22106	Fago	1,5064203782
4 personas	4	22106	Fago	4,1054253954
7 o más personas		22106	Fago	
1 persona	1	22107	Fanlo	29,0810869164
2 personas	2	22107	Fanlo	23,1592863434
3 personas	3	22107	Fanlo	6,7714936196
5 personas	5	22107	Fanlo	3,3258172923
6 personas	6	22107	Fanlo	1,4398475297
7 o más personas		22107	Fanlo	
1 persona	1	22109	Fiscal	28,5518015204
2 personas	2	22109	Fiscal	33,0259680835
3 personas	3	22109	Fiscal	20,9827296619
4 personas	4	22109	Fiscal	25,5919670114
5 personas	5	22109	Fiscal	7,5836599813
6 personas	6	22109	Fiscal	3,6133473757
7 o más personas		22109	Fiscal	
1 persona	1	22110	Fonz	91,6689335444
2 personas	2	22110	Fonz	154,6828748129
3 personas	3	22110	Fonz	65,8336472187
4 personas	4	22110	Fonz	54,9287523301
5 personas	5	22110	Fonz	23,6898092815
6 personas	6	22110	Fonz	7,5051602381
7 o más personas		22110	Fonz	
1 persona	1	22111	Foradada del Toscar	9,258221143
2 personas	2	22111	Foradada del Toscar	16,7695625033
3 personas	3	22111	Foradada del Toscar	11,0046794652
4 personas	4	22111	Foradada del Toscar	17,9064308728
5 personas	5	22111	Foradada del Toscar	10,0486800226
6 personas	6	22111	Foradada del Toscar	1,8865819751
7 o más personas		22111	Foradada del Toscar	
1 persona	1	22112	Fraga	1052,0193928787
2 personas	2	22112	Fraga	1463,3554487456
3 personas	3	22112	Fraga	1293,9043429554
4 personas	4	22112	Fraga	914,7114154532
5 personas	5	22112	Fraga	388,7694784345
6 personas	6	22112	Fraga	166,5867072275
7 o más personas		22112	Fraga	
1 persona	1	22113	Fueva (La)	40,0968360985
2 personas	2	22113	Fueva (La)	43,9475580293
3 personas	3	22113	Fueva (La)	46,0731835338
4 personas	4	22113	Fueva (La)	35,8993882995
5 personas	5	22113	Fueva (La)	29,898072986
6 personas	6	22113	Fueva (La)	0,7544334704
7 o más personas	7,31860285689836	22113	Fueva (La)	8,1826258188
1 persona	1	22114	Gistaín	23,9588909708
2 personas	2	22114	Gistaín	19,8061254941
3 personas	3	22114	Gistaín	17,3832399875
4 personas	4	22114	Gistaín	4,8902103775
5 personas	5	22114	Gistaín	1,7436593136
7 o más personas		22114	Gistaín	
1 persona	1	22115	Grado (El)	38,1493750233
2 personas	2	22115	Grado (El)	45,6242602082
3 personas	3	22115	Grado (El)	39,6348444361
4 personas	4	22115	Grado (El)	41,5145282126
5 personas	5	22115	Grado (El)	10,487764187
7 o más personas		22115	Grado (El)	
1 persona	1	22116	Grañén	139,3898630595
2 personas	2	22116	Grañén	205,5019995539
3 personas	3	22116	Grañén	190,3831142481
4 personas	4	22116	Grañén	172,8464359997
5 personas	5	22116	Grañén	20,8355116836
