Municipio código	Municipio nombre	Explotaciones	Superficie total	SAU	Superficie tierras labradas
50251	Tarazona	322	20573,49	9091,06	7461,37
50252	Tauste	858	29073,95	27570	24300,53
50253	Terrer	65	1508,08	1479,09	804,04
50254	Tierga	62	6121,51	4118,22	1857,53
50255	Tobed	47	791,13	498,47	228,03
50256	Torralba de los Frailes	53	2733,73	2598	2155,81
50257	Torralba de Ribota	62	640,58	606,31	530,38
50258	Torralbilla	10	1016,53	983,38	963,38
50259	Torrehermosa	18	2199,37	2175,52	1978,6
50260	Torrelapaja	8	1448,37	446,53	440,4
50261	Torrellas	19	99,94	98,44	96,44
50262	Torres de Berrellén	69	1629,94	1455,64	1389,61
50263	Torrijo de la Cañada	46	1951,06	1843,78	1117,03
50264	Tosos	93	4308,49	3023,78	2507,01
50265	Trasmoz	21	435,15	418,19	398,41
50266	Trasobares	44	5553,1	5264,6	815,55
50267	Uncastillo	100	10352,1	8479,2	6549,93
50268	Undués de Lerda	12	2551,01	2024,18	1007,06
50269	Urrea de Jalón	54	1067,36	1060,89	1047,97
50270	Urriés	18	967,13	798,07	719,41
50271	Used	101	6450,43	6226,15	5393,87
50272	Utebo	61	1056,29	1045,36	855,37
50273	Valdehorna	17	359,75	271,35	270,6
50274	Val de San Martín	21	1469,47	1458,14	1047,17
50275	Valmadrid	17	926,97	926,42	888,32
50276	Valpalmas	30	2996,74	2796,98	2610,35
50277	Valtorres	15	124,39	110,55	96,1
50278	Velilla de Ebro	33	2989,15	2947,76	2644,39
50279	Velilla de Jiloca	26	340,64	336,26	327,47
50280	Vera de Moncayo	72	1595,34	1495,24	1371,4
50281	Vierlas	22	149,23	149,03	148,86
50282	Vilueña (La)	37	384,85	349,76	316,5
50283	Villadoz	24	1562,94	1560,3	1560,05
50284	Villafeliche	23	554,87	199,36	193,07
50285	Villafranca de Ebro	60	6044,43	2228,99	2041,37
50286	Villalba de Perejil	25	260,84	251,34	228,33
50287	Villalengua	67	1856,44	1718,88	1090,88
50288	Villanueva de Gállego	97	4955,53	4948,44	3807,23
50289	Villanueva de Jiloca	15	115,73	72,88	51,84
50290	Villanueva de Huerva	92	3681,68	3659,39	3195,3
50291	Villar de los Navarros	46	3807,43	3775,74	3668,83
50292	Villarreal de Huerva	18	1660,66	1330,29	1130,2
50293	Villarroya de la Sierra	133	3232,28	3048,68	2641,74
50294	Villarroya del Campo	21	1011,15	984,53	970,99
50295	Vistabella	6	71,38	49,28	39,28
50296	Zaida (La)	34	965,8	965,8	965,8
50297	Zaragoza	921	50067,34	32519,45	27287,92
50298	Zuera	366	18542,84	17479,58	16240,76
50901	Biel	28	4897,45	2829,36	1060,7
50902	Marracos	17	1507,81	1490,96	1468,29
50903	Villamayor de Gállego	167	7787,86	4262,94	4184,93
