Año	Código del municipio	Nombre del municipio	Personas que son mano de obra familiar	Personas que son mano de obra familiar hombres	Personas que son mano de obra familiar mujeres	Personas que son mano de obra familiar <35 años	Personas que son mano de obra familiar de 35 a 45 años	Personas que son mano de obra familiar de 55 a 64 años	Personas que son mano de obra familiar de más de 65 años
1989	22096	Chimillas	19	18	1	0	9	8	2
1989	22099	Esplús	197	167	30	35	67	57	38
1989	22102	Estada	67	60	7	8	19	13	27
1989	22103	Estadilla	259	219	40	46	108	69	36
1989	22105	Estopiñán del Castillo	114	92	22	14	36	33	31
1989	22106	Fago	11	8	3	1	4	4	2
1989	22107	Fanlo	23	20	3	5	6	5	7
1989	22109	Fiscal	91	79	12	10	28	24	29
1989	22110	Fonz	258	243	15	47	91	71	49
1989	22111	Foradada del Toscar	99	69	30	21	42	21	15
1989	22112	Fraga	2110	1439	671	509	881	483	237
1989	22113	Fueva (La)	314	241	73	63	109	70	72
1989	22114	Gistaín	105	77	28	12	36	32	25
1989	22115	Grado (El)	257	211	46	35	68	74	80
1989	22116	Grañén	333	293	40	92	114	95	32
1989	22117	Graus	622	464	158	93	192	161	176
1989	22119	Gurrea de Gállego	368	334	34	88	168	89	23
1989	22122	Hoz de Jaca	28	19	9	3	6	9	10
1989	22124	Huerto	110	96	14	22	46	27	15
1989	22125	Huesca	283	260	23	43	96	86	58
1989	22126	Ibieca	41	40	1	7	11	9	14
1989	22127	Igriés	35	34	1	7	11	12	5
1989	22128	Ilche	99	86	13	18	37	30	14
1989	22129	Isábena	102	72	30	15	38	22	27
1989	22130	Jaca	418	348	70	60	138	137	83
1989	22131	Jasa	22	17	5	3	8	6	5
1989	22133	Labuerda	47	44	3	2	11	8	26
1989	22135	Laluenga	103	93	10	24	32	30	17
1989	22136	Lalueza	400	332	68	78	166	101	55
1989	22137	Lanaja	355	310	45	66	121	113	55
1989	22139	Laperdiguera	31	29	2	8	11	7	5
1989	22141	Lascellas-Ponzano	55	53	2	10	18	20	7
1989	22142	Lascuarre	63	49	14	16	22	16	9
1989	22143	Laspaúles	98	69	29	16	38	27	17
1989	22144	Laspuña	92	64	28	6	32	35	19
1989	22149	Loarre	126	121	5	6	52	38	30
1989	22150	Loporzano	219	191	28	23	76	67	53
1989	22151	Loscorrales	49	43	6	4	15	16	14
1989	22155	Monesma y Cajigar	60	38	22	22	19	15	4
1989	22156	Monflorite-Lascasas	62	55	7	10	25	21	6
1989	22157	Montanuy	147	108	39	41	46	45	15
1989	22158	Monzón	956	840	116	131	341	280	204
1989	22160	Naval	103	81	22	11	29	19	44
1989	22162	Novales	40	37	3	8	9	13	10
1989	22163	Nueno	99	88	11	12	31	25	31
1989	22164	Olvena	36	29	7	5	14	9	8
1989	22165	Ontiñena	145	138	7	28	48	43	26
1989	22167	Osso de Cinca	293	207	86	91	114	54	34
1989	22168	Palo	32	31	1	2	10	5	15
1989	22170	Panticosa	72	59	13	7	21	22	22
1989	22172	Peñalba	138	122	16	24	42	54	18
1989	22173	Peñas de Riglos (Las)	88	77	11	9	24	30	25
1989	22174	Peralta de Alcofea	157	121	36	31	69	42	15
1989	22175	Peralta de Calasanz	278	209	69	24	85	70	99
1989	22176	Peraltilla	50	45	5	7	22	12	9
1989	22177	Perarrúa	81	55	26	8	31	21	21
1989	22178	Pertusa	34	33	1	9	18	4	3
1989	22181	Piracés	26	25	1	10	8	6	2
1989	22182	Plan	110	78	32	13	37	29	31
1989	22184	Poleñino	67	60	7	17	30	16	4
1989	22186	Pozán de Vero	105	97	8	10	34	20	41
1989	22187	Puebla de Castro (La)	114	81	33	9	34	29	42
1989	22188	Puente de Montañana	37	26	11	5	13	10	9
1989	22189	Puértolas	76	61	15	6	24	18	28
1989	22190	Pueyo de Araguás (El)	64	59	5	9	25	17	13
1989	22193	Pueyo de Santa Cruz	86	72	14	6	34	24	22
1989	22195	Quicena	13	12	1	1	4	6	2
1989	22197	Robres	145	137	8	36	51	44	14
1989	22199	Sabiñánigo	344	300	44	39	103	93	109
1989	22200	Sahún	77	56	21	9	28	19	21
1989	22201	Salas Altas	258	191	67	59	86	52	61
1989	22202	Salas Bajas	117	87	30	18	33	29	37
1989	22203	Salillas	40	33	7	3	16	16	5
1989	22204	Sallent de Gállego	115	88	27	19	40	35	21
1989	22205	San Esteban de Litera	363	286	77	51	153	99	60
1989	22206	Sangarrén	86	78	8	12	34	21	19
1989	22207	San Juan de Plan	64	40	24	7	26	19	12
1989	22208	Santa Cilia	61	46	15	8	25	18	10
1989	22209	Santa Cruz de la Serós	46	35	11	5	15	16	10
1989	22212	Santaliestra y San Quílez	32	27	5	3	14	6	9
1989	22213	Sariñena	656	545	111	159	277	142	78
1989	22214	Secastilla	83	63	20	11	27	21	24
1989	22215	Seira	41	27	14	1	12	7	21
1989	22217	Sena	156	139	17	31	68	33	24
1989	22218	Senés de Alcubierre	28	24	4	7	15	5	1
1989	22220	Sesa	69	63	6	7	31	22	9
1989	22221	Sesué	29	21	8	4	10	9	6
1989	22222	Siétamo	112	109	3	17	32	26	37
1989	22223	Sopeira	36	26	10	4	7	13	12
1989	22225	Tamarite de Litera	1190	807	383	286	439	287	178
1989	22226	Tardienta	237	225	12	31	75	78	53
1989	22227	Tella-Sin	74	49	25	8	17	28	21
1989	22228	Tierz	26	23	3	6	7	8	5
1989	22229	Tolva	105	79	26	18	40	26	21
1989	22230	Torla-Ordesa	73	59	14	11	31	19	12
1989	22232	Torralba de Aragón	52	48	4	12	20	15	5
1989	22233	Torre la Ribera	43	30	13	10	16	12	5
1989	22234	Torrente de Cinca	192	132	60	44	76	44	28
1989	22235	Torres de Alcanadre	37	34	3	16	9	9	3
1989	22236	Torres de Barbués	67	59	8	21	28	11	7
1989	22239	Tramaced	43	35	8	8	19	13	3
1989	22242	Valfarta	31	26	5	2	12	10	7
1989	22243	Valle de Bardají	23	17	6	6	9	5	3
1989	22244	Valle de Lierp	28	19	9	8	9	8	3
1989	22245	Velilla de Cinca	121	84	37	23	45	31	22
1989	22246	Beranuy	61	43	18	11	18	16	16
1989	22247	Viacamp y Litera	34	30	4	5	9	9	11
1989	22248	Vicién	16	14	2	4	5	3	4
1989	22249	Villanova	10	9	1	1	6	2	1
1989	22250	Villanúa	30	22	8	1	6	14	9
1989	22251	Villanueva de Sigena	116	106	10	37	47	24	8
1989	22252	Yebra de Basa	37	35	2	8	10	10	9
1989	22253	Yésero	36	20	16	7	11	5	13
1989	22254	Zaidín	632	437	195	204	265	129	34
1989	22901	Valle de Hecho	281	231	50	47	90	74	70
1989	22902	Puente la Reina de Jaca	99	71	28	16	39	28	16
1989	22903	San Miguel del Cinca	426	323	103	99	154	95	78
1989	22904	Sotonera (La)	483	425	58	76	155	134	118
1989	22905	Lupiñén-Ortilla	116	92	24	12	44	28	32
1989	22906	Santa María de Dulcis	90	82	8	11	22	20	37
1989	22907	Aínsa-Sobrarbe	191	162	29	33	66	55	37
1989	22908	Hoz y Costeán	218	178	40	26	56	61	75
1989	22909	Vencillón	128	111	17	34	56	28	10
1989	44001	Ababuj	52	37	15	8	20	19	5
1989	44002	Abejuela	25	16	9	0	6	10	9
1989	44003	Aguatón	18	11	7	1	7	9	1
1989	44004	Aguaviva	220	160	60	18	60	79	63
1989	44005	Aguilar del Alfambra	52	33	19	4	17	19	12
1989	44006	Alacón	200	129	71	44	60	73	23
1989	44007	Alba	107	86	21	30	44	26	7
1989	44008	Albalate del Arzobispo	518	386	132	58	163	175	122
1989	44009	Albarracín	103	87	16	19	28	33	23
1989	44010	Albentosa	181	128	53	15	56	44	66
1989	44011	Alcaine	34	28	6	3	7	11	13
1989	44012	Alcalá de la Selva	200	150	50	9	60	59	72
1989	44013	Alcañiz	1414	993	421	221	580	416	197
1989	44014	Alcorisa	729	547	182	105	277	205	142
1989	44016	Alfambra	220	166	54	42	85	72	21
1989	44017	Aliaga	177	127	50	10	34	52	81
1989	44018	Almohaja	6	4	2	0	2	4	0
1989	44019	Alobras	70	41	29	14	9	17	30
1989	44020	Alpeñés	20	18	2	6	7	3	4
1989	44021	Allepuz	121	92	29	9	39	42	31
1989	44022	Alloza	249	187	62	28	87	65	69
1989	44023	Allueva	2	2	0	0	1	1	0
1989	44024	Anadón	13	6	7	3	6	4	0
1989	44025	Andorra	588	383	205	111	240	172	65
1989	44026	Arcos de las Salinas	85	50	35	10	25	25	25
1989	44027	Arens de Lledó	148	94	54	24	58	49	17
1989	44028	Argente	119	83	36	25	48	38	8
1989	44029	Ariño	266	190	76	35	79	84	68
1989	44031	Azaila	57	53	4	11	25	17	4
1989	44032	Bádenas	10	9	1	2	5	3	0
1989	44033	Báguena	363	245	118	52	120	99	92
1989	44034	Bañón	69	52	17	15	26	26	2
1989	44035	Barrachina	79	49	30	3	28	27	21
1989	44036	Bea	13	13	0	4	3	5	1
1989	44037	Beceite	214	171	43	26	81	60	47
1989	44038	Belmonte de San José	157	102	55	7	33	37	80
1989	44039	Bello	203	121	82	32	54	78	39
1989	44040	Berge	131	92	39	12	35	50	34
1989	44041	Bezas	22	14	8	0	5	6	11
1989	44042	Blancas	75	54	21	14	35	24	2
1989	44043	Blesa	70	54	16	10	27	28	5
1989	44044	Bordón	69	48	21	11	20	24	14
1989	44045	Bronchales	75	67	8	3	21	26	25
1989	44046	Bueña	61	46	15	11	23	23	4
1989	44047	Burbáguena	391	283	108	26	129	118	118
1989	44048	Cabra de Mora	63	43	20	6	26	18	13
1989	44049	Calaceite	616	383	233	103	226	168	119
1989	44050	Calamocha	1109	837	272	99	325	377	308
1989	44051	Calanda	626	458	168	139	207	198	82
1989	44052	Calomarde	27	21	6	0	7	11	9
1989	44053	Camañas	69	50	19	18	27	22	2
1989	44054	Camarena de la Sierra	221	137	84	2	44	50	125
1989	44055	Camarillas	77	54	23	4	31	19	23
1989	44056	Caminreal	187	152	35	26	81	63	17
1989	44059	Cantavieja	176	123	53	41	76	49	10
1989	44060	Cañada de Benatanduz	50	32	18	6	20	17	7
1989	44061	Cañada de Verich (La)	93	60	33	12	20	26	35
1989	44062	Cañada Vellida	31	29	2	4	17	8	2
1989	44063	Cañizar del Olivar	70	53	17	4	15	22	29
1989	44064	Cascante del Río	245	163	82	15	71	47	112
1989	44065	Castejón de Tornos	62	37	25	10	26	20	6
1989	44066	Castel de Cabra	71	55	16	12	19	26	14
1989	44067	Castelnou	37	29	8	5	14	14	4
1989	44068	Castelserás	254	171	83	40	84	61	69
1989	44070	Castellar (El)	59	39	20	6	25	22	6
1989	44071	Castellote	552	357	195	72	179	126	175
1989	44074	Cedrillas	193	145	48	26	77	56	34
1989	44075	Celadas	222	153	69	56	80	70	16
1989	44076	Cella	911	613	298	154	409	275	73
1989	44077	Cerollera (La)	54	44	10	1	15	18	20
1989	44080	Codoñera (La)	130	85	45	31	46	41	12
1989	44082	Corbalán	54	38	16	4	14	24	12
1989	44084	Cortes de Aragón	32	22	10	4	11	11	6
1989	44085	Cosa	49	36	13	11	24	12	2
1989	44086	Cretas	412	283	129	59	157	124	72
1989	44087	Crivillén	100	83	17	1	14	28	57
1989	44088	Cuba (La)	37	25	12	5	11	15	6
1989	44089	Cubla	145	93	52	8	28	38	71
1989	44090	Cucalón	17	14	3	1	11	5	0
1989	44092	Cuervo (El)	88	58	30	7	28	18	35
1989	44093	Cuevas de Almudén	41	34	7	13	11	10	7
1989	44094	Cuevas Labradas	68	46	22	9	30	20	9
1989	44096	Ejulve	364	232	132	19	86	90	169
1989	44097	Escorihuela	143	85	58	23	41	52	27
1989	44099	Escucha	110	88	22	19	22	29	40
1989	44100	Estercuel	133	105	28	3	22	33	75
1989	44101	Ferreruela de Huerva	30	26	4	3	9	17	1
1989	44102	Fonfría	21	14	7	3	8	10	0
1989	44103	Formiche Alto	74	46	28	3	24	26	21
1989	44105	Fórnoles	299	176	123	23	89	80	107
1989	44106	Fortanete	141	89	52	18	57	44	22
1989	44107	Foz-Calanda	122	80	42	33	43	33	13
1989	44108	Fresneda (La)	447	272	175	53	127	122	145
1989	44109	Frías de Albarracín	47	37	10	8	19	15	5
1989	44110	Fuenferrada	29	23	6	2	10	12	5
1989	44111	Fuentes Calientes	73	56	17	10	37	14	12
1989	44112	Fuentes Claras	208	161	47	16	89	76	27
1989	44113	Fuentes de Rubielos	85	57	28	10	11	23	41
1989	44114	Fuentespalda	209	143	66	25	93	52	39
1989	44115	Galve	77	53	24	11	30	25	11
1989	44116	Gargallo	101	73	28	1	17	22	61
1989	44117	Gea de Albarracín	156	115	41	20	40	53	43
1989	44118	Ginebrosa (La)	232	158	74	36	65	68	63
1989	44119	Griegos	37	30	7	3	22	9	3
1989	44120	Guadalaviar	65	56	9	16	22	19	8
1989	44121	Gúdar	77	51	26	8	29	22	18
1989	44122	Híjar	449	375	74	41	145	156	107
1989	44123	Hinojosa de Jarque	62	52	10	10	19	23	10
1989	44124	Hoz de la Vieja (La)	99	74	25	7	35	29	28
1989	44125	Huesa del Común	51	47	4	2	14	13	22
1989	44126	Iglesuela del Cid (La)	171	126	45	8	62	57	44
1989	44127	Jabaloyas	58	33	25	8	17	25	8
1989	44128	Jarque de la Val	44	34	10	8	16	14	6
1989	44129	Jatiel	11	9	2	2	2	4	3
1989	44130	Jorcas	32	21	11	2	16	9	5
1989	44131	Josa	59	58	1	0	11	23	25
1989	44132	Lagueruela	28	21	7	1	13	12	2
1989	44133	Lanzuela	19	16	3	2	6	7	4
1989	44135	Libros	177	117	60	15	49	58	55
1989	44136	Lidón	36	26	10	6	20	9	1
1989	44137	Linares de Mora	184	126	58	28	63	44	49
1989	44138	Loscos	69	54	15	8	32	24	5
1989	44141	Lledó	104	74	30	23	33	35	13
1989	44142	Maicas	32	26	6	0	3	5	24
1989	44143	Manzanera	258	185	73	20	71	69	98
1989	44144	Martín del Río	123	102	21	10	36	43	34
1989	44145	Mas de las Matas	186	147	39	7	66	69	44
1989	44146	Mata de los Olmos (La)	54	48	6	1	24	17	12
1989	44147	Mazaleón	402	288	114	83	146	109	64
1989	44148	Mezquita de Jarque	43	35	8	10	18	12	3
1989	44149	Mirambel	62	45	17	16	29	15	2
1989	44150	Miravete de la Sierra	53	39	14	4	14	8	27
1989	44151	Molinos	162	113	49	21	43	49	49
1989	44152	Monforte de Moyuela	43	34	9	4	18	16	5
1989	44153	Monreal del Campo	376	284	92	34	132	157	53
1989	44154	Monroyo	141	116	25	11	38	50	42
1989	44155	Montalbán	163	133	30	3	33	49	78
1989	44156	Monteagudo del Castillo	41	31	10	4	14	14	9
1989	44157	Monterde de Albarracín	29	18	11	5	15	6	3
1989	44158	Mora de Rubielos	330	245	85	15	101	94	120
1989	44159	Moscardón	32	22	10	7	7	16	2
1989	44160	Mosqueruela	332	221	111	32	123	103	74
1989	44161	Muniesa	253	174	79	50	90	95	18
1989	44163	Noguera de Albarracín	50	41	9	7	12	15	16
1989	44164	Nogueras	14	13	1	0	6	6	2
1989	44165	Nogueruelas	138	98	40	9	36	36	57
1989	44167	Obón	99	74	25	5	17	26	51
1989	44168	Odón	115	84	31	22	51	31	11
1989	44169	Ojos Negros	125	99	26	27	50	41	7
1989	44171	Olba	320	230	90	9	47	65	199
1989	44172	Oliete	354	237	117	42	101	105	106
1989	44173	Olmos (Los)	106	82	24	21	36	34	15
1989	44174	Orihuela del Tremedal	44	42	2	9	17	13	5
1989	44175	Orrios	91	65	26	16	36	28	11
1989	44176	Palomar de Arroyos	59	51	8	8	13	20	18
1989	44177	Pancrudo	81	73	8	6	25	32	18
1989	44178	Parras de Castellote (Las)	58	42	16	7	13	26	12
1989	44179	Peñarroya de Tastavins	285	185	100	43	94	87	61
1989	44180	Peracense	29	20	9	1	22	6	0
1989	44181	Peralejos	38	23	15	1	12	18	7
1989	44182	Perales del Alfambra	137	105	32	28	42	45	22
1989	44183	Pitarque	113	80	33	10	21	31	51
1989	44184	Plou	21	17	4	0	8	4	9
1989	44185	Pobo (El)	90	67	23	16	42	20	12
1989	44187	Portellada (La)	122	87	35	20	53	27	22
1989	44189	Pozondón	43	33	10	7	8	19	9
1989	44190	Pozuel del Campo	36	22	14	9	14	11	2
1989	44191	Puebla de Híjar (La)	163	139	24	26	60	61	16
1989	44192	Puebla de Valverde (La)	312	224	88	24	75	78	135
1989	44193	Puertomingalvo	146	96	50	9	51	41	45
1989	44194	Ráfales	102	76	26	14	42	33	13
1989	44195	Rillo	40	38	2	6	10	17	7
1989	44196	Riodeva	328	196	132	10	89	112	117
1989	44197	Ródenas	50	32	18	10	19	17	4
1989	44198	Royuela	47	45	2	2	26	10	9
1989	44199	Rubiales	52	37	15	6	11	16	19
1989	44200	Rubielos de la Cérida	27	22	5	3	9	11	4
1989	44201	Rubielos de Mora	293	209	84	21	94	99	79
1989	44203	Salcedillo	6	4	2	1	2	1	2
1989	44204	Saldón	36	23	13	7	8	6	15
1989	44205	Samper de Calanda	263	213	50	26	105	90	42
1989	44206	San Agustín	222	168	54	19	48	64	91
1989	44207	San Martín del Río	264	175	89	11	83	98	72
1989	44208	Santa Cruz de Nogueras	15	13	2	1	7	6	1
1989	44209	Santa Eulalia	182	146	36	33	71	63	15
1989	44210	Sarrión	298	252	46	22	113	89	74
1989	44211	Segura de los Baños	23	21	2	1	11	6	5
1989	44212	Seno	59	43	16	3	16	28	12
1989	44213	Singra	55	40	15	12	18	20	5
1989	44215	Terriente	100	61	39	12	28	38	22
1989	44216	Teruel	666	495	171	57	254	233	122
1989	44217	Toril y Masegoso	23	16	7	7	4	5	7
1989	44218	Tormón	23	14	9	0	8	8	7
1989	44219	Tornos	122	76	46	11	60	39	12
1989	44220	Torralba de los Sisones	112	63	49	13	42	41	16
1989	44221	Torrecilla de Alcañiz	180	105	75	37	65	62	16
1989	44222	Torrecilla del Rebollar	59	37	22	10	20	26	3
1989	44223	Torre de Arcas	30	27	3	3	11	13	3
1989	44224	Torre de las Arcas	29	22	7	3	3	10	13
1989	44225	Torre del Compte	188	109	79	24	78	51	35
1989	44226	Torrelacárcel	106	77	29	11	39	43	13
1989	44227	Torre los Negros	53	38	15	7	15	9	22
1989	44228	Torremocha de Jiloca	70	52	18	9	21	30	10
1989	44229	Torres de Albarracín	40	28	12	6	17	12	5
1989	44230	Torrevelilla	156	99	57	29	32	47	48
1989	44231	Torrijas	59	37	22	4	13	16	26
1989	44232	Torrijo del Campo	246	154	92	45	88	92	21
1989	44234	Tramacastiel	184	112	72	6	35	49	94
1989	44235	Tramacastilla	27	21	6	9	7	9	2
1989	44236	Tronchón	66	50	16	11	28	16	11
1989	44237	Urrea de Gaén	173	145	28	24	71	42	36
1989	44238	Utrillas	82	71	11	10	26	22	24
1989	44239	Valacloche	73	40	33	0	12	24	37
1989	44240	Valbona	130	88	42	9	49	29	43
1989	44241	Valdealgorfa	392	223	169	60	141	120	71
1989	44243	Valdecuenca	10	6	4	4	2	3	1
1989	44244	Valdelinares	79	54	25	12	23	25	19
1989	44245	Valdeltormo	66	42	24	10	35	11	10
1989	44246	Valderrobres	627	429	198	126	234	167	100
1989	44247	Valjunquera	250	148	102	43	97	68	42
1989	44249	Vallecillo (El)	12	8	4	0	3	3	6
1989	44250	Veguillas de la Sierra	14	11	3	2	2	8	2
1989	44251	Villafranca del Campo	131	101	30	25	57	36	13
1989	44252	Villahermosa del Campo	25	24	1	5	13	6	1
1989	44256	Villanueva del Rebollar de la Sierra	19	11	8	0	12	6	1
1989	44257	Villar del Cobo	65	55	10	10	27	17	11
1989	44258	Villar del Salz	52	46	6	4	18	13	17
1989	44260	Villarluengo	146	89	57	31	43	35	37
1989	44261	Villarquemado	364	279	85	86	145	94	39
1989	44262	Villarroya de los Pinares	87	68	19	10	19	26	32
1989	44263	Villastar	111	71	40	18	37	37	19
1989	44264	Villel	545	345	200	53	184	99	209
1989	44265	Vinaceite	102	86	16	17	45	34	6
1989	44266	Visiedo	94	63	31	13	46	30	5
1989	44267	Vivel del Río Martín	38	28	10	1	22	9	6
1989	44268	Zoma (La)	30	26	4	1	9	6	14
1989	50001	Abanto	44	44	0	4	15	17	8
1989	50002	Acered	243	154	89	31	90	71	51
1989	50003	Agón	96	83	13	31	33	22	10
1989	50004	Aguarón	328	234	94	39	123	97	69
1989	50005	Aguilón	154	123	31	12	40	61	41
1989	50006	Ainzón	455	387	68	116	135	109	95
1989	50007	Aladrén	113	84	29	5	44	34	30
1989	50008	Alagón	830	651	179	101	278	237	214
1989	50009	Alarba	192	118	74	57	71	41	23
1989	50010	Alberite de San Juan	25	21	4	5	13	2	5
1989	50011	Albeta	4	4	0	1	1	2	0
1989	50012	Alborge	11	8	3	0	3	3	5
1989	50013	Alcalá de Ebro	125	109	16	9	53	33	30
1989	50014	Alcalá de Moncayo	62	52	10	5	32	10	15
1989	50015	Alconchel de Ariza	107	70	37	26	55	25	1
1989	50016	Aldehuela de Liestos	17	17	0	1	7	8	1
1989	50017	Alfajarín	294	274	20	48	144	75	27
1989	50018	Alfamén	571	459	112	149	216	127	79
1989	50019	Alforque	53	36	17	6	15	13	19
1989	50020	Alhama de Aragón	117	103	14	5	42	32	38
1989	50021	Almochuel	18	13	5	3	9	4	2
1989	50022	Almolda (La)	268	240	28	39	95	73	61
1989	50023	Almonacid de la Cuba	212	138	74	44	78	72	18
1989	50024	Almonacid de la Sierra	445	374	71	81	171	102	91
1989	50025	Almunia de Doña Godina (La)	1473	1144	329	360	587	313	213
1989	50026	Alpartir	395	306	89	70	167	90	68
1989	50027	Ambel	266	215	51	35	100	59	72
1989	50028	Anento	21	18	3	3	8	7	3
1989	50029	Aniñón	448	304	144	52	214	117	65
1989	50030	Añón de Moncayo	135	118	17	15	34	45	41
1989	50031	Aranda de Moncayo	104	88	16	13	26	31	34
1989	50032	Arándiga	260	222	38	24	83	71	82
1989	50033	Ardisa	54	45	9	10	14	11	19
1989	50034	Ariza	269	228	41	21	63	73	112
1989	50035	Artieda	13	11	2	0	7	2	4
1989	50036	Asín	24	20	4	2	6	6	10
1989	50037	Atea	317	190	127	16	101	80	120
1989	50038	Ateca	686	527	159	134	263	130	159
1989	50039	Azuara	238	216	22	31	90	69	48
1989	50040	Badules	34	33	1	5	13	12	4
1989	50041	Bagüés	30	24	6	2	6	13	9
1989	50042	Balconchán	27	21	6	0	5	8	14
1989	50043	Bárboles	77	68	9	10	29	23	15
1989	50044	Bardallur	100	78	22	10	56	19	15
1989	50045	Belchite	535	441	94	33	181	157	164
1989	50046	Belmonte de Gracián	182	142	40	23	58	65	36
1989	50047	Berdejo	21	13	8	2	1	6	12
1989	50048	Berrueco	13	12	1	2	5	6	0
1989	50050	Bijuesca	101	83	18	6	40	24	31
1989	50051	Biota	399	355	44	63	150	97	89
1989	50052	Bisimbre	57	45	12	9	28	11	9
1989	50053	Boquiñeni	435	306	129	97	177	100	61
1989	50054	Bordalba	29	29	0	2	15	9	3
1989	50055	Borja	752	599	153	106	288	202	156
1989	50056	Botorrita	34	33	1	3	15	11	5
1989	50057	Brea de Aragón	253	184	69	44	92	68	49
1989	50058	Bubierca	53	46	7	4	9	17	23
1989	50059	Bujaraloz	228	211	17	47	75	79	27
1989	50060	Bulbuente	260	182	78	16	59	77	108
1989	50061	Bureta	101	86	15	8	60	19	14
1989	50062	Burgo de Ebro (El)	354	290	64	39	132	102	81
1989	50063	Buste (El)	42	30	12	11	14	5	12
