Mes y año	Mes (código)	Mes nombre	Año	AÑO-CNO	Provincia código	Provincia nombre	Grandes grupos CNO	Ocupación (1 dígito) descripción	Sexo	Número de contratos
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	89
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	350
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	35
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Hombres	1470
Junio 2017	201706	Junio	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Mujeres	755
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Hombres	41
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Mujeres	22
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Hombres	1238
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1190
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Hombres	1983
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Mujeres	1779
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	731
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1474
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	4438
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	6942
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	458
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	85
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2710
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	458
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2279
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	998
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Hombres	13716
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Mujeres	8253
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	99	Ocupaciones militares	Hombres	1
Junio 2017	201706	Junio	2017	CNO - 2011	50	Zaragoza	99	Ocupaciones militares	Mujeres	1
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Hombres	10
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Mujeres	4
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	175
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	135
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Hombres	350
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Mujeres	289
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	110
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	332
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	1326
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1658
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	302
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	21
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	503
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	103
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	470
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	45
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Hombres	5237
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Mujeres	2472
Mayo 2017	201705	Mayo	2017	CNO - 2011	22	Huesca	99	Ocupaciones militares	Mujeres	1
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Hombres	4
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Mujeres	3
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Hombres	37
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Mujeres	72
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Hombres	64
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Mujeres	86
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	35
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	101
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	437
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	819
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	66
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	3
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	515
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	65
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	290
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	22
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Hombres	1776
Mayo 2017	201705	Mayo	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Mujeres	881
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Hombres	54
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Mujeres	14
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Hombres	1367
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Mujeres	1172
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Hombres	1540
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	3	Técnicos; profesionales de apoyo	Mujeres	1470
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	634
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	1308
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	4715
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	7236
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	386
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	147
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	2416
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	466
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	2125
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	805
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Hombres	14596
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	9	Ocupaciones elementales	Mujeres	8851
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	99	Ocupaciones militares	Hombres	1
Mayo 2017	201705	Mayo	2017	CNO - 2011	50	Zaragoza	99	Ocupaciones militares	Mujeres	1
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Hombres	19
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	1	Directores y gerentes	Mujeres	7
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	138
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	134
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Hombres	256
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	3	Técnicos; profesionales de apoyo	Mujeres	150
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	122
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	265
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	948
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	1428
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	215
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	29
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	357
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	40
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	372
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	36
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Hombres	2187
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	9	Ocupaciones elementales	Mujeres	1227
Abril 2017	201704	Abril	2017	CNO - 2011	22	Huesca	99	Ocupaciones militares	Mujeres	2
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Hombres	3
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	1	Directores y gerentes	Mujeres	2
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Hombres	36
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	2	Técnicos y profesionales científicos e intelectuales	Mujeres	72
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Hombres	404
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	3	Técnicos; profesionales de apoyo	Mujeres	142
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	96
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	214
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	507
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	854
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	57
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	3
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	496
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	155
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	261
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	24
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Hombres	1102
Abril 2017	201704	Abril	2017	CNO - 2011	44	Teruel	9	Ocupaciones elementales	Mujeres	537
Abril 2017	201704	Abril	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Hombres	35
Abril 2017	201704	Abril	2017	CNO - 2011	50	Zaragoza	1	Directores y gerentes	Mujeres	16
Abril 2017	201704	Abril	2017	CNO - 2011	50	Zaragoza	2	Técnicos y profesionales científicos e intelectuales	Hombres	1004
