Municipio código	Municipio nombre	Clase vivienda (agregado)	Clase vivienda (detalle)	Total viviendas
22047	Banastás	Familiar	Familiar no principal	9
22047	Banastás	Familiar	Familiar principal	60
22048	Barbastro	Colectiva	Colectiva	15
22048	Barbastro	Familiar	Familiar no principal	2205
22048	Barbastro	Familiar	Familiar principal	5311
22049	Barbués	Familiar	Familiar no principal	22
22049	Barbués	Familiar	Familiar principal	38
22050	Barbuñales	Familiar	Familiar no principal	52
22050	Barbuñales	Familiar	Familiar principal	51
22051	Bárcabo	Familiar	Familiar no principal	28
22051	Bárcabo	Familiar	Familiar principal	47
22052	Belver de Cinca	Familiar	Familiar no principal	176
22052	Belver de Cinca	Familiar	Familiar principal	447
22053	Benabarre	Colectiva	Colectiva	1
22053	Benabarre	Familiar	Familiar no principal	264
22053	Benabarre	Familiar	Familiar principal	415
22054	Benasque	Familiar	Familiar no principal	1735
22054	Benasque	Familiar	Familiar principal	630
22055	Berbegal	Familiar	Familiar no principal	110
22055	Berbegal	Familiar	Familiar principal	175
22057	Bielsa	Familiar	Familiar no principal	188
22057	Bielsa	Familiar	Familiar principal	172
22058	Bierge	Familiar	Familiar no principal	118
22058	Bierge	Familiar	Familiar principal	96
22059	Biescas	Colectiva	Colectiva	1
22059	Biescas	Familiar	Familiar no principal	2090
22059	Biescas	Familiar	Familiar principal	487
22060	Binaced	Colectiva	Colectiva	1
22060	Binaced	Familiar	Familiar no principal	162
22060	Binaced	Familiar	Familiar principal	512
22061	Binéfar	Familiar	Familiar no principal	574
22061	Binéfar	Familiar	Familiar principal	2948
22062	Bisaurri	Familiar	Familiar no principal	35
22062	Bisaurri	Familiar	Familiar principal	91
22063	Biscarrués	Colectiva	Colectiva	1
22063	Biscarrués	Familiar	Familiar no principal	60
22063	Biscarrués	Familiar	Familiar principal	83
22064	Blecua y Torres	Familiar	Familiar no principal	67
22064	Blecua y Torres	Familiar	Familiar principal	70
22066	Boltaña	Familiar	Familiar no principal	357
22066	Boltaña	Familiar	Familiar principal	320
22067	Bonansa	Familiar	Familiar no principal	35
22067	Bonansa	Familiar	Familiar principal	30
22068	Borau	Familiar	Familiar no principal	56
22068	Borau	Familiar	Familiar principal	33
22069	Broto	Familiar	Familiar no principal	376
22069	Broto	Familiar	Familiar principal	188
22072	Caldearenas	Colectiva	Colectiva	1
22072	Caldearenas	Familiar	Familiar no principal	87
22072	Caldearenas	Familiar	Familiar principal	102
22074	Campo	Familiar	Familiar no principal	172
22074	Campo	Familiar	Familiar principal	129
22075	Camporrells	Familiar	Familiar no principal	106
22075	Camporrells	Familiar	Familiar principal	111
22076	Canal de Berdún	Familiar	Familiar no principal	124
22076	Canal de Berdún	Familiar	Familiar principal	176
22077	Candasnos	Familiar	Familiar no principal	94
22077	Candasnos	Familiar	Familiar principal	196
22078	Canfranc	Familiar	Familiar no principal	851
22078	Canfranc	Familiar	Familiar principal	235
22079	Capdesaso	Familiar	Familiar no principal	41
22079	Capdesaso	Familiar	Familiar principal	65
22080	Capella	Familiar	Familiar no principal	110
22080	Capella	Familiar	Familiar principal	139
22081	Casbas de Huesca	Colectiva	Colectiva	1
22081	Casbas de Huesca	Familiar	Familiar no principal	245
22081	Casbas de Huesca	Familiar	Familiar principal	115
22082	Castejón del Puente	Familiar	Familiar no principal	92
22082	Castejón del Puente	Familiar	Familiar principal	140
22083	Castejón de Monegros	Familiar	Familiar no principal	108
22083	Castejón de Monegros	Familiar	Familiar principal	246
22084	Castejón de Sos	Colectiva	Colectiva	1
22084	Castejón de Sos	Familiar	Familiar no principal	228
22084	Castejón de Sos	Familiar	Familiar principal	223
22085	Castelflorite	Familiar	Familiar no principal	17
22085	Castelflorite	Familiar	Familiar principal	48
22086	Castiello de Jaca	Familiar	Familiar no principal	294
22086	Castiello de Jaca	Familiar	Familiar principal	80
22087	Castigaleu	Familiar	Familiar no principal	25
22087	Castigaleu	Familiar	Familiar principal	26
22088	Castillazuelo	Familiar	Familiar no principal	51
22088	Castillazuelo	Familiar	Familiar principal	96
22089	Castillonroy	Familiar	Familiar no principal	121
22089	Castillonroy	Familiar	Familiar principal	146
22090	Colungo	Familiar	Familiar no principal	45
22090	Colungo	Familiar	Familiar principal	62
22094	Chalamera	Familiar	Familiar no principal	36
22094	Chalamera	Familiar	Familiar principal	64
22095	Chía	Familiar	Familiar no principal	15
22095	Chía	Familiar	Familiar principal	43
22096	Chimillas	Familiar	Familiar no principal	7
22096	Chimillas	Familiar	Familiar principal	77
22099	Esplús	Colectiva	Colectiva	1
22099	Esplús	Familiar	Familiar no principal	99
22099	Esplús	Familiar	Familiar principal	247
22102	Estada	Familiar	Familiar no principal	28
22102	Estada	Familiar	Familiar principal	78
22103	Estadilla	Familiar	Familiar no principal	108
22103	Estadilla	Familiar	Familiar principal	327
22105	Estopiñán del Castillo	Familiar	Familiar no principal	86
22105	Estopiñán del Castillo	Familiar	Familiar principal	95
22106	Fago	Familiar	Familiar no principal	56
22106	Fago	Familiar	Familiar principal	21
22107	Fanlo	Familiar	Familiar no principal	62
22107	Fanlo	Familiar	Familiar principal	72
22109	Fiscal	Familiar	Familiar no principal	129
22109	Fiscal	Familiar	Familiar principal	101
22110	Fonz	Colectiva	Colectiva	1
22110	Fonz	Familiar	Familiar no principal	246
22110	Fonz	Familiar	Familiar principal	438
22111	Foradada del Toscar	Familiar	Familiar no principal	68
22111	Foradada del Toscar	Familiar	Familiar principal	76
22112	Fraga	Colectiva	Colectiva	2
22112	Fraga	Familiar	Familiar no principal	1531
22112	Fraga	Familiar	Familiar principal	3922
22113	Fueva (La)	Familiar	Familiar no principal	119
22113	Fueva (La)	Familiar	Familiar principal	176
22114	Gistaín	Familiar	Familiar no principal	2
22114	Gistaín	Familiar	Familiar principal	67
22115	Grado (El)	Familiar	Familiar no principal	300
22115	Grado (El)	Familiar	Familiar principal	225
22116	Grañén	Colectiva	Colectiva	3
22116	Grañén	Familiar	Familiar no principal	209
22116	Grañén	Familiar	Familiar principal	687
22117	Graus	Colectiva	Colectiva	4
22117	Graus	Familiar	Familiar no principal	1165
22117	Graus	Familiar	Familiar principal	1166
22119	Gurrea de Gállego	Familiar	Familiar no principal	233
22119	Gurrea de Gállego	Familiar	Familiar principal	654
22122	Hoz de Jaca	Familiar	Familiar no principal	54
22122	Hoz de Jaca	Familiar	Familiar principal	26
22124	Huerto	Familiar	Familiar no principal	106
22124	Huerto	Familiar	Familiar principal	101
22125	Huesca	Colectiva	Colectiva	35
22125	Huesca	Familiar	Familiar no principal	7020
22125	Huesca	Familiar	Familiar principal	16470
22126	Ibieca	Familiar	Familiar no principal	40
22126	Ibieca	Familiar	Familiar principal	41
22127	Igriés	Colectiva	Colectiva	2
22127	Igriés	Familiar	Familiar no principal	36
22127	Igriés	Familiar	Familiar principal	83
22128	Ilche	Familiar	Familiar no principal	60
22128	Ilche	Familiar	Familiar principal	85
22129	Isábena	Familiar	Familiar no principal	66
22129	Isábena	Familiar	Familiar principal	94
22130	Jaca	Colectiva	Colectiva	7
22130	Jaca	Familiar	Familiar no principal	8415
22130	Jaca	Familiar	Familiar principal	4127
22131	Jasa	Familiar	Familiar no principal	112
22131	Jasa	Familiar	Familiar principal	48
22133	Labuerda	Familiar	Familiar no principal	48
22133	Labuerda	Familiar	Familiar principal	66
22135	Laluenga	Familiar	Familiar no principal	68
22135	Laluenga	Familiar	Familiar principal	100
22136	Lalueza	Familiar	Familiar no principal	131
22136	Lalueza	Familiar	Familiar principal	429
22137	Lanaja	Colectiva	Colectiva	1
22137	Lanaja	Familiar	Familiar no principal	254
22137	Lanaja	Familiar	Familiar principal	587
22139	Laperdiguera	Familiar	Familiar no principal	40
22139	Laperdiguera	Familiar	Familiar principal	35
22141	Lascellas-Ponzano	Familiar	Familiar no principal	79
22141	Lascellas-Ponzano	Familiar	Familiar principal	70
22142	Lascuarre	Familiar	Familiar no principal	70
22142	Lascuarre	Familiar	Familiar principal	57
22143	Laspaúles	Familiar	Familiar no principal	137
22143	Laspaúles	Familiar	Familiar principal	102
22144	Laspuña	Familiar	Familiar no principal	40
22144	Laspuña	Familiar	Familiar principal	82
22149	Loarre	Familiar	Familiar no principal	142
22149	Loarre	Familiar	Familiar principal	157
22150	Loporzano	Familiar	Familiar no principal	77
22150	Loporzano	Familiar	Familiar principal	171
22151	Loscorrales	Familiar	Familiar no principal	32
22151	Loscorrales	Familiar	Familiar principal	45
22155	Monesma y Cajigar	Familiar	Familiar no principal	36
22155	Monesma y Cajigar	Familiar	Familiar principal	28
22156	Monflorite-Lascasas	Familiar	Familiar no principal	12
22156	Monflorite-Lascasas	Familiar	Familiar principal	74
22157	Montanuy	Familiar	Familiar no principal	89
22157	Montanuy	Familiar	Familiar principal	107
22158	Monzón	Colectiva	Colectiva	8
22158	Monzón	Familiar	Familiar no principal	1860
22158	Monzón	Familiar	Familiar principal	5318
22160	Naval	Familiar	Familiar no principal	70
22160	Naval	Familiar	Familiar principal	121
22162	Novales	Familiar	Familiar no principal	19
22162	Novales	Familiar	Familiar principal	64
22163	Nueno	Familiar	Familiar no principal	92
22163	Nueno	Familiar	Familiar principal	131
22164	Olvena	Familiar	Familiar no principal	17
22164	Olvena	Familiar	Familiar principal	24
22165	Ontiñena	Familiar	Familiar no principal	191
22165	Ontiñena	Familiar	Familiar principal	231
22167	Osso de Cinca	Familiar	Familiar no principal	69
22167	Osso de Cinca	Familiar	Familiar principal	232
22168	Palo	Familiar	Familiar no principal	28
22168	Palo	Familiar	Familiar principal	16
22170	Panticosa	Familiar	Familiar no principal	813
22170	Panticosa	Familiar	Familiar principal	273
22172	Peñalba	Familiar	Familiar no principal	56
22172	Peñalba	Familiar	Familiar principal	236
22173	Peñas de Riglos (Las)	Familiar	Familiar no principal	318
22173	Peñas de Riglos (Las)	Familiar	Familiar principal	129
22174	Peralta de Alcofea	Familiar	Familiar no principal	186
22174	Peralta de Alcofea	Familiar	Familiar principal	242
22175	Peralta de Calasanz	Colectiva	Colectiva	1
22175	Peralta de Calasanz	Familiar	Familiar no principal	227
22175	Peralta de Calasanz	Familiar	Familiar principal	126
22176	Peraltilla	Familiar	Familiar no principal	42
22176	Peraltilla	Familiar	Familiar principal	58
22177	Perarrúa	Familiar	Familiar no principal	44
22177	Perarrúa	Familiar	Familiar principal	54
22178	Pertusa	Familiar	Familiar no principal	52
22178	Pertusa	Familiar	Familiar principal	52
22181	Piracés	Familiar	Familiar no principal	11
22181	Piracés	Familiar	Familiar principal	35
22182	Plan	Familiar	Familiar no principal	48
22182	Plan	Familiar	Familiar principal	113
22184	Poleñino	Familiar	Familiar no principal	47
22184	Poleñino	Familiar	Familiar principal	82
22186	Pozán de Vero	Familiar	Familiar no principal	50
22186	Pozán de Vero	Familiar	Familiar principal	91
22187	Puebla de Castro (La)	Familiar	Familiar no principal	165
22187	Puebla de Castro (La)	Familiar	Familiar principal	136
22188	Puente de Montañana	Familiar	Familiar no principal	50
22188	Puente de Montañana	Familiar	Familiar principal	51
22189	Puértolas	Familiar	Familiar no principal	62
22189	Puértolas	Familiar	Familiar principal	74
22190	Pueyo de Araguás (El)	Familiar	Familiar no principal	16
22190	Pueyo de Araguás (El)	Familiar	Familiar principal	48
22193	Pueyo de Santa Cruz	Familiar	Familiar no principal	46
22193	Pueyo de Santa Cruz	Familiar	Familiar principal	108
22195	Quicena	Colectiva	Colectiva	2
22195	Quicena	Familiar	Familiar no principal	22
22195	Quicena	Familiar	Familiar principal	41
22197	Robres	Familiar	Familiar no principal	70
22197	Robres	Familiar	Familiar principal	229
22199	Sabiñánigo	Colectiva	Colectiva	5
22199	Sabiñánigo	Familiar	Familiar no principal	1501
22199	Sabiñánigo	Familiar	Familiar principal	3038
22200	Sahún	Familiar	Familiar no principal	294
22200	Sahún	Familiar	Familiar principal	94
22201	Salas Altas	Familiar	Familiar no principal	22
22201	Salas Altas	Familiar	Familiar principal	135
22202	Salas Bajas	Familiar	Familiar no principal	45
22202	Salas Bajas	Familiar	Familiar principal	61
22203	Salillas	Familiar	Familiar no principal	31
22203	Salillas	Familiar	Familiar principal	49
22204	Sallent de Gállego	Colectiva	Colectiva	7
22204	Sallent de Gállego	Familiar	Familiar no principal	2255
22204	Sallent de Gállego	Familiar	Familiar principal	387
22205	San Esteban de Litera	Familiar	Familiar no principal	245
22205	San Esteban de Litera	Familiar	Familiar principal	230
22206	Sangarrén	Familiar	Familiar no principal	44
22206	Sangarrén	Familiar	Familiar principal	95
22207	San Juan de Plan	Familiar	Familiar no principal	5
22207	San Juan de Plan	Familiar	Familiar principal	51
22208	Santa Cilia	Familiar	Familiar no principal	35
22208	Santa Cilia	Familiar	Familiar principal	74
22209	Santa Cruz de la Serós	Familiar	Familiar no principal	23
22209	Santa Cruz de la Serós	Familiar	Familiar principal	53
22212	Santaliestra y San Quílez	Familiar	Familiar no principal	31
22212	Santaliestra y San Quílez	Familiar	Familiar principal	55
22213	Sariñena	Colectiva	Colectiva	1
22213	Sariñena	Familiar	Familiar no principal	740
22213	Sariñena	Familiar	Familiar principal	1371
22214	Secastilla	Colectiva	Colectiva	3
22214	Secastilla	Familiar	Familiar no principal	32
22214	Secastilla	Familiar	Familiar principal	44
22215	Seira	Familiar	Familiar no principal	70
22215	Seira	Familiar	Familiar principal	73
22217	Sena	Familiar	Familiar no principal	139
22217	Sena	Familiar	Familiar principal	209
22218	Senés de Alcubierre	Familiar	Familiar no principal	21
22218	Senés de Alcubierre	Familiar	Familiar principal	16
22220	Sesa	Familiar	Familiar no principal	59
22220	Sesa	Familiar	Familiar principal	93
22221	Sesué	Familiar	Familiar no principal	99
22221	Sesué	Familiar	Familiar principal	52
22222	Siétamo	Familiar	Familiar no principal	69
22222	Siétamo	Familiar	Familiar principal	172
22223	Sopeira	Familiar	Familiar no principal	18
22223	Sopeira	Familiar	Familiar principal	46
22225	Tamarite de Litera	Colectiva	Colectiva	1
22225	Tamarite de Litera	Familiar	Familiar no principal	621
22225	Tamarite de Litera	Familiar	Familiar principal	1288
22226	Tardienta	Familiar	Familiar no principal	248
22226	Tardienta	Familiar	Familiar principal	409
22227	Tella-Sin	Familiar	Familiar no principal	36
22227	Tella-Sin	Familiar	Familiar principal	114
22228	Tierz	Familiar	Familiar no principal	20
22228	Tierz	Familiar	Familiar principal	62
22229	Tolva	Familiar	Familiar no principal	99
22229	Tolva	Familiar	Familiar principal	76
22230	Torla	Colectiva	Colectiva	2
22230	Torla	Familiar	Familiar no principal	200
22230	Torla	Familiar	Familiar principal	124
22232	Torralba de Aragón	Familiar	Familiar no principal	26
22232	Torralba de Aragón	Familiar	Familiar principal	49
22233	Torre la Ribera	Colectiva	Colectiva	2
22233	Torre la Ribera	Familiar	Familiar no principal	12
22233	Torre la Ribera	Familiar	Familiar principal	39
22234	Torrente de Cinca	Familiar	Familiar no principal	121
22234	Torrente de Cinca	Familiar	Familiar principal	375
22235	Torres de Alcanadre	Familiar	Familiar no principal	43
22235	Torres de Alcanadre	Familiar	Familiar principal	49
22236	Torres de Barbués	Familiar	Familiar no principal	30
22236	Torres de Barbués	Familiar	Familiar principal	122
22239	Tramaced	Familiar	Familiar no principal	16
22239	Tramaced	Familiar	Familiar principal	33
22242	Valfarta	Familiar	Familiar no principal	25
22242	Valfarta	Familiar	Familiar principal	34
22243	Valle de Bardají	Familiar	Familiar no principal	7
22243	Valle de Bardají	Familiar	Familiar principal	13
22244	Valle de Lierp	Familiar	Familiar no principal	23
22244	Valle de Lierp	Familiar	Familiar principal	18
22245	Velilla de Cinca	Familiar	Familiar no principal	90
22245	Velilla de Cinca	Familiar	Familiar principal	162
22246	Veracruz	Familiar	Familiar no principal	31
22246	Veracruz	Familiar	Familiar principal	49
22247	Viacamp y Litera	Familiar	Familiar no principal	12
22247	Viacamp y Litera	Familiar	Familiar principal	13
22248	Vicién	Familiar	Familiar no principal	21
22248	Vicién	Familiar	Familiar principal	43
22249	Villanova	Familiar	Familiar no principal	89
22249	Villanova	Familiar	Familiar principal	51
22250	Villanúa	Familiar	Familiar no principal	1413
22250	Villanúa	Familiar	Familiar principal	145
22251	Villanueva de Sigena	Colectiva	Colectiva	1
22251	Villanueva de Sigena	Familiar	Familiar no principal	111
22251	Villanueva de Sigena	Familiar	Familiar principal	154
22252	Yebra de Basa	Familiar	Familiar no principal	13
22252	Yebra de Basa	Familiar	Familiar principal	54
22253	Yésero	Familiar	Familiar no principal	36
22253	Yésero	Familiar	Familiar principal	33
22254	Zaidín	Familiar	Familiar no principal	188
22254	Zaidín	Familiar	Familiar principal	565
22901	Valle de Hecho	Familiar	Familiar no principal	403
22901	Valle de Hecho	Familiar	Familiar principal	350
22902	Puente la Reina de Jaca	Familiar	Familiar no principal	70
22902	Puente la Reina de Jaca	Familiar	Familiar principal	94
22903	San Miguel del Cinca	Familiar	Familiar no principal	145
22903	San Miguel del Cinca	Familiar	Familiar principal	296
22904	Sotonera (La)	Familiar	Familiar no principal	292
22904	Sotonera (La)	Familiar	Familiar principal	429
22905	Lupiñén-Ortilla	Familiar	Familiar no principal	100
22905	Lupiñén-Ortilla	Familiar	Familiar principal	123
22906	Santa María de Dulcis	Familiar	Familiar no principal	24
22906	Santa María de Dulcis	Familiar	Familiar principal	86
22907	Aínsa-Sobrarbe	Colectiva	Colectiva	1
22907	Aínsa-Sobrarbe	Familiar	Familiar no principal	344
22907	Aínsa-Sobrarbe	Familiar	Familiar principal	578
22908	Hoz y Costeán	Familiar	Familiar no principal	67
22908	Hoz y Costeán	Familiar	Familiar principal	85
22909	Vencillón	Familiar	Familiar no principal	14
22909	Vencillón	Familiar	Familiar principal	158
44001	Ababuj	Familiar	Familiar no principal	58
44001	Ababuj	Familiar	Familiar principal	34
44002	Abejuela	Familiar	Familiar no principal	115
44002	Abejuela	Familiar	Familiar principal	32
44003	Aguatón	Familiar	Familiar no principal	24
44003	Aguatón	Familiar	Familiar principal	10
44004	Aguaviva	Familiar	Familiar no principal	312
44004	Aguaviva	Familiar	Familiar principal	260
44005	Aguilar del Alfambra	Familiar	Familiar no principal	57
44005	Aguilar del Alfambra	Familiar	Familiar principal	32
44006	Alacón	Familiar	Familiar no principal	199
44006	Alacón	Familiar	Familiar principal	166
44007	Alba	Familiar	Familiar no principal	120
44007	Alba	Familiar	Familiar principal	109
44008	Albalate del Arzobispo	Colectiva	Colectiva	1
44008	Albalate del Arzobispo	Familiar	Familiar no principal	661
44008	Albalate del Arzobispo	Familiar	Familiar principal	839
44009	Albarracín	Colectiva	Colectiva	2
44009	Albarracín	Familiar	Familiar no principal	356
44009	Albarracín	Familiar	Familiar principal	366
44010	Albentosa	Familiar	Familiar no principal	183
44010	Albentosa	Familiar	Familiar principal	97
44011	Alcaine	Familiar	Familiar no principal	170
44011	Alcaine	Familiar	Familiar principal	44
44012	Alcalá de la Selva	Familiar	Familiar no principal	881
44012	Alcalá de la Selva	Familiar	Familiar principal	206
44013	Alcañiz	Colectiva	Colectiva	6
44013	Alcañiz	Familiar	Familiar no principal	1810
44013	Alcañiz	Familiar	Familiar principal	4712
44014	Alcorisa	Colectiva	Colectiva	1
44014	Alcorisa	Familiar	Familiar no principal	667
44014	Alcorisa	Familiar	Familiar principal	1170
44016	Alfambra	Familiar	Familiar no principal	204
44016	Alfambra	Familiar	Familiar principal	252
44017	Aliaga	Familiar	Familiar no principal	388
44017	Aliaga	Familiar	Familiar principal	171
44018	Almohaja	Familiar	Familiar no principal	39
44018	Almohaja	Familiar	Familiar principal	11
44019	Alobras	Familiar	Familiar no principal	67
44019	Alobras	Familiar	Familiar principal	42
44020	Alpeñés	Familiar	Familiar no principal	25
44020	Alpeñés	Familiar	Familiar principal	12
44021	Allepuz	Familiar	Familiar no principal	133
44021	Allepuz	Familiar	Familiar principal	56
44022	Alloza	Familiar	Familiar no principal	321
44022	Alloza	Familiar	Familiar principal	315
44023	Allueva	Familiar	Familiar no principal	49
44023	Allueva	Familiar	Familiar principal	9
44024	Anadón	Familiar	Familiar no principal	50
44024	Anadón	Familiar	Familiar principal	6
44025	Andorra	Colectiva	Colectiva	1
44025	Andorra	Familiar	Familiar no principal	898
44025	Andorra	Familiar	Familiar principal	2621
44026	Arcos de las Salinas	Familiar	Familiar no principal	182
44026	Arcos de las Salinas	Familiar	Familiar principal	65
44027	Arens de Lledó	Familiar	Familiar no principal	75
44027	Arens de Lledó	Familiar	Familiar principal	69
44028	Argente	Familiar	Familiar no principal	59
44028	Argente	Familiar	Familiar principal	104
44029	Ariño	Colectiva	Colectiva	1
44029	Ariño	Familiar	Familiar no principal	320
44029	Ariño	Familiar	Familiar principal	325
44031	Azaila	Familiar	Familiar no principal	87
44031	Azaila	Familiar	Familiar principal	79
44032	Bádenas	Familiar	Familiar no principal	27
44032	Bádenas	Familiar	Familiar principal	13
44033	Báguena	Colectiva	Colectiva	1
44033	Báguena	Familiar	Familiar no principal	207
44033	Báguena	Familiar	Familiar principal	197
44034	Bañón	Familiar	Familiar no principal	93
44034	Bañón	Familiar	Familiar principal	69
44035	Barrachina	Familiar	Familiar no principal	115
44035	Barrachina	Familiar	Familiar principal	69
44036	Bea	Familiar	Familiar no principal	29
44036	Bea	Familiar	Familiar principal	18
44037	Beceite	Familiar	Familiar no principal	256
44037	Beceite	Familiar	Familiar principal	237
44038	Belmonte de San José	Familiar	Familiar no principal	72
44038	Belmonte de San José	Familiar	Familiar principal	62
44039	Bello	Familiar	Familiar no principal	188
44039	Bello	Familiar	Familiar principal	159
44040	Berge	Familiar	Familiar no principal	100
44040	Berge	Familiar	Familiar principal	98
44041	Bezas	Familiar	Familiar no principal	68
44041	Bezas	Familiar	Familiar principal	34
44042	Blancas	Familiar	Familiar no principal	177
44042	Blancas	Familiar	Familiar principal	74
44043	Blesa	Familiar	Familiar no principal	214
44043	Blesa	Familiar	Familiar principal	67
44044	Bordón	Familiar	Familiar no principal	120
44044	Bordón	Familiar	Familiar principal	57
44045	Bronchales	Familiar	Familiar no principal	599
44045	Bronchales	Familiar	Familiar principal	193
44046	Bueña	Familiar	Familiar no principal	38
44046	Bueña	Familiar	Familiar principal	42
44047	Burbáguena	Colectiva	Colectiva	2
44047	Burbáguena	Familiar	Familiar no principal	175
44047	Burbáguena	Familiar	Familiar principal	121
44048	Cabra de Mora	Familiar	Familiar no principal	77
44048	Cabra de Mora	Familiar	Familiar principal	42
44049	Calaceite	Familiar	Familiar no principal	335
44049	Calaceite	Familiar	Familiar principal	454
44050	Calamocha	Colectiva	Colectiva	1
44050	Calamocha	Familiar	Familiar no principal	1458
44050	Calamocha	Familiar	Familiar principal	1597
44051	Calanda	Colectiva	Colectiva	2
44051	Calanda	Familiar	Familiar no principal	632
44051	Calanda	Familiar	Familiar principal	1224
44052	Calomarde	Familiar	Familiar no principal	75
44052	Calomarde	Familiar	Familiar principal	33
44053	Camañas	Familiar	Familiar no principal	44
44053	Camañas	Familiar	Familiar principal	57
44054	Camarena de la Sierra	Familiar	Familiar no principal	267
44054	Camarena de la Sierra	Familiar	Familiar principal	66
44055	Camarillas	Familiar	Familiar no principal	134
44055	Camarillas	Familiar	Familiar principal	43
44056	Caminreal	Familiar	Familiar no principal	184
44056	Caminreal	Familiar	Familiar principal	308
44059	Cantavieja	Familiar	Familiar no principal	166
44059	Cantavieja	Familiar	Familiar principal	265
44060	Cañada de Benatanduz	Familiar	Familiar no principal	53
44060	Cañada de Benatanduz	Familiar	Familiar principal	25
44061	Cañada de Verich (La)	Familiar	Familiar no principal	41
44061	Cañada de Verich (La)	Familiar	Familiar principal	45
44062	Cañada Vellida	Familiar	Familiar no principal	37
44062	Cañada Vellida	Familiar	Familiar principal	21
44063	Cañizar del Olivar	Familiar	Familiar no principal	89
