Municipio código	Municipio nombre	Otras tierrras	Pastizales permanentes	Tierras labradas	Superficie total
50062	Burgo de Ebro (El)	19,22	623,1	1543,1	2185,42
50063	Buste (El)	0,25	0,57	618,83	619,65
50064	Cabañas de Ebro	79,08	205,7	535,88	820,66
50065	Cabolafuente	57,9	350	1759,13	2167,03
50066	Cadrete	47,7		727,37	775,07
50067	Calatayud	4954,08	3896,68	3145,65	11996,41
50068	Calatorao	82,8	271,25	2731,86	3085,91
50069	Calcena	2079	300,4	1,74	2381,14
50070	Calmarza	2,12	123,07	738,44	863,63
50071	Campillo de Aragón	126,77		3456,65	3583,42
50072	Carenas	418,25	11,87	101,28	531,4
50073	Cariñena	219,9	46,34	6513,53	6779,77
50074	Caspe	1374,04	6410,2	19874,73	27658,97
50075	Castejón de Alarba	45,95	32,52	558,95	637,42
50076	Castejón de las Armas	12,79	12,97	106,33	132,09
50077	Castejón de Valdejasa	2541,9	747,5	2597,5	5886,9
50078	Castiliscar	128,51	368,05	2514,9	3011,46
50079	Cervera de la Cañada	20,31	128,29	1727,62	1876,22
50080	Cerveruela	1313,23	917,16	3,25	2233,64
50081	Cetina	161,61	1569,61	4093,97	5825,19
50082	Cimballa	12,66	135,04	586,78	734,48
50083	Cinco Olivas	225,8		272,08	497,88
50084	Clarés de Ribota	154,25	2,97	757,48	914,7
50085	Codo	4,22	7,28	957,6	969,1
50086	Codos	324,55	1286,45	421,39	2032,39
50087	Contamina	18,57		491,54	510,11
50088	Cosuenda	411,12	6,06	1619,04	2036,22
50089	Cuarte de Huerva	2,15		189,27	191,42
50090	Cubel	299,86	1367,62	2896,62	4564,1
50091	Cuerlas (Las)	373,53	103,99	1472,2	1949,72
50092	Chiprana	256,41	161,08	3035,35	3452,84
50093	Chodes	51,47	712,57	113,69	877,73
50094	Daroca	92,87	338,83	1855,73	2287,43
50095	Ejea de los Caballeros	1717,03	1842,46	42709,39	46268,88
50096	Embid de Ariza	16,1	1230,55	966,74	2213,39
50098	Encinacorba	148,98	264,95	579,62	993,55
50099	Épila	284,06	1419,5	11973,76	13677,32
50100	Erla	14,49	4,33	1589,02	1607,84
50101	Escatrón	256,7	891,28	2535,96	3683,94
50102	Fabara	103,46	820,42	3893,55	4817,43
50104	Farlete	155,55	2161,84	6024	8341,39
50105	Fayón	173,33	8,03	953,19	1134,55
50106	Fayos (Los)	1,36	34	14,1	49,46
50107	Figueruelas	43,1	29,67	1293,85	1366,62
50108	Fombuena	1078,17	1126,07	81,38	2285,62
50109	Frago (El)	228,82		182,98	411,8
50110	Frasno (El)	488,7	106,09	1312,38	1907,17
50111	Fréscano	87,96	152,45	1114,98	1355,39
50113	Fuendejalón	72,53	53,8	5368,59	5494,92
50114	Fuendetodos	4,03	51,1	1785,35	1840,48
50115	Fuentes de Ebro	385,27	3383,64	8819,06	12587,97
50116	Fuentes de Jiloca	322,65	945,41	386,45	1654,51
50117	Gallocanta	167,37	174,55	2059,21	2401,13
50118	Gallur	152,01	182,21	3258,65	3592,87
50119	Gelsa	96,86	824,52	5731,43	6652,81
50120	Godojos	37,2	69,8	747,49	854,49
50121	Gotor	249,22	117,74	493,86	860,82
50122	Grisel	0,41	19	410,81	430,22
50123	Grisén	0,42	82,31	97,12	179,85
50124	Herrera de los Navarros	558,12	1199,99	7118,78	8876,89
50125	Ibdes	32,13	163,53	2195,16	2390,82
50126	Illueca	55,14	967,61	724,84	1747,59
50128	Isuerre	164,92	151,54	372,31	688,77
50129	Jaraba	5,55	0,94	992,02	998,51
50130	Jarque	1488,1	2282,59	563,73	4334,42
50131	Jaulín	84,47	280,15	2919,59	3284,21
50132	Joyosa (La)	1,68	105	188,75	295,43
50133	Lagata	0,74	54,82	1548,33	1603,89
50134	Langa del Castillo	3,58	17,54	3024,18	3045,3
50135	Layana	1,5		417,85	419,35
50136	Lécera	180,42	715,63	9280,15	10176,2
50137	Leciñena	3633,47	1722,71	12308,69	17664,87
50138	Lechón	16,4		1357,59	1373,99
50139	Letux	12,68	191,28	2478,25	2682,21
50140	Litago	134,4	3,77	293,26	431,43
50141	Lituénigo	230,3	175,48	292,8	698,58
50142	Lobera de Onsella	182,8	504,66	194,59	882,05
50143	Longares	102,24	8,82	4227,19	4338,25
50144	Longás	200,66	492,96	293,16	986,78
50146	Lucena de Jalón	32,64	35,31	584,51	652,46
50147	Luceni	97,75	27,4	1969,96	2095,11
50148	Luesia	4407,42	2250	3237,24	9894,66
50149	Luesma	15,77	198,19	862,72	1076,68
50150	Lumpiaque	20,76	601,13	1997,57	2619,46
50151	Luna	3121,78	1446,66	11811,48	16379,92
50152	Maella	5256,76	1933,35	5480,21	12670,32
50153	Magallón	88,93	895,45	3748,03	4732,41
50154	Mainar	29,19	4,06	2721,77	2755,02
50155	Malanquilla	47,79	21,78	2079,22	2148,79
50156	Maleján			17,31	17,31
50157	Malón	12,07	1,12	430,99	444,18
50159	Maluenda	715,34	658,81	877,03	2251,18
50160	Mallén	80,74	162,95	3451,44	3695,13
50161	Manchones	24,91	3,79	518,41	547,11
50162	Mara	17,54	57,46	1440,87	1515,87
50163	María de Huerva	100,99	212,19	2233,76	2546,94
50164	Mediana de Aragón	221,78	1900,8	3492,59	5615,17
50165	Mequinenza	1735,55	461,31	5671	7867,86
50166	Mesones de Isuela	763,84	2795,87	1438,05	4997,76
50167	Mezalocha	443,57	1391,26	2543,3	4378,13
50168	Mianos	33,32	64,57	534,82	632,71
50169	Miedes de Aragón	120,1	660,06	2578,18	3358,34
50170	Monegrillo	177,09	1051,15	9712,08	10940,32
50171	Moneva	41,06	925,58	2779,06	3745,7
50172	Monreal de Ariza	81,54	561,13	3881,53	4524,2
50173	Monterde	7,91	2494,25	1264,28	3766,44
50174	Montón	1138,97	15,03	205,31	1359,31
50175	Morata de Jalón	593,37	488,38	868,86	1950,61
50176	Morata de Jiloca	225,51	812,21	646,52	1684,24
50177	Morés	24,65	1638,05	254,86	1917,56
50178	Moros	638,41	241,42	998,44	1878,27
50179	Moyuela	42,46	27,57	4366,39	4436,42
50180	Mozota	1,23	2,01	542,48	545,72
50181	Muel	235,38	105,24	5302,12	5642,74
50182	Muela (La)	7129,44	828,97	6145,28	14103,69
50183	Munébrega	76,22	169,55	1076,29	1322,06
50184	Murero	58,95	17,28	383,98	460,21
50185	Murillo de Gállego	306,16	604,4	491,88	1402,44
50186	Navardún	159,9	241,82	1381,79	1783,51
50187	Nigüella	0,04	1899,48	447,87	2347,39
50188	Nombrevilla	136,36	94,35	702,35	933,06
50189	Nonaspe	118,13	100,43	1593,49	1812,05
50190	Novallas	90,47	33,06	885,83	1009,36
50191	Novillas	203,61	396,5	1995,31	2595,42
50192	Nuévalos	69,73	585,04	480,11	1134,88
50193	Nuez de Ebro	25,92	52,42	459,73	538,07
50194	Olvés	684,75	33,19	739,66	1457,6
50195	Orcajo	28,22	17,27	447,57	493,06
50196	Orera	28,56	23,55	341,23	393,34
50197	Orés	2585,05	55,42	1559,81	4200,28
50198	Oseja	0,71	3	47,86	51,57
50199	Osera de Ebro	126,95	196,61	1025,56	1349,12
50200	Paniza	245,29	106,96	2145,3	2497,55
50201	Paracuellos de Jiloca	34,97	175,52	486,26	696,75
50202	Paracuellos de la Ribera	54,46	6,22	345,82	406,5
50203	Pastriz	51,28		838,02	889,3
50204	Pedrola	253,88	1238,59	7723,11	9215,58
50205	Pedrosas (Las)	34,93	20,18	1113,58	1168,69
50206	Perdiguera	46,35	178,34	6989,53	7214,22
50207	Piedratajada	211,68	84,5	1827,02	2123,2
50208	Pina de Ebro	1906,26	1976,87	13973,67	17856,8
50209	Pinseque	14,41	172,11	1000,48	1187
50210	Pintanos (Los)	292,99	890,67	983,74	2167,4
50211	Plasencia de Jalón	21,1	751,1	2517,2	3289,4
50212	Pleitas	0,38	0,07	56,57	57,02
50213	Plenas	132,35	198,16	2283,08	2613,59
50214	Pomer	184,68	633,52	328,78	1146,98
50215	Pozuel de Ariza	51,64	391,28	454,09	897,01
50216	Pozuelo de Aragón	24,71	43,06	3102,51	3170,28
50217	Pradilla de Ebro	84,92	83,98	1387,69	1556,59
50218	Puebla de Albortón	25,42	1263,06	3552,25	4840,73
50219	Puebla de Alfindén (La)	17,67	191,36	1228,58	1437,61
50220	Puendeluna	3,88	11,65	180,61	196,14
50221	Purujosa	1100,2	548	68,5	1716,7
50222	Quinto	529,25	2127,38	7628,24	10284,87
50223	Remolinos	433,3	743	724,8	1901,1
50224	Retascón	33,21	14,81	1923,58	1971,6
50225	Ricla	2126,84	622,44	5059,36	7808,64
50227	Romanos	272,71	131,43	1498,41	1902,55
50228	Rueda de Jalón	465,41	1249,64	7279,04	8994,09
50229	Ruesca	16,14	272,48	350,37	638,99
50230	Sádaba	363,81	482,83	9678,95	10525,59
50231	Salillas de Jalón		6,7	73,18	79,88
50232	Salvatierra de Esca	1442,91	1197,79	623,07	3263,77
50233	Samper del Salz	0,43	126	610,55	736,98
50234	San Martín de la Virgen de Moncayo	10,03	117,43	258,57	386,03
50235	San Mateo de Gállego	22,92	296,17	4926,67	5245,76
50236	Santa Cruz de Grío	228,94	909,62	239,72	1378,28
50237	Santa Cruz de Moncayo	52,61	20,23	68,7	141,54
50238	Santa Eulalia de Gállego	215,35	23,78	194,39	433,52
50239	Santed	420,09	0,5	1331,13	1751,72
50240	Sástago	597,96	1209,95	14155,18	15963,09
50241	Saviñán	76,55	135,2	452,83	664,58
50242	Sediles	17,7	458,14	268,95	744,79
50243	Sestrica	271,24	1532,44	672,98	2476,66
50244	Sierra de Luna	68,16	121,35	3653,9	3843,41
50245	Sigüés	2377,79	403,58	1417,5	4198,87
50246	Sisamón	3,29	80,75	1866,76	1950,8
50247	Sobradiel		16	768,5	784,5
50248	Sos del Rey Católico	1926,3	1818,74	9002,77	12747,81
50249	Tabuenca	151,1	133,99	1849,14	2134,23
50250	Talamantes	521,5	720,5	264,99	1506,99
50251	Tarazona	11482,43	1629,69	7461,37	20573,49
50252	Tauste	1503,95	3269,47	24300,53	29073,95
50253	Terrer	28,99	675,05	804,04	1508,08
50254	Tierga	2003,29	2260,69	1857,53	6121,51
50255	Tobed	292,66	270,44	228,03	791,13
50256	Torralba de los Frailes	135,73	442,19	2155,81	2733,73
50257	Torralba de Ribota	34,27	75,93	530,38	640,58
50258	Torralbilla	33,15	20	963,38	1016,53
50259	Torrehermosa	23,85	196,92	1978,6	2199,37
50260	Torrelapaja	1001,84	6,13	440,4	1448,37
50261	Torrellas	1,5	2	96,44	99,94
50262	Torres de Berrellén	174,3	66,03	1389,61	1629,94
50263	Torrijo de la Cañada	107,28	726,75	1117,03	1951,06
50264	Tosos	1284,71	516,77	2507,01	4308,49
50265	Trasmoz	16,96	19,78	398,41	435,15
50266	Trasobares	288,5	4449,05	815,55	5553,1
50267	Uncastillo	1872,9	1929,27	6549,93	10352,1
50268	Undués de Lerda	526,83	1017,12	1007,06	2551,01
50269	Urrea de Jalón	6,47	12,92	1047,97	1067,36
50270	Urriés	169,06	78,66	719,41	967,13
50271	Used	224,28	832,28	5393,87	6450,43
50272	Utebo	10,93	189,99	855,37	1056,29
50273	Valdehorna	88,4	0,75	270,6	359,75
50274	Val de San Martín	11,33	410,97	1047,17	1469,47
50275	Valmadrid	0,55	38,1	888,32	926,97
50276	Valpalmas	199,76	186,63	2610,35	2996,74
50277	Valtorres	13,84	14,45	96,1	124,39
50278	Velilla de Ebro	41,39	303,37	2644,39	2989,15
50279	Velilla de Jiloca	4,38	8,79	327,47	340,64
50280	Vera de Moncayo	100,1	123,84	1371,4	1595,34
50281	Vierlas	0,2	0,17	148,86	149,23
50282	Vilueña (La)	35,09	33,26	316,5	384,85
50283	Villadoz	2,64	0,25	1560,05	1562,94
50284	Villafeliche	355,51	6,29	193,07	554,87
50285	Villafranca de Ebro	3815,44	187,62	2041,37	6044,43
50286	Villalba de Perejil	9,5	23,01	228,33	260,84
50287	Villalengua	137,56	628	1090,88	1856,44
50288	Villanueva de Gállego	7,09	1141,21	3807,23	4955,53
50289	Villanueva de Jiloca	42,85	21,04	51,84	115,73
50290	Villanueva de Huerva	22,29	464,09	3195,3	3681,68
50291	Villar de los Navarros	31,69	106,91	3668,83	3807,43
50292	Villarreal de Huerva	330,37	200,09	1130,2	1660,66
50293	Villarroya de la Sierra	183,6	406,94	2641,74	3232,28
50294	Villarroya del Campo	26,62	13,54	970,99	1011,15
50295	Vistabella	22,1	10	39,28	71,38
50296	Zaida (La)			965,8	965,8
50297	Zaragoza	17547,89	5231,53	27287,92	50067,34
50298	Zuera	1063,26	1238,82	16240,76	18542,84
50901	Biel	2068,09	1768,66	1060,7	4897,45
50902	Marracos	16,85	22,67	1468,29	1507,81
50903	Villamayor de Gállego	3524,92	78,01	4184,93	7787,86
