Comarca código	Comarca nombre	Tipo nacionalidad	Continente nacionalidad	Area nacionalidad, código	Area nacionalidad, nombre	Personas
11	Bajo Cinca / Baix Cinca	Nacionalidad extranjera	Asia	07	Asia	8
12	Tarazona y el Moncayo	Nacionalidad española	Europa	01	UE-15	13874
12	Tarazona y el Moncayo	Nacionalidad extranjera	Europa	01	UE-15	11
12	Tarazona y el Moncayo	Nacionalidad extranjera	Europa	02	Resto de Europa	21
12	Tarazona y el Moncayo	Nacionalidad extranjera	África	03	Magreb	76
12	Tarazona y el Moncayo	Nacionalidad extranjera	África	04	Resto de África	6
12	Tarazona y el Moncayo	Nacionalidad extranjera	América	06	Resto de América	174
12	Tarazona y el Moncayo	Nacionalidad extranjera	Asia	07	Asia	6
13	Campo de Borja	Nacionalidad española	Europa	01	UE-15	13718
13	Campo de Borja	Nacionalidad extranjera	Europa	01	UE-15	35
13	Campo de Borja	Nacionalidad extranjera	Europa	02	Resto de Europa	233
13	Campo de Borja	Nacionalidad extranjera	África	03	Magreb	127
13	Campo de Borja	Nacionalidad extranjera	África	04	Resto de África	1
13	Campo de Borja	Nacionalidad extranjera	América	06	Resto de América	67
14	Aranda	Nacionalidad española	Europa	01	UE-15	7758
14	Aranda	Nacionalidad extranjera	Europa	01	UE-15	5
14	Aranda	Nacionalidad extranjera	Europa	02	Resto de Europa	49
14	Aranda	Nacionalidad extranjera	África	03	Magreb	96
14	Aranda	Nacionalidad extranjera	América	05	América del Norte	1
14	Aranda	Nacionalidad extranjera	América	06	Resto de América	58
15	Ribera Alta del Ebro	Nacionalidad española	Europa	01	UE-15	21759
15	Ribera Alta del Ebro	Nacionalidad extranjera	Europa	01	UE-15	66
15	Ribera Alta del Ebro	Nacionalidad extranjera	Europa	02	Resto de Europa	195
15	Ribera Alta del Ebro	Nacionalidad extranjera	África	03	Magreb	153
15	Ribera Alta del Ebro	Nacionalidad extranjera	África	04	Resto de África	5
15	Ribera Alta del Ebro	Nacionalidad extranjera	América	05	América del Norte	2
15	Ribera Alta del Ebro	Nacionalidad extranjera	América	06	Resto de América	97
15	Ribera Alta del Ebro	Nacionalidad extranjera	Asia	07	Asia	9
16	Valdejalón	Nacionalidad española	Europa	01	UE-15	21651
16	Valdejalón	Nacionalidad extranjera	Europa	01	UE-15	47
16	Valdejalón	Nacionalidad extranjera	Europa	02	Resto de Europa	563
16	Valdejalón	Nacionalidad extranjera	África	03	Magreb	433
16	Valdejalón	Nacionalidad extranjera	África	04	Resto de África	25
16	Valdejalón	Nacionalidad extranjera	América	05	América del Norte	3
16	Valdejalón	Nacionalidad extranjera	América	06	Resto de América	141
16	Valdejalón	Nacionalidad extranjera	Asia	07	Asia	2
17	D.C. Zaragoza	Nacionalidad española	Europa	01	UE-15	634552
17	D.C. Zaragoza	Nacionalidad extranjera	Europa	01	UE-15	1858
17	D.C. Zaragoza	Nacionalidad extranjera	Europa	02	Resto de Europa	2824
17	D.C. Zaragoza	Nacionalidad extranjera	África	03	Magreb	3181
17	D.C. Zaragoza	Nacionalidad extranjera	África	04	Resto de África	3156
17	D.C. Zaragoza	Nacionalidad extranjera	América	05	América del Norte	306
17	D.C. Zaragoza	Nacionalidad extranjera	América	06	Resto de América	10150
17	D.C. Zaragoza	Nacionalidad extranjera	Asia	07	Asia	695
17	D.C. Zaragoza	Nacionalidad extranjera	Oceanía	08	Oceanía	11
17	D.C. Zaragoza	Nacionalidad extranjera	 Apátridas y no consta	09	Apátridas y no consta	13
18	Ribera Baja del Ebro	Nacionalidad española	Europa	01	UE-15	9060
18	Ribera Baja del Ebro	Nacionalidad extranjera	Europa	01	UE-15	13
18	Ribera Baja del Ebro	Nacionalidad extranjera	Europa	02	Resto de Europa	32
18	Ribera Baja del Ebro	Nacionalidad extranjera	África	03	Magreb	43
18	Ribera Baja del Ebro	Nacionalidad extranjera	África	04	Resto de África	13
18	Ribera Baja del Ebro	Nacionalidad extranjera	América	05	América del Norte	1
18	Ribera Baja del Ebro	Nacionalidad extranjera	América	06	Resto de América	49
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad española	Europa	01	UE-15	12678
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	Europa	01	UE-15	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	Europa	02	Resto de Europa	17
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	África	03	Magreb	152
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	África	04	Resto de África	13
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	América	06	Resto de América	45
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Nacionalidad extranjera	Asia	07	Asia	79
20	Comunidad de Calatayud	Nacionalidad española	Europa	01	UE-15	37718
20	Comunidad de Calatayud	Nacionalidad extranjera	Europa	01	UE-15	62
20	Comunidad de Calatayud	Nacionalidad extranjera	Europa	02	Resto de Europa	860
20	Comunidad de Calatayud	Nacionalidad extranjera	África	03	Magreb	249
20	Comunidad de Calatayud	Nacionalidad extranjera	África	04	Resto de África	2
20	Comunidad de Calatayud	Nacionalidad extranjera	América	05	América del Norte	7
20	Comunidad de Calatayud	Nacionalidad extranjera	América	06	Resto de América	229
20	Comunidad de Calatayud	Nacionalidad extranjera	Asia	07	Asia	16
20	Comunidad de Calatayud	Nacionalidad extranjera	Oceanía	08	Oceanía	1
21	Campo de Cariñena	Nacionalidad española	Europa	01	UE-15	9386
21	Campo de Cariñena	Nacionalidad extranjera	Europa	01	UE-15	32
21	Campo de Cariñena	Nacionalidad extranjera	Europa	02	Resto de Europa	408
21	Campo de Cariñena	Nacionalidad extranjera	África	03	Magreb	171
21	Campo de Cariñena	Nacionalidad extranjera	África	04	Resto de África	187
21	Campo de Cariñena	Nacionalidad extranjera	América	06	Resto de América	58
21	Campo de Cariñena	Nacionalidad extranjera	Asia	07	Asia	1
22	Campo de Belchite	Nacionalidad española	Europa	01	UE-15	5473
22	Campo de Belchite	Nacionalidad extranjera	Europa	01	UE-15	8
22	Campo de Belchite	Nacionalidad extranjera	Europa	02	Resto de Europa	19
22	Campo de Belchite	Nacionalidad extranjera	África	03	Magreb	18
22	Campo de Belchite	Nacionalidad extranjera	América	06	Resto de América	12
23	Bajo Martín	Nacionalidad española	Europa	01	UE-15	7197
23	Bajo Martín	Nacionalidad extranjera	Europa	01	UE-15	11
23	Bajo Martín	Nacionalidad extranjera	Europa	02	Resto de Europa	20
23	Bajo Martín	Nacionalidad extranjera	África	03	Magreb	54
23	Bajo Martín	Nacionalidad extranjera	África	04	Resto de África	10
23	Bajo Martín	Nacionalidad extranjera	América	06	Resto de América	37
24	Campo de Daroca	Nacionalidad española	Europa	01	UE-15	6417
24	Campo de Daroca	Nacionalidad extranjera	Europa	01	UE-15	6
24	Campo de Daroca	Nacionalidad extranjera	Europa	02	Resto de Europa	6
24	Campo de Daroca	Nacionalidad extranjera	África	03	Magreb	7
24	Campo de Daroca	Nacionalidad extranjera	América	06	Resto de América	31
25	Jiloca	Nacionalidad española	Europa	01	UE-15	13337
25	Jiloca	Nacionalidad extranjera	Europa	01	UE-15	13
25	Jiloca	Nacionalidad extranjera	Europa	02	Resto de Europa	105
25	Jiloca	Nacionalidad extranjera	África	03	Magreb	72
25	Jiloca	Nacionalidad extranjera	África	04	Resto de África	5
25	Jiloca	Nacionalidad extranjera	América	06	Resto de América	120
25	Jiloca	Nacionalidad extranjera	Asia	07	Asia	1
26	Cuencas Mineras	Nacionalidad española	Europa	01	UE-15	9311
26	Cuencas Mineras	Nacionalidad extranjera	Europa	01	UE-15	5
26	Cuencas Mineras	Nacionalidad extranjera	Europa	02	Resto de Europa	16
26	Cuencas Mineras	Nacionalidad extranjera	África	03	Magreb	86
26	Cuencas Mineras	Nacionalidad extranjera	América	06	Resto de América	32
26	Cuencas Mineras	Nacionalidad extranjera	Asia	07	Asia	35
27	Andorra-Sierra de Arcos	Nacionalidad española	Europa	01	UE-15	10899
27	Andorra-Sierra de Arcos	Nacionalidad extranjera	Europa	01	UE-15	5
27	Andorra-Sierra de Arcos	Nacionalidad extranjera	Europa	02	Resto de Europa	53
27	Andorra-Sierra de Arcos	Nacionalidad extranjera	África	03	Magreb	23
27	Andorra-Sierra de Arcos	Nacionalidad extranjera	América	06	Resto de América	33
27	Andorra-Sierra de Arcos	Nacionalidad extranjera	Asia	07	Asia	21
28	Bajo Aragón	Nacionalidad española	Europa	01	UE-15	25717
28	Bajo Aragón	Nacionalidad extranjera	Europa	01	UE-15	54
28	Bajo Aragón	Nacionalidad extranjera	Europa	02	Resto de Europa	222
28	Bajo Aragón	Nacionalidad extranjera	África	03	Magreb	242
28	Bajo Aragón	Nacionalidad extranjera	África	04	Resto de África	49
28	Bajo Aragón	Nacionalidad extranjera	América	05	América del Norte	3
28	Bajo Aragón	Nacionalidad extranjera	América	06	Resto de América	214
28	Bajo Aragón	Nacionalidad extranjera	Asia	07	Asia	15
29	Comunidad de Teruel	Nacionalidad española	Europa	01	UE-15	41977
29	Comunidad de Teruel	Nacionalidad extranjera	Europa	01	UE-15	48
29	Comunidad de Teruel	Nacionalidad extranjera	Europa	02	Resto de Europa	170
29	Comunidad de Teruel	Nacionalidad extranjera	África	03	Magreb	139
29	Comunidad de Teruel	Nacionalidad extranjera	África	04	Resto de África	6
29	Comunidad de Teruel	Nacionalidad extranjera	América	05	América del Norte	1
29	Comunidad de Teruel	Nacionalidad extranjera	América	06	Resto de América	374
29	Comunidad de Teruel	Nacionalidad extranjera	Asia	07	Asia	51
29	Comunidad de Teruel	Nacionalidad extranjera	Oceanía	08	Oceanía	1
30	Maestrazgo	Nacionalidad española	Europa	01	UE-15	3605
30	Maestrazgo	Nacionalidad extranjera	Europa	01	UE-15	16
30	Maestrazgo	Nacionalidad extranjera	Europa	02	Resto de Europa	22
30	Maestrazgo	Nacionalidad extranjera	África	03	Magreb	22
30	Maestrazgo	Nacionalidad extranjera	América	06	Resto de América	10
30	Maestrazgo	Nacionalidad extranjera	Asia	07	Asia	38
31	Sierra de Albarracín	Nacionalidad española	Europa	01	UE-15	4799
31	Sierra de Albarracín	Nacionalidad extranjera	Europa	01	UE-15	13
31	Sierra de Albarracín	Nacionalidad extranjera	Europa	02	Resto de Europa	12
31	Sierra de Albarracín	Nacionalidad extranjera	África	03	Magreb	20
31	Sierra de Albarracín	Nacionalidad extranjera	América	06	Resto de América	58
31	Sierra de Albarracín	Nacionalidad extranjera	Asia	07	Asia	1
32	Gúdar-Javalambre	Nacionalidad española	Europa	01	UE-15	7422
32	Gúdar-Javalambre	Nacionalidad extranjera	Europa	01	UE-15	30
32	Gúdar-Javalambre	Nacionalidad extranjera	Europa	02	Resto de Europa	70
32	Gúdar-Javalambre	Nacionalidad extranjera	África	03	Magreb	60
32	Gúdar-Javalambre	Nacionalidad extranjera	África	04	Resto de África	2
32	Gúdar-Javalambre	Nacionalidad extranjera	América	06	Resto de América	119
32	Gúdar-Javalambre	Nacionalidad extranjera	Asia	07	Asia	39
33	Matarraña / Matarranya	Nacionalidad española	Europa	01	UE-15	8478
33	Matarraña / Matarranya	Nacionalidad extranjera	Europa	01	UE-15	28
33	Matarraña / Matarranya	Nacionalidad extranjera	Europa	02	Resto de Europa	99
33	Matarraña / Matarranya	Nacionalidad extranjera	África	03	Magreb	56
33	Matarraña / Matarranya	Nacionalidad extranjera	África	04	Resto de África	7
33	Matarraña / Matarranya	Nacionalidad extranjera	América	05	América del Norte	1
33	Matarraña / Matarranya	Nacionalidad extranjera	América	06	Resto de América	46
33	Matarraña / Matarranya	Nacionalidad extranjera	Oceanía	08	Oceanía	1
