Municipio código	Municipio nombre	Número total de explotaciones	Producción estándar total (euros)
22253	Yésero	3	77955,09
22254	Zaidín	324	64198027,23
22901	Valle de Hecho	64	1849496,7
22902	Puente la Reina de Jaca	47	2764822,36
22903	San Miguel del Cinca	201	25685918,42
22904	Sotonera (La)	222	9547535,37
22905	Lupiñén-Ortilla	71	9583709,41
22906	Santa María de Dulcis	60	974494,15
22907	Aínsa-Sobrarbe	133	6278105,26
22908	Hoz y Costeán	98	3725528,95
22909	Vencillón	70	7175723,09
44001	Ababuj	21	1018659,03
44002	Abejuela	11	68910,93
44003	Aguatón	9	298179,38
44004	Aguaviva	42	3740090,58
44005	Aguilar del Alfambra	21	618202,88
44006	Alacón	70	2891687,34
44007	Alba	63	3175721,44
44008	Albalate del Arzobispo	337	7290316,97
44009	Albarracín	55	2727342,95
44010	Albentosa	53	1271780,9
44011	Alcaine	9	240449,43
44012	Alcalá de la Selva	36	698103,72
44013	Alcañiz	620	26217249,24
44014	Alcorisa	352	5619207,4
44016	Alfambra	113	3899960,11
44017	Aliaga	53	1725366,38
44018	Almohaja	6	502534,51
44019	Alobras	12	511723,31
44020	Alpeñés	12	400349,53
44021	Allepuz	42	1583521,83
44022	Alloza	213	1854041,53
44023	Allueva	1	47355,71
44024	Anadón	5	238453,97
44025	Andorra	265	5954216,75
44026	Arcos de las Salinas	13	413195,66
44027	Arens de Lledó	62	1344045,47
44028	Argente	68	2664525,89
44029	Ariño	39	596914,3
44031	Azaila	38	1154348,73
44032	Bádenas	8	238728,29
44033	Báguena	113	3056422,97
44034	Bañón	41	1785055,62
44035	Barrachina	18	1656509,54
44036	Bea	5	234624,48
44037	Beceite	60	3904249,28
44038	Belmonte de San José	48	1162130,43
44039	Bello	86	1736580,77
44040	Berge	45	1081730,35
44041	Bezas	3	137300,92
44042	Blancas	41	4973479,88
44043	Blesa	28	803292,44
44044	Bordón	22	2161694,68
44045	Bronchales	15	698731,97
44046	Bueña	23	1253906,03
44047	Burbáguena	65	1211927,36
44048	Cabra de Mora	14	340085,06
44049	Calaceite	242	5993131,88
44050	Calamocha	297	12952888,8
44051	Calanda	324	16129309,22
44052	Calomarde	8	184691,4
44053	Camañas	36	3329265,12
44054	Camarena de la Sierra	7	128371,27
44055	Camarillas	26	1006065,14
44056	Caminreal	131	7203095,34
44059	Cantavieja	80	5509037,15
44060	Cañada de Benatanduz	17	910348,97
44061	Cañada de Verich (La)	8	1847670,5
44062	Cañada Vellida	22	347588,97
44063	Cañizar del Olivar	9	29095,02
44064	Cascante del Río	15	196194,51
44065	Castejón de Tornos	24	971997,81
44066	Castel de Cabra	13	835645,13
44067	Castelnou	21	896440,59
44068	Castelserás	83	5051945,65
44070	Castellar (El)	19	320620,15
44071	Castellote	157	4554702,8
44074	Cedrillas	79	2196771,64
44075	Celadas	99	2201991,07
44076	Cella	280	7479831,88
44077	Cerollera (La)	10	493376,69
44080	Codoñera (La)	45	4888046,61
44082	Corbalán	16	636168,49
44084	Cortes de Aragón	15	1218474,86
44085	Cosa	33	1879349,4
44086	Cretas	165	5890637,98
44087	Crivillén	20	500913,7
44088	Cuba (La)	12	1192249,05
44089	Cubla	12	160387,99
44090	Cucalón	28	1173508
44092	Cuervo (El)	11	49938,11
44093	Cuevas de Almudén	28	757321,56
44094	Cuevas Labradas	21	664981,33
44096	Ejulve	27	1800768,13
44097	Escorihuela	55	2703284,44
44099	Escucha	22	504087,34
44100	Estercuel	17	292986,34
44101	Ferreruela de Huerva	19	1313800,69
44102	Fonfría	6	451486,36
44103	Formiche Alto	35	871271,5
44105	Fórnoles	35	389817,69
44106	Fortanete	44	1112393,86
44107	Foz-Calanda	59	8858115,14
44108	Fresneda (La)	93	4380822,41
44109	Frías de Albarracín	15	693649,06
44110	Fuenferrada	17	368956,78
44111	Fuentes Calientes	34	4315648,73
44112	Fuentes Claras	80	4804154,69
44113	Fuentes de Rubielos	6	100954,16
44114	Fuentespalda	73	5172663,87
44115	Galve	35	1585664,09
44116	Gargallo	13	171332,26
44117	Gea de Albarracín	22	497392,03
44118	Ginebrosa (La)	68	6192948,51
44119	Griegos	14	217760,33
44120	Guadalaviar	31	1652183,4
44121	Gúdar	20	1322108,35
44122	Híjar	130	6899811,01
44123	Hinojosa de Jarque	42	6576475,88
44124	Hoz de la Vieja (La)	20	505789,5
44125	Huesa del Común	22	1143019,84
44126	Iglesuela del Cid (La)	18	1056892,08
44127	Jabaloyas	8	165257,12
44128	Jarque de la Val	23	553895,8
44129	Jatiel	11	656378,1
44130	Jorcas	8	218544,49
44131	Josa	6	317305,31
44132	Lagueruela	17	1491380,08
44133	Lanzuela	11	565071,7
44135	Libros	46	240630,48
44136	Lidón	24	626804,88
44137	Linares de Mora	33	1078119,58
44138	Loscos	42	1331601,46
44141	Lledó	39	4945788,96
44142	Maicas	13	604774,83
44143	Manzanera	45	1014974,78
44144	Martín del Río	28	875277,03
44145	Mas de las Matas	83	3897267,52
44146	Mata de los Olmos (La)	32	2930408,17
44147	Mazaleón	156	5539118,66
44148	Mezquita de Jarque	20	865685,21
44149	Mirambel	27	3841351,66
44150	Miravete de la Sierra	14	499120,31
44151	Molinos	66	3026597,07
44152	Monforte de Moyuela	23	560894,65
44153	Monreal del Campo	146	6315532,42
44154	Monroyo	72	8347714,99
44155	Montalbán	15	555328,3
44156	Monteagudo del Castillo	18	574681,14
44157	Monterde de Albarracín	9	276506,33
44158	Mora de Rubielos	76	917795,58
44159	Moscardón	8	110087,1
44160	Mosqueruela	77	2919725,99
44161	Muniesa	132	4097465,16
44163	Noguera de Albarracín	4	43427,6
44164	Nogueras	15	586492,78
44165	Nogueruelas	14	242568,71
44167	Obón	14	93280,83
44168	Odón	70	3341325,25
44169	Ojos Negros	63	4201554,76
44171	Olba	8	31001,9
44172	Oliete	93	2058154,68
44173	Olmos (Los)	48	1943386,47
44174	Orihuela del Tremedal	21	830552,48
44175	Orrios	48	1071304,31
44176	Palomar de Arroyos	17	412507,05
44177	Pancrudo	48	1250359,09
44178	Parras de Castellote (Las)	21	483173,42
44179	Peñarroya de Tastavins	84	8499904,99
44180	Peracense	15	176184,34
44181	Peralejos	16	525636,58
44182	Perales del Alfambra	58	2882705,26
44183	Pitarque	13	304030,83
44184	Plou	9	278021,13
44185	Pobo (El)	34	1366814,32
44187	Portellada (La)	61	4758780,4
44189	Pozondón	18	818204,61
44190	Pozuel del Campo	17	425389,37
44191	Puebla de Híjar (La)	86	5318432,54
44192	Puebla de Valverde (La)	70	3439097,46
44193	Puertomingalvo	29	715107,18
44194	Ráfales	54	1443067,87
44195	Rillo	18	581868,6
44196	Riodeva	26	179477,67
44197	Ródenas	13	645021,31
44198	Royuela	17	262623,37
44199	Rubiales	4	93073,5
44200	Rubielos de la Cérida	24	306103,07
44201	Rubielos de Mora	27	829592,47
44203	Salcedillo	3	248987,91
44204	Saldón	6	94385,34
44205	Samper de Calanda	102	6392651,28
44206	San Agustín	38	386164,32
44207	San Martín del Río	80	274526,01
44208	Santa Cruz de Nogueras	3	104903,08
44209	Santa Eulalia	104	3886390,59
44210	Sarrión	131	2080312,32
44211	Segura de los Baños	15	195137,76
44212	Seno	19	149088,48
44213	Singra	21	743439,87
44215	Terriente	30	1611948,2
44216	Teruel	273	10367453,59
44217	Toril y Masegoso	8	188582,73
44219	Tornos	68	1094857,14
44220	Torralba de los Sisones	42	2035729,04
44221	Torrecilla de Alcañiz	62	2377752,33
44222	Torrecilla del Rebollar	31	1027590,04
44223	Torre de Arcas	19	2062531,78
44224	Torre de las Arcas	12	281920,61
44225	Torre del Compte	36	1020013,24
44226	Torrelacárcel	57	933894,53
44227	Torre los Negros	14	523369,73
44228	Torremocha de Jiloca	27	849058,93
44229	Torres de Albarracín	9	326398,11
44230	Torrevelilla	45	3559940,79
44231	Torrijas	5	95127,71
44232	Torrijo del Campo	79	7709098,07
44234	Tramacastiel	20	897907,57
44235	Tramacastilla	7	2276077,58
44236	Tronchón	22	1572769,92
44237	Urrea de Gaén	81	3111336,91
44238	Utrillas	13	653051,17
44239	Valacloche	9	89612,86
44240	Valbona	20	726020,7
44241	Valdealgorfa	131	4241154,88
44243	Valdecuenca	4	226773,38
44244	Valdelinares	11	166331,11
44245	Valdeltormo	35	1911415,33
44246	Valderrobres	244	15822780,85
44247	Valjunquera	100	2259529,1
44249	Vallecillo (El)	2	39318,4
44250	Veguillas de la Sierra	5	90778,83
44251	Villafranca del Campo	62	4665059,72
44252	Villahermosa del Campo	18	1018552,73
44256	Villanueva del Rebollar de la Sierra	10	449342,19
44257	Villar del Cobo	32	1171811,72
44258	Villar del Salz	14	242533,54
44260	Villarluengo	31	1548124,3
44261	Villarquemado	129	7464349,68
44262	Villarroya de los Pinares	31	952629,48
44263	Villastar	30	1418639,86
44264	Villel	33	1441537,75
44265	Vinaceite	50	7576135,35
44266	Visiedo	50	2295257,47
44267	Vivel del Río Martín	17	966165,48
44268	Zoma (La)	5	17765,44
50001	Abanto	18	545966,56
50002	Acered	75	1584121,73
50003	Agón	37	980973,12
50004	Aguarón	218	5325901,26
50005	Aguilón	63	755217,89
50006	Ainzón	155	4684075,98
50007	Aladrén	31	241312,44
50008	Alagón	162	3404767,8
50009	Alarba	40	1465111,7
50010	Alberite de San Juan	23	246768,43
50011	Albeta	12	115254,57
50012	Alborge	6	143565,31
50013	Alcalá de Ebro	41	1539731,32
50014	Alcalá de Moncayo	41	235071,75
50015	Alconchel de Ariza	27	2769477,06
50016	Aldehuela de Liestos	18	293753,87
50017	Alfajarín	113	3945289,4
50018	Alfamén	297	22527406,89
50019	Alforque	7	478666,87
50020	Alhama de Aragón	29	1976240,27
50021	Almochuel	10	468082,58
50022	Almolda (La)	145	7512718,92
50023	Almonacid de la Cuba	79	5514471,74
50024	Almonacid de la Sierra	214	8391310,66
50025	Almunia de Doña Godina (La)	378	21404490,98
50026	Alpartir	164	3713286,05
50027	Ambel	117	3567734,39
50028	Anento	22	589477,1
50029	Aniñón	185	6397062,79
50030	Añón de Moncayo	28	844972,73
50031	Aranda de Moncayo	47	879412,29
50032	Arándiga	89	4010875,9
50033	Ardisa	16	419926,17
50034	Ariza	64	2084542,31
50035	Artieda	10	1461000,48
50036	Asín	10	160820,12
50037	Atea	75	1049740,68
50038	Ateca	113	3095499,94
50039	Azuara	128	3850956,54
50040	Badules	26	483347
50041	Bagüés	10	924092,39
50042	Balconchán	15	494871,52
50043	Bárboles	45	1328378,89
50044	Bardallur	61	817973,43
50045	Belchite	364	12382482,77
50046	Belmonte de Gracián	54	1139823,12
50047	Berdejo	3	66248,78
50048	Berrueco	16	266344,58
50050	Bijuesca	18	1033877
50051	Biota	198	10530933,4
50052	Bisimbre	21	531460,16
50053	Boquiñeni	81	7308831,97
50054	Bordalba	18	668776,61
50055	Borja	316	4395888,42
50056	Botorrita	23	797384,98
50057	Brea de Aragón	40	437426,12
50058	Bubierca	12	256677,76
50059	Bujaraloz	166	17711661,72
50060	Bulbuente	76	916420,86
50061	Bureta	51	1135660,55
50062	Burgo de Ebro (El)	55	2270885,8
50063	Buste (El)	25	279988,94
50064	Cabañas de Ebro	40	1791364,9
50065	Cabolafuente	11	669044,46
50066	Cadrete	20	382930,96
50067	Calatayud	204	11198079,01
50068	Calatorao	218	12738321,62
50069	Calcena	3	409523,81
50070	Calmarza	16	375130,79
50071	Campillo de Aragón	47	1426583,3
50072	Carenas	19	285482,6
50073	Cariñena	433	9931748,33
50074	Caspe	640	66709424,03
50075	Castejón de Alarba	41	1041142,18
50076	Castejón de las Armas	18	271805,69
50077	Castejón de Valdejasa	75	1485836,41
50078	Castiliscar	80	3790098,69
50079	Cervera de la Cañada	91	1986268,83
50080	Cerveruela	3	2712,67
50081	Cetina	58	1460395,85
50082	Cimballa	17	445621,55
50083	Cinco Olivas	13	131454,79
50084	Clarés de Ribota	22	395738,51
50085	Codo	30	474764,19
50086	Codos	58	2077110
50087	Contamina	8	176319,11
50088	Cosuenda	136	2984892,52
50089	Cuarte de Huerva	10	91332,13
50090	Cubel	58	2551669,29
50091	Cuerlas (Las)	32	511165,37
50092	Chiprana	37	4117454,03
50093	Chodes	29	1377477,09
50094	Daroca	90	2220047,91
50095	Ejea de los Caballeros	1038	117424362
50096	Embid de Ariza	11	931411,67
50098	Encinacorba	64	470167,49
50099	Épila	344	17524654,71
50100	Erla	54	2033657,89
50101	Escatrón	82	1211687,27
50102	Fabara	259	19023643,58
50104	Farlete	86	4220273,52
50105	Fayón	89	2735730,94
50106	Fayos (Los)	9	15240,81
50107	Figueruelas	48	2354147,02
50108	Fombuena	17	1285994,1
50109	Frago (El)	15	121500,86
50110	Frasno (El)	168	5367839,3
50111	Fréscano	35	1034555,17
50113	Fuendejalón	248	5768529,81
50114	Fuendetodos	28	10243774,02
50115	Fuentes de Ebro	325	10866423,03
50116	Fuentes de Jiloca	53	2281540,09
50117	Gallocanta	43	2567094,97
50118	Gallur	120	3680975,22
50119	Gelsa	175	10240888,28
50120	Godojos	21	329668,68
50121	Gotor	50	1170710,92
50122	Grisel	18	344348,42
50123	Grisén	21	341776,72
50124	Herrera de los Navarros	129	4553412,76
50125	Ibdes	81	3841712,94
50126	Illueca	94	818333,1
50128	Isuerre	11	152905,85
50129	Jaraba	28	588783,14
50130	Jarque	112	1343406,6
50131	Jaulín	47	2636058,05
50132	Joyosa (La)	20	276961,71
50133	Lagata	25	768968,63
50134	Langa del Castillo	64	3026394,86
50135	Layana	6	169685,09
50136	Lécera	161	7995591,79
50137	Leciñena	202	18726551,49
50138	Lechón	12	546978,82
50139	Letux	74	3345431,09
50140	Litago	21	629549,28
50141	Lituénigo	22	255518,79
50142	Lobera de Onsella	14	196109,92
50143	Longares	187	3004119,87
50144	Longás	7	54792,9
50146	Lucena de Jalón	46	2129063,44
50147	Luceni	53	5740044,03
50148	Luesia	64	5655972,91
50149	Luesma	11	549466,2
50150	Lumpiaque	107	2243324,21
50151	Luna	231	16758462,18
50152	Maella	394	14187118,96
50153	Magallón	177	8200308,93
50154	Mainar	25	8277491,02
50155	Malanquilla	27	530272,47
50156	Maleján	4	16683,16
50157	Malón	58	1105963,57
50159	Maluenda	117	3604251,95
50160	Mallén	160	14063471,15
50161	Manchones	22	2442459,83
50162	Mara	53	1290278,34
50163	María de Huerva	36	5342358,33
50164	Mediana de Aragón	54	2151862,14
50165	Mequinenza	335	12677072,36
50166	Mesones de Isuela	90	3571872,98
50167	Mezalocha	44	1753770,3
50168	Mianos	8	279846,43
50169	Miedes de Aragón	112	4556076,74
50170	Monegrillo	148	6003536,54
50171	Moneva	58	1763534,99
50172	Monreal de Ariza	52	2131472,88
50173	Monterde	34	694811,42
50174	Montón	27	661875,68
50175	Morata de Jalón	189	4014999,91
50176	Morata de Jiloca	62	1421162,63
50177	Morés	49	830885,97
50178	Moros	96	2605107,32
50179	Moyuela	50	4374204,72
50180	Mozota	14	198990,61
50181	Muel	104	5465558,32
50182	Muela (La)	142	3508660,78
50183	Munébrega	114	2444197,71
50184	Murero	27	563223,92
50185	Murillo de Gállego	28	805221,8
50186	Navardún	27	703327,96
50187	Nigüella	21	249548,87
50188	Nombrevilla	10	805892,73
50189	Nonaspe	198	9905933,98
50190	Novallas	110	1602673,75
50191	Novillas	120	6527915,3
50192	Nuévalos	14	531702,22
50193	Nuez de Ebro	21	2630558,14
50194	Olvés	51	1493264,75
50195	Orcajo	17	145116,58
50196	Orera	41	1155189,11
50197	Orés	40	839877,22
50198	Oseja	12	52768,36
50199	Osera de Ebro	30	1561452,17
50200	Paniza	208	1944542,99
50201	Paracuellos de Jiloca	65	1478257,1
50202	Paracuellos de la Ribera	56	2003902,13
50203	Pastriz	48	661415,71
50204	Pedrola	172	4561844,96
50205	Pedrosas (Las)	22	517814,09
50206	Perdiguera	102	4390068,26
50207	Piedratajada	17	2798572,2
50208	Pina de Ebro	325	11359374,27
50209	Pinseque	57	2250135,2
50210	Pintanos (Los)	17	540623,79
50211	Plasencia de Jalón	48	5037350,4
50212	Pleitas	8	139757,65
50213	Plenas	36	1501041,83
50214	Pomer	3	142375,73
50215	Pozuel de Ariza	8	192851,24
50216	Pozuelo de Aragón	57	2281657,85
50217	Pradilla de Ebro	77	3397916,32
50218	Puebla de Albortón	64	3465404,02
50219	Puebla de Alfindén (La)	40	840813,99
50220	Puendeluna	9	52156,74
50221	Purujosa	4	342984,11
50222	Quinto	236	14064345,39
50223	Remolinos	67	3779186,77
50224	Retascón	40	740572,27
50225	Ricla	339	44453007,46
50227	Romanos	35	1219433,04
50228	Rueda de Jalón	111	5251910,96
50229	Ruesca	22	1118943,44
50230	Sádaba	236	16121486,08
50231	Salillas de Jalón	11	200444,79
50232	Salvatierra de Esca	19	946612,69
50233	Samper del Salz	6	292027,64
50234	San Martín de la Virgen de Moncayo	15	814138,54
50235	San Mateo de Gállego	101	7183427,11
50236	Santa Cruz de Grío	60	660756,24
50237	Santa Cruz de Moncayo	19	1301950,29
50238	Santa Eulalia de Gállego	17	322787,69
50239	Santed	19	492626,83
50240	Sástago	168	19981218,47
50241	Saviñán	82	3115103,32
50242	Sediles	27	681346,08
50243	Sestrica	124	2313560,62
50244	Sierra de Luna	56	6085453,46
50245	Sigüés	20	877089,89
50246	Sisamón	11	987945,98
50247	Sobradiel	26	1273737,82
50248	Sos del Rey Católico	175	4421891,04
50249	Tabuenca	154	2000108,48
50250	Talamantes	11	746252,77
50251	Tarazona	322	10657896,06
50252	Tauste	858	78037315,18
50253	Terrer	65	3244513,05
50254	Tierga	62	1658623,08
50255	Tobed	47	2077289,28
50256	Torralba de los Frailes	53	1150164,67
50257	Torralba de Ribota	62	743959,8
50258	Torralbilla	10	406242,61
50259	Torrehermosa	18	801428,51
50260	Torrelapaja	8	193305,75
50261	Torrellas	19	997617,31
50262	Torres de Berrellén	69	2921629,23
50263	Torrijo de la Cañada	46	1730583,67
50264	Tosos	93	1600258,18
50265	Trasmoz	21	246871,04
50266	Trasobares	44	425937,28
50267	Uncastillo	100	5442068,59
50268	Undués de Lerda	12	5876201,18
50269	Urrea de Jalón	54	1591584,78
50270	Urriés	18	374402,82
50271	Used	101	3299082,13
50272	Utebo	61	1552991,5
50273	Valdehorna	17	219574,94
50274	Val de San Martín	21	404562,91
50275	Valmadrid	17	236528,84
50276	Valpalmas	30	3108384,45
50277	Valtorres	15	297976,44
50278	Velilla de Ebro	33	2325499,6
50279	Velilla de Jiloca	26	1074686,09
50280	Vera de Moncayo	72	2450583,8
50281	Vierlas	22	495656,87
50282	Vilueña (La)	37	734139,44
50283	Villadoz	24	508762,77
50284	Villafeliche	23	654146,57
50285	Villafranca de Ebro	60	1807717,4
50286	Villalba de Perejil	25	715308,78
50287	Villalengua	67	2525856,72
50288	Villanueva de Gállego	97	6299048,48
50289	Villanueva de Jiloca	15	88520,45
50290	Villanueva de Huerva	92	2306088,17
50291	Villar de los Navarros	46	904668,55
50292	Villarreal de Huerva	18	10569033,28
50293	Villarroya de la Sierra	133	3512762,36
50294	Villarroya del Campo	21	307914,17
50295	Vistabella	6	27562,24
50296	Zaida (La)	34	380176,41
50297	Zaragoza	921	36648616,81
50298	Zuera	366	12543095,71
50901	Biel	28	1186750,48
50902	Marracos	17	2044315,04
50903	Villamayor de Gállego	167	7403408,01
