Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2004	05	Cinco Villas		249253	221352	1424101	1424101
2004	06	Hoya de Huesca / Plana de Uesca		137764	131511	774353	767040
2004	07	Somontano de Barbastro		59523	57312	378748	377400
2004	08	Cinca Medio		95203	93320	568768	568710
2004	09	La Litera / La Llitera		78984	77389	612831	612054
2004	10	Los Monegros		204188	191780	1245003	1244141
2004	11	Bajo Cinca / Baix Cinca		141933	135722	855561	855089
2004	12	Tarazona y el Moncayo		27693	26807	163812	162849
2004	13	Campo de Borja		43196	39802	267786	267786
2004	14	Aranda		9038	7164	31600	30415
2004	15	Ribera Alta del Ebro		70538	67878	392782	390840
2004	16	Valdejalón		95506	87410	519580	519580
2004	17	D.C. Zaragoza		162971	143196	885317	884519
2004	18	Ribera Baja del Ebro		61922	54297	325164	325164
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp		50434	47990	332369	331995
2004	20	Comunidad de Calatayud		85542	76214	399149	399149
2004	21	Campo de Cariñena		40723	38879	248724	248724
2004	22	Campo de Belchite		30309	27474	183560	183560
2004	23	Bajo Martín		30706	29444	195534	195534
2004	24	Campo de Daroca		33008	28480	128868	128868
2004	25	Jiloca		53847	52348	303923	303923
2004	26	Cuencas Mineras		25377	22535	140115	140115
2004	27	Andorra-Sierra de Arcos		12312	11536	82467	82467
2004	28	Bajo Aragón		42164	27798	196599	196599
2004	29	Comunidad de Teruel		68373	63532	361348	361348
2004	30	Maestrazgo		18456	15189	83671	83671
2004	31	Sierra de Albarracín		41249	12762	56504	56504
2004	32	Gúdar-Javalambre		36806	19814	126279	126279
2004	33	Matarraña / Matarranya		21633	15919	86127	86127
2005	01	La Jacetania	2439	39443	26786	149378	121405
2005	02	Alto Gállego	1087	17543	12461	82998	60632
2005	03	Sobrarbe	2451	31229	22211	143726	112885
2005	04	La Ribagorza	4474	34606	30022	199359	181096
2005	05	Cinco Villas	13779	256862	228080	1483043	1470159
2005	06	Hoya de Huesca / Plana de Uesca	8827	140805	134419	791454	783803
2005	07	Somontano de Barbastro	6621	60867	58610	387394	385038
2005	08	Cinca Medio	5998	97482	95535	582937	581795
2005	09	La Litera / La Llitera	6184	80400	78771	623585	622799
2005	10	Los Monegros	10588	208767	196097	1275666	1274634
2005	11	Bajo Cinca / Baix Cinca	8487	147726	141288	892271	891782
2005	12	Tarazona y el Moncayo	10309	28439	27528	173821	172698
2005	13	Campo de Borja	11441	43623	40219	271795	271067
2005	14	Aranda	6469	9266	7331	32342	31035
2005	15	Ribera Alta del Ebro	7637	71968	69242	405802	403651
2005	16	Valdejalón	10514	98308	90001	543614	543353
2005	17	D.C. Zaragoza	20311	166301	145919	917361	916274
2005	18	Ribera Baja del Ebro	6144	63012	55241	334059	333123
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7203	53709	51073	355006	354469
2005	20	Comunidad de Calatayud	32871	87453	77929	420514	419552
2005	21	Campo de Cariñena	6535	41774	39885	259918	259869
2005	22	Campo de Belchite	7327	30967	28072	187485	187354
2005	23	Bajo Martín	8027	31335	30011	203410	202558
2005	24	Campo de Daroca	10695	33468	28869	135530	135158
2005	25	Jiloca	23013	54771	53247	316494	310933
2005	26	Cuencas Mineras	13249	25908	23010	144188	140594
2005	27	Andorra-Sierra de Arcos	8298	12581	11790	85186	85186
2005	28	Bajo Aragón	16913	43145	28439	205560	204267
2005	29	Comunidad de Teruel	25428	69844	64904	371526	371453
2005	30	Maestrazgo	7078	18591	15116	86481	86420
2005	31	Sierra de Albarracín	10888	42076	13018	65066	61945
2005	32	Gúdar-Javalambre	19144	37559	20224	129661	129661
2005	33	Matarraña / Matarranya	12591	22101	16275	88339	87829
2006	01	La Jacetania	2350	28352		153256	119511
2006	02	Alto Gállego	1123	14809		95513	68320
2006	03	Sobrarbe	2467	21945		145943	118456
2006	04	La Ribagorza	4468	31606		213649	190647
2006	05	Cinco Villas	13018	230091		1497148	1497096
2006	06	Hoya de Huesca / Plana de Uesca	9067	138268		824621	815504
2006	07	Somontano de Barbastro	6564	60477		407843	405951
2006	08	Cinca Medio	5708	97862		613251	611298
2006	09	La Litera / La Llitera	6068	80083		641134	639263
2006	10	Los Monegros	10390	202031		1400782	1399355
2006	11	Bajo Cinca / Baix Cinca	8520	144841		934337	933829
2006	12	Tarazona y el Moncayo	9301	27833		179749	178629
2006	13	Campo de Borja	10697	40986		299483	299101
2006	14	Aranda	5810	7488		35597	34205
2006	15	Ribera Alta del Ebro	7295	70203		415475	413284
2006	16	Valdejalón	9902	93286		568358	568300
2006	17	D.C. Zaragoza	18779	151602		960126	920291
2006	18	Ribera Baja del Ebro	5835	55584		341446	340616
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7258	52346		368704	364780
2006	20	Comunidad de Calatayud	30704	80731		440623	434433
2006	21	Campo de Cariñena	6390	40902		272308	272308
2006	22	Campo de Belchite	7038	28780		192283	192257
2006	23	Bajo Martín	7815	31266		213871	196241
2006	24	Campo de Daroca	10068	29332		137850	137450
2006	25	Jiloca	22882	55705		333994	308425
2006	26	Cuencas Mineras	12826	23999		156353	131635
2006	27	Andorra-Sierra de Arcos	8082	12295		88337	72589
2006	28	Bajo Aragón	16966	29849		214849	205151
2006	29	Comunidad de Teruel	25327	68642		393649	347088
2006	30	Maestrazgo	7015	17721		100946	75043
2006	31	Sierra de Albarracín	10880	17712		81763	54250
2006	32	Gúdar-Javalambre	19182	34557		216707	111564
2006	33	Matarraña / Matarranya	12684	19449		104424	87089
2007	01	La Jacetania	2351	33589	30870	169559	135100
2007	02	Alto Gállego	1104	15136	15078	97934	69957
2007	03	Sobrarbe	2421	22287	22287	148417	120469
2007	04	La Ribagorza	4400	32106	32106	217968	194337
2007	05	Cinco Villas	13512	256800	236303	1543333	1537056
2007	06	Hoya de Huesca / Plana de Uesca	8795	144018	142371	891970	883943
2007	07	Somontano de Barbastro	6605	64598	63325	428117	426334
2007	08	Cinca Medio	5765	106805	103619	656558	656443
2007	09	La Litera / La Llitera	6295	124197	104274	823469	822136
2007	10	Los Monegros	10463	219335	209699	1470498	1469371
2007	11	Bajo Cinca / Baix Cinca	8416	150131	150015	969194	968738
2007	12	Tarazona y el Moncayo	9713	30295	29139	190637	189476
2007	13	Campo de Borja	11539	45056	42129	305160	305143
2007	14	Aranda	6093	9356	7602	36169	34781
2007	15	Ribera Alta del Ebro	7423	75222	71857	431088	429178
2007	16	Valdejalón	10310	111968	95344	584835	584775
2007	17	D.C. Zaragoza	24338	156986	143560	898889	898262
2007	18	Ribera Baja del Ebro	6080	70773	59154	376996	376992
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5653	55870	50918	362773	360740
2007	20	Comunidad de Calatayud	32058	91369	82361	452180	451789
2007	21	Campo de Cariñena	6597	45520	42834	287625	287618
2007	22	Campo de Belchite	7173	32084	29317	195921	195869
2007	23	Bajo Martín	7791	32710	32710	226405	208936
2007	24	Campo de Daroca	10375	34926	30047	140890	140872
2007	25	Jiloca	22661	59533	58479	347870	323286
2007	26	Cuencas Mineras	13070	31922	29389	193312	164343
2007	27	Andorra-Sierra de Arcos	8257	20425	17032	119654	103071
2007	28	Bajo Aragón	16762	48586	46929	384269	362815
2007	29	Comunidad de Teruel	24969	71720	71720	409207	350144
2007	30	Maestrazgo	6755	19295	19295	110673	76767
2007	31	Sierra de Albarracín	10839	43988	43988	251509	78001
2007	32	Gúdar-Javalambre	18645	39973	39973	250485	119531
2007	33	Matarraña / Matarranya	12819	22991	22991	123494	88279
2008	01	La Jacetania	2354	34093	31860	176862	141264
2008	02	Alto Gállego	1107	15431	15387	100176	71623
2008	03	Sobrarbe	2463	24464	23697	163338	134113
2008	04	La Ribagorza	4431	32741	32741	223492	199272
2008	05	Cinco Villas	13704	266803	249466	1655994	1643301
2008	06	Hoya de Huesca / Plana de Uesca	8889	148723	146286	919343	911122
2008	07	Somontano de Barbastro	6743	71227	67714	472288	470518
2008	08	Cinca Medio	5849	108694	105913	731239	731130
2008	09	La Litera / La Llitera	6287	126720	109561	869441	868076
2008	10	Los Monegros	10679	232498	220304	1565687	1564537
2008	11	Bajo Cinca / Baix Cinca	8458	154083	153964	997646	997173
2008	12	Tarazona y el Moncayo	9768	31213	30576	198839	194829
2008	13	Campo de Borja	11653	45936	42965	312780	312769
2008	14	Aranda	6004	10767	8985	43464	40998
2008	15	Ribera Alta del Ebro	7665	76568	73705	450658	446994
2008	16	Valdejalón	9491	123833	105344	646348	635461
2008	17	D.C. Zaragoza	24540	165811	155089	971055	953076
2008	18	Ribera Baja del Ebro	6166	79559	69448	446284	428503
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5773	61422	55196	394468	388521
2008	20	Comunidad de Calatayud	32067	94589	86638	478060	469515
2008	21	Campo de Cariñena	6704	47532	45910	332972	321596
2008	22	Campo de Belchite	7252	33208	30406	204445	202942
2008	23	Bajo Martín	7826	33300	33223	232986	224149
2008	24	Campo de Daroca	10527	35508	30972	144865	144115
2008	25	Jiloca	22963	61598	60402	356585	335604
2008	26	Cuencas Mineras	13429	32503	29988	202206	185706
2008	27	Andorra-Sierra de Arcos	8282	21257	17817	126748	119277
2008	28	Bajo Aragón	16849	52197	50314	404632	392040
2008	29	Comunidad de Teruel	26997	73142	73041	412160	377742
2008	30	Maestrazgo	7513	19659	19654	117054	92839
2008	31	Sierra de Albarracín	11244	45058	45048	264220	90931
2008	32	Gúdar-Javalambre	18761	43277	42774	270455	152406
2008	33	Matarraña / Matarranya	12937	25991	23649	135009	101406
2009	01	La Jacetania	4587	62365	60106	324624	256280
2009	02	Alto Gállego	2485	20844	20801	128703	85834
2009	03	Sobrarbe	4404	34991	34395	245557	184819
2009	04	La Ribagorza	8196	39812	38728	258839	217532
2009	05	Cinco Villas	13329	278502	273049	1818978	1735041
2009	06	Hoya de Huesca / Plana de Uesca	13786	157348	154854	986857	945064
2009	07	Somontano de Barbastro	10215	71912	69431	492296	482395
2009	08	Cinca Medio	7163	110659	108718	780320	772613
2009	09	La Litera / La Llitera	8720	127074	109402	873110	865395
2009	10	Los Monegros	12330	246151	241738	1738877	1679445
2009	11	Bajo Cinca / Baix Cinca	9841	180943	180943	1156028	1106142
2009	12	Tarazona y el Moncayo	9676	33705	32036	217275	213186
2009	13	Campo de Borja	11487	48692	47803	352005	332784
2009	14	Aranda	6017	11025	10505	51253	46696
2009	15	Ribera Alta del Ebro	7468	77869	77280	488183	471428
2009	16	Valdejalón	9675	157420	138629	911264	882910
2009	17	D.C. Zaragoza	24051	167831	165071	1049658	1013528
2009	18	Ribera Baja del Ebro	6203	82130	72273	463271	429421
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5896	65821	62626	470964	460354
2009	20	Comunidad de Calatayud	32517	99413	95579	542084	515013
2009	21	Campo de Cariñena	6792	48880	47214	341551	336381
2009	22	Campo de Belchite	7365	35561	34158	231605	218540
2009	23	Bajo Martín	7918	33736	33736	237926	231729
2009	24	Campo de Daroca	10510	51207	44061	218801	207855
2009	25	Jiloca	23313	62629	61063	364018	351723
2009	26	Cuencas Mineras	13522	31523	29953	202939	181981
2009	27	Andorra-Sierra de Arcos	8306	21695	18802	136796	129846
2009	28	Bajo Aragón	17011	55130	51171	419963	410421
2009	29	Comunidad de Teruel	27270	83543	78816	464413	443057
2009	30	Maestrazgo	7634	26471	26471	168896	135628
2009	31	Sierra de Albarracín	11271	46270	45952	270487	93302
2009	32	Gúdar-Javalambre	18960	45225	43228	276695	161949
2009	33	Matarraña / Matarranya	13105	31600	27701	163676	133148
2010	01	La Jacetania	4421	68321	57424	317168	250957
2010	02	Alto Gállego	2439	37847	30081	194841	129499
2010	03	Sobrarbe	4363	35342	34739	250249	188436
2010	04	La Ribagorza	8191	49755	44360	285906	243866
2010	05	Cinco Villas	13448	309986	291598	1940128	1855153
2010	06	Hoya de Huesca / Plana de Uesca	13189	160843	157495	1004654	962063
2010	07	Somontano de Barbastro	9635	77791	73033	519312	509222
2010	08	Cinca Medio	6507	111717	109755	803810	795737
2010	09	La Litera / La Llitera	7532	129076	111020	894581	886820
2010	10	Los Monegros	11460	248877	244421	1776104	1716622
2010	11	Bajo Cinca / Baix Cinca	9277	184404	184404	1186719	1135563
2010	12	Tarazona y el Moncayo	9713	34615	32666	221242	217115
2010	13	Campo de Borja	11592	50070	49180	362509	343073
2010	14	Aranda	6099	12331	11451	55169	50237
2010	15	Ribera Alta del Ebro	7636	81487	79584	516024	498905
2010	16	Valdejalón	9706	164891	144240	945209	915705
2010	17	D.C. Zaragoza	24193	172644	168212	1070372	1033695
2010	18	Ribera Baja del Ebro	6225	91383	79077	494024	459806
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5955	70761	66555	502385	490015
2010	20	Comunidad de Calatayud	32748	102276	97547	554533	526833
2010	21	Campo de Cariñena	6846	49571	47829	351913	346620
2010	22	Campo de Belchite	7473	40494	37008	252968	236831
2010	23	Bajo Martín	7880	34038	34038	240031	233789
2010	24	Campo de Daroca	10504	51703	44490	220506	209422
2010	25	Jiloca	23274	63249	61664	360647	348930
2010	26	Cuencas Mineras	13744	32506	30824	208002	186795
2010	27	Andorra-Sierra de Arcos	8314	29492	23122	177848	168955
2010	28	Bajo Aragón	16933	64159	60160	526939	516730
2010	29	Comunidad de Teruel	27303	80719	77216	464550	443962
2010	30	Maestrazgo	7588	27085	24274	148485	119093
2010	31	Sierra de Albarracín	11651	48693	48050	290874	96866
2010	32	Gúdar-Javalambre	19391	51604	49033	311539	170743
2010	33	Matarraña / Matarranya	13169	31508	27725	146306	117234
2011	01	La Jacetania	3962	72700	70258	379895	285729
2011	02	Alto Gállego	2163	36902	30478	200311	137858
2011	03	Sobrarbe	3621	41127	41127	294172	208275
2011	04	La Ribagorza	6806	56324	52553	340954	288697
2011	05	Cinco Villas	13274	315598	297935	1982056	1892840
2011	06	Hoya de Huesca / Plana de Uesca	12111	165603	164406	1072295	1018171
2011	07	Somontano de Barbastro	8525	78679	76719	546479	532885
2011	08	Cinca Medio	5945	112081	112081	826187	813782
2011	09	La Litera / La Llitera	7349	134267	134267	1074608	1051194
2011	10	Los Monegros	10670	251064	249938	1819109	1746506
2011	11	Bajo Cinca / Baix Cinca	8607	184630	184630	1187651	1137171
2011	12	Tarazona y el Moncayo	9730	34788	33136	223957	219296
2011	13	Campo de Borja	11514	50339	48574	359168	348252
2011	14	Aranda	6187	14994	12443	59803	55339
2011	15	Ribera Alta del Ebro	7639	82043	79215	512431	499393
2011	16	Valdejalón	9891	168856	148373	988826	957331
2011	17	D.C. Zaragoza	23907	173214	169899	1080098	1043650
2011	18	Ribera Baja del Ebro	6234	91025	78829	496484	463338
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6034	76464	69536	520038	509236
2011	20	Comunidad de Calatayud	32911	116772	104203	594850	569134
2011	21	Campo de Cariñena	6607	49863	48199	355429	349469
2011	22	Campo de Belchite	7560	42423	37132	253963	242469
2011	23	Bajo Martín	7944	34032	34032	241105	230205
2011	24	Campo de Daroca	10546	53861	45042	223234	213318
2011	25	Jiloca	23338	64002	64002	400365	383310
2011	26	Cuencas Mineras	13716	34031	34031	227836	201456
2011	27	Andorra-Sierra de Arcos	8406	28882	24432	169963	161308
2011	28	Bajo Aragón	17027	66262	66262	555949	543819
2011	29	Comunidad de Teruel	26815	82518	82518	505022	457179
2011	30	Maestrazgo	7658	26847	24436	161131	128892
2011	31	Sierra de Albarracín	11508	50031	50031	290630	68864
2011	32	Gúdar-Javalambre	18801	52721	52211	339427	179264
2011	33	Matarraña / Matarranya	13253	32892	32892	168510	130695
2012	01	La Jacetania	4750	74430	63290	361648	328677
2012	02	Alto Gállego	2637	31318	24981	163588	144632
2012	03	Sobrarbe	4614	41466	33582	243754	229592
2012	04	La Ribagorza	8522	53845	48106	302020	274834
2012	05	Cinco Villas	13450	294759	281267	1887491	1830597
2012	06	Hoya de Huesca / Plana de Uesca	13982	166593	163892	1076615	1034693
2012	07	Somontano de Barbastro	10303	78354	77846	575150	559055
2012	08	Cinca Medio	7174	112565	112091	840364	827531
2012	09	La Litera / La Llitera	8675	138290	137779	1130145	1107524
2012	10	Los Monegros	12512	249185	248698	1843562	1784159
2012	11	Bajo Cinca / Baix Cinca	9951	184512	183637	1250981	1206056
2012	12	Tarazona y el Moncayo	9748	33820	32577	235617	229371
2012	13	Campo de Borja	11536	46952	46372	353109	353030
2012	14	Aranda	6137	12552	11145	51676	50989
2012	15	Ribera Alta del Ebro	7583	79378	77336	501908	501751
2012	16	Valdejalón	9879	144847	132674	891212	890474
2012	17	D.C. Zaragoza	23708	170832	167963	1089177	1015119
2012	18	Ribera Baja del Ebro	6131	75986	71589	452420	452278
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	33360	67238	65195	481005	480874
2012	20	Comunidad de Calatayud	32840	105291	99412	578946	575774
2012	21	Campo de Cariñena	6604	47884	47005	362867	362823
2012	22	Campo de Belchite	7519	38480	35860	246887	246834
2012	23	Bajo Martín	7947	31302	31302	221772	212902
2012	24	Campo de Daroca	10342	38324	36148	179814	179683
2012	25	Jiloca	23337	60038	60038	376496	361438
2012	26	Cuencas Mineras	13718	33211	33211	222984	214065
2012	27	Andorra-Sierra de Arcos	8408	27032	27032	189772	182181
2012	28	Bajo Aragón	17027	65101	65101	536333	514881
2012	29	Comunidad de Teruel	26787	83129	83129	517796	497084
2012	30	Maestrazgo	7659	24544	24544	161668	155200
2012	31	Sierra de Albarracín	11511	47748	47748	273076	262155
2012	32	Gúdar-Javalambre	18802	51686	51686	346422	332569
2012	33	Matarraña / Matarranya	13261	34145	34145	170364	163549
2013	01	La Jacetania	4799	76819	65687	375451	343380
2013	02	Alto Gállego	2662	31620	25275	165357	148203
2013	03	Sobrarbe	4748	45766	37139	267709	250802
2013	04	La Ribagorza	8584	54995	49241	307388	278915
2013	05	Cinco Villas	13466	308535	283257	1859767	1853079
2013	06	Hoya de Huesca / Plana de Uesca	14019	168512	165604	1093688	1051670
2013	07	Somontano de Barbastro	10368	79368	78859	586855	571187
2013	08	Cinca Medio	7057	111057	110584	834784	822222
2013	09	La Litera / La Llitera	8764	164551	164039	1260698	1236889
2013	10	Los Monegros	12405	248741	248254	1844381	1786885
2013	11	Bajo Cinca / Baix Cinca	9856	239950	239129	1667646	1597594
2013	12	Tarazona y el Moncayo	9773	33836	32800	235937	234227
2013	13	Campo de Borja	11524	51353	48941	379991	379803
2013	14	Aranda	6136	12641	11461	53021	52941
2013	15	Ribera Alta del Ebro	7603	81710	78077	520726	519817
2013	16	Valdejalón	9859	145738	135415	926621	925137
2013	17	D.C. Zaragoza	29105	722301	621082	4259930	4240535
2013	18	Ribera Baja del Ebro	5970	81733	78159	499516	498222
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	32664	68109	66420	494506	494168
2013	20	Comunidad de Calatayud	33126	107812	102656	609437	606025
2013	21	Campo de Cariñena	6599	49626	48150	371388	371176
2013	22	Campo de Belchite	7517	38510	36278	250032	249743
2013	23	Bajo Martín	8042	31736	31736	225652	211031
2013	24	Campo de Daroca	10347	38809	36972	184364	183959
2013	25	Jiloca	23672	61160	61160	383674	364690
2013	26	Cuencas Mineras	13837	33193	33193	221462	193750
2013	27	Andorra-Sierra de Arcos	8584	25525	25525	178594	165824
2013	28	Bajo Aragón	17273	67275	67275	563079	544639
2013	29	Comunidad de Teruel	27125	83291	83291	516769	474096
2013	30	Maestrazgo	7664	24202	24202	159579	117270
2013	31	Sierra de Albarracín	11661	49912	49912	289175	266891
2013	32	Gúdar-Javalambre	19135	51629	51629	346823	267259
2013	33	Matarraña / Matarranya	13366	33271	33271	169270	134200
2014	01	La Jacetania	4824	79528	68873	391891	330948
2014	02	Alto Gállego	2695	32629	28027	178463	136194
2014	03	Sobrarbe	4796	47630	44929	300653	253087
2014	04	La Ribagorza	8650	60536	59626	337420	300042
2014	05	Cinco Villas	12388	294639	285339	1872920	1865180
2014	06	Hoya de Huesca / Plana de Uesca	14070	183575	181182	1192697	1148894
2014	07	Somontano de Barbastro	10370	80064	78737	592076	576279
2014	08	Cinca Medio	7066	112725	112711	846654	832339
2014	09	La Litera / La Llitera	8725	172295	165969	1334956	1299511
2014	10	Los Monegros	12233	257210	257140	1921107	1859903
2014	11	Bajo Cinca / Baix Cinca	9639	245538	245463	1630593	1568270
2014	12	Tarazona y el Moncayo	7840	33875	33059	237346	235641
2014	13	Campo de Borja	9883	51444	49427	383989	383663
2014	14	Aranda	5329	12575	11605	53953	52799
2014	15	Ribera Alta del Ebro	7051	84097	81476	541502	536741
2014	16	Valdejalón	8905	146354	138270	948676	945998
2014	17	D.C. Zaragoza	28960	550857	542571	3705301	3623951
2014	18	Ribera Baja del Ebro	5587	82994	80284	507824	505793
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	6050	70987	69669	516036	515605
2014	20	Comunidad de Calatayud	29759	108742	104483	624779	618005
2014	21	Campo de Cariñena	6110	49872	48673	375760	375133
2014	22	Campo de Belchite	6987	38587	36706	253327	252849
2014	23	Bajo Martín	8077	34057	34057	243845	236081
2014	24	Campo de Daroca	9637	39008	37517	187217	186588
2014	25	Jiloca	23295	65074	64425	415339	400073
2014	26	Cuencas Mineras	13670	36109	34947	234288	205727
2014	27	Andorra-Sierra de Arcos	8627	29471	26772	188895	177554
2014	28	Bajo Aragón	17355	71015	68797	573004	555555
2014	29	Comunidad de Teruel	25189	90499	86953	542212	498693
2014	30	Maestrazgo	7066	26307	24994	167739	129146
2014	31	Sierra de Albarracín	11277	51885	50715	298797	195398
2014	32	Gúdar-Javalambre	19282	56330	54372	366830	240244
2014	33	Matarraña / Matarranya	13417	37037	34767	177410	140475
2015	01	La Jacetania	2846	84214	56758	322011	321563
2015	02	Alto Gállego	1386	34446	20430	145991	145991
2015	03	Sobrarbe	2693	51245	34205	239051	239051
2015	04	La Ribagorza	4747	68383	56607	347599	347599
2015	05	Cinco Villas	12593	297088	289858	1892641	1879353
2015	06	Hoya de Huesca / Plana de Uesca	9458	198320	188159	1243038	1242494
2015	07	Somontano de Barbastro	7029	92518	89665	671490	671490
2015	08	Cinca Medio	5937	127512	124934	944781	944781
2015	09	La Litera / La Llitera	6363	187830	182564	1420236	1420236
2015	10	Los Monegros	10553	271541	262619	1950817	1948770
2015	11	Bajo Cinca / Baix Cinca	8579	258335	247778	1618584	1617875
2015	12	Tarazona y el Moncayo	7838	35864	35267	250255	247881
2015	13	Campo de Borja	9862	55146	53429	413151	412777
2015	14	Aranda	5348	14789	14030	71310	63553
2015	15	Ribera Alta del Ebro	7076	92745	89936	600972	597526
2015	16	Valdejalón	8826	148396	142578	975032	971711
2015	17	D.C. Zaragoza	29661	638006	629901	4314533	4140841
2015	18	Ribera Baja del Ebro	5544	85446	83725	524044	520745
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5912	86962	85992	656534	550595
2015	20	Comunidad de Calatayud	29812	117975	114759	694406	688503
2015	21	Campo de Cariñena	6104	52702	51792	397789	397044
2015	22	Campo de Belchite	6950	40450	38916	267504	266458
2015	23	Bajo Martín	8129	39072	38800	279811	248857
2015	24	Campo de Daroca	9605	45157	44011	217114	216011
2015	25	Jiloca	23447	81937	80446	513807	467399
2015	26	Cuencas Mineras	13706	40047	36987	252370	218593
2015	27	Andorra-Sierra de Arcos	8703	30705	29619	202338	185896
2015	28	Bajo Aragón	17359	82106	80897	676533	655133
2015	29	Comunidad de Teruel	25205	87661	83645	525898	438129
2015	30	Maestrazgo	7106	31002	25730	172204	158516
2015	31	Sierra de Albarracín	12361	52634	16536	79563	61292
2015	32	Gúdar-Javalambre	19398	56710	29925	209094	183077
2015	33	Matarraña / Matarranya	13479	36056	29640	149496	143617
2016	01	La Jacetania	2953	84411,11	65516,78	366758	238417
2016	02	Alto Gállego	1450	36671,53	27280,45	186672	109645
2016	03	Sobrarbe	2829	54702,45	38451,88	267514	176715
2016	04	La Ribagorza	4887	76198,08	65112,83	391991	323380
2016	05	Cinco Villas	12586	339570,37	333618,87	2204303	2189301
2016	06	Hoya de Huesca / Plana de Uesca	9510	219949,14	209450,71	1383362	1259095
2016	07	Somontano de Barbastro	7200	107897,97	103882,54	775554	745988
2016	08	Cinca Medio	5786	128462,08	125882,01	951891	934659
2016	09	La Litera / La Llitera	6341	206445	190055,55	1446011	1381683
2016	10	Los Monegros	10663	297180,86	289534,12	2139161	1941830
2016	11	Bajo Cinca / Baix Cinca	8682	310726,6	277167,34	1748838	1647538
2016	12	Tarazona y el Moncayo	7820	36433,13	35976,73	255280	252904
2016	13	Campo de Borja	9845	59544,77	58096,98	451506	450683
2016	14	Aranda	5512	16441,77	16027,49	70004	66283
2016	15	Ribera Alta del Ebro	7072	95710,24	93234,25	625705	622179
2016	16	Valdejalón	8926	151522,5	147627,2	1022762	1020079
2016	17	D.C. Zaragoza	28705	647847,67	638858,9	4355843	3826191
2016	18	Ribera Baja del Ebro	5523	88981,89	86654,95	545888	543040
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5876	90546,23	89983,41	551473	551007
2016	20	Comunidad de Calatayud	29841	121665,63	118356,67	720076	710545
2016	21	Campo de Cariñena	6114	57355,95	56960,33	432159	431421
2016	22	Campo de Belchite	6835	40880,77	39736,01	273336	272540
2016	23	Bajo Martín	8137	44284,76	44284,76	322286	287557
2016	24	Campo de Daroca	9433	49154,04	47769,2	236388	235412
