Comarca código	Comarca nombre	Tipo estudios	Personas residentes viviendas familiares
15	Ribera Alta del Ebro	Artes y Humanidades	129
15	Ribera Alta del Ebro	Informática	84
15	Ribera Alta del Ebro	Ingenierías	130
15	Ribera Alta del Ebro	Formación Técnica e Industrial	779
15	Ribera Alta del Ebro	Ciencias	80
15	Ribera Alta del Ebro	Arquitectura o Construcción	28
15	Ribera Alta del Ebro	Agricultura, Veterinaria,...	112
15	Ribera Alta del Ebro	Salud, Servicios Sociales	231
15	Ribera Alta del Ebro	Otros Servicios	143
16	Valdejalón	Derecho	88
16	Valdejalón	Magisterio, Educación infantil...	257
16	Valdejalón	Ciencias Sociales	441
16	Valdejalón	Artes y Humanidades	142
16	Valdejalón	Informática	151
16	Valdejalón	Ingenierías	256
16	Valdejalón	Formación Técnica e Industrial	697
16	Valdejalón	Ciencias	74
16	Valdejalón	Arquitectura o Construcción	23
16	Valdejalón	Agricultura, Veterinaria,...	118
16	Valdejalón	Salud, Servicios Sociales	268
16	Valdejalón	Otros Servicios	134
17	D.C. Zaragoza	Derecho	10027
17	D.C. Zaragoza	Magisterio, Educación infantil...	12880
17	D.C. Zaragoza	Ciencias Sociales	26364
17	D.C. Zaragoza	Artes y Humanidades	11333
17	D.C. Zaragoza	Informática	4823
17	D.C. Zaragoza	Ingenierías	10588
17	D.C. Zaragoza	Formación Técnica e Industrial	29069
17	D.C. Zaragoza	Ciencias	6545
17	D.C. Zaragoza	Arquitectura o Construcción	2096
17	D.C. Zaragoza	Agricultura, Veterinaria,...	2370
17	D.C. Zaragoza	Salud, Servicios Sociales	19560
17	D.C. Zaragoza	Otros Servicios	8276
18	Ribera Baja del Ebro	Derecho	36
18	Ribera Baja del Ebro	Magisterio, Educación infantil...	93
18	Ribera Baja del Ebro	Ciencias Sociales	172
18	Ribera Baja del Ebro	Artes y Humanidades	27
18	Ribera Baja del Ebro	Informática	14
18	Ribera Baja del Ebro	Ingenierías	56
18	Ribera Baja del Ebro	Formación Técnica e Industrial	286
18	Ribera Baja del Ebro	Ciencias	20
18	Ribera Baja del Ebro	Arquitectura o Construcción	11
18	Ribera Baja del Ebro	Agricultura, Veterinaria,...	43
18	Ribera Baja del Ebro	Salud, Servicios Sociales	111
18	Ribera Baja del Ebro	Otros Servicios	75
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Derecho	55
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Magisterio, Educación infantil...	151
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ciencias Sociales	249
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Artes y Humanidades	52
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Informática	25
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ingenierías	38
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Formación Técnica e Industrial	324
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Ciencias	48
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Arquitectura o Construcción	17
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Agricultura, Veterinaria,...	80
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Salud, Servicios Sociales	121
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Otros Servicios	76
20	Comunidad de Calatayud	Derecho	211
20	Comunidad de Calatayud	Magisterio, Educación infantil...	517
20	Comunidad de Calatayud	Ciencias Sociales	857
20	Comunidad de Calatayud	Artes y Humanidades	235
20	Comunidad de Calatayud	Informática	279
20	Comunidad de Calatayud	Ingenierías	275
20	Comunidad de Calatayud	Formación Técnica e Industrial	1125
20	Comunidad de Calatayud	Ciencias	134
20	Comunidad de Calatayud	Arquitectura o Construcción	59
20	Comunidad de Calatayud	Agricultura, Veterinaria,...	114
20	Comunidad de Calatayud	Salud, Servicios Sociales	763
20	Comunidad de Calatayud	Otros Servicios	298
21	Campo de Cariñena	Derecho	34
21	Campo de Cariñena	Magisterio, Educación infantil...	82
21	Campo de Cariñena	Ciencias Sociales	160
21	Campo de Cariñena	Artes y Humanidades	94
21	Campo de Cariñena	Informática	46
21	Campo de Cariñena	Ingenierías	63
21	Campo de Cariñena	Formación Técnica e Industrial	277
21	Campo de Cariñena	Ciencias	37
21	Campo de Cariñena	Arquitectura o Construcción	8
21	Campo de Cariñena	Agricultura, Veterinaria,...	50
21	Campo de Cariñena	Salud, Servicios Sociales	105
21	Campo de Cariñena	Otros Servicios	69
22	Campo de Belchite	Derecho	25
22	Campo de Belchite	Magisterio, Educación infantil...	42
22	Campo de Belchite	Ciencias Sociales	73
22	Campo de Belchite	Artes y Humanidades	27
22	Campo de Belchite	Informática	21
22	Campo de Belchite	Ingenierías	22
22	Campo de Belchite	Formación Técnica e Industrial	103
22	Campo de Belchite	Ciencias	15
22	Campo de Belchite	Arquitectura o Construcción	6
22	Campo de Belchite	Agricultura, Veterinaria,...	13
22	Campo de Belchite	Salud, Servicios Sociales	43
22	Campo de Belchite	Otros Servicios	19
23	Bajo Martín	Derecho	29
23	Bajo Martín	Magisterio, Educación infantil...	52
23	Bajo Martín	Ciencias Sociales	95
23	Bajo Martín	Artes y Humanidades	28
23	Bajo Martín	Informática	7
23	Bajo Martín	Ingenierías	31
23	Bajo Martín	Formación Técnica e Industrial	203
23	Bajo Martín	Ciencias	23
23	Bajo Martín	Arquitectura o Construcción	8
23	Bajo Martín	Agricultura, Veterinaria,...	25
23	Bajo Martín	Salud, Servicios Sociales	45
23	Bajo Martín	Otros Servicios	21
24	Campo de Daroca	Derecho	48
24	Campo de Daroca	Magisterio, Educación infantil...	83
24	Campo de Daroca	Ciencias Sociales	97
24	Campo de Daroca	Artes y Humanidades	46
24	Campo de Daroca	Informática	18
24	Campo de Daroca	Ingenierías	45
24	Campo de Daroca	Formación Técnica e Industrial	163
24	Campo de Daroca	Ciencias	30
24	Campo de Daroca	Arquitectura o Construcción	3
24	Campo de Daroca	Agricultura, Veterinaria,...	46
