Comarca código	Comarca nombre	Año	Sistema de cultivo	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Eriales	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos	Total (A+B+C+D)
29	Comunidad de Teruel	2017	Secano	92693	51210	40019	1464	92476	0	39540	73034	25010	29567	18457	12085	52936	0	1684	7231	3170	270288
30	Maestrazgo	2017	Regadío	820	285	426	109	5	5	0	1	1	0	0	0	0	0	0	0	0	826
30	Maestrazgo	2017	Secano	9489	5208	3216	1065	67701	0	44445	38040	27075	10965	0	4452	23256	0	584	2520	1348	119682
31	Sierra de Albarracín	2017	Regadío	502	285	217	0	14	14	0	11	11	0	0	0	0	0	0	0	0	527
31	Sierra de Albarracín	2017	Secano	16110	8473	7253	384	42928	0	29255	80276	40717	39559	0	2696	13673	0	324	1881	491	142010
32	Gúdar-Javalambre	2017	Regadío	2608	536	1399	673	144	144	0	13	13	0	0	0	0	0	0	0	0	2765
32	Gúdar-Javalambre	2017	Secano	20849	8779	8119	3951	72250	0	48976	129235	72466	56769	0	10407	23274	0	883	7384	2140	232741
33	Matarraña / Matarranya	2017	Regadío	1141	120	494	527	2	2	0	8	8	0	0	0	0	0	0	0	0	1151
33	Matarraña / Matarranya	2017	Secano	26043	3534	3417	19092	12244	0	871	50857	41169	8744	944	3177	11373	0	588	1607	982	92321
01	La Jacetania	2016	Regadío	1425	1300	122	3	3	3	0	0	0	0	0	0	0	0	0	0	0	1428
01	La Jacetania	2016	Secano	21944	19261	2606	77	6304	1516	1929	139008	82828	14722	41458	17081	2859	0	9251	3196	4634	184337
02	Alto Gállego	2016	Regadío	949	870	53	26	5	5	0	2	2	0	0	0	0	0	0	0	0	956
02	Alto Gállego	2016	Secano	7225	6026	1195	4	2084	2084	0	111349	67997	6182	37170	14367	0	0	9540	2417	2410	135025
03	Sobrarbe	2016	Regadío	1631	1564	65	2	18	18	0	1	1	0	0	0	0	0	0	0	0	1650
03	Sobrarbe	2016	Secano	12144	11060	749	335	5653	3544	23	175740	99552	16473	59715	25033	2086	0	16849	2103	6081	218570
04	La Ribagorza	2016	Regadío	1274	1065	202	7	5	5	0	4	4	0	0	0	0	0	0	0	0	1283
04	La Ribagorza	2016	Secano	29952	26287	2680	985	6856	6652	132	185414	87537	36398	61479	22532	72	0	13495	3432	5605	244754
05	Cinco Villas	2016	Regadío	73225	68643	3120	1462	0	0	0	98	98	0	0	0	0	0	0	0	0	73323
05	Cinco Villas	2016	Secano	73492	54858	17291	1343	50339	0	9561	94058	65963	8072	20023	18121	40778	0	3021	8218	6882	236010
