Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Sector código	Sector descripción	CCAA nombre
Noviembre 2015	201511	Noviembre	2015	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	49	2	Industria y energía	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	36	2	Industria y energía	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	5	3	Construcción	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	3	3	Construcción	Aragón
Noviembre 2015	201511	Noviembre	2015	Hombres	219	4	Servicios	Aragón
Noviembre 2015	201511	Noviembre	2015	Mujeres	342	4	Servicios	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	13	1	Agricultura, ganadería y pesca	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	60	2	Industria y energía	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	41	2	Industria y energía	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	11	3	Construcción	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	3	3	Construcción	Aragón
Octubre 2015	201510	Octubre	2015	Hombres	198	4	Servicios	Aragón
Octubre 2015	201510	Octubre	2015	Mujeres	389	4	Servicios	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	79	2	Industria y energía	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	50	2	Industria y energía	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	11	3	Construcción	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	8	3	Construcción	Aragón
Septiembre 2015	201509	Septiembre	2015	Hombres	223	4	Servicios	Aragón
Septiembre 2015	201509	Septiembre	2015	Mujeres	405	4	Servicios	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	44	2	Industria y energía	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	31	2	Industria y energía	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	15	3	Construcción	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	2	3	Construcción	Aragón
Agosto 2015	201508	Agosto	2015	Hombres	163	4	Servicios	Aragón
Agosto 2015	201508	Agosto	2015	Mujeres	223	4	Servicios	Aragón
Julio 2015	201507	Julio	2015	Hombres	9	1	Agricultura, ganadería y pesca	Aragón
Julio 2015	201507	Julio	2015	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Julio 2015	201507	Julio	2015	Hombres	86	2	Industria y energía	Aragón
Julio 2015	201507	Julio	2015	Mujeres	51	2	Industria y energía	Aragón
Julio 2015	201507	Julio	2015	Hombres	7	3	Construcción	Aragón
Julio 2015	201507	Julio	2015	Mujeres	3	3	Construcción	Aragón
Julio 2015	201507	Julio	2015	Hombres	267	4	Servicios	Aragón
Julio 2015	201507	Julio	2015	Mujeres	363	4	Servicios	Aragón
Junio 2015	201506	Junio	2015	Hombres	11	1	Agricultura, ganadería y pesca	Aragón
Junio 2015	201506	Junio	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Junio 2015	201506	Junio	2015	Hombres	76	2	Industria y energía	Aragón
Junio 2015	201506	Junio	2015	Mujeres	52	2	Industria y energía	Aragón
Junio 2015	201506	Junio	2015	Hombres	8	3	Construcción	Aragón
Junio 2015	201506	Junio	2015	Mujeres	5	3	Construcción	Aragón
Junio 2015	201506	Junio	2015	Hombres	228	4	Servicios	Aragón
Junio 2015	201506	Junio	2015	Mujeres	364	4	Servicios	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	17	1	Agricultura, ganadería y pesca	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	56	2	Industria y energía	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	45	2	Industria y energía	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	15	3	Construcción	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	7	3	Construcción	Aragón
Mayo 2015	201505	Mayo	2015	Hombres	180	4	Servicios	Aragón
Mayo 2015	201505	Mayo	2015	Mujeres	368	4	Servicios	Aragón
Abril 2015	201504	Abril	2015	Hombres	4	1	Agricultura, ganadería y pesca	Aragón
Abril 2015	201504	Abril	2015	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Abril 2015	201504	Abril	2015	Hombres	63	2	Industria y energía	Aragón
Abril 2015	201504	Abril	2015	Mujeres	42	2	Industria y energía	Aragón
Abril 2015	201504	Abril	2015	Hombres	9	3	Construcción	Aragón
Abril 2015	201504	Abril	2015	Mujeres	6	3	Construcción	Aragón
Abril 2015	201504	Abril	2015	Hombres	149	4	Servicios	Aragón
Abril 2015	201504	Abril	2015	Mujeres	321	4	Servicios	Aragón
Marzo 2015	201503	Marzo	2015	Hombres	18	1	Agricultura, ganadería y pesca	Aragón
Marzo 2015	201503	Marzo	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Marzo 2015	201503	Marzo	2015	Hombres	53	2	Industria y energía	Aragón
Marzo 2015	201503	Marzo	2015	Mujeres	40	2	Industria y energía	Aragón
Marzo 2015	201503	Marzo	2015	Hombres	5	3	Construcción	Aragón
Marzo 2015	201503	Marzo	2015	Mujeres	3	3	Construcción	Aragón
Marzo 2015	201503	Marzo	2015	Hombres	182	4	Servicios	Aragón
Marzo 2015	201503	Marzo	2015	Mujeres	331	4	Servicios	Aragón
Febrero 2015	201502	Febrero	2015	Hombres	9	1	Agricultura, ganadería y pesca	Aragón
Febrero 2015	201502	Febrero	2015	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Febrero 2015	201502	Febrero	2015	Hombres	38	2	Industria y energía	Aragón
Febrero 2015	201502	Febrero	2015	Mujeres	26	2	Industria y energía	Aragón
Febrero 2015	201502	Febrero	2015	Hombres	6	3	Construcción	Aragón
Febrero 2015	201502	Febrero	2015	Mujeres	5	3	Construcción	Aragón
Febrero 2015	201502	Febrero	2015	Hombres	182	4	Servicios	Aragón
Febrero 2015	201502	Febrero	2015	Mujeres	306	4	Servicios	Aragón
Enero 2015	201501	Enero	2015	Hombres	7	1	Agricultura, ganadería y pesca	Aragón
Enero 2015	201501	Enero	2015	Hombres	68	2	Industria y energía	Aragón
Enero 2015	201501	Enero	2015	Mujeres	44	2	Industria y energía	Aragón
Enero 2015	201501	Enero	2015	Hombres	6	3	Construcción	Aragón
Enero 2015	201501	Enero	2015	Mujeres	3	3	Construcción	Aragón
Enero 2015	201501	Enero	2015	Hombres	161	4	Servicios	Aragón
Enero 2015	201501	Enero	2015	Mujeres	327	4	Servicios	Aragón
Diciembre 2014	201412	Diciembre	2014	Hombres	11	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2014	201412	Diciembre	2014	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2014	201412	Diciembre	2014	Hombres	31	2	Industria y energía	Aragón
Diciembre 2014	201412	Diciembre	2014	Mujeres	26	2	Industria y energía	Aragón
Diciembre 2014	201412	Diciembre	2014	Hombres	4	3	Construcción	Aragón
Diciembre 2014	201412	Diciembre	2014	Mujeres	4	3	Construcción	Aragón
Diciembre 2014	201412	Diciembre	2014	Hombres	155	4	Servicios	Aragón
Diciembre 2014	201412	Diciembre	2014	Mujeres	301	4	Servicios	Aragón
Noviembre 2014	201411	Noviembre	2014	Hombres	12	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2014	201411	Noviembre	2014	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2014	201411	Noviembre	2014	Hombres	55	2	Industria y energía	Aragón
Noviembre 2014	201411	Noviembre	2014	Mujeres	42	2	Industria y energía	Aragón
Noviembre 2014	201411	Noviembre	2014	Hombres	9	3	Construcción	Aragón
Noviembre 2014	201411	Noviembre	2014	Mujeres	7	3	Construcción	Aragón
Noviembre 2014	201411	Noviembre	2014	Hombres	167	4	Servicios	Aragón
Noviembre 2014	201411	Noviembre	2014	Mujeres	281	4	Servicios	Aragón
Octubre 2014	201410	Octubre	2014	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Octubre 2014	201410	Octubre	2014	Hombres	70	2	Industria y energía	Aragón
Octubre 2014	201410	Octubre	2014	Mujeres	40	2	Industria y energía	Aragón
Octubre 2014	201410	Octubre	2014	Hombres	4	3	Construcción	Aragón
Octubre 2014	201410	Octubre	2014	Mujeres	5	3	Construcción	Aragón
Octubre 2014	201410	Octubre	2014	Hombres	217	4	Servicios	Aragón
Octubre 2014	201410	Octubre	2014	Mujeres	398	4	Servicios	Aragón
Septiembre 2014	201409	Septiembre	2014	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2014	201409	Septiembre	2014	Mujeres	5	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2014	201409	Septiembre	2014	Hombres	64	2	Industria y energía	Aragón
Septiembre 2014	201409	Septiembre	2014	Mujeres	35	2	Industria y energía	Aragón
Septiembre 2014	201409	Septiembre	2014	Hombres	10	3	Construcción	Aragón
Septiembre 2014	201409	Septiembre	2014	Mujeres	5	3	Construcción	Aragón
Septiembre 2014	201409	Septiembre	2014	Hombres	247	4	Servicios	Aragón
Septiembre 2014	201409	Septiembre	2014	Mujeres	360	4	Servicios	Aragón
Agosto 2014	201408	Agosto	2014	Hombres	15	1	Agricultura, ganadería y pesca	Aragón
Agosto 2014	201408	Agosto	2014	Hombres	34	2	Industria y energía	Aragón
Agosto 2014	201408	Agosto	2014	Mujeres	29	2	Industria y energía	Aragón
Agosto 2014	201408	Agosto	2014	Hombres	5	3	Construcción	Aragón
Agosto 2014	201408	Agosto	2014	Mujeres	2	3	Construcción	Aragón
Agosto 2014	201408	Agosto	2014	Hombres	159	4	Servicios	Aragón
Agosto 2014	201408	Agosto	2014	Mujeres	259	4	Servicios	Aragón
Julio 2014	201407	Julio	2014	Hombres	15	1	Agricultura, ganadería y pesca	Aragón
Julio 2014	201407	Julio	2014	Mujeres	4	1	Agricultura, ganadería y pesca	Aragón
Julio 2014	201407	Julio	2014	Hombres	68	2	Industria y energía	Aragón
Julio 2014	201407	Julio	2014	Mujeres	50	2	Industria y energía	Aragón
Julio 2014	201407	Julio	2014	Hombres	6	3	Construcción	Aragón
Julio 2014	201407	Julio	2014	Mujeres	4	3	Construcción	Aragón
Julio 2014	201407	Julio	2014	Hombres	231	4	Servicios	Aragón
Julio 2014	201407	Julio	2014	Mujeres	365	4	Servicios	Aragón
Junio 2014	201406	Junio	2014	Hombres	9	1	Agricultura, ganadería y pesca	Aragón
Junio 2014	201406	Junio	2014	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Junio 2014	201406	Junio	2014	Hombres	39	2	Industria y energía	Aragón
Junio 2014	201406	Junio	2014	Mujeres	34	2	Industria y energía	Aragón
Junio 2014	201406	Junio	2014	Hombres	16	3	Construcción	Aragón
Junio 2014	201406	Junio	2014	Mujeres	8	3	Construcción	Aragón
Junio 2014	201406	Junio	2014	Hombres	190	4	Servicios	Aragón
Junio 2014	201406	Junio	2014	Mujeres	315	4	Servicios	Aragón
Mayo 2014	201405	Mayo	2014	Hombres	9	1	Agricultura, ganadería y pesca	Aragón
Mayo 2014	201405	Mayo	2014	Hombres	67	2	Industria y energía	Aragón
Mayo 2014	201405	Mayo	2014	Mujeres	42	2	Industria y energía	Aragón
Mayo 2014	201405	Mayo	2014	Hombres	10	3	Construcción	Aragón
Mayo 2014	201405	Mayo	2014	Mujeres	5	3	Construcción	Aragón
Mayo 2014	201405	Mayo	2014	Hombres	150	4	Servicios	Aragón
Mayo 2014	201405	Mayo	2014	Mujeres	308	4	Servicios	Aragón
Abril 2014	201404	Abril	2014	Hombres	17	1	Agricultura, ganadería y pesca	Aragón
Abril 2014	201404	Abril	2014	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Abril 2014	201404	Abril	2014	Hombres	36	2	Industria y energía	Aragón
Abril 2014	201404	Abril	2014	Mujeres	35	2	Industria y energía	Aragón
Abril 2014	201404	Abril	2014	Hombres	7	3	Construcción	Aragón
Abril 2014	201404	Abril	2014	Mujeres	3	3	Construcción	Aragón
Abril 2014	201404	Abril	2014	Hombres	161	4	Servicios	Aragón
Abril 2014	201404	Abril	2014	Mujeres	303	4	Servicios	Aragón
Marzo 2014	201403	Marzo	2014	Hombres	13	1	Agricultura, ganadería y pesca	Aragón
Marzo 2014	201403	Marzo	2014	Hombres	42	2	Industria y energía	Aragón
Marzo 2014	201403	Marzo	2014	Mujeres	35	2	Industria y energía	Aragón
Marzo 2014	201403	Marzo	2014	Hombres	13	3	Construcción	Aragón
Marzo 2014	201403	Marzo	2014	Mujeres	2	3	Construcción	Aragón
Marzo 2014	201403	Marzo	2014	Hombres	194	4	Servicios	Aragón
Marzo 2014	201403	Marzo	2014	Mujeres	293	4	Servicios	Aragón
Febrero 2014	201402	Febrero	2014	Hombres	8	1	Agricultura, ganadería y pesca	Aragón
Febrero 2014	201402	Febrero	2014	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Febrero 2014	201402	Febrero	2014	Hombres	65	2	Industria y energía	Aragón
Febrero 2014	201402	Febrero	2014	Mujeres	41	2	Industria y energía	Aragón
Febrero 2014	201402	Febrero	2014	Hombres	11	3	Construcción	Aragón
Febrero 2014	201402	Febrero	2014	Mujeres	3	3	Construcción	Aragón
Febrero 2014	201402	Febrero	2014	Hombres	176	4	Servicios	Aragón
Febrero 2014	201402	Febrero	2014	Mujeres	359	4	Servicios	Aragón
Enero 2014	201401	Enero	2014	Hombres	13	1	Agricultura, ganadería y pesca	Aragón
Enero 2014	201401	Enero	2014	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Enero 2014	201401	Enero	2014	Hombres	48	2	Industria y energía	Aragón
Enero 2014	201401	Enero	2014	Mujeres	47	2	Industria y energía	Aragón
Enero 2014	201401	Enero	2014	Hombres	13	3	Construcción	Aragón
Enero 2014	201401	Enero	2014	Mujeres	3	3	Construcción	Aragón
Enero 2014	201401	Enero	2014	Hombres	168	4	Servicios	Aragón
Enero 2014	201401	Enero	2014	Mujeres	301	4	Servicios	Aragón
Diciembre 2013	201312	Diciembre	2013	Hombres	7	1	Agricultura, ganadería y pesca	Aragón
Diciembre 2013	201312	Diciembre	2013	Hombres	52	2	Industria y energía	Aragón
Diciembre 2013	201312	Diciembre	2013	Mujeres	25	2	Industria y energía	Aragón
Diciembre 2013	201312	Diciembre	2013	Hombres	8	3	Construcción	Aragón
Diciembre 2013	201312	Diciembre	2013	Mujeres	2	3	Construcción	Aragón
Diciembre 2013	201312	Diciembre	2013	Hombres	144	4	Servicios	Aragón
Diciembre 2013	201312	Diciembre	2013	Mujeres	257	4	Servicios	Aragón
Noviembre 2013	201311	Noviembre	2013	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2013	201311	Noviembre	2013	Mujeres	3	1	Agricultura, ganadería y pesca	Aragón
Noviembre 2013	201311	Noviembre	2013	Hombres	66	2	Industria y energía	Aragón
Noviembre 2013	201311	Noviembre	2013	Mujeres	43	2	Industria y energía	Aragón
Noviembre 2013	201311	Noviembre	2013	Hombres	21	3	Construcción	Aragón
Noviembre 2013	201311	Noviembre	2013	Mujeres	9	3	Construcción	Aragón
Noviembre 2013	201311	Noviembre	2013	Hombres	214	4	Servicios	Aragón
Noviembre 2013	201311	Noviembre	2013	Mujeres	337	4	Servicios	Aragón
Octubre 2013	201310	Octubre	2013	Hombres	17	1	Agricultura, ganadería y pesca	Aragón
Octubre 2013	201310	Octubre	2013	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Octubre 2013	201310	Octubre	2013	Hombres	62	2	Industria y energía	Aragón
Octubre 2013	201310	Octubre	2013	Mujeres	41	2	Industria y energía	Aragón
Octubre 2013	201310	Octubre	2013	Hombres	15	3	Construcción	Aragón
Octubre 2013	201310	Octubre	2013	Mujeres	5	3	Construcción	Aragón
Octubre 2013	201310	Octubre	2013	Hombres	263	4	Servicios	Aragón
Octubre 2013	201310	Octubre	2013	Mujeres	386	4	Servicios	Aragón
Septiembre 2013	201309	Septiembre	2013	Hombres	12	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2013	201309	Septiembre	2013	Mujeres	1	1	Agricultura, ganadería y pesca	Aragón
Septiembre 2013	201309	Septiembre	2013	Hombres	59	2	Industria y energía	Aragón
Septiembre 2013	201309	Septiembre	2013	Mujeres	34	2	Industria y energía	Aragón
Septiembre 2013	201309	Septiembre	2013	Hombres	10	3	Construcción	Aragón
Septiembre 2013	201309	Septiembre	2013	Mujeres	4	3	Construcción	Aragón
Septiembre 2013	201309	Septiembre	2013	Hombres	190	4	Servicios	Aragón
Septiembre 2013	201309	Septiembre	2013	Mujeres	354	4	Servicios	Aragón
Agosto 2013	201308	Agosto	2013	Hombres	11	1	Agricultura, ganadería y pesca	Aragón
Agosto 2013	201308	Agosto	2013	Hombres	34	2	Industria y energía	Aragón
Agosto 2013	201308	Agosto	2013	Mujeres	19	2	Industria y energía	Aragón
Agosto 2013	201308	Agosto	2013	Hombres	6	3	Construcción	Aragón
Agosto 2013	201308	Agosto	2013	Mujeres	2	3	Construcción	Aragón
Agosto 2013	201308	Agosto	2013	Hombres	163	4	Servicios	Aragón
Agosto 2013	201308	Agosto	2013	Mujeres	232	4	Servicios	Aragón
Julio 2013	201307	Julio	2013	Hombres	14	1	Agricultura, ganadería y pesca	Aragón
Julio 2013	201307	Julio	2013	Mujeres	2	1	Agricultura, ganadería y pesca	Aragón
Julio 2013	201307	Julio	2013	Hombres	73	2	Industria y energía	Aragón
Julio 2013	201307	Julio	2013	Mujeres	38	2	Industria y energía	Aragón
Julio 2013	201307	Julio	2013	Hombres	16	3	Construcción	Aragón
Julio 2013	201307	Julio	2013	Mujeres	8	3	Construcción	Aragón
Julio 2013	201307	Julio	2013	Hombres	225	4	Servicios	Aragón
Julio 2013	201307	Julio	2013	Mujeres	344	4	Servicios	Aragón
Junio 2013	201306	Junio	2013	Hombres	10	1	Agricultura, ganadería y pesca	Aragón
