Municipio código	Municipio nombre	Estudios en curso	Personas residentes viviendas familiares
22160	Naval	Sin estudios en curso	139
22162	Novales	Con estudios en curso	9
22162	Novales	Sin estudios en curso	68
22163	Nueno	Con estudios en curso	42
22163	Nueno	Sin estudios en curso	169
22164	Olvena	Con estudios en curso	5
22164	Olvena	Sin estudios en curso	12
22165	Ontiñena	Con estudios en curso	38
22165	Ontiñena	Sin estudios en curso	194
22167	Osso de Cinca	Con estudios en curso	42
22167	Osso de Cinca	Sin estudios en curso	322
22168	Palo	Con estudios en curso	2
22168	Palo	Sin estudios en curso	14
22170	Panticosa	Con estudios en curso	72
22170	Panticosa	Sin estudios en curso	323
22172	Peñalba	Con estudios en curso	37
22172	Peñalba	Sin estudios en curso	286
22173	Peñas de Riglos (Las)	Con estudios en curso	9
22173	Peñas de Riglos (Las)	Sin estudios en curso	99
22174	Peralta de Alcofea	Con estudios en curso	54
22174	Peralta de Alcofea	Sin estudios en curso	260
22175	Peralta de Calasanz	Con estudios en curso	9
22175	Peralta de Calasanz	Sin estudios en curso	85
22176	Peraltilla	Con estudios en curso	10
22176	Peraltilla	Sin estudios en curso	66
22177	Perarrúa	Con estudios en curso	5
22177	Perarrúa	Sin estudios en curso	45
22178	Pertusa	Con estudios en curso	13
22178	Pertusa	Sin estudios en curso	68
22181	Piracés	Con estudios en curso	3
22181	Piracés	Sin estudios en curso	42
22182	Plan	Con estudios en curso	22
22182	Plan	Sin estudios en curso	120
22184	Poleñino	Con estudios en curso	19
22184	Poleñino	Sin estudios en curso	106
22186	Pozán de Vero	Con estudios en curso	11
22186	Pozán de Vero	Sin estudios en curso	74
22187	Puebla de Castro (La)	Con estudios en curso	19
22187	Puebla de Castro (La)	Sin estudios en curso	131
22188	Puente de Montañana	Con estudios en curso	10
22188	Puente de Montañana	Sin estudios en curso	34
22189	Puértolas	Con estudios en curso	20
22189	Puértolas	Sin estudios en curso	90
22190	Pueyo de Araguás (El)	Con estudios en curso	4
22190	Pueyo de Araguás (El)	Sin estudios en curso	66
22193	Pueyo de Santa Cruz	Con estudios en curso	27
22193	Pueyo de Santa Cruz	Sin estudios en curso	113
22195	Quicena	Con estudios en curso	18
22195	Quicena	Sin estudios en curso	54
22197	Robres	Con estudios en curso	35
22197	Robres	Sin estudios en curso	251
22199	Sabiñánigo	Con estudios en curso	1032
22199	Sabiñánigo	Sin estudios en curso	3328
22200	Sahún	Con estudios en curso	16
22200	Sahún	Sin estudios en curso	126
22201	Salas Altas	Con estudios en curso	29
22201	Salas Altas	Sin estudios en curso	120
22202	Salas Bajas	Con estudios en curso	5
22202	Salas Bajas	Sin estudios en curso	57
22203	Salillas	Con estudios en curso	8
22203	Salillas	Sin estudios en curso	33
22204	Sallent de Gállego	Con estudios en curso	80
22204	Sallent de Gállego	Sin estudios en curso	568
22205	San Esteban de Litera	Con estudios en curso	53
22205	San Esteban de Litera	Sin estudios en curso	212
22206	Sangarrén	Con estudios en curso	16
22206	Sangarrén	Sin estudios en curso	94
22207	San Juan de Plan	Con estudios en curso	7
22207	San Juan de Plan	Sin estudios en curso	70
22208	Santa Cilia	Con estudios en curso	27
22208	Santa Cilia	Sin estudios en curso	72
22209	Santa Cruz de la Serós	Con estudios en curso	17
22209	Santa Cruz de la Serós	Sin estudios en curso	65
22212	Santaliestra y San Quílez	Con estudios en curso	6
22212	Santaliestra y San Quílez	Sin estudios en curso	56
22213	Sariñena	Con estudios en curso	380
22213	Sariñena	Sin estudios en curso	1512
22214	Secastilla	Con estudios en curso	7
22214	Secastilla	Sin estudios en curso	38
22215	Seira	Con estudios en curso	22
22215	Seira	Sin estudios en curso	79
22217	Sena	Con estudios en curso	38
22217	Sena	Sin estudios en curso	234
22218	Senés de Alcubierre	Con estudios en curso	4
22218	Senés de Alcubierre	Sin estudios en curso	24
22220	Sesa	Con estudios en curso	10
22220	Sesa	Sin estudios en curso	90
22221	Sesué	Con estudios en curso	13
22221	Sesué	Sin estudios en curso	61
22222	Siétamo	Con estudios en curso	35
22222	Siétamo	Sin estudios en curso	212
22223	Sopeira	Con estudios en curso	7
22223	Sopeira	Sin estudios en curso	41
22225	Tamarite de Litera	Con estudios en curso	323
22225	Tamarite de Litera	Sin estudios en curso	1387
22226	Tardienta	Con estudios en curso	117
22226	Tardienta	Sin estudios en curso	393
22227	Tella-Sin	Con estudios en curso	16
22227	Tella-Sin	Sin estudios en curso	98
22228	Tierz	Con estudios en curso	16
22228	Tierz	Sin estudios en curso	68
22229	Tolva	Con estudios en curso	8
22229	Tolva	Sin estudios en curso	69
22230	Torla	Con estudios en curso	24
22230	Torla	Sin estudios en curso	151
22232	Torralba de Aragón	Con estudios en curso	7
22232	Torralba de Aragón	Sin estudios en curso	50
22233	Torre la Ribera	Con estudios en curso	7
22233	Torre la Ribera	Sin estudios en curso	31
22234	Torrente de Cinca	Con estudios en curso	72
22234	Torrente de Cinca	Sin estudios en curso	457
22235	Torres de Alcanadre	Con estudios en curso	9
22235	Torres de Alcanadre	Sin estudios en curso	32
22236	Torres de Barbués	Con estudios en curso	19
22236	Torres de Barbués	Sin estudios en curso	145
22239	Tramaced	Con estudios en curso	8
22239	Tramaced	Sin estudios en curso	42
22242	Valfarta	Sin estudios en curso	29
22243	Valle de Bardají	Con estudios en curso	1
22243	Valle de Bardají	Sin estudios en curso	12
22244	Valle de Lierp	Con estudios en curso	1
22244	Valle de Lierp	Sin estudios en curso	15
22245	Velilla de Cinca	Con estudios en curso	26
22245	Velilla de Cinca	Sin estudios en curso	170
22246	Veracruz	Con estudios en curso	5
22246	Veracruz	Sin estudios en curso	34
22247	Viacamp y Litera	Con estudios en curso	2
22247	Viacamp y Litera	Sin estudios en curso	21
22248	Vicién	Con estudios en curso	12
22248	Vicién	Sin estudios en curso	52
22249	Villanova	Con estudios en curso	10
22249	Villanova	Sin estudios en curso	68
22250	Villanúa	Con estudios en curso	24
22250	Villanúa	Sin estudios en curso	158
22251	Villanueva de Sigena	Con estudios en curso	43
22251	Villanueva de Sigena	Sin estudios en curso	167
22252	Yebra de Basa	Con estudios en curso	18
22252	Yebra de Basa	Sin estudios en curso	67
22253	Yésero	Con estudios en curso	5
22253	Yésero	Sin estudios en curso	39
22254	Zaidín	Con estudios en curso	130
22254	Zaidín	Sin estudios en curso	617
22901	Valle de Hecho	Con estudios en curso	61
22901	Valle de Hecho	Sin estudios en curso	394
22902	Puente la Reina de Jaca	Con estudios en curso	39
22902	Puente la Reina de Jaca	Sin estudios en curso	88
22903	San Miguel del Cinca	Con estudios en curso	67
22903	San Miguel del Cinca	Sin estudios en curso	319
22904	Sotonera (La)	Con estudios en curso	75
22904	Sotonera (La)	Sin estudios en curso	399
22905	Lupiñén-Ortilla	Con estudios en curso	37
22905	Lupiñén-Ortilla	Sin estudios en curso	142
22906	Santa María de Dulcis	Con estudios en curso	16
22906	Santa María de Dulcis	Sin estudios en curso	76
22907	Aínsa-Sobrarbe	Con estudios en curso	149
22907	Aínsa-Sobrarbe	Sin estudios en curso	646
22908	Hoz y Costeán	Con estudios en curso	11
22908	Hoz y Costeán	Sin estudios en curso	83
22909	Vencillón	Con estudios en curso	17
22909	Vencillón	Sin estudios en curso	209
44001	Ababuj	Sin estudios en curso	50
44002	Abejuela	Con estudios en curso	3
44002	Abejuela	Sin estudios en curso	19
44003	Aguatón	Con estudios en curso	4
44003	Aguatón	Sin estudios en curso	12
44004	Aguaviva	Con estudios en curso	35
44004	Aguaviva	Sin estudios en curso	223
44005	Aguilar del Alfambra	Con estudios en curso	3
44005	Aguilar del Alfambra	Sin estudios en curso	31
44006	Alacón	Con estudios en curso	11
44006	Alacón	Sin estudios en curso	115
44007	Alba	Con estudios en curso	9
44007	Alba	Sin estudios en curso	93
44008	Albalate del Arzobispo	Con estudios en curso	160
44008	Albalate del Arzobispo	Sin estudios en curso	681
44009	Albarracín	Con estudios en curso	53
44009	Albarracín	Sin estudios en curso	436
44010	Albentosa	Con estudios en curso	13
44010	Albentosa	Sin estudios en curso	107
44011	Alcaine	Con estudios en curso	3
44011	Alcaine	Sin estudios en curso	37
44012	Alcalá de la Selva	Con estudios en curso	30
44012	Alcalá de la Selva	Sin estudios en curso	231
44013	Alcañiz	Con estudios en curso	1193
44013	Alcañiz	Sin estudios en curso	5761
44014	Alcorisa	Con estudios en curso	302
44014	Alcorisa	Sin estudios en curso	1178
44016	Alfambra	Con estudios en curso	40
44016	Alfambra	Sin estudios en curso	229
44017	Aliaga	Con estudios en curso	14
44017	Aliaga	Sin estudios en curso	134
44018	Almohaja	Sin estudios en curso	12
44019	Alobras	Con estudios en curso	5
44019	Alobras	Sin estudios en curso	24
44020	Alpeñés	Con estudios en curso	1
44020	Alpeñés	Sin estudios en curso	10
44021	Allepuz	Con estudios en curso	5
44021	Allepuz	Sin estudios en curso	44
44022	Alloza	Con estudios en curso	46
44022	Alloza	Sin estudios en curso	185
44023	Allueva	Sin estudios en curso	4
44024	Anadón	Con estudios en curso	1
44024	Anadón	Sin estudios en curso	7
44025	Andorra	Con estudios en curso	622
44025	Andorra	Sin estudios en curso	2782
44026	Arcos de las Salinas	Con estudios en curso	7
44026	Arcos de las Salinas	Sin estudios en curso	43
44027	Arens de Lledó	Con estudios en curso	5
44027	Arens de Lledó	Sin estudios en curso	83
44028	Argente	Con estudios en curso	15
44028	Argente	Sin estudios en curso	79
44029	Ariño	Con estudios en curso	58
44029	Ariño	Sin estudios en curso	246
44031	Azaila	Con estudios en curso	6
44031	Azaila	Sin estudios en curso	54
44032	Bádenas	Sin estudios en curso	9
44033	Báguena	Con estudios en curso	13
44033	Báguena	Sin estudios en curso	138
44034	Bañón	Con estudios en curso	4
44034	Bañón	Sin estudios en curso	62
44035	Barrachina	Con estudios en curso	6
44035	Barrachina	Sin estudios en curso	47
44036	Bea	Sin estudios en curso	15
44037	Beceite	Con estudios en curso	40
44037	Beceite	Sin estudios en curso	217
44038	Belmonte de San José	Con estudios en curso	4
44038	Belmonte de San José	Sin estudios en curso	46
44039	Bello	Con estudios en curso	13
44039	Bello	Sin estudios en curso	115
44040	Berge	Con estudios en curso	10
44040	Berge	Sin estudios en curso	78
44041	Bezas	Con estudios en curso	1
44041	Bezas	Sin estudios en curso	25
44042	Blancas	Con estudios en curso	5
44042	Blancas	Sin estudios en curso	64
44043	Blesa	Con estudios en curso	4
44043	Blesa	Sin estudios en curso	53
44044	Bordón	Con estudios en curso	3
44044	Bordón	Sin estudios en curso	44
44045	Bronchales	Con estudios en curso	30
44045	Bronchales	Sin estudios en curso	186
44046	Bueña	Con estudios en curso	3
44046	Bueña	Sin estudios en curso	32
44047	Burbáguena	Con estudios en curso	12
44047	Burbáguena	Sin estudios en curso	64
44048	Cabra de Mora	Con estudios en curso	4
44048	Cabra de Mora	Sin estudios en curso	42
44049	Calaceite	Con estudios en curso	58
44049	Calaceite	Sin estudios en curso	425
44050	Calamocha	Con estudios en curso	327
44050	Calamocha	Sin estudios en curso	1556
44051	Calanda	Con estudios en curso	300
44051	Calanda	Sin estudios en curso	1323
44052	Calomarde	Sin estudios en curso	25
44053	Camañas	Con estudios en curso	5
44053	Camañas	Sin estudios en curso	49
44054	Camarena de la Sierra	Con estudios en curso	5
44054	Camarena de la Sierra	Sin estudios en curso	80
44055	Camarillas	Con estudios en curso	5
44055	Camarillas	Sin estudios en curso	45
44056	Caminreal	Con estudios en curso	58
44056	Caminreal	Sin estudios en curso	275
44059	Cantavieja	Con estudios en curso	88
44059	Cantavieja	Sin estudios en curso	303
44060	Cañada de Benatanduz	Con estudios en curso	2
44060	Cañada de Benatanduz	Sin estudios en curso	20
44061	Cañada de Verich (La)	Con estudios en curso	2
44061	Cañada de Verich (La)	Sin estudios en curso	30
44062	Cañada Vellida	Sin estudios en curso	27
44063	Cañizar del Olivar	Con estudios en curso	4
44063	Cañizar del Olivar	Sin estudios en curso	38
44064	Cascante del Río	Con estudios en curso	2
44064	Cascante del Río	Sin estudios en curso	37
44065	Castejón de Tornos	Con estudios en curso	2
44065	Castejón de Tornos	Sin estudios en curso	32
44066	Castel de Cabra	Con estudios en curso	6
44066	Castel de Cabra	Sin estudios en curso	38
44067	Castelnou	Con estudios en curso	3
44067	Castelnou	Sin estudios en curso	41
44068	Castelserás	Con estudios en curso	45
44068	Castelserás	Sin estudios en curso	321
44070	Castellar (El)	Con estudios en curso	4
44070	Castellar (El)	Sin estudios en curso	33
44071	Castellote	Con estudios en curso	33
44071	Castellote	Sin estudios en curso	274
44074	Cedrillas	Con estudios en curso	34
44074	Cedrillas	Sin estudios en curso	228
44075	Celadas	Con estudios en curso	23
44075	Celadas	Sin estudios en curso	145
44076	Cella	Con estudios en curso	218
44076	Cella	Sin estudios en curso	1147
44077	Cerollera (La)	Con estudios en curso	4
44077	Cerollera (La)	Sin estudios en curso	37
44080	Codoñera (La)	Con estudios en curso	19
44080	Codoñera (La)	Sin estudios en curso	126
44082	Corbalán	Con estudios en curso	1
44082	Corbalán	Sin estudios en curso	32
44084	Cortes de Aragón	Con estudios en curso	4
44084	Cortes de Aragón	Sin estudios en curso	28
44085	Cosa	Con estudios en curso	3
44085	Cosa	Sin estudios en curso	31
44086	Cretas	Con estudios en curso	27
44086	Cretas	Sin estudios en curso	232
44087	Crivillén	Con estudios en curso	5
44087	Crivillén	Sin estudios en curso	32
44088	Cuba (La)	Con estudios en curso	5
44088	Cuba (La)	Sin estudios en curso	19
44089	Cubla	Con estudios en curso	2
44089	Cubla	Sin estudios en curso	9
44090	Cucalón	Con estudios en curso	8
44090	Cucalón	Sin estudios en curso	30
44092	Cuervo (El)	Con estudios en curso	4
44092	Cuervo (El)	Sin estudios en curso	30
44093	Cuevas de Almudén	Con estudios en curso	12
44093	Cuevas de Almudén	Sin estudios en curso	34
44094	Cuevas Labradas	Con estudios en curso	6
44094	Cuevas Labradas	Sin estudios en curso	58
44096	Ejulve	Con estudios en curso	6
44096	Ejulve	Sin estudios en curso	59
44097	Escorihuela	Con estudios en curso	5
44097	Escorihuela	Sin estudios en curso	60
44099	Escucha	Con estudios en curso	69
44099	Escucha	Sin estudios en curso	412
44100	Estercuel	Con estudios en curso	17
44100	Estercuel	Sin estudios en curso	83
44101	Ferreruela de Huerva	Con estudios en curso	8
44101	Ferreruela de Huerva	Sin estudios en curso	20
44102	Fonfría	Sin estudios en curso	8
44103	Formiche Alto	Con estudios en curso	13
44103	Formiche Alto	Sin estudios en curso	65
44105	Fórnoles	Con estudios en curso	3
44105	Fórnoles	Sin estudios en curso	29
44106	Fortanete	Con estudios en curso	8
44106	Fortanete	Sin estudios en curso	69
44107	Foz-Calanda	Con estudios en curso	7
44107	Foz-Calanda	Sin estudios en curso	91
44108	Fresneda (La)	Con estudios en curso	15
44108	Fresneda (La)	Sin estudios en curso	157
44109	Frías de Albarracín	Con estudios en curso	6
44109	Frías de Albarracín	Sin estudios en curso	57
44110	Fuenferrada	Con estudios en curso	1
44110	Fuenferrada	Sin estudios en curso	12
44111	Fuentes Calientes	Con estudios en curso	9
44111	Fuentes Calientes	Sin estudios en curso	49
44112	Fuentes Claras	Con estudios en curso	36
44112	Fuentes Claras	Sin estudios en curso	218
44113	Fuentes de Rubielos	Con estudios en curso	1
44113	Fuentes de Rubielos	Sin estudios en curso	29
44114	Fuentespalda	Con estudios en curso	41
44114	Fuentespalda	Sin estudios en curso	117
44115	Galve	Con estudios en curso	7
44115	Galve	Sin estudios en curso	52
44116	Gargallo	Con estudios en curso	2
44116	Gargallo	Sin estudios en curso	45
44117	Gea de Albarracín	Con estudios en curso	35
44117	Gea de Albarracín	Sin estudios en curso	126
44118	Ginebrosa (La)	Con estudios en curso	8
44118	Ginebrosa (La)	Sin estudios en curso	80
44119	Griegos	Con estudios en curso	11
44119	Griegos	Sin estudios en curso	48
44120	Guadalaviar	Con estudios en curso	12
44120	Guadalaviar	Sin estudios en curso	103
44121	Gúdar	Con estudios en curso	1
44121	Gúdar	Sin estudios en curso	30
44122	Híjar	Con estudios en curso	132
44122	Híjar	Sin estudios en curso	683
44123	Hinojosa de Jarque	Con estudios en curso	8
44123	Hinojosa de Jarque	Sin estudios en curso	54
44124	Hoz de la Vieja (La)	Con estudios en curso	3
44124	Hoz de la Vieja (La)	Sin estudios en curso	37
44125	Huesa del Común	Con estudios en curso	7
44125	Huesa del Común	Sin estudios en curso	43
44126	Iglesuela del Cid (La)	Con estudios en curso	17
44126	Iglesuela del Cid (La)	Sin estudios en curso	216
44127	Jabaloyas	Con estudios en curso	3
44127	Jabaloyas	Sin estudios en curso	23
44128	Jarque de la Val	Con estudios en curso	6
44128	Jarque de la Val	Sin estudios en curso	29
44129	Jatiel	Con estudios en curso	1
44129	Jatiel	Sin estudios en curso	13
44130	Jorcas	Con estudios en curso	2
44130	Jorcas	Sin estudios en curso	21
44131	Josa	Sin estudios en curso	12
44132	Lagueruela	Con estudios en curso	3
44132	Lagueruela	Sin estudios en curso	23
44133	Lanzuela	Con estudios en curso	1
44133	Lanzuela	Sin estudios en curso	5
44135	Libros	Con estudios en curso	4
44135	Libros	Sin estudios en curso	61
44136	Lidón	Con estudios en curso	5
44136	Lidón	Sin estudios en curso	19
44137	Linares de Mora	Con estudios en curso	8
44137	Linares de Mora	Sin estudios en curso	131
44138	Loscos	Con estudios en curso	2
44138	Loscos	Sin estudios en curso	65
44141	Lledó	Con estudios en curso	6
44141	Lledó	Sin estudios en curso	73
44142	Maicas	Sin estudios en curso	16
44143	Manzanera	Con estudios en curso	20
44143	Manzanera	Sin estudios en curso	185
44144	Martín del Río	Con estudios en curso	41
