Comarca código	Comarca nombre	Continente	Area nacionalidad, código	Area nacionalidad	Nivel estudios (agregado)	Grado de formación
07	Somontano de Barbastro	Asia	07	Asia	Primer grado	1
07	Somontano de Barbastro	Asia	07	Asia	Segundo grado	6
07	Somontano de Barbastro	Oceanía	08	Oceanía	Sin estudios	2
08	Cinca Medio	Europa	01	UE-15	Sin estudios	1
08	Cinca Medio	Europa	01	UE-15	Primer grado	9
08	Cinca Medio	Europa	01	UE-15	Segundo grado	19
08	Cinca Medio	Europa	01	UE-15	Tercer grado	5
08	Cinca Medio	Europa	02	Resto de Europa	Analfabetos	9
08	Cinca Medio	Europa	02	Resto de Europa	Sin estudios	31
08	Cinca Medio	Europa	02	Resto de Europa	Primer grado	31
08	Cinca Medio	Europa	02	Resto de Europa	Segundo grado	89
08	Cinca Medio	Europa	02	Resto de Europa	Tercer grado	12
08	Cinca Medio	África	03	Magreb	Analfabetos	53
08	Cinca Medio	África	03	Magreb	Sin estudios	64
08	Cinca Medio	África	03	Magreb	Primer grado	123
08	Cinca Medio	África	03	Magreb	Segundo grado	143
08	Cinca Medio	África	03	Magreb	Tercer grado	16
08	Cinca Medio	África	04	Resto de África	Analfabetos	26
08	Cinca Medio	África	04	Resto de África	Sin estudios	87
08	Cinca Medio	África	04	Resto de África	Primer grado	81
08	Cinca Medio	África	04	Resto de África	Segundo grado	63
08	Cinca Medio	América	05	América del Norte	Primer grado	2
08	Cinca Medio	América	05	América del Norte	Tercer grado	1
08	Cinca Medio	América	06	Resto de América	Analfabetos	3
08	Cinca Medio	América	06	Resto de América	Sin estudios	8
08	Cinca Medio	América	06	Resto de América	Primer grado	15
08	Cinca Medio	América	06	Resto de América	Segundo grado	48
08	Cinca Medio	América	06	Resto de América	Tercer grado	5
08	Cinca Medio	Asia	07	Asia	Analfabetos	2
08	Cinca Medio	Asia	07	Asia	Primer grado	4
08	Cinca Medio	Asia	07	Asia	Tercer grado	3
08	Cinca Medio	Oceanía	08	Oceanía	Analfabetos	2
08	Cinca Medio	Oceanía	08	Oceanía	Sin estudios	5
