Comarca codigo	Comarca nombre	Nivel estudios, código	Nivel estudios	Sexo, código	Sexo	Personas
15	Ribera Alta del Ebro	6	FP Grado Medio	1	Hombre	1267,6830940934
16	Valdejalón	6	FP Grado Medio	1	Hombre	1027,5115606069
17	D.C. Zaragoza	6	FP Grado Medio	1	Hombre	23708,0178773712
18	Ribera Baja del Ebro	6	FP Grado Medio	1	Hombre	393,1587583587
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	FP Grado Medio	1	Hombre	519,3589685399
20	Comunidad de Calatayud	6	FP Grado Medio	1	Hombre	1192,067869886
21	Campo de Cariñena	6	FP Grado Medio	1	Hombre	248,3932527402
22	Campo de Belchite	6	FP Grado Medio	1	Hombre	184,5123126585
23	Bajo Martín	6	FP Grado Medio	1	Hombre	149,0214367922
24	Campo de Daroca	6	FP Grado Medio	1	Hombre	177,9934782996
25	Jiloca	6	FP Grado Medio	1	Hombre	413,4908018776
26	Cuencas Mineras	6	FP Grado Medio	1	Hombre	276,8285437947
27	Andorra-Sierra de Arcos	6	FP Grado Medio	1	Hombre	333,9634615712
28	Bajo Aragón	6	FP Grado Medio	1	Hombre	819,161770029
29	Comunidad de Teruel	6	FP Grado Medio	1	Hombre	911,3565941631
30	Maestrazgo	6	FP Grado Medio	1	Hombre	139,277979908
31	Sierra de Albarracín	6	FP Grado Medio	1	Hombre	120,4103687104
32	Gúdar-Javalambre	6	FP Grado Medio	1	Hombre	193,7297686422
33	Matarraña / Matarranya	6	FP Grado Medio	1	Hombre	157,1335151923
01	La Jacetania	7	FP Grado Superior	1	Hombre	509,3078279958
02	Alto Gállego	7	FP Grado Superior	1	Hombre	549,7567694493
03	Sobrarbe	7	FP Grado Superior	1	Hombre	173,0315147098
04	La Ribagorza	7	FP Grado Superior	1	Hombre	334,976440684
05	Cinco Villas	7	FP Grado Superior	1	Hombre	433,420486712
06	Hoya de Huesca / Plana de Uesca	7	FP Grado Superior	1	Hombre	1917,9160052402
07	Somontano de Barbastro	7	FP Grado Superior	1	Hombre	821,8184637217
08	Cinca Medio	7	FP Grado Superior	1	Hombre	966,9039753469
09	La Litera / La Llitera	7	FP Grado Superior	1	Hombre	437,7944106423
10	Los Monegros	7	FP Grado Superior	1	Hombre	472,5128888324
11	Bajo Cinca / Baix Cinca	7	FP Grado Superior	1	Hombre	674,293798057
