Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con superficie >= 0,1 y <5 hectáreas	Explotaciones con superficie >=5 y <10 hectáreas	Explotaciones con superficie >=10 y <20 hectáreas	Explotaciones con superficie >= 20 y <50 hectáreas	Explotaciones con superficie >= 50 y <100 hectáreas	Explotaciones con superficie >= 100 hectáreas	Explotaciones con tierras
1989	22242	Valfarta	33	0	2	5	4	7	8	7	33
1989	22243	Valle de Bardají	20	0	0	2	2	5	5	6	20
1989	22244	Valle de Lierp	18	0	0	0	0	7	6	5	18
1989	22245	Velilla de Cinca	74	0	56	11	4	0	0	3	74
1989	22246	Beranuy	35	0	1	1	7	10	8	8	35
1989	22247	Viacamp y Litera	30	0	0	2	2	7	6	13	30
1989	22248	Vicién	10	0	2	1	1	1	2	3	10
1989	22249	Villanova	9	1	0	2	2	2	1	1	8
1989	22250	Villanúa	26	0	11	5	3	3	2	2	26
1989	22251	Villanueva de Sigena	108	1	3	4	13	43	21	23	107
1989	22252	Yebra de Basa	32	0	7	1	0	6	4	14	32
1989	22253	Yésero	22	0	3	3	9	5	0	2	22
1989	22254	Zaidín	356	0	93	76	102	60	17	8	356
1989	22901	Valle de Hecho	191	0	88	64	34	4	0	1	191
1989	22902	Puente la Reina de Jaca	72	1	8	6	6	27	15	9	71
1989	22903	San Miguel del Cinca	275	0	61	18	24	121	40	11	275
1989	22904	Sotonera (La)	410	0	188	67	62	52	23	18	410
1989	22905	Lupiñén-Ortilla	109	0	36	14	12	10	17	20	109
1989	22906	Santa María de Dulcis	82	1	19	15	17	23	3	4	81
1989	22907	Aínsa-Sobrarbe	183	0	24	13	30	34	42	40	183
1989	22908	Hoz y Costeán	168	1	33	33	32	48	10	11	167
1989	22909	Vencillón	83	0	0	45	34	3	1	0	83
1989	44001	Ababuj	32	0	4	2	2	4	8	12	32
1989	44002	Abejuela	22	0	6	5	4	2	2	3	22
1989	44003	Aguatón	12	0	0	1	0	6	0	5	12
1989	44004	Aguaviva	153	2	101	20	15	11	2	2	151
1989	44005	Aguilar del Alfambra	34	1	2	1	6	9	8	7	33
1989	44006	Alacón	117	4	29	26	18	29	8	3	113
1989	44007	Alba	72	0	4	14	8	29	12	5	72
1989	44008	Albalate del Arzobispo	366	10	235	24	14	23	21	39	356
1989	44009	Albarracín	101	2	30	4	10	14	3	38	99
1989	44010	Albentosa	165	0	22	55	47	23	10	8	165
1989	44011	Alcaine	32	2	11	10	2	2	1	4	30
1989	44012	Alcalá de la Selva	208	1	69	33	29	16	25	35	207
1989	44013	Alcañiz	892	12	401	135	91	117	65	71	880
1989	44014	Alcorisa	494	8	266	99	64	34	14	9	486
1989	44016	Alfambra	164	2	24	17	27	37	38	19	162
1989	44017	Aliaga	167	1	70	13	16	16	13	38	166
1989	44018	Almohaja	7	0	0	0	0	3	1	3	7
1989	44019	Alobras	38	1	7	13	8	3	3	3	37
1989	44020	Alpeñés	23	0	0	1	4	7	6	5	23
1989	44021	Allepuz	100	0	14	13	18	20	13	22	100
1989	44022	Alloza	172	2	80	37	17	22	9	5	170
1989	44023	Allueva	6	0	1	0	1	1	0	3	6
1989	44024	Anadón	8	0	1	0	0	0	2	5	8
1989	44025	Andorra	314	10	156	23	32	43	33	17	304
1989	44026	Arcos de las Salinas	52	2	21	11	9	7	1	1	50
1989	44027	Arens de Lledó	91	1	20	13	22	30	1	4	90
1989	44028	Argente	72	1	1	3	8	27	23	9	71
1989	44029	Ariño	189	0	173	9	1	3	0	3	189
1989	44031	Azaila	51	1	1	0	1	6	11	31	50
1989	44032	Bádenas	13	1	0	0	1	3	0	8	12
1989	44033	Báguena	211	0	114	41	30	21	1	4	211
1989	44034	Bañón	46	1	2	1	4	10	18	10	45
1989	44035	Barrachina	49	0	13	8	9	12	4	3	49
1989	44036	Bea	17	1	0	2	2	6	2	4	16
1989	44037	Beceite	222	1	100	22	33	35	22	9	221
1989	44038	Belmonte de San José	114	0	31	28	35	18	0	2	114
1989	44039	Bello	96	0	2	14	17	31	22	10	96
1989	44040	Berge	85	0	42	21	9	9	3	1	85
1989	44041	Bezas	16	0	7	5	1	0	0	3	16
1989	44042	Blancas	51	0	1	1	2	14	24	9	51
1989	44043	Blesa	55	1	14	3	3	3	12	19	54
1989	44044	Bordón	47	0	5	3	10	14	7	8	47
1989	44045	Bronchales	75	0	21	18	13	13	7	3	75
1989	44046	Bueña	44	0	1	1	5	30	4	3	44
1989	44047	Burbáguena	250	1	122	60	33	15	16	3	249
1989	44048	Cabra de Mora	58	1	17	9	12	8	3	8	57
1989	44049	Calaceite	360	4	109	66	74	86	15	6	356
1989	44050	Calamocha	864	5	353	152	107	142	59	46	859
1989	44051	Calanda	402	6	190	56	56	61	24	9	396
1989	44052	Calomarde	25	0	1	9	9	4	0	2	25
1989	44053	Camañas	46	0	0	1	3	15	15	12	46
1989	44054	Camarena de la Sierra	210	0	73	61	59	14	2	1	210
1989	44055	Camarillas	70	1	20	18	5	2	12	12	69
1989	44056	Caminreal	150	1	30	18	35	40	21	5	149
1989	44059	Cantavieja	104	0	24	16	8	12	12	32	104
1989	44060	Cañada de Benatanduz	30	0	3	4	7	5	1	10	30
1989	44061	Cañada de Verich (La)	66	0	18	16	16	14	2	0	66
1989	44062	Cañada Vellida	26	0	0	3	2	13	4	4	26
1989	44063	Cañizar del Olivar	61	0	40	14	3	1	0	3	61
1989	44064	Cascante del Río	215	1	87	72	40	11	1	3	214
1989	44065	Castejón de Tornos	32	0	1	2	5	9	8	7	32
1989	44066	Castel de Cabra	50	0	17	14	8	6	2	3	50
1989	44067	Castelnou	31	0	7	2	1	4	12	5	31
1989	44068	Castelserás	149	0	89	31	13	9	3	4	149
1989	44070	Castellar (El)	42	0	7	7	3	5	8	12	42
1989	44071	Castellote	415	0	152	63	67	63	28	42	415
1989	44074	Cedrillas	152	4	37	35	29	25	10	12	148
1989	44075	Celadas	123	0	2	1	5	56	47	12	123
1989	44076	Cella	512	4	163	97	116	108	17	7	508
1989	44077	Cerollera (La)	56	0	2	2	9	23	12	8	56
1989	44080	Codoñera (La)	71	0	18	10	20	22	0	1	71
1989	44082	Corbalán	34	0	1	8	6	7	4	8	34
1989	44084	Cortes de Aragón	22	0	5	2	1	5	5	4	22
1989	44085	Cosa	33	0	0	0	0	8	10	15	33
1989	44086	Cretas	266	0	92	64	58	43	7	2	266
1989	44087	Crivillén	103	0	46	30	18	1	2	6	103
1989	44088	Cuba (La)	25	0	8	4	7	6	0	0	25
1989	44089	Cubla	129	1	46	37	24	13	5	3	128
1989	44090	Cucalón	15	0	0	0	2	1	2	10	15
1989	44092	Cuervo (El)	56	0	30	17	4	2	0	3	56
1989	44093	Cuevas de Almudén	31	0	8	1	6	7	6	3	31
1989	44094	Cuevas Labradas	50	0	7	6	15	15	4	3	50
1989	44096	Ejulve	318	0	80	65	65	75	17	16	318
1989	44097	Escorihuela	74	1	4	7	17	32	6	7	73
1989	44099	Escucha	89	5	40	8	13	16	4	3	84
1989	44100	Estercuel	130	0	34	52	39	1	2	2	130
1989	44101	Ferreruela de Huerva	30	1	2	0	1	8	11	7	29
1989	44102	Fonfría	14	1	0	0	0	3	6	4	13
1989	44103	Formiche Alto	54	0	11	5	9	12	6	11	54
1989	44105	Fórnoles	221	0	79	57	51	30	3	1	221
1989	44106	Fortanete	102	2	5	8	16	17	16	38	100
1989	44107	Foz-Calanda	65	0	17	19	15	11	1	2	65
1989	44108	Fresneda (La)	310	0	182	53	52	19	3	1	310
1989	44109	Frías de Albarracín	37	0	9	7	7	6	3	5	37
1989	44110	Fuenferrada	30	0	1	1	7	7	9	5	30
1989	44111	Fuentes Calientes	44	0	3	1	9	15	11	5	44
1989	44112	Fuentes Claras	158	0	37	35	32	36	14	4	158
1989	44113	Fuentes de Rubielos	93	1	28	21	14	15	5	9	92
1989	44114	Fuentespalda	154	2	32	24	30	51	10	5	152
1989	44115	Galve	42	0	4	2	6	14	10	6	42
1989	44116	Gargallo	99	0	31	33	24	5	3	3	99
1989	44117	Gea de Albarracín	128	0	70	22	9	21	1	5	128
1989	44118	Ginebrosa (La)	164	1	69	34	29	17	10	4	163
1989	44119	Griegos	35	0	10	11	4	6	0	4	35
1989	44120	Guadalaviar	53	2	4	9	21	12	1	4	51
1989	44121	Gúdar	71	2	20	9	11	9	5	15	69
1989	44122	Híjar	373	16	233	14	11	29	27	43	357
1989	44123	Hinojosa de Jarque	52	0	5	8	10	18	9	2	52
1989	44124	Hoz de la Vieja (La)	90	1	28	14	21	14	8	4	89
1989	44125	Huesa del Común	54	0	17	5	7	11	7	7	54
1989	44126	Iglesuela del Cid (La)	131	0	34	25	32	24	6	10	131
1989	44127	Jabaloyas	35	2	3	8	9	10	1	2	33
1989	44128	Jarque de la Val	27	0	5	1	3	5	5	8	27
1989	44129	Jatiel	10	0	1	2	2	2	2	1	10
1989	44130	Jorcas	22	0	4	1	2	2	4	9	22
1989	44131	Josa	60	0	11	13	22	11	1	2	60
1989	44132	Lagueruela	27	1	0	0	3	6	7	10	26
1989	44133	Lanzuela	19	0	0	0	0	6	10	3	19
1989	44135	Libros	134	1	62	37	23	8	1	2	133
1989	44136	Lidón	25	1	1	0	2	7	8	6	24
1989	44137	Linares de Mora	125	0	36	7	23	15	13	31	125
1989	44138	Loscos	58	1	1	5	5	10	18	18	57
1989	44141	Lledó	61	0	12	11	18	18	2	0	61
1989	44142	Maicas	34	0	13	10	7	2	0	2	34
1989	44143	Manzanera	209	1	55	53	48	36	7	9	208
1989	44144	Martín del Río	115	0	48	19	20	19	3	6	115
1989	44145	Mas de las Matas	144	1	93	16	11	14	4	5	143
1989	44146	Mata de los Olmos (La)	58	1	19	15	9	7	2	5	57
1989	44147	Mazaleón	222	1	49	39	71	59	1	2	221
1989	44148	Mezquita de Jarque	30	1	3	0	0	8	14	4	29
1989	44149	Mirambel	42	1	10	3	3	5	8	12	41
1989	44150	Miravete de la Sierra	45	0	9	6	7	6	5	12	45
1989	44151	Molinos	109	1	45	32	15	9	4	3	108
1989	44152	Monforte de Moyuela	39	0	0	0	4	11	7	17	39
1989	44153	Monreal del Campo	281	1	51	57	55	91	20	6	280
1989	44154	Monroyo	133	0	10	8	21	45	28	21	133
1989	44155	Montalbán	146	2	105	19	6	4	5	5	144
1989	44156	Monteagudo del Castillo	38	0	6	3	6	9	5	9	38
1989	44157	Monterde de Albarracín	19	0	0	4	3	7	4	1	19
1989	44158	Mora de Rubielos	322	3	188	33	26	29	13	30	319
1989	44159	Moscardón	17	2	3	3	2	4	1	2	15
1989	44160	Mosqueruela	230	1	42	26	45	36	17	63	229
1989	44161	Muniesa	152	4	25	12	18	39	35	19	148
1989	44163	Noguera de Albarracín	48	1	23	13	6	1	0	4	47
1989	44164	Nogueras	16	0	0	0	2	5	2	7	16
1989	44165	Nogueruelas	124	1	91	7	4	5	3	13	123
1989	44167	Obón	89	0	4	15	45	22	1	2	89
1989	44168	Odón	82	1	4	7	8	21	24	17	81
1989	44169	Ojos Negros	92	2	10	5	14	25	26	10	90
1989	44171	Olba	310	0	233	42	32	1	0	2	310
1989	44172	Oliete	265	1	203	25	10	11	8	7	264
1989	44173	Olmos (Los)	77	0	10	23	19	13	7	5	77
1989	44174	Orihuela del Tremedal	44	3	8	9	6	7	5	6	41
1989	44175	Orrios	65	0	6	8	17	23	6	5	65
1989	44176	Palomar de Arroyos	55	0	22	10	6	9	6	2	55
1989	44177	Pancrudo	84	0	1	4	15	29	24	11	84
1989	44178	Parras de Castellote (Las)	41	0	21	9	3	5	1	2	41
1989	44179	Peñarroya de Tastavins	189	3	32	28	42	39	20	25	186
1989	44180	Peracense	19	0	1	0	6	4	5	3	19
1989	44181	Peralejos	30	0	2	6	8	5	5	4	30
