Municipio codigo	Municipio nombre	Tipo de edificio	Tipo de edificio, código	Nº edificios
22190	Pueyo de Araguás (El)	Destinado principal o exclusivamente a viviendas	1	52
22193	Pueyo de Santa Cruz	Destinado principal o exclusivamente a viviendas	1	195
22195	Quicena	Destinado principal o exclusivamente a viviendas	1	92
22197	Robres	Destinado principal o exclusivamente a viviendas	1	259
22199	Sabiñánigo	Destinado principal o exclusivamente a viviendas	1	1696
22200	Sahún	Destinado principal o exclusivamente a viviendas	1	215
22201	Salas Altas	Destinado principal o exclusivamente a viviendas	1	175
22202	Salas Bajas	Destinado principal o exclusivamente a viviendas	1	116
22203	Salillas	Destinado principal o exclusivamente a viviendas	1	85
22204	Sallent de Gállego	Destinado principal o exclusivamente a viviendas	1	848
22205	San Esteban de Litera	Destinado principal o exclusivamente a viviendas	1	406
22206	Sangarrén	Destinado principal o exclusivamente a viviendas	1	142
22207	San Juan de Plan	Destinado principal o exclusivamente a viviendas	1	86
22208	Santa Cilia	Destinado principal o exclusivamente a viviendas	1	125
22209	Santa Cruz de la Serós	Destinado principal o exclusivamente a viviendas	1	105
22212	Santaliestra y San Quílez	Destinado principal o exclusivamente a viviendas	1	77
22213	Sariñena	Destinado principal o exclusivamente a viviendas	1	1749
22214	Secastilla	Destinado principal o exclusivamente a viviendas	1	97
22215	Seira	Destinado principal o exclusivamente a viviendas	1	99
22217	Sena	Destinado principal o exclusivamente a viviendas	1	355
22218	Senés de Alcubierre	Destinado principal o exclusivamente a viviendas	1	50
22220	Sesa	Destinado principal o exclusivamente a viviendas	1	155
22221	Sesué	Destinado principal o exclusivamente a viviendas	1	102
22222	Siétamo	Destinado principal o exclusivamente a viviendas	1	399
22223	Sopeira	Destinado principal o exclusivamente a viviendas	1	123
22225	Tamarite de Litera	Destinado principal o exclusivamente a viviendas	1	1107
22226	Tardienta	Destinado principal o exclusivamente a viviendas	1	374
22227	Tella-Sin	Destinado principal o exclusivamente a viviendas	1	113
22228	Tierz	Destinado principal o exclusivamente a viviendas	1	268
22229	Tolva	Destinado principal o exclusivamente a viviendas	1	174
22230	Torla	Destinado principal o exclusivamente a viviendas	1	195
22232	Torralba de Aragón	Destinado principal o exclusivamente a viviendas	1	61
22233	Torre la Ribera	Destinado principal o exclusivamente a viviendas	1	66
22234	Torrente de Cinca	Destinado principal o exclusivamente a viviendas	1	378
22235	Torres de Alcanadre	Destinado principal o exclusivamente a viviendas	1	88
22236	Torres de Barbués	Destinado principal o exclusivamente a viviendas	1	154
22239	Tramaced	Destinado principal o exclusivamente a viviendas	1	46
22242	Valfarta	Destinado principal o exclusivamente a viviendas	1	61
22243	Valle de Bardají	Destinado principal o exclusivamente a viviendas	1	16
22244	Valle de Lierp	Destinado principal o exclusivamente a viviendas	1	54
22245	Velilla de Cinca	Destinado principal o exclusivamente a viviendas	1	233
22246	Beranuy	Destinado principal o exclusivamente a viviendas	1	105
22247	Viacamp y Litera	Destinado principal o exclusivamente a viviendas	1	27
22248	Vicién	Destinado principal o exclusivamente a viviendas	1	67
22249	Villanova	Destinado principal o exclusivamente a viviendas	1	87
22250	Villanúa	Destinado principal o exclusivamente a viviendas	1	354
22251	Villanueva de Sigena	Destinado principal o exclusivamente a viviendas	1	224
22252	Yebra de Basa	Destinado principal o exclusivamente a viviendas	1	62
22253	Yésero	Destinado principal o exclusivamente a viviendas	1	72
22254	Zaidín	Destinado principal o exclusivamente a viviendas	1	646
22901	Valle de Hecho	Destinado principal o exclusivamente a viviendas	1	637
22902	Puente la Reina de Jaca	Destinado principal o exclusivamente a viviendas	1	179
22903	San Miguel del Cinca	Destinado principal o exclusivamente a viviendas	1	457
22904	Sotonera (La)	Destinado principal o exclusivamente a viviendas	1	724
22905	Lupiñén-Ortilla	Destinado principal o exclusivamente a viviendas	1	240
22906	Santa María de Dulcis	Destinado principal o exclusivamente a viviendas	1	101
22907	Aínsa-Sobrarbe	Destinado principal o exclusivamente a viviendas	1	773
22908	Hoz y Costeán	Destinado principal o exclusivamente a viviendas	1	153
22909	Vencillón	Destinado principal o exclusivamente a viviendas	1	192
44001	Ababuj	Destinado principal o exclusivamente a viviendas	1	100
44002	Abejuela	Destinado principal o exclusivamente a viviendas	1	146
44003	Aguatón	Destinado principal o exclusivamente a viviendas	1	25
44004	Aguaviva	Destinado principal o exclusivamente a viviendas	1	540
44005	Aguilar del Alfambra	Destinado principal o exclusivamente a viviendas	1	127
44006	Alacón	Destinado principal o exclusivamente a viviendas	1	365
44007	Alba	Destinado principal o exclusivamente a viviendas	1	204
44008	Albalate del Arzobispo	Destinado principal o exclusivamente a viviendas	1	1128
44009	Albarracín	Destinado principal o exclusivamente a viviendas	1	480
44010	Albentosa	Destinado principal o exclusivamente a viviendas	1	317
44011	Alcaine	Destinado principal o exclusivamente a viviendas	1	218
44012	Alcalá de la Selva	Destinado principal o exclusivamente a viviendas	1	748
44013	Alcañiz	Destinado principal o exclusivamente a viviendas	1	2779
44014	Alcorisa	Destinado principal o exclusivamente a viviendas	1	1270
44016	Alfambra	Destinado principal o exclusivamente a viviendas	1	447
44017	Aliaga	Destinado principal o exclusivamente a viviendas	1	523
44018	Almohaja	Destinado principal o exclusivamente a viviendas	1	67
44019	Alobras	Destinado principal o exclusivamente a viviendas	1	105
44020	Alpeñés	Destinado principal o exclusivamente a viviendas	1	36
44021	Allepuz	Destinado principal o exclusivamente a viviendas	1	208
44022	Alloza	Destinado principal o exclusivamente a viviendas	1	597
44023	Allueva	Destinado principal o exclusivamente a viviendas	1	61
44024	Anadón	Destinado principal o exclusivamente a viviendas	1	60
44025	Andorra	Destinado principal o exclusivamente a viviendas	1	2275
44026	Arcos de las Salinas	Destinado principal o exclusivamente a viviendas	1	333
44027	Arens de Lledó	Destinado principal o exclusivamente a viviendas	1	157
44028	Argente	Destinado principal o exclusivamente a viviendas	1	151
44029	Ariño	Destinado principal o exclusivamente a viviendas	1	573
44031	Azaila	Destinado principal o exclusivamente a viviendas	1	176
44032	Bádenas	Destinado principal o exclusivamente a viviendas	1	43
44033	Báguena	Destinado principal o exclusivamente a viviendas	1	408
44034	Bañón	Destinado principal o exclusivamente a viviendas	1	167
44035	Barrachina	Destinado principal o exclusivamente a viviendas	1	192
44036	Bea	Destinado principal o exclusivamente a viviendas	1	48
44037	Beceite	Destinado principal o exclusivamente a viviendas	1	571
44038	Belmonte de San José	Destinado principal o exclusivamente a viviendas	1	141
44039	Bello	Destinado principal o exclusivamente a viviendas	1	348
44040	Berge	Destinado principal o exclusivamente a viviendas	1	225
44041	Bezas	Destinado principal o exclusivamente a viviendas	1	107
44042	Blancas	Destinado principal o exclusivamente a viviendas	1	253
44043	Blesa	Destinado principal o exclusivamente a viviendas	1	283
44044	Bordón	Destinado principal o exclusivamente a viviendas	1	134
44045	Bronchales	Destinado principal o exclusivamente a viviendas	1	594
44046	Bueña	Destinado principal o exclusivamente a viviendas	1	74
