Comarca código	Comarca nombre	Municipio trabajo, código	Municipio trabajo, nombre	Personas residentes viviendas familiares
27	Andorra-Sierra de Arcos	44099	Escucha	10
28	Bajo Aragón	50297	Zaragoza	294
28	Bajo Aragón	44025	Andorra	234
28	Bajo Aragón	44191	Puebla de Híjar (La)	82
28	Bajo Aragón	44029	Ariño	50
28	Bajo Aragón	44216	Teruel	45
28	Bajo Aragón	44122	Híjar	41
28	Bajo Aragón	44246	Valderrobres	33
28	Bajo Aragón	08019	Barcelona	29
28	Bajo Aragón	28079	Madrid	27
28	Bajo Aragón	50074	Caspe	25
29	Comunidad de Teruel	50297	Zaragoza	252
29	Comunidad de Teruel	46250	Valencia	81
29	Comunidad de Teruel	44009	Albarracín	64
29	Comunidad de Teruel	28079	Madrid	55
29	Comunidad de Teruel	44238	Utrillas	39
29	Comunidad de Teruel	44050	Calamocha	35
29	Comunidad de Teruel	44158	Mora de Rubielos	35
29	Comunidad de Teruel	44210	Sarrión	32
29	Comunidad de Teruel	44153	Monreal del Campo	31
29	Comunidad de Teruel	44013	Alcañiz	28
30	Maestrazgo	12129	Villafranca del Cid	85
30	Maestrazgo	50297	Zaragoza	47
30	Maestrazgo	12040	Castellón de la Plana/Castelló de la Plana	24
30	Maestrazgo	44216	Teruel	21
30	Maestrazgo	44145	Mas de las Matas	18
30	Maestrazgo	44013	Alcañiz	14
30	Maestrazgo	44014	Alcorisa	9
30	Maestrazgo	08019	Barcelona	8
30	Maestrazgo	44025	Andorra	8
30	Maestrazgo	44051	Calanda	7
31	Sierra de Albarracín	44216	Teruel	248
31	Sierra de Albarracín	50297	Zaragoza	63
31	Sierra de Albarracín	46250	Valencia	34
31	Sierra de Albarracín	44076	Cella	22
31	Sierra de Albarracín	46147	Llíria	8
31	Sierra de Albarracín	08019	Barcelona	6
31	Sierra de Albarracín	44013	Alcañiz	6
31	Sierra de Albarracín	28079	Madrid	5
31	Sierra de Albarracín	44209	Santa Eulalia	5
31	Sierra de Albarracín	12028	Benicasim/Benicàssim	4
31	Sierra de Albarracín	12040	Castellón de la Plana/Castelló de la Plana	4
31	Sierra de Albarracín	44153	Monreal del Campo	4
31	Sierra de Albarracín	46220	Sagunto/Sagunt	4
32	Gúdar-Javalambre	44216	Teruel	211
32	Gúdar-Javalambre	46250	Valencia	77
32	Gúdar-Javalambre	12040	Castellón de la Plana/Castelló de la Plana	26
32	Gúdar-Javalambre	44074	Cedrillas	16
32	Gúdar-Javalambre	50297	Zaragoza	14
32	Gúdar-Javalambre	12129	Villafranca del Cid	9
32	Gúdar-Javalambre	44059	Cantavieja	8
32	Gúdar-Javalambre	12020	Barracas	6
32	Gúdar-Javalambre	46190	Paterna	4
32	Gúdar-Javalambre	08019	Barcelona	3
32	Gúdar-Javalambre	12005	Alcora (l')	3
32	Gúdar-Javalambre	12084	Onda	3
32	Gúdar-Javalambre	44076	Cella	3
33	Matarraña / Matarranya	44013	Alcañiz	144
33	Matarraña / Matarranya	50297	Zaragoza	57
33	Matarraña / Matarranya	08019	Barcelona	47
33	Matarraña / Matarranya	43071	Horta de Sant Joan	27
33	Matarraña / Matarranya	43155	Tortosa	9
33	Matarraña / Matarranya	44216	Teruel	7
33	Matarraña / Matarranya	43064	Gandesa	6
33	Matarraña / Matarranya	44014	Alcorisa	6
33	Matarraña / Matarranya	43148	Tarragona	5
33	Matarraña / Matarranya	44025	Andorra	5
33	Matarraña / Matarranya	44051	Calanda	5
33	Matarraña / Matarranya	44241	Valdealgorfa	5
33	Matarraña / Matarranya	50152	Maella	5
