Provincia código	Provincia nombre	Corine Land Cover 2000 nivel 5 descripción	Superficie (has)	Año
22	Huesca	Mosaico de cultivos permanentes en regadío	183,786488	2000
22	Huesca	Mosaico de cultivos permanentes en secano	4559,268018	2000
22	Huesca	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	886,768521	2000
22	Huesca	Olivares en regadío	0	2000
22	Huesca	Olivares en secano	1405,718127	2000
22	Huesca	Otras frondosas de plantación	1736,732668	2000
22	Huesca	Otros frutales en regadío	9125,576387	2000
22	Huesca	Otros pastizales mediterráneos	12945,939798	2000
22	Huesca	Pastizales supraforestales mediterráneos	0	2000
22	Huesca	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	60505,083937	2000
22	Huesca	Perennifolias	34316,520292	2000
22	Huesca	Prados y praderas	19626,501429	2000
22	Huesca	Ramblas con poca o sin vegetación	6078,313138	2000
22	Huesca	Resto de instalaciones deportivas y recreativas	188,033876	2000
22	Huesca	Rocas desnudas con fuerte pendiente (acantilados, etc.)	18618,419178	2000
22	Huesca	Ríos y cauces naturales	1608,106598	2000
22	Huesca	Tejido urbano continuo	3912,603451	2000
22	Huesca	Tierras de labor en secano	320259,917991	2000
22	Huesca	Turberas y prados turbosos	187,629036	2000
22	Huesca	Urbanizaciones extensas y/o ajardinadas	1314,43675	2000
22	Huesca	Viñedos en regadío	0	2000
22	Huesca	Viñedos en secano	1975,749811	2000
22	Huesca	Xeroestepa subdesértica	804,33625	2000
22	Huesca	Zonas de extracción minera	461,228537	2000
22	Huesca	Zonas en construcción	651,752509	2000
22	Huesca	Zonas industriales	1395,901821	2000
22	Huesca	Zonas quemadas	0	2000
22	Huesca	Zonas verdes urbanas	28,249601	2000
44	Teruel	Aeropuertos	0	2000
44	Teruel	Afloramientos rocosos y canchales	1083,431075	2000
44	Teruel	Arrozales	0	2000
44	Teruel	Autopistas, autovías y terrenos asociados	0	2000
44	Teruel	Bosque mixto	23395,108628	2000
44	Teruel	Bosques de coníferas con hojas aciculares	232318,357879	2000
44	Teruel	Bosques de coníferas con hojas de tipo cupresáceo	17826,825708	2000
44	Teruel	Bosques de ribera	1631,0989	2000
44	Teruel	Caducifolias y marcescentes	9447,856288	2000
44	Teruel	Campos de golf	0	2000
44	Teruel	Canales artificiales	0	2000
44	Teruel	Complejos ferroviarios	97,691049	2000
44	Teruel	Cultivos herbáceos en regadío	34493,184916	2000
44	Teruel	Cárcavas y/o zonas en proceso de erosión	4634,828076	2000
44	Teruel	Embalses	1416,896344	2000
44	Teruel	Escombreras y vertederos	341,904102	2000
44	Teruel	Espacios orófilos altitudinales con vegetación escasa	0	2000
44	Teruel	Estructura urbana abierta	867,422713	2000
44	Teruel	Frutales en secano	1304,6855	2000
44	Teruel	Glaciares y nieves permanentes	0	2000
44	Teruel	Grandes formaciones de matorral denso o medianamente denso	148736,27611	2000
44	Teruel	Grandes superficies de equipamientos y servicios	0	2000
44	Teruel	Humedales y zonas pantanosas	627,714127	2000
44	Teruel	Lagos y lagunas	97,872885	2000
44	Teruel	Landas y matorrales en climas húmedos. Vegetación mesófila	483,088302	2000
44	Teruel	Matorral boscoso de bosque mixto	14136,901432	2000
44	Teruel	Matorral boscoso de coníferas	109184,514007	2000
44	Teruel	Matorral boscoso de frondosas	37546,25926	2000
44	Teruel	Matorrales subarbustivos o arbustivos muy poco densos	156507,974947	2000
44	Teruel	Mezcla de frondosas	7032,839001	2000
44	Teruel	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	309,953221	2000
44	Teruel	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	70415,133916	2000
44	Teruel	Mosaico de cultivos anuales con cultivos  permanentes en  secano	44907,718671	2000
44	Teruel	Mosaico de cultivos anuales con cultivos permanentes en regadío	9748,86133	2000
44	Teruel	Mosaico de cultivos anuales con prados o praderas en regadío	422,529446	2000
44	Teruel	Mosaico de cultivos anuales con prados o praderas en secano	13872,340468	2000
44	Teruel	Mosaico de cultivos permanentes en regadío	645,997538	2000
44	Teruel	Mosaico de cultivos permanentes en secano	23250,338314	2000
44	Teruel	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
44	Teruel	Olivares en regadío	246,774258	2000
44	Teruel	Olivares en secano	6705,175743	2000
44	Teruel	Otras frondosas de plantación	3107,193198	2000
44	Teruel	Otros frutales en regadío	1757,600451	2000
44	Teruel	Otros pastizales mediterráneos	66857,747367	2000
44	Teruel	Pastizales supraforestales mediterráneos	312,101271	2000
44	Teruel	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
44	Teruel	Perennifolias	34610,838019	2000
44	Teruel	Prados y praderas	548,690262	2000
44	Teruel	Ramblas con poca o sin vegetación	308,514639	2000
44	Teruel	Resto de instalaciones deportivas y recreativas	60,95401	2000
44	Teruel	Rocas desnudas con fuerte pendiente (acantilados, etc.)	289,272961	2000
44	Teruel	Ríos y cauces naturales	0	2000
44	Teruel	Tejido urbano continuo	3638,824393	2000
44	Teruel	Tierras de labor en secano	384102,210131	2000
44	Teruel	Turberas y prados turbosos	0	2000
44	Teruel	Urbanizaciones extensas y/o ajardinadas	309,653758	2000
44	Teruel	Viñedos en regadío	21,697487	2000
44	Teruel	Viñedos en secano	2760,943091	2000
44	Teruel	Xeroestepa subdesértica	3379,694517	2000
44	Teruel	Zonas de extracción minera	3377,381803	2000
44	Teruel	Zonas en construcción	491,325121	2000
44	Teruel	Zonas industriales	1145,779391	2000
44	Teruel	Zonas quemadas	61,662868	2000
44	Teruel	Zonas verdes urbanas	14,680734	2000
50	Zaragoza	Aeropuertos	821,353001	2000
50	Zaragoza	Afloramientos rocosos y canchales	1695,601137	2000
50	Zaragoza	Arrozales	4680,077918	2000
50	Zaragoza	Autopistas, autovías y terrenos asociados	4155,721053	2000
50	Zaragoza	Bosque mixto	14191,35553	2000
50	Zaragoza	Bosques de coníferas con hojas aciculares	121011,293993	2000
50	Zaragoza	Bosques de coníferas con hojas de tipo cupresáceo	1028,667493	2000
50	Zaragoza	Bosques de ribera	3523,447532	2000
50	Zaragoza	Caducifolias y marcescentes	12953,187555	2000
50	Zaragoza	Campos de golf	206,886404	2000
50	Zaragoza	Canales artificiales	0	2000
50	Zaragoza	Complejos ferroviarios	78,478609	2000
50	Zaragoza	Cultivos herbáceos en regadío	156160,950889	2000
50	Zaragoza	Cárcavas y/o zonas en proceso de erosión	3000,091045	2000
50	Zaragoza	Embalses	9882,200689	2000
50	Zaragoza	Escombreras y vertederos	308,136445	2000
50	Zaragoza	Espacios orófilos altitudinales con vegetación escasa	0	2000
50	Zaragoza	Estructura urbana abierta	1251,829354	2000
50	Zaragoza	Frutales en secano	7812,344844	2000
50	Zaragoza	Glaciares y nieves permanentes	0	2000
50	Zaragoza	Grandes formaciones de matorral denso o medianamente denso	77059,939679	2000
50	Zaragoza	Grandes superficies de equipamientos y servicios	46,009573	2000
50	Zaragoza	Humedales y zonas pantanosas	3080,42428	2000
50	Zaragoza	Lagos y lagunas	913,165305	2000
50	Zaragoza	Landas y matorrales en climas húmedos. Vegetación mesófila	485,431821	2000
50	Zaragoza	Matorral boscoso de bosque mixto	7398,276182	2000
50	Zaragoza	Matorral boscoso de coníferas	48649,301822	2000
50	Zaragoza	Matorral boscoso de frondosas	27846,313178	2000
50	Zaragoza	Matorrales subarbustivos o arbustivos muy poco densos	178526,732302	2000
50	Zaragoza	Mezcla de frondosas	8786,286252	2000
50	Zaragoza	Mosaico de cultivos agrícolas en regadío con espacios significativos de vegetación natural y semi-natural	587,851158	2000
50	Zaragoza	Mosaico de cultivos agrícolas en secano con espacios significativos de vegetación natural y semi-natural	173988,004346	2000
50	Zaragoza	Mosaico de cultivos anuales con cultivos  permanentes en  secano	80288,002067	2000
50	Zaragoza	Mosaico de cultivos anuales con cultivos permanentes en regadío	28462,806123	2000
50	Zaragoza	Mosaico de cultivos anuales con prados o praderas en regadío	31,574765	2000
50	Zaragoza	Mosaico de cultivos anuales con prados o praderas en secano	8,083203	2000
50	Zaragoza	Mosaico de cultivos permanentes en regadío	2001,706252	2000
50	Zaragoza	Mosaico de cultivos permanentes en secano	28850,797373	2000
50	Zaragoza	Mosaico de prados o praderas con espacios significativos de vegetación natural y semi-natural	0	2000
50	Zaragoza	Olivares en regadío	2643,427765	2000
50	Zaragoza	Olivares en secano	2664,030387	2000
50	Zaragoza	Otras frondosas de plantación	1987,490698	2000
50	Zaragoza	Otros frutales en regadío	14185,857985	2000
50	Zaragoza	Otros pastizales mediterráneos	24568,50515	2000
50	Zaragoza	Pastizales supraforestales mediterráneos	491,613242	2000
50	Zaragoza	Pastizales supraforestales templado-oceánicos, pirenaicos y orocantábricos	0	2000
50	Zaragoza	Perennifolias	46121,944816	2000
50	Zaragoza	Prados y praderas	27,891996	2000
50	Zaragoza	Ramblas con poca o sin vegetación	1492,065568	2000
50	Zaragoza	Resto de instalaciones deportivas y recreativas	320,327692	2000
50	Zaragoza	Rocas desnudas con fuerte pendiente (acantilados, etc.)	331,896681	2000
50	Zaragoza	Ríos y cauces naturales	4764,885399	2000
50	Zaragoza	Tejido urbano continuo	7864,11185	2000
50	Zaragoza	Tierras de labor en secano	538195,53851	2000
50	Zaragoza	Turberas y prados turbosos	0	2000
50	Zaragoza	Urbanizaciones extensas y/o ajardinadas	2432,570155	2000
50	Zaragoza	Viñedos en regadío	5032,09833	2000
50	Zaragoza	Viñedos en secano	24782,254749	2000
50	Zaragoza	Xeroestepa subdesértica	28282,487302	2000
50	Zaragoza	Zonas de extracción minera	2062,27601	2000
50	Zaragoza	Zonas en construcción	3341,133329	2000
50	Zaragoza	Zonas industriales	5574,417913	2000
50	Zaragoza	Zonas quemadas	0	2000
50	Zaragoza	Zonas verdes urbanas	170,137033	2000
