Año	Residencia CCAA nombre	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad país código	Nacionalidad país nombre	Edad (grandes grupos)	Sexo	Extranjeros
1998	Aragón	04	Resto de África	234	Nigeria	16 a 64	Mujeres	9
1998	Aragón	04	Resto de África	234	Nigeria	65 y más	Mujeres	1
1998	Aragón	04	Resto de África	235	República Centroafricana	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	235	República Centroafricana	16 a 64	Mujeres	1
1998	Aragón	04	Resto de África	236	Sudáfrica	0 a 15	Hombres	2
1998	Aragón	04	Resto de África	236	Sudáfrica	0 a 15	Mujeres	1
1998	Aragón	04	Resto de África	236	Sudáfrica	16 a 64	Hombres	3
1998	Aragón	04	Resto de África	236	Sudáfrica	16 a 64	Mujeres	3
1998	Aragón	04	Resto de África	237	Ruanda	16 a 64	Hombres	3
1998	Aragón	04	Resto de África	239	Senegal	0 a 15	Hombres	2
1998	Aragón	04	Resto de África	239	Senegal	0 a 15	Mujeres	7
1998	Aragón	04	Resto de África	239	Senegal	16 a 64	Hombres	142
1998	Aragón	04	Resto de África	239	Senegal	16 a 64	Mujeres	16
1998	Aragón	04	Resto de África	241	Sierra Leona	16 a 64	Hombres	6
1998	Aragón	04	Resto de África	241	Sierra Leona	16 a 64	Mujeres	2
1998	Aragón	04	Resto de África	242	Somalia	16 a 64	Hombres	2
1998	Aragón	04	Resto de África	246	Chad	16 a 64	Hombres	1
1998	Aragón	04	Resto de África	247	Togo	16 a 64	Hombres	4
1998	Aragón	04	Resto de África	250	Rep. Democrática del Congo	0 a 15	Hombres	2
1998	Aragón	04	Resto de África	250	Rep. Democrática del Congo	0 a 15	Mujeres	2
1998	Aragón	04	Resto de África	250	Rep. Democrática del Congo	16 a 64	Hombres	11
1998	Aragón	04	Resto de África	250	Rep. Democrática del Congo	16 a 64	Mujeres	4
1998	Aragón	04	Resto de África	253	Eritrea	16 a 64	Hombres	1
1998	Aragón	05	América del Norte	301	Canadá	16 a 64	Hombres	11
1998	Aragón	05	América del Norte	301	Canadá	16 a 64	Mujeres	6
1998	Aragón	05	América del Norte	302	Estados Unidos de América	0 a 15	Hombres	19
1998	Aragón	05	América del Norte	302	Estados Unidos de América	0 a 15	Mujeres	27
1998	Aragón	05	América del Norte	302	Estados Unidos de América	16 a 64	Hombres	146
1998	Aragón	05	América del Norte	302	Estados Unidos de América	16 a 64	Mujeres	93
1998	Aragón	05	América del Norte	302	Estados Unidos de América	65 y más	Hombres	15
1998	Aragón	05	América del Norte	302	Estados Unidos de América	65 y más	Mujeres	7
1998	Aragón	06	Resto de América	303	México	0 a 15	Hombres	6
1998	Aragón	06	Resto de América	303	México	0 a 15	Mujeres	5
1998	Aragón	06	Resto de América	303	México	16 a 64	Hombres	9
1998	Aragón	06	Resto de América	303	México	16 a 64	Mujeres	43
1998	Aragón	06	Resto de América	303	México	65 y más	Hombres	1
1998	Aragón	06	Resto de América	314	Costa Rica	0 a 15	Hombres	1
1998	Aragón	06	Resto de América	314	Costa Rica	16 a 64	Hombres	4
1998	Aragón	06	Resto de América	314	Costa Rica	16 a 64	Mujeres	3
1998	Aragón	06	Resto de América	315	Cuba	0 a 15	Hombres	12
1998	Aragón	06	Resto de América	315	Cuba	0 a 15	Mujeres	15
1998	Aragón	06	Resto de América	315	Cuba	16 a 64	Hombres	41
1998	Aragón	06	Resto de América	315	Cuba	16 a 64	Mujeres	116
1998	Aragón	06	Resto de América	315	Cuba	65 y más	Hombres	2
1998	Aragón	06	Resto de América	315	Cuba	65 y más	Mujeres	6
1998	Aragón	06	Resto de América	316	Dominica	0 a 15	Hombres	2
1998	Aragón	06	Resto de América	316	Dominica	0 a 15	Mujeres	1
1998	Aragón	06	Resto de América	316	Dominica	16 a 64	Hombres	1
1998	Aragón	06	Resto de América	316	Dominica	16 a 64	Mujeres	9
1998	Aragón	06	Resto de América	317	El Salvador	16 a 64	Hombres	2
1998	Aragón	06	Resto de América	317	El Salvador	16 a 64	Mujeres	5
1998	Aragón	06	Resto de América	318	Granada	16 a 64	Hombres	1
1998	Aragón	06	Resto de América	318	Granada	16 a 64	Mujeres	1
1998	Aragón	06	Resto de América	319	Guatemala	0 a 15	Hombres	1
1998	Aragón	06	Resto de América	319	Guatemala	0 a 15	Mujeres	3
1998	Aragón	06	Resto de América	319	Guatemala	16 a 64	Hombres	4
1998	Aragón	06	Resto de América	319	Guatemala	16 a 64	Mujeres	5
1998	Aragón	06	Resto de América	319	Guatemala	65 y más	Mujeres	1
1998	Aragón	06	Resto de América	320	Haití	16 a 64	Hombres	1
1998	Aragón	06	Resto de América	321	Honduras	0 a 15	Hombres	9
1998	Aragón	06	Resto de América	321	Honduras	0 a 15	Mujeres	4
1998	Aragón	06	Resto de América	321	Honduras	16 a 64	Hombres	10
1998	Aragón	06	Resto de América	321	Honduras	16 a 64	Mujeres	33
1998	Aragón	06	Resto de América	322	Jamaica	16 a 64	Hombres	2
1998	Aragón	06	Resto de América	323	Nicaragua	0 a 15	Hombres	3
1998	Aragón	06	Resto de América	323	Nicaragua	0 a 15	Mujeres	1
