Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201709	Septiembre 2017	50	2	Industria y energía	3043	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	50	3	Construcción	2349	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201709	Septiembre 2017	50	4	Servicios	21625	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201706	Junio 2017	22	1	Agricultura, ganadería y pesca	1775	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	2	Industria y energía	833	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	3	Construcción	909	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	22	4	Servicios	5628	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201706	Junio 2017	44	1	Agricultura, ganadería y pesca	627	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201706	Junio 2017	44	2	Industria y energía	510	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201706	Junio 2017	44	3	Construcción	621	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201706	Junio 2017	44	4	Servicios	2991	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201706	Junio 2017	50	1	Agricultura, ganadería y pesca	2109	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201706	Junio 2017	50	2	Industria y energía	3047	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201706	Junio 2017	50	3	Construcción	2354	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201706	Junio 2017	50	4	Servicios	21549	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201703	Marzo 2017	22	1	Agricultura, ganadería y pesca	1388	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201703	Marzo 2017	22	2	Industria y energía	829	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201703	Marzo 2017	22	3	Construcción	879	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201703	Marzo 2017	22	4	Servicios	5585	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201703	Marzo 2017	44	1	Agricultura, ganadería y pesca	567	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201703	Marzo 2017	44	2	Industria y energía	504	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201703	Marzo 2017	44	3	Construcción	594	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201703	Marzo 2017	44	4	Servicios	2950	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201703	Marzo 2017	50	1	Agricultura, ganadería y pesca	1757	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201703	Marzo 2017	50	2	Industria y energía	3032	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201703	Marzo 2017	50	3	Construcción	2289	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201703	Marzo 2017	50	4	Servicios	21694	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201612	Diciembre 2016	22	1	Agricultura, ganadería y pesca	1448	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201612	Diciembre 2016	22	2	Industria y energía	833	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201612	Diciembre 2016	22	3	Construcción	840	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201612	Diciembre 2016	22	4	Servicios	5601	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201612	Diciembre 2016	44	1	Agricultura, ganadería y pesca	564	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201612	Diciembre 2016	44	2	Industria y energía	512	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201612	Diciembre 2016	44	3	Construcción	589	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201612	Diciembre 2016	44	4	Servicios	2998	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201612	Diciembre 2016	50	1	Agricultura, ganadería y pesca	1785	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201612	Diciembre 2016	50	2	Industria y energía	3040	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201612	Diciembre 2016	50	3	Construcción	2265	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201612	Diciembre 2016	50	4	Servicios	21772	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201609	Septiembre 2016	22	1	Agricultura, ganadería y pesca	1407	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201609	Septiembre 2016	22	2	Industria y energía	829	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201609	Septiembre 2016	22	3	Construcción	896	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201609	Septiembre 2016	22	4	Servicios	5487	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201609	Septiembre 2016	44	1	Agricultura, ganadería y pesca	593	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201609	Septiembre 2016	44	2	Industria y energía	512	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201609	Septiembre 2016	44	3	Construcción	616	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201609	Septiembre 2016	44	4	Servicios	2934	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201609	Septiembre 2016	50	1	Agricultura, ganadería y pesca	1935	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201609	Septiembre 2016	50	2	Industria y energía	3034	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201609	Septiembre 2016	50	3	Construcción	2284	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201609	Septiembre 2016	50	4	Servicios	21545	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201606	Junio 2016	22	1	Agricultura, ganadería y pesca	1771	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201606	Junio 2016	22	2	Industria y energía	835	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201606	Junio 2016	22	3	Construcción	902	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201606	Junio 2016	22	4	Servicios	5649	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Huesca
201606	Junio 2016	44	1	Agricultura, ganadería y pesca	625	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201606	Junio 2016	44	2	Industria y energía	519	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201606	Junio 2016	44	3	Construcción	647	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201606	Junio 2016	44	4	Servicios	2988	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Teruel
201606	Junio 2016	50	1	Agricultura, ganadería y pesca	2091	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201606	Junio 2016	50	2	Industria y energía	3073	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201606	Junio 2016	50	3	Construcción	2377	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
201606	Junio 2016	50	4	Servicios	21510	Régimen General (excluído S.E. Hogar) y R. E. Minería del Carbón	Zaragoza
