Mes (código)	Mes y año	Dirección provincial (código)	Sector código	Sector descripción	Número Empresas	Régimen	Dirección provincial nombre
201006	Junio 2010	22	4	Servicios	5998	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201006	Junio 2010	44	1	Agricultura, ganadería y pesca	151	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201006	Junio 2010	44	2	Industria y energía	606	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201006	Junio 2010	44	3	Construcción	984	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201006	Junio 2010	44	4	Servicios	3276	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201006	Junio 2010	50	1	Agricultura, ganadería y pesca	406	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201006	Junio 2010	50	2	Industria y energía	3614	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201006	Junio 2010	50	3	Construcción	3494	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201006	Junio 2010	50	4	Servicios	25734	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201003	Marzo 2010	22	1	Agricultura, ganadería y pesca	374	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201003	Marzo 2010	22	2	Industria y energía	891	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201003	Marzo 2010	22	3	Construcción	1238	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201003	Marzo 2010	22	4	Servicios	5973	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Huesca
201003	Marzo 2010	44	1	Agricultura, ganadería y pesca	147	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201003	Marzo 2010	44	2	Industria y energía	603	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201003	Marzo 2010	44	3	Construcción	931	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201003	Marzo 2010	44	4	Servicios	3262	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Teruel
201003	Marzo 2010	50	1	Agricultura, ganadería y pesca	394	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201003	Marzo 2010	50	2	Industria y energía	3622	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201003	Marzo 2010	50	3	Construcción	3469	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
201003	Marzo 2010	50	4	Servicios	25676	Régimen General, R.E. Minería del Carbón y R.E. Empleados Hogar fijos	Zaragoza
