Comarca código	Comarca nombre	Año de construcción	Combustible	Número hogares
02	Alto Gállego	1993	Electricidad	21
02	Alto Gállego	1993	Derivados del petróleo	45
02	Alto Gállego	1993	Madera	1
02	Alto Gállego	1994	Electricidad	5
02	Alto Gállego	1994	Derivados del petróleo	26
02	Alto Gállego	1995	Gas	5
02	Alto Gállego	1995	Electricidad	1
02	Alto Gállego	1995	Derivados del petróleo	7
02	Alto Gállego	1995	Madera	1
02	Alto Gállego	1996	Gas	10
02	Alto Gállego	1996	Electricidad	6
02	Alto Gállego	1996	Derivados del petróleo	16
02	Alto Gállego	1996	Madera	1
02	Alto Gállego	1997	Gas	45
02	Alto Gállego	1997	Electricidad	9
02	Alto Gállego	1997	Derivados del petróleo	21
02	Alto Gállego	1997	Madera	1
02	Alto Gállego	1998	Gas	39
02	Alto Gállego	1998	Electricidad	2
02	Alto Gállego	1998	Derivados del petróleo	27
02	Alto Gállego	1998	Madera	1
02	Alto Gállego	1999	Gas	41
02	Alto Gállego	1999	Electricidad	3
02	Alto Gállego	1999	Derivados del petróleo	39
02	Alto Gállego	1999	Madera	1
02	Alto Gállego	2000	Gas	27
02	Alto Gállego	2000	Electricidad	14
02	Alto Gállego	2000	Derivados del petróleo	26
02	Alto Gállego	2000	Madera	2
02	Alto Gállego	2001	Gas	17
02	Alto Gállego	2001	Electricidad	6
02	Alto Gállego	2001	Derivados del petróleo	22
03	Sobrarbe	 Antes de 1900	Gas	35
03	Sobrarbe	 Antes de 1900	Electricidad	64
03	Sobrarbe	 Antes de 1900	Derivados del petróleo	378
03	Sobrarbe	 Antes de 1900	Madera	74
03	Sobrarbe	 Antes de 1900	Derivados del carbón	4
03	Sobrarbe	1900 - 1920	Gas	7
03	Sobrarbe	1900 - 1920	Derivados del petróleo	11
03	Sobrarbe	1900 - 1920	Madera	2
03	Sobrarbe	1921 - 1940	Gas	4
03	Sobrarbe	1921 - 1940	Electricidad	16
03	Sobrarbe	1921 - 1940	Derivados del petróleo	15
03	Sobrarbe	1921 - 1940	Madera	2
03	Sobrarbe	1941 - 1950	Gas	20
03	Sobrarbe	1941 - 1950	Electricidad	12
03	Sobrarbe	1941 - 1950	Derivados del petróleo	57
03	Sobrarbe	1941 - 1950	Madera	13
03	Sobrarbe	1951 - 1960	Gas	8
03	Sobrarbe	1951 - 1960	Electricidad	11
03	Sobrarbe	1951 - 1960	Derivados del petróleo	55
03	Sobrarbe	1951 - 1960	Madera	9
03	Sobrarbe	1961 - 1970	Gas	17
03	Sobrarbe	1961 - 1970	Electricidad	8
03	Sobrarbe	1961 - 1970	Derivados del petróleo	57
03	Sobrarbe	1961 - 1970	Madera	4
03	Sobrarbe	1971 - 1980	Gas	68
03	Sobrarbe	1971 - 1980	Electricidad	31
03	Sobrarbe	1971 - 1980	Derivados del petróleo	109
03	Sobrarbe	1971 - 1980	Madera	8
03	Sobrarbe	1981 - 1990	Gas	41
03	Sobrarbe	1981 - 1990	Electricidad	30
03	Sobrarbe	1981 - 1990	Derivados del petróleo	140
03	Sobrarbe	1981 - 1990	Madera	14
03	Sobrarbe	1991	Gas	14
03	Sobrarbe	1991	Electricidad	8
03	Sobrarbe	1991	Derivados del petróleo	12
03	Sobrarbe	1991	Madera	1
03	Sobrarbe	1992	Gas	3
03	Sobrarbe	1992	Electricidad	6
03	Sobrarbe	1992	Derivados del petróleo	6
03	Sobrarbe	1992	Madera	2
03	Sobrarbe	1993	Gas	4
03	Sobrarbe	1993	Electricidad	4
03	Sobrarbe	1993	Derivados del petróleo	11
03	Sobrarbe	1993	Otros	1
03	Sobrarbe	1994	Gas	1
03	Sobrarbe	1994	Electricidad	1
03	Sobrarbe	1994	Derivados del petróleo	14
03	Sobrarbe	1994	Madera	2
03	Sobrarbe	1995	Gas	2
03	Sobrarbe	1995	Electricidad	1
03	Sobrarbe	1995	Derivados del petróleo	16
03	Sobrarbe	1995	Madera	1
03	Sobrarbe	1996	Gas	8
03	Sobrarbe	1996	Electricidad	3
03	Sobrarbe	1996	Derivados del petróleo	13
03	Sobrarbe	1997	Gas	3
03	Sobrarbe	1997	Electricidad	6
03	Sobrarbe	1997	Derivados del petróleo	13
03	Sobrarbe	1997	Madera	1
03	Sobrarbe	1998	Gas	5
03	Sobrarbe	1998	Electricidad	3
03	Sobrarbe	1998	Derivados del petróleo	6
03	Sobrarbe	1999	Gas	1
03	Sobrarbe	1999	Electricidad	4
03	Sobrarbe	1999	Derivados del petróleo	13
03	Sobrarbe	2000	Gas	9
03	Sobrarbe	2000	Electricidad	3
03	Sobrarbe	2000	Derivados del petróleo	10
03	Sobrarbe	2000	Madera	1
03	Sobrarbe	2001	Gas	4
03	Sobrarbe	2001	Electricidad	2
03	Sobrarbe	2001	Derivados del petróleo	9
04	La Ribagorza	 Antes de 1900	Gas	102
04	La Ribagorza	 Antes de 1900	Electricidad	70
04	La Ribagorza	 Antes de 1900	Derivados del petróleo	650
04	La Ribagorza	 Antes de 1900	Madera	107
04	La Ribagorza	 Antes de 1900	Derivados del carbón	2
04	La Ribagorza	 Antes de 1900	Otros	4
04	La Ribagorza	1900 - 1920	Gas	12
04	La Ribagorza	1900 - 1920	Electricidad	4
04	La Ribagorza	1900 - 1920	Derivados del petróleo	118
04	La Ribagorza	1900 - 1920	Madera	15
04	La Ribagorza	1921 - 1940	Gas	25
04	La Ribagorza	1921 - 1940	Electricidad	10
04	La Ribagorza	1921 - 1940	Derivados del petróleo	106
04	La Ribagorza	1921 - 1940	Madera	8
04	La Ribagorza	1921 - 1940	Otros	1
04	La Ribagorza	1941 - 1950	Gas	5
04	La Ribagorza	1941 - 1950	Electricidad	1
04	La Ribagorza	1941 - 1950	Derivados del petróleo	34
04	La Ribagorza	1941 - 1950	Madera	4
04	La Ribagorza	1951 - 1960	Gas	31
04	La Ribagorza	1951 - 1960	Electricidad	13
04	La Ribagorza	1951 - 1960	Derivados del petróleo	90
04	La Ribagorza	1951 - 1960	Madera	7
04	La Ribagorza	1951 - 1960	Derivados del carbón	1
04	La Ribagorza	1961 - 1970	Gas	82
04	La Ribagorza	1961 - 1970	Electricidad	12
04	La Ribagorza	1961 - 1970	Derivados del petróleo	126
04	La Ribagorza	1961 - 1970	Madera	15
04	La Ribagorza	1961 - 1970	Otros	1
04	La Ribagorza	1971 - 1980	Gas	126
04	La Ribagorza	1971 - 1980	Electricidad	28
04	La Ribagorza	1971 - 1980	Derivados del petróleo	203
04	La Ribagorza	1971 - 1980	Madera	16
04	La Ribagorza	1971 - 1980	Derivados del carbón	1
04	La Ribagorza	1981 - 1990	Gas	64
04	La Ribagorza	1981 - 1990	Electricidad	39
04	La Ribagorza	1981 - 1990	Derivados del petróleo	193
04	La Ribagorza	1981 - 1990	Madera	14
04	La Ribagorza	1991	Gas	15
04	La Ribagorza	1991	Electricidad	18
04	La Ribagorza	1991	Derivados del petróleo	36
04	La Ribagorza	1991	Madera	6
04	La Ribagorza	1992	Gas	14
04	La Ribagorza	1992	Electricidad	4
04	La Ribagorza	1992	Derivados del petróleo	14
04	La Ribagorza	1993	Gas	6
04	La Ribagorza	1993	Electricidad	4
04	La Ribagorza	1993	Derivados del petróleo	26
04	La Ribagorza	1993	Madera	1
04	La Ribagorza	1994	Gas	15
04	La Ribagorza	1994	Electricidad	7
04	La Ribagorza	1994	Derivados del petróleo	34
04	La Ribagorza	1995	Gas	9
04	La Ribagorza	1995	Electricidad	4
04	La Ribagorza	1995	Derivados del petróleo	19
04	La Ribagorza	1996	Gas	16
04	La Ribagorza	1996	Electricidad	4
04	La Ribagorza	1996	Derivados del petróleo	29
04	La Ribagorza	1996	Madera	2
04	La Ribagorza	1997	Gas	4
04	La Ribagorza	1997	Electricidad	2
04	La Ribagorza	1997	Derivados del petróleo	13
04	La Ribagorza	1997	Madera	2
04	La Ribagorza	1998	Gas	23
04	La Ribagorza	1998	Electricidad	7
04	La Ribagorza	1998	Derivados del petróleo	25
04	La Ribagorza	1998	Madera	3
04	La Ribagorza	1999	Gas	17
04	La Ribagorza	1999	Electricidad	5
04	La Ribagorza	1999	Derivados del petróleo	34
04	La Ribagorza	1999	Madera	3
04	La Ribagorza	2000	Gas	31
04	La Ribagorza	2000	Electricidad	20
04	La Ribagorza	2000	Derivados del petróleo	29
04	La Ribagorza	2000	Madera	1
04	La Ribagorza	2000	Otros	1
04	La Ribagorza	2001	Gas	13
04	La Ribagorza	2001	Electricidad	3
04	La Ribagorza	2001	Derivados del petróleo	11
04	La Ribagorza	2001	Madera	1
05	Cinco Villas	 Antes de 1900	Gas	44
05	Cinco Villas	 Antes de 1900	Electricidad	41
05	Cinco Villas	 Antes de 1900	Derivados del petróleo	436
05	Cinco Villas	 Antes de 1900	Madera	28
05	Cinco Villas	 Antes de 1900	Derivados del carbón	3
05	Cinco Villas	1900 - 1920	Gas	16
05	Cinco Villas	1900 - 1920	Electricidad	15
05	Cinco Villas	1900 - 1920	Derivados del petróleo	198
05	Cinco Villas	1900 - 1920	Madera	8
05	Cinco Villas	1900 - 1920	Derivados del carbón	2
05	Cinco Villas	1921 - 1940	Gas	45
05	Cinco Villas	1921 - 1940	Electricidad	42
05	Cinco Villas	1921 - 1940	Derivados del petróleo	263
05	Cinco Villas	1921 - 1940	Madera	15
05	Cinco Villas	1941 - 1950	Gas	46
05	Cinco Villas	1941 - 1950	Electricidad	67
05	Cinco Villas	1941 - 1950	Derivados del petróleo	256
05	Cinco Villas	1941 - 1950	Madera	5
05	Cinco Villas	1941 - 1950	Derivados del carbón	1
05	Cinco Villas	1941 - 1950	Otros	4
05	Cinco Villas	1951 - 1960	Gas	96
05	Cinco Villas	1951 - 1960	Electricidad	117
05	Cinco Villas	1951 - 1960	Derivados del petróleo	821
05	Cinco Villas	1951 - 1960	Madera	61
05	Cinco Villas	1951 - 1960	Derivados del carbón	6
05	Cinco Villas	1951 - 1960	Otros	3
05	Cinco Villas	1961 - 1970	Gas	173
05	Cinco Villas	1961 - 1970	Electricidad	256
05	Cinco Villas	1961 - 1970	Derivados del petróleo	830
05	Cinco Villas	1961 - 1970	Madera	33
05	Cinco Villas	1961 - 1970	Derivados del carbón	1
05	Cinco Villas	1961 - 1970	Otros	3
05	Cinco Villas	1971 - 1980	Gas	162
05	Cinco Villas	1971 - 1980	Electricidad	155
05	Cinco Villas	1971 - 1980	Derivados del petróleo	942
05	Cinco Villas	1971 - 1980	Madera	18
05	Cinco Villas	1971 - 1980	Derivados del carbón	1
05	Cinco Villas	1981 - 1990	Gas	153
05	Cinco Villas	1981 - 1990	Electricidad	222
05	Cinco Villas	1981 - 1990	Derivados del petróleo	1143
05	Cinco Villas	1981 - 1990	Madera	27
05	Cinco Villas	1981 - 1990	Derivados del carbón	3
05	Cinco Villas	1981 - 1990	Otros	5
05	Cinco Villas	1991	Gas	7
05	Cinco Villas	1991	Electricidad	34
05	Cinco Villas	1991	Derivados del petróleo	46
05	Cinco Villas	1991	Madera	1
05	Cinco Villas	1992	Gas	22
05	Cinco Villas	1992	Electricidad	22
05	Cinco Villas	1992	Derivados del petróleo	57
05	Cinco Villas	1992	Madera	2
05	Cinco Villas	1993	Gas	27
05	Cinco Villas	1993	Electricidad	38
05	Cinco Villas	1993	Derivados del petróleo	34
05	Cinco Villas	1993	Madera	1
05	Cinco Villas	1994	Gas	52
05	Cinco Villas	1994	Electricidad	45
05	Cinco Villas	1994	Derivados del petróleo	76
05	Cinco Villas	1994	Madera	2
05	Cinco Villas	1995	Gas	37
05	Cinco Villas	1995	Electricidad	66
05	Cinco Villas	1995	Derivados del petróleo	80
05	Cinco Villas	1996	Gas	49
05	Cinco Villas	1996	Electricidad	28
05	Cinco Villas	1996	Derivados del petróleo	69
05	Cinco Villas	1996	Madera	1
05	Cinco Villas	1996	Derivados del carbón	1
05	Cinco Villas	1997	Gas	34
05	Cinco Villas	1997	Electricidad	24
05	Cinco Villas	1997	Derivados del petróleo	48
05	Cinco Villas	1998	Gas	57
05	Cinco Villas	1998	Electricidad	19
05	Cinco Villas	1998	Derivados del petróleo	64
05	Cinco Villas	1999	Gas	105
05	Cinco Villas	1999	Electricidad	14
05	Cinco Villas	1999	Derivados del petróleo	69
05	Cinco Villas	1999	Madera	1
05	Cinco Villas	1999	Otros	1
05	Cinco Villas	2000	Gas	80
05	Cinco Villas	2000	Electricidad	8
05	Cinco Villas	2000	Derivados del petróleo	54
05	Cinco Villas	2001	Gas	67
05	Cinco Villas	2001	Electricidad	3
05	Cinco Villas	2001	Derivados del petróleo	51
05	Cinco Villas	2001	Otros	1
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Gas	274
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Electricidad	42
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Derivados del petróleo	631
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Madera	119
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Derivados del carbón	2
06	Hoya de Huesca / Plana de Uesca	 Antes de 1900	Otros	2
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Gas	75
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Electricidad	26
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Derivados del petróleo	148
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Madera	31
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Derivados del carbón	1
06	Hoya de Huesca / Plana de Uesca	1900 - 1920	Otros	3
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Gas	219
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Electricidad	20
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Derivados del petróleo	199
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Madera	26
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Derivados del carbón	9
06	Hoya de Huesca / Plana de Uesca	1921 - 1940	Otros	2
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Gas	380
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Electricidad	20
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Derivados del petróleo	244
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Madera	27
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Derivados del carbón	11
06	Hoya de Huesca / Plana de Uesca	1941 - 1950	Otros	4
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	Gas	660
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	Electricidad	50
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	Derivados del petróleo	374
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	Madera	19
06	Hoya de Huesca / Plana de Uesca	1951 - 1960	Derivados del carbón	7
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Gas	1761
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Electricidad	110
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Derivados del petróleo	707
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Madera	27
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Derivados del carbón	6
06	Hoya de Huesca / Plana de Uesca	1961 - 1970	Otros	8
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Gas	1428
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Electricidad	89
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Derivados del petróleo	3119
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Madera	49
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Derivados del carbón	4
06	Hoya de Huesca / Plana de Uesca	1971 - 1980	Otros	10
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Gas	2152
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Electricidad	190
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Derivados del petróleo	1511
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Madera	38
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Derivados del carbón	7
06	Hoya de Huesca / Plana de Uesca	1981 - 1990	Otros	8
06	Hoya de Huesca / Plana de Uesca	1991	Gas	274
06	Hoya de Huesca / Plana de Uesca	1991	Electricidad	19
06	Hoya de Huesca / Plana de Uesca	1991	Derivados del petróleo	84
06	Hoya de Huesca / Plana de Uesca	1991	Madera	2
06	Hoya de Huesca / Plana de Uesca	1992	Gas	365
06	Hoya de Huesca / Plana de Uesca	1992	Electricidad	28
06	Hoya de Huesca / Plana de Uesca	1992	Derivados del petróleo	41
06	Hoya de Huesca / Plana de Uesca	1993	Gas	367
06	Hoya de Huesca / Plana de Uesca	1993	Electricidad	26
06	Hoya de Huesca / Plana de Uesca	1993	Derivados del petróleo	51
06	Hoya de Huesca / Plana de Uesca	1993	Madera	1
06	Hoya de Huesca / Plana de Uesca	1994	Gas	260
06	Hoya de Huesca / Plana de Uesca	1994	Electricidad	23
06	Hoya de Huesca / Plana de Uesca	1994	Derivados del petróleo	34
06	Hoya de Huesca / Plana de Uesca	1994	Madera	2
06	Hoya de Huesca / Plana de Uesca	1995	Gas	222
06	Hoya de Huesca / Plana de Uesca	1995	Electricidad	10
06	Hoya de Huesca / Plana de Uesca	1995	Derivados del petróleo	38
06	Hoya de Huesca / Plana de Uesca	1995	Madera	1
06	Hoya de Huesca / Plana de Uesca	1996	Gas	244
06	Hoya de Huesca / Plana de Uesca	1996	Electricidad	11
06	Hoya de Huesca / Plana de Uesca	1996	Derivados del petróleo	53
06	Hoya de Huesca / Plana de Uesca	1996	Madera	3
06	Hoya de Huesca / Plana de Uesca	1996	Otros	1
06	Hoya de Huesca / Plana de Uesca	1997	Gas	354
06	Hoya de Huesca / Plana de Uesca	1997	Electricidad	4
06	Hoya de Huesca / Plana de Uesca	1997	Derivados del petróleo	34
06	Hoya de Huesca / Plana de Uesca	1997	Madera	1
06	Hoya de Huesca / Plana de Uesca	1997	Otros	1
06	Hoya de Huesca / Plana de Uesca	1998	Gas	146
06	Hoya de Huesca / Plana de Uesca	1998	Electricidad	25
06	Hoya de Huesca / Plana de Uesca	1998	Derivados del petróleo	35
06	Hoya de Huesca / Plana de Uesca	1998	Madera	2
06	Hoya de Huesca / Plana de Uesca	1999	Gas	240
06	Hoya de Huesca / Plana de Uesca	1999	Electricidad	10
06	Hoya de Huesca / Plana de Uesca	1999	Derivados del petróleo	42
06	Hoya de Huesca / Plana de Uesca	1999	Madera	1
06	Hoya de Huesca / Plana de Uesca	1999	Otros	6
06	Hoya de Huesca / Plana de Uesca	2000	Gas	106
06	Hoya de Huesca / Plana de Uesca	2000	Electricidad	8
06	Hoya de Huesca / Plana de Uesca	2000	Derivados del petróleo	33
06	Hoya de Huesca / Plana de Uesca	2000	Madera	4
06	Hoya de Huesca / Plana de Uesca	2001	Gas	174
06	Hoya de Huesca / Plana de Uesca	2001	Electricidad	3
06	Hoya de Huesca / Plana de Uesca	2001	Derivados del petróleo	51
06	Hoya de Huesca / Plana de Uesca	2001	Madera	2
07	Somontano de Barbastro	 Antes de 1900	Gas	88
07	Somontano de Barbastro	 Antes de 1900	Electricidad	14
07	Somontano de Barbastro	 Antes de 1900	Derivados del petróleo	335
07	Somontano de Barbastro	 Antes de 1900	Madera	39
07	Somontano de Barbastro	 Antes de 1900	Otros	1
07	Somontano de Barbastro	1900 - 1920	Gas	62
07	Somontano de Barbastro	1900 - 1920	Electricidad	4
07	Somontano de Barbastro	1900 - 1920	Derivados del petróleo	96
07	Somontano de Barbastro	1900 - 1920	Madera	7
07	Somontano de Barbastro	1900 - 1920	Otros	1
07	Somontano de Barbastro	1921 - 1940	Gas	98
07	Somontano de Barbastro	1921 - 1940	Electricidad	10
07	Somontano de Barbastro	1921 - 1940	Derivados del petróleo	136
07	Somontano de Barbastro	1921 - 1940	Madera	7
07	Somontano de Barbastro	1921 - 1940	Otros	2
07	Somontano de Barbastro	1941 - 1950	Gas	69
07	Somontano de Barbastro	1941 - 1950	Electricidad	8
07	Somontano de Barbastro	1941 - 1950	Derivados del petróleo	91
07	Somontano de Barbastro	1941 - 1950	Madera	9
07	Somontano de Barbastro	1941 - 1950	Otros	1
07	Somontano de Barbastro	1951 - 1960	Gas	184
07	Somontano de Barbastro	1951 - 1960	Electricidad	13
07	Somontano de Barbastro	1951 - 1960	Derivados del petróleo	163
07	Somontano de Barbastro	1951 - 1960	Madera	18
07	Somontano de Barbastro	1951 - 1960	Otros	2
07	Somontano de Barbastro	1961 - 1970	Gas	422
07	Somontano de Barbastro	1961 - 1970	Electricidad	12
07	Somontano de Barbastro	1961 - 1970	Derivados del petróleo	299
07	Somontano de Barbastro	1961 - 1970	Madera	19
07	Somontano de Barbastro	1961 - 1970	Derivados del carbón	4
07	Somontano de Barbastro	1971 - 1980	Gas	854
07	Somontano de Barbastro	1971 - 1980	Electricidad	22
07	Somontano de Barbastro	1971 - 1980	Derivados del petróleo	650
07	Somontano de Barbastro	1971 - 1980	Madera	14
07	Somontano de Barbastro	1971 - 1980	Otros	4
07	Somontano de Barbastro	1981 - 1990	Gas	647
07	Somontano de Barbastro	1981 - 1990	Electricidad	155
07	Somontano de Barbastro	1981 - 1990	Derivados del petróleo	514
07	Somontano de Barbastro	1981 - 1990	Madera	21
07	Somontano de Barbastro	1981 - 1990	Derivados del carbón	2
07	Somontano de Barbastro	1991	Gas	36
07	Somontano de Barbastro	1991	Electricidad	24
07	Somontano de Barbastro	1991	Derivados del petróleo	28
07	Somontano de Barbastro	1991	Madera	1
07	Somontano de Barbastro	1991	Otros	1
07	Somontano de Barbastro	1992	Gas	70
07	Somontano de Barbastro	1992	Electricidad	31
07	Somontano de Barbastro	1992	Derivados del petróleo	24
07	Somontano de Barbastro	1992	Derivados del carbón	1
07	Somontano de Barbastro	1993	Gas	109
