Año	Comarca código	Comarca nombre	Población
1920	18	Ribera Baja del Ebro	15787
1920	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20580
1920	20	Comunidad de Calatayud	74364
1920	21	Campo de Cariñena	18129
1920	22	Campo de Belchite	17361
1920	23	Bajo Martín	17490
1920	24	Campo de Daroca	21779
1920	25	Jiloca	37440
1920	26	Cuencas Mineras	23530
1920	27	Andorra-Sierra de Arcos	13881
1920	28	Bajo Aragón	33795
1920	29	Comunidad de Teruel	45367
1920	30	Maestrazgo	18803
1920	31	Sierra de Albarracín	16047
1920	32	Gúdar-Javalambre	33292
1920	33	Matarraña / Matarranya	24417
1930	01	La Jacetania	26904
1930	02	Alto Gállego	13650
1930	03	Sobrarbe	21826
1930	04	La Ribagorza	31595
1930	05	Cinco Villas	45889
1930	06	Hoya de Huesca / Plana de Uesca	57590
1930	07	Somontano de Barbastro	29124
1930	08	Cinca Medio	17354
1930	09	La Litera / La Llitera	20872
1930	10	Los Monegros	30616
1930	11	Bajo Cinca / Baix Cinca	23303
1930	12	Tarazona y el Moncayo	20084
1930	13	Campo de Borja	21428
1930	14	Aranda	13859
1930	15	Ribera Alta del Ebro	24628
1930	16	Valdejalón	30801
1930	17	Central	185659
1930	18	Ribera Baja del Ebro	15120
1930	19	Bajo Aragón-Caspe / Baix Aragó-Casp	20066
1930	20	Comunidad de Calatayud	80262
1930	21	Campo de Cariñena	17238
1930	22	Campo de Belchite	17557
1930	23	Bajo Martín	17502
1930	24	Campo de Daroca	22479
1930	25	Jiloca	40709
1930	26	Cuencas Mineras	23197
1930	27	Andorra-Sierra de Arcos	12963
1930	28	Bajo Aragón	33259
1930	29	Comunidad de Teruel	49102
1930	30	Maestrazgo	17415
1930	31	Sierra de Albarracín	15776
1930	32	Gúdar-Javalambre	30816
1930	33	Matarraña / Matarranya	22961
1940	01	La Jacetania	24908
1940	02	Alto Gállego	12589
1940	03	Sobrarbe	20303
1940	04	La Ribagorza	29667
1940	05	Cinco Villas	45677
1940	06	Hoya de Huesca / Plana de Uesca	54325
1940	07	Somontano de Barbastro	28361
1940	08	Cinca Medio	17438
1940	09	La Litera / La Llitera	21117
1940	10	Los Monegros	30548
1940	11	Bajo Cinca / Baix Cinca	22993
1940	12	Tarazona y el Moncayo	21251
1940	13	Campo de Borja	21241
1940	14	Aranda	13105
1940	15	Ribera Alta del Ebro	25769
1940	16	Valdejalón	31209
1940	17	Central	228571
1940	18	Ribera Baja del Ebro	14156
1940	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19633
1940	20	Comunidad de Calatayud	83848
1940	21	Campo de Cariñena	16937
1940	22	Campo de Belchite	16103
1940	23	Bajo Martín	16362
1940	24	Campo de Daroca	21952
1940	25	Jiloca	40089
1940	26	Cuencas Mineras	21349
1940	27	Andorra-Sierra de Arcos	12736
1940	28	Bajo Aragón	31451
1940	29	Comunidad de Teruel	47450
1940	30	Maestrazgo	15352
1940	31	Sierra de Albarracín	14114
1940	32	Gúdar-Javalambre	26937
1940	33	Matarraña / Matarranya	20120
1950	01	La Jacetania	24270
1950	02	Alto Gállego	12424
1950	03	Sobrarbe	18290
1950	04	La Ribagorza	25694
1950	05	Cinco Villas	42682
1950	06	Hoya de Huesca / Plana de Uesca	54618
1950	07	Somontano de Barbastro	26211
1950	08	Cinca Medio	17338
1950	09	La Litera / La Llitera	21655
1950	10	Los Monegros	28234
1950	11	Bajo Cinca / Baix Cinca	23209
1950	12	Tarazona y el Moncayo	22396
1950	13	Campo de Borja	21272
1950	14	Aranda	12490
1950	15	Ribera Alta del Ebro	25629
1950	16	Valdejalón	30702
1950	17	Central	268770
1950	18	Ribera Baja del Ebro	14894
1950	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19538
1950	20	Comunidad de Calatayud	81981
1950	21	Campo de Cariñena	16903
1950	22	Campo de Belchite	16197
1950	23	Bajo Martín	15992
1950	24	Campo de Daroca	21677
1950	25	Jiloca	38857
1950	26	Cuencas Mineras	22813
1950	27	Andorra-Sierra de Arcos	14096
1950	28	Bajo Aragón	30401
1950	29	Comunidad de Teruel	51188
1950	30	Maestrazgo	13711
1950	31	Sierra de Albarracín	13667
1950	32	Gúdar-Javalambre	24264
1950	33	Matarraña / Matarranya	18280
1960	01	La Jacetania	21167
1960	02	Alto Gállego	13411
1960	03	Sobrarbe	15122
1960	04	La Ribagorza	23201
1960	05	Cinco Villas	40779
1960	06	Hoya de Huesca / Plana de Uesca	52338
1960	07	Somontano de Barbastro	25978
1960	08	Cinca Medio	20102
1960	09	La Litera / La Llitera	21940
1960	10	Los Monegros	28841
1960	11	Bajo Cinca / Baix Cinca	26033
1960	12	Tarazona y el Moncayo	20145
1960	13	Campo de Borja	19616
1960	14	Aranda	10780
1960	15	Ribera Alta del Ebro	26437
1960	16	Valdejalón	28960
1960	17	Central	330140
1960	18	Ribera Baja del Ebro	14642
1960	19	Bajo Aragón-Caspe / Baix Aragó-Casp	18398
1960	20	Comunidad de Calatayud	71999
1960	21	Campo de Cariñena	14705
1960	22	Campo de Belchite	12827
1960	23	Bajo Martín	14185
1960	24	Campo de Daroca	17568
1960	25	Jiloca	33548
1960	26	Cuencas Mineras	22222
1960	27	Andorra-Sierra de Arcos	16918
1960	28	Bajo Aragón	28383
1960	29	Comunidad de Teruel	49979
1960	30	Maestrazgo	11350
1960	31	Sierra de Albarracín	12132
1960	32	Gúdar-Javalambre	19827
1960	33	Matarraña / Matarranya	15214
1970	01	La Jacetania	17926
1970	02	Alto Gállego	12687
1970	03	Sobrarbe	9525
1970	04	La Ribagorza	16665
1970	05	Cinco Villas	37640
1970	06	Hoya de Huesca / Plana de Uesca	53374
1970	07	Somontano de Barbastro	24804
1970	08	Cinca Medio	23989
1970	09	La Litera / La Llitera	21831
1970	10	Los Monegros	27698
1970	11	Bajo Cinca / Baix Cinca	23475
1970	12	Tarazona y el Moncayo	17636
1970	13	Campo de Borja	17254
1970	14	Aranda	8984
1970	15	Ribera Alta del Ebro	24551
1970	16	Valdejalón	25268
1970	17	Central	496531
1970	18	Ribera Baja del Ebro	12594
1970	19	Bajo Aragón-Caspe / Baix Aragó-Casp	16119
1970	20	Comunidad de Calatayud	56851
1970	21	Campo de Cariñena	12731
1970	22	Campo de Belchite	9254
1970	23	Bajo Martín	11292
1970	24	Campo de Daroca	11807
1970	25	Jiloca	23700
1970	26	Cuencas Mineras	16255
1970	27	Andorra-Sierra de Arcos	12242
1970	28	Bajo Aragón	25837
1970	29	Comunidad de Teruel	42867
1970	30	Maestrazgo	7389
1970	31	Sierra de Albarracín	8631
1970	32	Gúdar-Javalambre	13173
1970	33	Matarraña / Matarranya	12475
1981	01	La Jacetania	16948
1981	02	Alto Gállego	12501
1981	03	Sobrarbe	7091
1981	04	La Ribagorza	12953
1981	05	Cinco Villas	34757
1981	06	Hoya de Huesca / Plana de Uesca	58074
1981	07	Somontano de Barbastro	24094
1981	08	Cinca Medio	22947
1981	09	La Litera / La Llitera	20761
1981	10	Los Monegros	25661
1981	11	Bajo Cinca / Baix Cinca	22978
1981	12	Tarazona y el Moncayo	15671
1981	13	Campo de Borja	15580
1981	14	Aranda	8438
1981	15	Ribera Alta del Ebro	21728
1981	16	Valdejalón	22715
1981	17	Central	600740
1981	18	Ribera Baja del Ebro	10817
1981	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14563
1981	20	Comunidad de Calatayud	47355
1981	21	Campo de Cariñena	11362
1981	22	Campo de Belchite	6982
1981	23	Bajo Martín	9665
1981	24	Campo de Daroca	8779
1981	25	Jiloca	18470
1981	26	Cuencas Mineras	14109
1981	27	Andorra-Sierra de Arcos	12428
1981	28	Bajo Aragón	25597
1981	29	Comunidad de Teruel	42345
1981	30	Maestrazgo	4964
1981	31	Sierra de Albarracín	6093
1981	32	Gúdar-Javalambre	9139
1981	33	Matarraña / Matarranya	10647
1991	01	La Jacetania	16007
1991	02	Alto Gállego	12297
1991	03	Sobrarbe	6638
1991	04	La Ribagorza	11915
1991	05	Cinco Villas	32656
1991	06	Hoya de Huesca / Plana de Uesca	58743
1991	07	Somontano de Barbastro	23105
1991	08	Cinca Medio	22265
1991	09	La Litera / La Llitera	19477
1991	10	Los Monegros	23253
1991	11	Bajo Cinca / Baix Cinca	22666
1991	12	Tarazona y el Moncayo	14520
1991	13	Campo de Borja	14632
1991	14	Aranda	8248
1991	15	Ribera Alta del Ebro	21622
1991	16	Valdejalón	21354
1991	17	Central	626447
1991	18	Ribera Baja del Ebro	10104
1991	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13554
1991	20	Comunidad de Calatayud	41954
1991	21	Campo de Cariñena	10173
1991	22	Campo de Belchite	6147
1991	23	Bajo Martín	8484
1991	24	Campo de Daroca	7360
1991	25	Jiloca	15640
1991	26	Cuencas Mineras	11226
1991	27	Andorra-Sierra de Arcos	12606
1991	28	Bajo Aragón	26195
1991	29	Comunidad de Teruel	42243
1991	30	Maestrazgo	4184
1991	31	Sierra de Albarracín	5417
1991	32	Gúdar-Javalambre	8082
1991	33	Matarraña / Matarranya	9603
2001	01	La Jacetania	16676
2001	02	Alto Gállego	12176
2001	03	Sobrarbe	6803
2001	04	La Ribagorza	11792
2001	05	Cinco Villas	32209
2001	06	Hoya de Huesca / Plana de Uesca	60254
2001	07	Somontano de Barbastro	22772
2001	08	Cinca Medio	22132
2001	09	La Litera / La Llitera	18487
2001	10	Los Monegros	20989
2001	11	Bajo Cinca / Baix Cinca	22254
2001	12	Tarazona y el Moncayo	14168
2001	13	Campo de Borja	14181
2001	14	Aranda	7967
2001	15	Ribera Alta del Ebro	22286
2001	16	Valdejalón	22865
2001	17	Central	656746
2001	18	Ribera Baja del Ebro	9211
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	13005
2001	20	Comunidad de Calatayud	39144
2001	21	Campo de Cariñena	10243
2001	22	Campo de Belchite	5530
2001	23	Bajo Martín	7329
2001	24	Campo de Daroca	6467
2001	25	Jiloca	13653
2001	26	Cuencas Mineras	9485
2001	27	Andorra-Sierra de Arcos	11034
2001	28	Bajo Aragón	26516
2001	29	Comunidad de Teruel	42767
2001	30	Maestrazgo	3713
2001	31	Sierra de Albarracín	4903
2001	32	Gúdar-Javalambre	7742
2001	33	Matarraña / Matarranya	8716
2011	01	La Jacetania	18175
2011	02	Alto Gállego	14558
2011	03	Sobrarbe	7661
2011	04	La Ribagorza	13036
2011	05	Cinco Villas	32501
2011	06	Hoya de Huesca / Plana de Uesca	67920
2011	07	Somontano de Barbastro	24305
2011	08	Cinca Medio	24031
2011	09	La Litera / La Llitera	18850
2011	10	Los Monegros	20575
2011	11	Bajo Cinca / Baix Cinca	24552
2011	12	Tarazona y el Moncayo	14557
2011	13	Campo de Borja	15166
2011	14	Aranda	7402
2011	15	Ribera Alta del Ebro	27760
2011	16	Valdejalón	29671
2011	17	Central	752937
2011	18	Ribera Baja del Ebro	9366
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	14934
2011	20	Comunidad de Calatayud	40929
2011	21	Campo de Cariñena	11052
2011	22	Campo de Belchite	5197
2011	23	Bajo Martín	6931
2011	24	Campo de Daroca	6202
2011	25	Jiloca	13591
2011	26	Cuencas Mineras	8883
2011	27	Andorra-Sierra de Arcos	11206
2011	28	Bajo Aragón	30038
2011	29	Comunidad de Teruel	47063
2011	30	Maestrazgo	3578
2011	31	Sierra de Albarracín	4916
2011	32	Gúdar-Javalambre	8275
2011	33	Matarraña / Matarranya	8683
