Año de construcción	Año de construcción, código	Municipio codigo	Municipio nombre	Nº edificios
Antes 1900	2	22144	Laspuña	85
Antes 1900	2	22149	Loarre	13
Antes 1900	2	22150	Loporzano	317
Antes 1900	2	22151	Loscorrales	52
Antes 1900	2	22155	Monesma y Cajigar	23
Antes 1900	2	22156	Monflorite-Lascasas	56
Antes 1900	2	22157	Montanuy	98
Antes 1900	2	22158	Monzón	288
Antes 1900	2	22160	Naval	18
Antes 1900	2	22162	Novales	36
Antes 1900	2	22163	Nueno	64
Antes 1900	2	22164	Olvena	44
Antes 1900	2	22165	Ontiñena	173
Antes 1900	2	22167	Osso de Cinca	55
Antes 1900	2	22168	Palo	26
Antes 1900	2	22170	Panticosa	36
Antes 1900	2	22172	Peñalba	21
Antes 1900	2	22173	Peñas de Riglos (Las)	193
Antes 1900	2	22174	Peralta de Alcofea	104
Antes 1900	2	22175	Peralta de Calasanz	105
Antes 1900	2	22176	Peraltilla	5
Antes 1900	2	22177	Perarrúa	27
Antes 1900	2	22178	Pertusa	13
Antes 1900	2	22181	Piracés	32
Antes 1900	2	22182	Plan	127
Antes 1900	2	22184	Poleñino	55
Antes 1900	2	22186	Pozán de Vero	12
Antes 1900	2	22187	Puebla de Castro (La)	103
Antes 1900	2	22188	Puente de Montañana	51
Antes 1900	2	22189	Puértolas	12
Antes 1900	2	22190	Pueyo de Araguás (El)	44
Antes 1900	2	22193	Pueyo de Santa Cruz	42
Antes 1900	2	22195	Quicena	28
Antes 1900	2	22197	Robres	25
Antes 1900	2	22199	Sabiñánigo	279
Antes 1900	2	22200	Sahún	99
Antes 1900	2	22201	Salas Altas	72
Antes 1900	2	22202	Salas Bajas	102
Antes 1900	2	22203	Salillas	24
Antes 1900	2	22204	Sallent de Gállego	195
Antes 1900	2	22205	San Esteban de Litera	32
Antes 1900	2	22206	Sangarrén	77
Antes 1900	2	22207	San Juan de Plan	55
Antes 1900	2	22208	Santa Cilia	44
Antes 1900	2	22209	Santa Cruz de la Serós	46
Antes 1900	2	22212	Santaliestra y San Quílez	46
Antes 1900	2	22213	Sariñena	95
Antes 1900	2	22214	Secastilla	68
Antes 1900	2	22215	Seira	45
Antes 1900	2	22217	Sena	20
Antes 1900	2	22218	Senés de Alcubierre	22
Antes 1900	2	22220	Sesa	38
Antes 1900	2	22221	Sesué	35
Antes 1900	2	22222	Siétamo	157
Antes 1900	2	22223	Sopeira	61
Antes 1900	2	22225	Tamarite de Litera	286
Antes 1900	2	22226	Tardienta	21
Antes 1900	2	22227	Tella-Sin	48
Antes 1900	2	22228	Tierz	38
Antes 1900	2	22229	Tolva	107
Antes 1900	2	22230	Torla	155
Antes 1900	2	22232	Torralba de Aragón	41
Antes 1900	2	22233	Torre la Ribera	43
Antes 1900	2	22235	Torres de Alcanadre	37
Antes 1900	2	22236	Torres de Barbués	35
Antes 1900	2	22239	Tramaced	23
Antes 1900	2	22242	Valfarta	5
Antes 1900	2	22243	Valle de Bardají	10
Antes 1900	2	22244	Valle de Lierp	27
Antes 1900	2	22245	Velilla de Cinca	52
Antes 1900	2	22246	Beranuy	43
Antes 1900	2	22247	Viacamp y Litera	7
Antes 1900	2	22248	Vicién	25
Antes 1900	2	22249	Villanova	30
Antes 1900	2	22250	Villanúa	23
Antes 1900	2	22251	Villanueva de Sigena	17
Antes 1900	2	22252	Yebra de Basa	42
Antes 1900	2	22253	Yésero	29
Antes 1900	2	22254	Zaidín	219
Antes 1900	2	22901	Valle de Hecho	223
Antes 1900	2	22902	Puente la Reina de Jaca	48
Antes 1900	2	22903	San Miguel del Cinca	210
Antes 1900	2	22904	Sotonera (La)	272
Antes 1900	2	22905	Lupiñén-Ortilla	42
Antes 1900	2	22906	Santa María de Dulcis	21
Antes 1900	2	22907	Aínsa-Sobrarbe	368
Antes 1900	2	22908	Hoz y Costeán	70
Antes 1900	2	22909	Vencillón	19
Antes 1900	2	44001	Ababuj	52
Antes 1900	2	44002	Abejuela	19
Antes 1900	2	44003	Aguatón	14
Antes 1900	2	44004	Aguaviva	64
Antes 1900	2	44005	Aguilar del Alfambra	77
Antes 1900	2	44006	Alacón	20
Antes 1900	2	44007	Alba	19
Antes 1900	2	44008	Albalate del Arzobispo	119
Antes 1900	2	44009	Albarracín	116
Antes 1900	2	44010	Albentosa	167
Antes 1900	2	44011	Alcaine	133
Antes 1900	2	44012	Alcalá de la Selva	16
Antes 1900	2	44013	Alcañiz	336
Antes 1900	2	44014	Alcorisa	310
Antes 1900	2	44016	Alfambra	67
Antes 1900	2	44017	Aliaga	191
Antes 1900	2	44018	Almohaja	6
Antes 1900	2	44019	Alobras	44
Antes 1900	2	44020	Alpeñés	3
Antes 1900	2	44021	Allepuz	1
Antes 1900	2	44022	Alloza	270
Antes 1900	2	44023	Allueva	52
Antes 1900	2	44024	Anadón	46
Antes 1900	2	44025	Andorra	215
Antes 1900	2	44026	Arcos de las Salinas	26
Antes 1900	2	44027	Arens de Lledó	32
Antes 1900	2	44028	Argente	28
Antes 1900	2	44029	Ariño	107
Antes 1900	2	44031	Azaila	44
Antes 1900	2	44032	Bádenas	38
Antes 1900	2	44033	Báguena	254
Antes 1900	2	44034	Bañón	135
Antes 1900	2	44035	Barrachina	113
Antes 1900	2	44036	Bea	15
Antes 1900	2	44037	Beceite	173
Antes 1900	2	44038	Belmonte de San José	25
Antes 1900	2	44039	Bello	259
Antes 1900	2	44040	Berge	34
Antes 1900	2	44041	Bezas	1
Antes 1900	2	44042	Blancas	62
Antes 1900	2	44043	Blesa	271
Antes 1900	2	44044	Bordón	119
Antes 1900	2	44045	Bronchales	26
Antes 1900	2	44046	Bueña	50
Antes 1900	2	44047	Burbáguena	32
Antes 1900	2	44048	Cabra de Mora	18
Antes 1900	2	44049	Calaceite	479
Antes 1900	2	44050	Calamocha	138
Antes 1900	2	44051	Calanda	229
Antes 1900	2	44052	Calomarde	50
Antes 1900	2	44053	Camañas	13
Antes 1900	2	44054	Camarena de la Sierra	42
Antes 1900	2	44055	Camarillas	146
Antes 1900	2	44056	Caminreal	160
Antes 1900	2	44059	Cantavieja	101
Antes 1900	2	44060	Cañada de Benatanduz	78
Antes 1900	2	44061	Cañada de Verich (La)	63
Antes 1900	2	44062	Cañada Vellida	16
Antes 1900	2	44063	Cañizar del Olivar	21
Antes 1900	2	44064	Cascante del Río	46
Antes 1900	2	44065	Castejón de Tornos	8
Antes 1900	2	44066	Castel de Cabra	50
Antes 1900	2	44067	Castelnou	19
Antes 1900	2	44068	Castelserás	64
Antes 1900	2	44070	Castellar (El)	41
Antes 1900	2	44071	Castellote	651
Antes 1900	2	44074	Cedrillas	95
Antes 1900	2	44075	Celadas	4
Antes 1900	2	44076	Cella	149
Antes 1900	2	44077	Cerollera (La)	28
Antes 1900	2	44080	Codoñera (La)	200
Antes 1900	2	44082	Corbalán	18
Antes 1900	2	44084	Cortes de Aragón	79
Antes 1900	2	44085	Cosa	55
Antes 1900	2	44086	Cretas	95
Antes 1900	2	44087	Crivillén	46
Antes 1900	2	44088	Cuba (La)	10
Antes 1900	2	44089	Cubla	9
Antes 1900	2	44090	Cucalón	102
Antes 1900	2	44092	Cuervo (El)	71
Antes 1900	2	44093	Cuevas de Almudén	13
Antes 1900	2	44094	Cuevas Labradas	9
Antes 1900	2	44096	Ejulve	48
Antes 1900	2	44097	Escorihuela	9
Antes 1900	2	44099	Escucha	39
Antes 1900	2	44100	Estercuel	53
Antes 1900	2	44101	Ferreruela de Huerva	31
Antes 1900	2	44102	Fonfría	5
Antes 1900	2	44103	Formiche Alto	66
Antes 1900	2	44105	Fórnoles	16
Antes 1900	2	44106	Fortanete	247
Antes 1900	2	44107	Foz-Calanda	90
Antes 1900	2	44108	Fresneda (La)	312
Antes 1900	2	44109	Frías de Albarracín	66
Antes 1900	2	44110	Fuenferrada	86
Antes 1900	2	44111	Fuentes Calientes	29
Antes 1900	2	44112	Fuentes Claras	166
Antes 1900	2	44113	Fuentes de Rubielos	67
Antes 1900	2	44114	Fuentespalda	47
Antes 1900	2	44115	Galve	7
Antes 1900	2	44116	Gargallo	13
Antes 1900	2	44117	Gea de Albarracín	87
Antes 1900	2	44118	Ginebrosa (La)	50
Antes 1900	2	44119	Griegos	11
Antes 1900	2	44120	Guadalaviar	11
Antes 1900	2	44121	Gúdar	5
Antes 1900	2	44122	Híjar	312
Antes 1900	2	44123	Hinojosa de Jarque	29
Antes 1900	2	44124	Hoz de la Vieja (La)	165
Antes 1900	2	44125	Huesa del Común	35
Antes 1900	2	44126	Iglesuela del Cid (La)	40
Antes 1900	2	44127	Jabaloyas	114
Antes 1900	2	44128	Jarque de la Val	12
Antes 1900	2	44129	Jatiel	3
Antes 1900	2	44130	Jorcas	70
Antes 1900	2	44131	Josa	16
Antes 1900	2	44132	Lagueruela	37
Antes 1900	2	44133	Lanzuela	11
Antes 1900	2	44135	Libros	30
Antes 1900	2	44136	Lidón	58
Antes 1900	2	44137	Linares de Mora	35
Antes 1900	2	44138	Loscos	90
Antes 1900	2	44141	Lledó	8
Antes 1900	2	44142	Maicas	6
Antes 1900	2	44143	Manzanera	182
Antes 1900	2	44144	Martín del Río	101
Antes 1900	2	44145	Mas de las Matas	195
Antes 1900	2	44146	Mata de los Olmos (La)	32
Antes 1900	2	44147	Mazaleón	227
Antes 1900	2	44148	Mezquita de Jarque	23
Antes 1900	2	44149	Mirambel	17
Antes 1900	2	44150	Miravete de la Sierra	9
Antes 1900	2	44151	Molinos	55
Antes 1900	2	44152	Monforte de Moyuela	93
Antes 1900	2	44153	Monreal del Campo	90
Antes 1900	2	44154	Monroyo	155
Antes 1900	2	44155	Montalbán	61
Antes 1900	2	44156	Monteagudo del Castillo	79
Antes 1900	2	44157	Monterde de Albarracín	3
Antes 1900	2	44158	Mora de Rubielos	385
Antes 1900	2	44159	Moscardón	57
Antes 1900	2	44160	Mosqueruela	323
Antes 1900	2	44161	Muniesa	315
Antes 1900	2	44163	Noguera de Albarracín	25
Antes 1900	2	44164	Nogueras	50
Antes 1900	2	44165	Nogueruelas	64
Antes 1900	2	44167	Obón	239
Antes 1900	2	44168	Odón	26
Antes 1900	2	44169	Ojos Negros	21
Antes 1900	2	44171	Olba	94
Antes 1900	2	44172	Oliete	80
Antes 1900	2	44173	Olmos (Los)	11
Antes 1900	2	44174	Orihuela del Tremedal	22
Antes 1900	2	44175	Orrios	89
Antes 1900	2	44176	Palomar de Arroyos	41
Antes 1900	2	44177	Pancrudo	50
Antes 1900	2	44178	Parras de Castellote (Las)	64
Antes 1900	2	44179	Peñarroya de Tastavins	95
Antes 1900	2	44180	Peracense	79
Antes 1900	2	44181	Peralejos	5
Antes 1900	2	44182	Perales del Alfambra	52
Antes 1900	2	44183	Pitarque	129
Antes 1900	2	44184	Plou	72
Antes 1900	2	44185	Pobo (El)	127
Antes 1900	2	44187	Portellada (La)	180
Antes 1900	2	44189	Pozondón	39
Antes 1900	2	44190	Pozuel del Campo	17
Antes 1900	2	44191	Puebla de Híjar (La)	83
Antes 1900	2	44192	Puebla de Valverde (La)	29
Antes 1900	2	44193	Puertomingalvo	101
Antes 1900	2	44194	Ráfales	175
Antes 1900	2	44195	Rillo	44
Antes 1900	2	44196	Riodeva	84
Antes 1900	2	44197	Ródenas	25
Antes 1900	2	44198	Royuela	27
Antes 1900	2	44199	Rubiales	2
Antes 1900	2	44200	Rubielos de la Cérida	40
Antes 1900	2	44201	Rubielos de Mora	113
Antes 1900	2	44203	Salcedillo	30
Antes 1900	2	44204	Saldón	12
Antes 1900	2	44205	Samper de Calanda	476
Antes 1900	2	44206	San Agustín	126
Antes 1900	2	44207	San Martín del Río	203
Antes 1900	2	44208	Santa Cruz de Nogueras	54
Antes 1900	2	44209	Santa Eulalia	33
Antes 1900	2	44210	Sarrión	55
Antes 1900	2	44211	Segura de los Baños	86
Antes 1900	2	44212	Seno	79
Antes 1900	2	44213	Singra	52
Antes 1900	2	44215	Terriente	156
Antes 1900	2	44216	Teruel	279
Antes 1900	2	44217	Toril y Masegoso	103
Antes 1900	2	44218	Tormón	46
Antes 1900	2	44219	Tornos	29
Antes 1900	2	44220	Torralba de los Sisones	50
Antes 1900	2	44221	Torrecilla de Alcañiz	50
Antes 1900	2	44222	Torrecilla del Rebollar	29
Antes 1900	2	44223	Torre de Arcas	64
Antes 1900	2	44224	Torre de las Arcas	21
Antes 1900	2	44225	Torre del Compte	67
Antes 1900	2	44226	Torrelacárcel	68
Antes 1900	2	44227	Torre los Negros	85
Antes 1900	2	44228	Torremocha de Jiloca	44
Antes 1900	2	44229	Torres de Albarracín	31
Antes 1900	2	44230	Torrevelilla	41
Antes 1900	2	44231	Torrijas	14
Antes 1900	2	44232	Torrijo del Campo	69
Antes 1900	2	44234	Tramacastiel	28
Antes 1900	2	44235	Tramacastilla	19
Antes 1900	2	44236	Tronchón	19
Antes 1900	2	44237	Urrea de Gaén	9
Antes 1900	2	44238	Utrillas	29
Antes 1900	2	44239	Valacloche	26
Antes 1900	2	44240	Valbona	99
Antes 1900	2	44241	Valdealgorfa	309
Antes 1900	2	44243	Valdecuenca	74
Antes 1900	2	44244	Valdelinares	12
Antes 1900	2	44245	Valdeltormo	77
Antes 1900	2	44246	Valderrobres	43
Antes 1900	2	44247	Valjunquera	31
Antes 1900	2	44249	Vallecillo (El)	31
Antes 1900	2	44250	Veguillas de la Sierra	24
Antes 1900	2	44251	Villafranca del Campo	95
Antes 1900	2	44252	Villahermosa del Campo	7
Antes 1900	2	44256	Villanueva del Rebollar de la Sierra	55
Antes 1900	2	44257	Villar del Cobo	34
Antes 1900	2	44258	Villar del Salz	24
Antes 1900	2	44260	Villarluengo	162
Antes 1900	2	44261	Villarquemado	8
Antes 1900	2	44262	Villarroya de los Pinares	49
Antes 1900	2	44263	Villastar	52
Antes 1900	2	44264	Villel	41
Antes 1900	2	44265	Vinaceite	2
Antes 1900	2	44266	Visiedo	105
Antes 1900	2	44267	Vivel del Río Martín	182
Antes 1900	2	44268	Zoma (La)	1
Antes 1900	2	50001	Abanto	5
Antes 1900	2	50002	Acered	23
Antes 1900	2	50003	Agón	25
Antes 1900	2	50004	Aguarón	287
Antes 1900	2	50005	Aguilón	14
Antes 1900	2	50006	Ainzón	202
Antes 1900	2	50007	Aladrén	22
Antes 1900	2	50008	Alagón	306
Antes 1900	2	50009	Alarba	39
Antes 1900	2	50010	Alberite de San Juan	28
Antes 1900	2	50011	Albeta	39
Antes 1900	2	50012	Alborge	7
Antes 1900	2	50013	Alcalá de Ebro	24
Antes 1900	2	50014	Alcalá de Moncayo	29
Antes 1900	2	50015	Alconchel de Ariza	104
Antes 1900	2	50016	Aldehuela de Liestos	1
Antes 1900	2	50017	Alfajarín	17
Antes 1900	2	50018	Alfamén	59
Antes 1900	2	50019	Alforque	25
Antes 1900	2	50020	Alhama de Aragón	62
Antes 1900	2	50021	Almochuel	1
Antes 1900	2	50022	Almolda (La)	67
Antes 1900	2	50023	Almonacid de la Cuba	21
Antes 1900	2	50024	Almonacid de la Sierra	270
Antes 1900	2	50025	Almunia de Doña Godina (La)	148
Antes 1900	2	50026	Alpartir	176
Antes 1900	2	50027	Ambel	89
Antes 1900	2	50028	Anento	30
Antes 1900	2	50029	Aniñón	251
Antes 1900	2	50030	Añón de Moncayo	39
Antes 1900	2	50031	Aranda de Moncayo	174
Antes 1900	2	50032	Arándiga	3
Antes 1900	2	50034	Ariza	223
Antes 1900	2	50035	Artieda	20
Antes 1900	2	50036	Asín	13
Antes 1900	2	50037	Atea	3
Antes 1900	2	50038	Ateca	213
Antes 1900	2	50039	Azuara	11
Antes 1900	2	50040	Badules	13
Antes 1900	2	50041	Bagüés	14
Antes 1900	2	50042	Balconchán	2
Antes 1900	2	50043	Bárboles	61
Antes 1900	2	50044	Bardallur	126
Antes 1900	2	50045	Belchite	18
Antes 1900	2	50046	Belmonte de Gracián	109
Antes 1900	2	50047	Berdejo	4
Antes 1900	2	50048	Berrueco	7
Antes 1900	2	50050	Bijuesca	27
Antes 1900	2	50051	Biota	97
Antes 1900	2	50052	Bisimbre	61
Antes 1900	2	50053	Boquiñeni	46
Antes 1900	2	50054	Bordalba	77
Antes 1900	2	50055	Borja	395
Antes 1900	2	50056	Botorrita	14
Antes 1900	2	50057	Brea de Aragón	283
Antes 1900	2	50058	Bubierca	19
Antes 1900	2	50059	Bujaraloz	3
Antes 1900	2	50060	Bulbuente	56
Antes 1900	2	50061	Bureta	85
Antes 1900	2	50062	Burgo de Ebro (El)	7
Antes 1900	2	50063	Buste (El)	97
Antes 1900	2	50064	Cabañas de Ebro	81
Antes 1900	2	50065	Cabolafuente	92
Antes 1900	2	50066	Cadrete	29
Antes 1900	2	50067	Calatayud	715
Antes 1900	2	50068	Calatorao	77
Antes 1900	2	50069	Calcena	25
Antes 1900	2	50070	Calmarza	14
Antes 1900	2	50071	Campillo de Aragón	89
Antes 1900	2	50072	Carenas	230
Antes 1900	2	50073	Cariñena	123
Antes 1900	2	50074	Caspe	158
Antes 1900	2	50075	Castejón de Alarba	3
Antes 1900	2	50076	Castejón de las Armas	47
Antes 1900	2	50077	Castejón de Valdejasa	12
Antes 1900	2	50078	Castiliscar	83
Antes 1900	2	50079	Cervera de la Cañada	30
Antes 1900	2	50080	Cerveruela	18
Antes 1900	2	50081	Cetina	55
Antes 1900	2	50082	Cimballa	19
Antes 1900	2	50083	Cinco Olivas	3
Antes 1900	2	50084	Clarés de Ribota	5
Antes 1900	2	50085	Codo	239
Antes 1900	2	50086	Codos	86
Antes 1900	2	50087	Contamina	5
Antes 1900	2	50088	Cosuenda	149
Antes 1900	2	50089	Cuarte de Huerva	12
Antes 1900	2	50090	Cubel	9
Antes 1900	2	50091	Cuerlas (Las)	5
Antes 1900	2	50092	Chiprana	3
Antes 1900	2	50093	Chodes	74
Antes 1900	2	50094	Daroca	105
Antes 1900	2	50095	Ejea de los Caballeros	515
Antes 1900	2	50096	Embid de Ariza	81
Antes 1900	2	50098	Encinacorba	101
Antes 1900	2	50099	Épila	246
Antes 1900	2	50100	Erla	19
Antes 1900	2	50101	Escatrón	92
Antes 1900	2	50102	Fabara	38
Antes 1900	2	50104	Farlete	23
Antes 1900	2	50105	Fayón	1
Antes 1900	2	50106	Fayos (Los)	143
Antes 1900	2	50107	Figueruelas	32
Antes 1900	2	50108	Fombuena	28
Antes 1900	2	50109	Frago (El)	68
Antes 1900	2	50110	Frasno (El)	89
Antes 1900	2	50111	Fréscano	24
Antes 1900	2	50113	Fuendejalón	11
Antes 1900	2	50114	Fuendetodos	7
Antes 1900	2	50115	Fuentes de Ebro	258
Antes 1900	2	50116	Fuentes de Jiloca	34
Antes 1900	2	50117	Gallocanta	14
Antes 1900	2	50118	Gallur	113
Antes 1900	2	50119	Gelsa	285
Antes 1900	2	50120	Godojos	58
Antes 1900	2	50121	Gotor	101
Antes 1900	2	50122	Grisel	11
Antes 1900	2	50123	Grisén	43
Antes 1900	2	50124	Herrera de los Navarros	27
Antes 1900	2	50125	Ibdes	148
Antes 1900	2	50126	Illueca	109
Antes 1900	2	50128	Isuerre	48
Antes 1900	2	50129	Jaraba	15
Antes 1900	2	50130	Jarque	105
Antes 1900	2	50132	Joyosa (La)	24
Antes 1900	2	50133	Lagata	3
Antes 1900	2	50134	Langa del Castillo	33
Antes 1900	2	50135	Layana	30
Antes 1900	2	50136	Lécera	237
Antes 1900	2	50137	Leciñena	93
Antes 1900	2	50138	Lechón	26
Antes 1900	2	50139	Letux	144
Antes 1900	2	50140	Litago	79
Antes 1900	2	50141	Lituénigo	29
Antes 1900	2	50142	Lobera de Onsella	23
Antes 1900	2	50143	Longares	169
Antes 1900	2	50144	Longás	45
Antes 1900	2	50146	Lucena de Jalón	88
Antes 1900	2	50147	Luceni	47
Antes 1900	2	50148	Luesia	151
Antes 1900	2	50149	Luesma	14
Antes 1900	2	50150	Lumpiaque	140
Antes 1900	2	50151	Luna	141
Antes 1900	2	50152	Maella	87
Antes 1900	2	50153	Magallón	267
Antes 1900	2	50154	Mainar	53
Antes 1900	2	50155	Malanquilla	11
Antes 1900	2	50156	Maleján	91
Antes 1900	2	50157	Malón	136
Antes 1900	2	50159	Maluenda	1
Antes 1900	2	50160	Mallén	186
Antes 1900	2	50161	Manchones	38
Antes 1900	2	50162	Mara	19
Antes 1900	2	50163	María de Huerva	27
Antes 1900	2	50164	Mediana de Aragón	80
Antes 1900	2	50165	Mequinenza	1
Antes 1900	2	50166	Mesones de Isuela	9
Antes 1900	2	50167	Mezalocha	108
Antes 1900	2	50168	Mianos	20
Antes 1900	2	50169	Miedes de Aragón	66
Antes 1900	2	50170	Monegrillo	48
Antes 1900	2	50171	Moneva	4
Antes 1900	2	50172	Monreal de Ariza	29
Antes 1900	2	50173	Monterde	31
Antes 1900	2	50174	Montón	4
Antes 1900	2	50175	Morata de Jalón	232
Antes 1900	2	50176	Morata de Jiloca	133
Antes 1900	2	50177	Morés	67
Antes 1900	2	50178	Moros	40
Antes 1900	2	50180	Mozota	32
Antes 1900	2	50181	Muel	89
Antes 1900	2	50182	Muela (La)	9
Antes 1900	2	50183	Munébrega	4
Antes 1900	2	50184	Murero	59
Antes 1900	2	50185	Murillo de Gállego	42
Antes 1900	2	50186	Navardún	31
Antes 1900	2	50187	Nigüella	1
Antes 1900	2	50188	Nombrevilla	3
Antes 1900	2	50189	Nonaspe	12
Antes 1900	2	50190	Novallas	131
Antes 1900	2	50191	Novillas	65
Antes 1900	2	50192	Nuévalos	3
Antes 1900	2	50193	Nuez de Ebro	9
Antes 1900	2	50194	Olvés	51
Antes 1900	2	50195	Orcajo	5
Antes 1900	2	50196	Orera	46
Antes 1900	2	50197	Orés	26
Antes 1900	2	50198	Oseja	30
Antes 1900	2	50199	Osera de Ebro	5
Antes 1900	2	50200	Paniza	42
Antes 1900	2	50201	Paracuellos de Jiloca	27
Antes 1900	2	50202	Paracuellos de la Ribera	39
Antes 1900	2	50203	Pastriz	36
Antes 1900	2	50204	Pedrola	130
Antes 1900	2	50206	Perdiguera	2
Antes 1900	2	50207	Piedratajada	38
Antes 1900	2	50208	Pina de Ebro	24
Antes 1900	2	50209	Pinseque	76
Antes 1900	2	50210	Pintanos (Los)	57
Antes 1900	2	50211	Plasencia de Jalón	41
Antes 1900	2	50212	Pleitas	1
Antes 1900	2	50213	Plenas	9
Antes 1900	2	50214	Pomer	3
Antes 1900	2	50215	Pozuel de Ariza	41
Antes 1900	2	50216	Pozuelo de Aragón	90
Antes 1900	2	50217	Pradilla de Ebro	8
Antes 1900	2	50218	Puebla de Albortón	10
Antes 1900	2	50219	Puebla de Alfindén (La)	13
Antes 1900	2	50220	Puendeluna	7
Antes 1900	2	50221	Purujosa	27
Antes 1900	2	50222	Quinto	7
Antes 1900	2	50223	Remolinos	151
Antes 1900	2	50224	Retascón	4
Antes 1900	2	50225	Ricla	15
Antes 1900	2	50227	Romanos	10
Antes 1900	2	50228	Rueda de Jalón	42
Antes 1900	2	50229	Ruesca	30
Antes 1900	2	50230	Sádaba	105
Antes 1900	2	50231	Salillas de Jalón	138
