Tipo de hogar, código	Tipo de hogar	Municipio codigo	Municipio nombre	Nº hogares
1	Hogares unipersonales	22047	Banastás	10,0581063089
1	Hogares unipersonales	22048	Barbastro	1871,5485752888
1	Hogares unipersonales	22049	Barbués	11,1088106602
1	Hogares unipersonales	22050	Barbuñales	4,860646484
1	Hogares unipersonales	22051	Bárcabo	16,4426071142
1	Hogares unipersonales	22052	Belver de Cinca	107,3771947104
1	Hogares unipersonales	22053	Benabarre	119,5852581132
1	Hogares unipersonales	22054	Benasque	206,5139696528
1	Hogares unipersonales	22055	Berbegal	49,3465375369
1	Hogares unipersonales	22057	Bielsa	32,4125070983
1	Hogares unipersonales	22058	Bierge	35,2875069689
1	Hogares unipersonales	22059	Biescas	235,3414389757
1	Hogares unipersonales	22060	Binaced	93,6383943786
1	Hogares unipersonales	22061	Binéfar	724,1540785464
1	Hogares unipersonales	22062	Bisaurri	12,6901793611
1	Hogares unipersonales	22063	Biscarrués	25,9839702579
1	Hogares unipersonales	22064	Blecua y Torres	30,1758466347
1	Hogares unipersonales	22066	Boltaña	92,8517553597
1	Hogares unipersonales	22067	Bonansa	10,393557791
1	Hogares unipersonales	22068	Borau	19,9514816839
1	Hogares unipersonales	22069	Broto	33,4013141508
1	Hogares unipersonales	22072	Caldearenas	29,2635068358
1	Hogares unipersonales	22074	Campo	53,7376676083
1	Hogares unipersonales	22075	Camporrells	26,2140876219
1	Hogares unipersonales	22076	Canal de Berdún	40,4317744825
1	Hogares unipersonales	22077	Candasnos	57,7463671038
1	Hogares unipersonales	22078	Canfranc	158,9439091743
1	Hogares unipersonales	22079	Capdesaso	21,3392415753
1	Hogares unipersonales	22080	Capella	28,6580631508
1	Hogares unipersonales	22081	Casbas de Huesca	29,2139866679
1	Hogares unipersonales	22082	Castejón del Puente	30,3909922529
1	Hogares unipersonales	22083	Castejón de Monegros	56,9329932308
1	Hogares unipersonales	22084	Castejón de Sos	75,0881355472
1	Hogares unipersonales	22085	Castelflorite	15,5391140533
1	Hogares unipersonales	22086	Castiello de Jaca	34,3798945128
1	Hogares unipersonales	22087	Castigaleu	10,149849935
1	Hogares unipersonales	22088	Castillazuelo	38,0339691392
1	Hogares unipersonales	22089	Castillonroy	30,0840880613
1	Hogares unipersonales	22090	Colungo	26,833815594
1	Hogares unipersonales	22094	Chalamera	11,4610380026
1	Hogares unipersonales	22095	Chía	17,4970336718
1	Hogares unipersonales	22096	Chimillas	26,3689158445
1	Hogares unipersonales	22099	Esplús	59,6638389837
1	Hogares unipersonales	22102	Estada	25,8998501924
1	Hogares unipersonales	22103	Estadilla	68,8982573073
1	Hogares unipersonales	22105	Estopiñán del Castillo	16,385371812
1	Hogares unipersonales	22106	Fago	4,5791308322
1	Hogares unipersonales	22107	Fanlo	29,0810869164
1	Hogares unipersonales	22109	Fiscal	28,5518015204
1	Hogares unipersonales	22110	Fonz	91,6689335444
1	Hogares unipersonales	22111	Foradada del Toscar	9,258221143
1	Hogares unipersonales	22112	Fraga	1052,0193928787
1	Hogares unipersonales	22113	Fueva (La)	40,0968360985
1	Hogares unipersonales	22114	Gistaín	23,9588909708
1	Hogares unipersonales	22115	Grado (El)	38,1493750233
1	Hogares unipersonales	22116	Grañén	139,3898630595
1	Hogares unipersonales	22117	Graus	461,0242447496
1	Hogares unipersonales	22119	Gurrea de Gállego	145,923687225
1	Hogares unipersonales	22122	Hoz de Jaca	6,6475248789
1	Hogares unipersonales	22124	Huerto	19,6579688526
1	Hogares unipersonales	22125	Huesca	5435,347807043
1	Hogares unipersonales	22126	Ibieca	10,4414572736
1	Hogares unipersonales	22127	Igriés	42,3808523458
1	Hogares unipersonales	22128	Ilche	19,6629978233
1	Hogares unipersonales	22129	Isábena	39,1987260118
1	Hogares unipersonales	22130	Jaca	1504,7957941612
1	Hogares unipersonales	22131	Jasa	23,8706634399
1	Hogares unipersonales	22133	Labuerda	18,0695733292
1	Hogares unipersonales	22135	Laluenga	20,0440479035
1	Hogares unipersonales	22136	Lalueza	130,089147049
1	Hogares unipersonales	22137	Lanaja	140,2017717622
1	Hogares unipersonales	22139	Laperdiguera	6,2474493481
1	Hogares unipersonales	22141	Lascellas-Ponzano	21,1405009608
1	Hogares unipersonales	22142	Lascuarre	15,6730622237
1	Hogares unipersonales	22143	Laspaúles	59,6074118184
1	Hogares unipersonales	22144	Laspuña	31,5675869931
1	Hogares unipersonales	22149	Loarre	51,0618905252
1	Hogares unipersonales	22150	Loporzano	58,2333861551
1	Hogares unipersonales	22151	Loscorrales	10,001403044
1	Hogares unipersonales	22155	Monesma y Cajigar	4,7435855507
1	Hogares unipersonales	22156	Monflorite-Lascasas	28,5291596646
1	Hogares unipersonales	22157	Montanuy	34,8021077596
1	Hogares unipersonales	22158	Monzón	1346,7682568819
1	Hogares unipersonales	22160	Naval	30,5431573553
1	Hogares unipersonales	22162	Novales	17,9452640168
1	Hogares unipersonales	22163	Nueno	54,0818948557
1	Hogares unipersonales	22164	Olvena	7,7691918201
1	Hogares unipersonales	22165	Ontiñena	30,5586994571
1	Hogares unipersonales	22167	Osso de Cinca	43,121537678
1	Hogares unipersonales	22168	Palo	11,9408281499
1	Hogares unipersonales	22170	Panticosa	95,3913359075
1	Hogares unipersonales	22172	Peñalba	43,4136250263
1	Hogares unipersonales	22173	Peñas de Riglos (Las)	38,8905345353
1	Hogares unipersonales	22174	Peralta de Alcofea	55,6502813313
1	Hogares unipersonales	22175	Peralta de Calasanz	53,2726722807
1	Hogares unipersonales	22176	Peraltilla	20,064716991
1	Hogares unipersonales	22177	Perarrúa	2,4488507562
1	Hogares unipersonales	22178	Pertusa	11,4968121187
1	Hogares unipersonales	22181	Piracés	10,4175844568
1	Hogares unipersonales	22182	Plan	32,0295557913
1	Hogares unipersonales	22184	Poleñino	12,3930051595
1	Hogares unipersonales	22186	Pozán de Vero	19,7103001477
1	Hogares unipersonales	22187	Puebla de Castro (La)	27,2596948439
1	Hogares unipersonales	22188	Puente de Montañana	13,7852127907
1	Hogares unipersonales	22189	Puértolas	24,7024721766
1	Hogares unipersonales	22190	Pueyo de Araguás (El)	18,2576000856
1	Hogares unipersonales	22193	Pueyo de Santa Cruz	26,9135977666
1	Hogares unipersonales	22195	Quicena	16,9789702638
1	Hogares unipersonales	22197	Robres	55,3128704392
1	Hogares unipersonales	22199	Sabiñánigo	1039,7019959105
1	Hogares unipersonales	22200	Sahún	36,4166360808
1	Hogares unipersonales	22201	Salas Altas	28,418598825
1	Hogares unipersonales	22202	Salas Bajas	20,2526576015
1	Hogares unipersonales	22203	Salillas	8,4239683451
1	Hogares unipersonales	22204	Sallent de Gállego	227,3464682001
1	Hogares unipersonales	22205	San Esteban de Litera	53,677346614
1	Hogares unipersonales	22206	Sangarrén	33,7070668199
1	Hogares unipersonales	22207	San Juan de Plan	15,1493246969
1	Hogares unipersonales	22208	Santa Cilia	26,3712468813
1	Hogares unipersonales	22209	Santa Cruz de la Serós	15,052094527
1	Hogares unipersonales	22212	Santaliestra y San Quílez	10,723444427
1	Hogares unipersonales	22213	Sariñena	388,8553407658
1	Hogares unipersonales	22214	Secastilla	22,5832782718
1	Hogares unipersonales	22215	Seira	38,9724100421
1	Hogares unipersonales	22217	Sena	37,0535049726
1	Hogares unipersonales	22218	Senés de Alcubierre	6,7095673088
1	Hogares unipersonales	22220	Sesa	27,5609961316
1	Hogares unipersonales	22221	Sesué	17,4875239417
1	Hogares unipersonales	22222	Siétamo	44,0427060137
1	Hogares unipersonales	22223	Sopeira	16,1374174299
1	Hogares unipersonales	22225	Tamarite de Litera	248,2317839429
1	Hogares unipersonales	22226	Tardienta	114,461094227
1	Hogares unipersonales	22227	Tella-Sin	34,5543772218
1	Hogares unipersonales	22228	Tierz	39,7878089375
1	Hogares unipersonales	22229	Tolva	28,128995615
1	Hogares unipersonales	22230	Torla	22,807845549
1	Hogares unipersonales	22232	Torralba de Aragón	11,4572651356
1	Hogares unipersonales	22233	Torre la Ribera	7,7929906392
1	Hogares unipersonales	22234	Torrente de Cinca	89,8457641316
1	Hogares unipersonales	22235	Torres de Alcanadre	8,1856266156
1	Hogares unipersonales	22236	Torres de Barbués	30,0219966482
1	Hogares unipersonales	22239	Tramaced	10,2903627281
1	Hogares unipersonales	22242	Valfarta	6,0105179403
1	Hogares unipersonales	22243	Valle de Bardají	1,7280654789
1	Hogares unipersonales	22244	Valle de Lierp	5,6389878491
1	Hogares unipersonales	22245	Velilla de Cinca	34,1341713156
1	Hogares unipersonales	22246	Beranuy	17,1052659207
1	Hogares unipersonales	22247	Viacamp y Litera	10,3337696316
1	Hogares unipersonales	22248	Vicién	11,2414128437
1	Hogares unipersonales	22249	Villanova	13,1122686963
1	Hogares unipersonales	22250	Villanúa	80,7532202867
1	Hogares unipersonales	22251	Villanueva de Sigena	38,9316277183
1	Hogares unipersonales	22252	Yebra de Basa	21,6410464305
1	Hogares unipersonales	22253	Yésero	12,9257277099
1	Hogares unipersonales	22254	Zaidín	153,0242628932
1	Hogares unipersonales	22901	Valle de Hecho	78,8627688689
1	Hogares unipersonales	22902	Puente la Reina de Jaca	25,5410888545
1	Hogares unipersonales	22903	San Miguel del Cinca	71,176012349
1	Hogares unipersonales	22904	Sotonera (La)	133,1424133309
1	Hogares unipersonales	22905	Lupiñén-Ortilla	42,7676750083
1	Hogares unipersonales	22906	Santa María de Dulcis	15,731590515
1	Hogares unipersonales	22907	Aínsa-Sobrarbe	258,4869386261
1	Hogares unipersonales	22908	Hoz y Costeán	25,5651390249
1	Hogares unipersonales	22909	Vencillón	32,7506520601
1	Hogares unipersonales	44001	Ababuj	5,8018464032
1	Hogares unipersonales	44002	Abejuela	16,3968529043
1	Hogares unipersonales	44003	Aguatón	0,9940398135
1	Hogares unipersonales	44004	Aguaviva	73,2868214891
1	Hogares unipersonales	44005	Aguilar del Alfambra	7,3191002646
1	Hogares unipersonales	44006	Alacón	38,3510348977
1	Hogares unipersonales	44007	Alba	36,4487742739
1	Hogares unipersonales	44008	Albalate del Arzobispo	203,3784639291
1	Hogares unipersonales	44009	Albarracín	89,3213086715
1	Hogares unipersonales	44010	Albentosa	31,3957710305
1	Hogares unipersonales	44011	Alcaine	12,8594829469
1	Hogares unipersonales	44012	Alcalá de la Selva	46,1946737995
1	Hogares unipersonales	44013	Alcañiz	1579,8387773158
1	Hogares unipersonales	44014	Alcorisa	249,8955537159
1	Hogares unipersonales	44016	Alfambra	93,5261916886
1	Hogares unipersonales	44017	Aliaga	65,9995041437
1	Hogares unipersonales	44019	Alobras	11,808680004
1	Hogares unipersonales	44020	Alpeñés	4,5858616277
1	Hogares unipersonales	44021	Allepuz	16,556854259
1	Hogares unipersonales	44022	Alloza	90,6316082272
1	Hogares unipersonales	44023	Allueva	7,0210165431
1	Hogares unipersonales	44024	Anadón	2,6220354515
1	Hogares unipersonales	44025	Andorra	599,0367956333
1	Hogares unipersonales	44026	Arcos de las Salinas	21,8770281889
1	Hogares unipersonales	44027	Arens de Lledó	14,1573371749
1	Hogares unipersonales	44028	Argente	13,1617976907
1	Hogares unipersonales	44029	Ariño	95,9663478922
1	Hogares unipersonales	44031	Azaila	30,6888006044
1	Hogares unipersonales	44032	Bádenas	4,3929724211
1	Hogares unipersonales	44033	Báguena	60,9690298257
1	Hogares unipersonales	44034	Bañón	19,786966785
1	Hogares unipersonales	44035	Barrachina	25,0423615065
1	Hogares unipersonales	44036	Bea	8,2141475993
1	Hogares unipersonales	44037	Beceite	51,2657804052
1	Hogares unipersonales	44038	Belmonte de San José	26,9801704642
1	Hogares unipersonales	44039	Bello	38,8492976708
1	Hogares unipersonales	44040	Berge	35,3168725045
1	Hogares unipersonales	44041	Bezas	15,5712906386
1	Hogares unipersonales	44042	Blancas	18,9145451014
1	Hogares unipersonales	44043	Blesa	19,9218986664
1	Hogares unipersonales	44044	Bordón	11,7085424142
1	Hogares unipersonales	44045	Bronchales	122,4988034724
1	Hogares unipersonales	44046	Bueña	16,6975059492
1	Hogares unipersonales	44047	Burbáguena	35,1040984209
1	Hogares unipersonales	44048	Cabra de Mora	6,0191954515
1	Hogares unipersonales	44049	Calaceite	126,3806197953
1	Hogares unipersonales	44050	Calamocha	454,8249173963
1	Hogares unipersonales	44051	Calanda	271,5062644771
1	Hogares unipersonales	44052	Calomarde	18,3600627039
1	Hogares unipersonales	44053	Camañas	14,4612012583
1	Hogares unipersonales	44054	Camarena de la Sierra	27,5597442579
1	Hogares unipersonales	44055	Camarillas	12,093977283
1	Hogares unipersonales	44056	Caminreal	77,8811022112
1	Hogares unipersonales	44059	Cantavieja	60,8697844124
1	Hogares unipersonales	44060	Cañada de Benatanduz	8,3159338307
1	Hogares unipersonales	44061	Cañada de Verich (La)	15,7094618093
1	Hogares unipersonales	44062	Cañada Vellida	4,0899812871
1	Hogares unipersonales	44063	Cañizar del Olivar	14,0435397092
1	Hogares unipersonales	44064	Cascante del Río	10,2528332244
1	Hogares unipersonales	44065	Castejón de Tornos	9,9639632141
1	Hogares unipersonales	44066	Castel de Cabra	7,561739562
1	Hogares unipersonales	44067	Castelnou	14,6129646192
1	Hogares unipersonales	44068	Castelserás	42,8564222663
1	Hogares unipersonales	44070	Castellar (El)	4,0120347948
1	Hogares unipersonales	44071	Castellote	97,1235865226
1	Hogares unipersonales	44074	Cedrillas	34,4974648718
1	Hogares unipersonales	44075	Celadas	22,687537081
1	Hogares unipersonales	44076	Cella	227,4967941115
1	Hogares unipersonales	44077	Cerollera (La)	8,576416956
1	Hogares unipersonales	44080	Codoñera (La)	40,4791213113
1	Hogares unipersonales	44082	Corbalán	19,1853962744
1	Hogares unipersonales	44084	Cortes de Aragón	10,3037354045
1	Hogares unipersonales	44085	Cosa	4,6645544976
1	Hogares unipersonales	44086	Cretas	49,7122459063
1	Hogares unipersonales	44087	Crivillén	7,8214398334
1	Hogares unipersonales	44088	Cuba (La)	8,0079336756
1	Hogares unipersonales	44089	Cubla	8,9691431091
1	Hogares unipersonales	44090	Cucalón	16,3014096514
1	Hogares unipersonales	44092	Cuervo (El)	15,6503231526
1	Hogares unipersonales	44093	Cuevas de Almudén	10,7517230137
1	Hogares unipersonales	44094	Cuevas Labradas	15,4209703741
1	Hogares unipersonales	44096	Ejulve	21,2469630098
1	Hogares unipersonales	44097	Escorihuela	20,2349091746
1	Hogares unipersonales	44099	Escucha	81,0613603023
1	Hogares unipersonales	44100	Estercuel	19,0403134702
1	Hogares unipersonales	44101	Ferreruela de Huerva	14,3785928228
1	Hogares unipersonales	44102	Fonfría	3,2779228637
1	Hogares unipersonales	44103	Formiche Alto	18,6937894979
1	Hogares unipersonales	44105	Fórnoles	19,2022133491
1	Hogares unipersonales	44106	Fortanete	32,7405049701
1	Hogares unipersonales	44107	Foz-Calanda	36,5894521606
1	Hogares unipersonales	44108	Fresneda (La)	47,2809207062
1	Hogares unipersonales	44109	Frías de Albarracín	19,0366269595
1	Hogares unipersonales	44110	Fuenferrada	5,0923052699
1	Hogares unipersonales	44111	Fuentes Calientes	4,2695019766
1	Hogares unipersonales	44112	Fuentes Claras	86,5495244454
1	Hogares unipersonales	44113	Fuentes de Rubielos	19,3083473521
1	Hogares unipersonales	44114	Fuentespalda	39,107506803
1	Hogares unipersonales	44115	Galve	16,6237635977
1	Hogares unipersonales	44116	Gargallo	11,0570623401
1	Hogares unipersonales	44117	Gea de Albarracín	40,4272435823
1	Hogares unipersonales	44118	Ginebrosa (La)	29,4993883564
1	Hogares unipersonales	44119	Griegos	20,0223704148
1	Hogares unipersonales	44120	Guadalaviar	32,8437807218
1	Hogares unipersonales	44121	Gúdar	4,4583490552
1	Hogares unipersonales	44122	Híjar	164,9020137041
1	Hogares unipersonales	44123	Hinojosa de Jarque	14,9379348293
1	Hogares unipersonales	44124	Hoz de la Vieja (La)	13,0156886626
1	Hogares unipersonales	44125	Huesa del Común	21,8475681616
1	Hogares unipersonales	44126	Iglesuela del Cid (La)	69,0162480656
1	Hogares unipersonales	44127	Jabaloyas	15,0224120624
1	Hogares unipersonales	44128	Jarque de la Val	10,3180492845
1	Hogares unipersonales	44129	Jatiel	8,204078566
1	Hogares unipersonales	44130	Jorcas	5,7502494352
1	Hogares unipersonales	44131	Josa	5,7751555503
1	Hogares unipersonales	44132	Lagueruela	16,9175975454
1	Hogares unipersonales	44133	Lanzuela	4,1209650857
1	Hogares unipersonales	44135	Libros	33,723834403
1	Hogares unipersonales	44136	Lidón	8,633198706
1	Hogares unipersonales	44137	Linares de Mora	47,3074989461
1	Hogares unipersonales	44138	Loscos	35,6469508687
1	Hogares unipersonales	44141	Lledó	15,0048185887
1	Hogares unipersonales	44142	Maicas	10,8761700905
1	Hogares unipersonales	44143	Manzanera	65,6039218991
1	Hogares unipersonales	44144	Martín del Río	44,8719781885
1	Hogares unipersonales	44145	Mas de las Matas	147,8930781598
1	Hogares unipersonales	44146	Mata de los Olmos (La)	12,5251671521
1	Hogares unipersonales	44147	Mazaleón	50,2611504647
1	Hogares unipersonales	44148	Mezquita de Jarque	15,2164586516
1	Hogares unipersonales	44149	Mirambel	15,1320310282
1	Hogares unipersonales	44150	Miravete de la Sierra	2,9067655451
1	Hogares unipersonales	44151	Molinos	39,072309667
1	Hogares unipersonales	44152	Monforte de Moyuela	13,9018060326
1	Hogares unipersonales	44153	Monreal del Campo	272,5668182339
1	Hogares unipersonales	44154	Monroyo	27,7991200735
1	Hogares unipersonales	44155	Montalbán	114,4796415912
1	Hogares unipersonales	44156	Monteagudo del Castillo	12,7176677189
1	Hogares unipersonales	44157	Monterde de Albarracín	16,974691635
1	Hogares unipersonales	44158	Mora de Rubielos	173,8547878295
1	Hogares unipersonales	44159	Moscardón	11,7450628864
1	Hogares unipersonales	44160	Mosqueruela	94,2709174463
1	Hogares unipersonales	44161	Muniesa	61,8997963875
1	Hogares unipersonales	44163	Noguera de Albarracín	27,7976645895
1	Hogares unipersonales	44164	Nogueras	7,8497356595
1	Hogares unipersonales	44165	Nogueruelas	26,1995717494
1	Hogares unipersonales	44167	Obón	7,7673440666
1	Hogares unipersonales	44168	Odón	26,5102486866
1	Hogares unipersonales	44169	Ojos Negros	50,1512577079
1	Hogares unipersonales	44171	Olba	47,5810411004
1	Hogares unipersonales	44172	Oliete	85,2357965551
1	Hogares unipersonales	44173	Olmos (Los)	15,799583542
1	Hogares unipersonales	44174	Orihuela del Tremedal	59,348935023
1	Hogares unipersonales	44175	Orrios	19,2848894837
1	Hogares unipersonales	44176	Palomar de Arroyos	10,4685867195
1	Hogares unipersonales	44177	Pancrudo	31,8439546472
1	Hogares unipersonales	44178	Parras de Castellote (Las)	13,9833998483
1	Hogares unipersonales	44179	Peñarroya de Tastavins	61,9139400594
1	Hogares unipersonales	44180	Peracense	4,8084213486
1	Hogares unipersonales	44181	Peralejos	7,9956436626
1	Hogares unipersonales	44182	Perales del Alfambra	34,1493904872
1	Hogares unipersonales	44183	Pitarque	9,0717805511
1	Hogares unipersonales	44184	Plou	4,0458557822
1	Hogares unipersonales	44185	Pobo (El)	34,8131486681
1	Hogares unipersonales	44187	Portellada (La)	25,8390173198
1	Hogares unipersonales	44189	Pozondón	16,4387459441
1	Hogares unipersonales	44190	Pozuel del Campo	16,2463969645
1	Hogares unipersonales	44191	Puebla de Híjar (La)	117,0215665966
1	Hogares unipersonales	44192	Puebla de Valverde (La)	78,7651278499
1	Hogares unipersonales	44193	Puertomingalvo	32,6818422963
1	Hogares unipersonales	44194	Ráfales	15,765657709
1	Hogares unipersonales	44195	Rillo	15,2605806432
1	Hogares unipersonales	44196	Riodeva	18,0731781978
1	Hogares unipersonales	44197	Ródenas	8,1864565592
1	Hogares unipersonales	44198	Royuela	26,7023329635
1	Hogares unipersonales	44199	Rubiales	10,3458939263
1	Hogares unipersonales	44200	Rubielos de la Cérida	8,1193020021
1	Hogares unipersonales	44201	Rubielos de Mora	78,0427606339
1	Hogares unipersonales	44203	Salcedillo	7,3692720119
1	Hogares unipersonales	44204	Saldón	9
1	Hogares unipersonales	44205	Samper de Calanda	99,1147530098
1	Hogares unipersonales	44206	San Agustín	34,5394101854
1	Hogares unipersonales	44207	San Martín del Río	36,4004504059
1	Hogares unipersonales	44208	Santa Cruz de Nogueras	7,6648441228
1	Hogares unipersonales	44209	Santa Eulalia	126,1910515377
1	Hogares unipersonales	44210	Sarrión	117,4667385016
1	Hogares unipersonales	44211	Segura de los Baños	15,6171581082
1	Hogares unipersonales	44212	Seno	10,0748878625
1	Hogares unipersonales	44213	Singra	6,9153912883
1	Hogares unipersonales	44215	Terriente	19,7885481669
1	Hogares unipersonales	44216	Teruel	2786,2945903056
1	Hogares unipersonales	44217	Toril y Masegoso	3,9125712855
1	Hogares unipersonales	44218	Tormón	0,1427692745
1	Hogares unipersonales	44219	Tornos	25,5770891313
1	Hogares unipersonales	44220	Torralba de los Sisones	17,2560678054
1	Hogares unipersonales	44221	Torrecilla de Alcañiz	35,6408272947
1	Hogares unipersonales	44222	Torrecilla del Rebollar	29,9018115836
1	Hogares unipersonales	44223	Torre de Arcas	9,4766215531
1	Hogares unipersonales	44225	Torre del Compte	15,5781530458
1	Hogares unipersonales	44226	Torrelacárcel	26,2651860724
1	Hogares unipersonales	44227	Torre los Negros	14,0493998509
1	Hogares unipersonales	44228	Torremocha de Jiloca	19,6128473409
1	Hogares unipersonales	44229	Torres de Albarracín	16,7319439801
1	Hogares unipersonales	44230	Torrevelilla	34,0273027105
1	Hogares unipersonales	44231	Torrijas	11,5052180003
1	Hogares unipersonales	44232	Torrijo del Campo	48,8070194676
1	Hogares unipersonales	44234	Tramacastiel	15,3996290425
1	Hogares unipersonales	44235	Tramacastilla	7,8539370297
1	Hogares unipersonales	44236	Tronchón	14,342837231
1	Hogares unipersonales	44237	Urrea de Gaén	45,1444681691
1	Hogares unipersonales	44238	Utrillas	175,2856333582
1	Hogares unipersonales	44239	Valacloche	4,0716762669
1	Hogares unipersonales	44240	Valbona	30,8821658901
1	Hogares unipersonales	44241	Valdealgorfa	58,2266026029
1	Hogares unipersonales	44243	Valdecuenca	5,5796302212
1	Hogares unipersonales	44244	Valdelinares	17,087180641
1	Hogares unipersonales	44245	Valdeltormo	40,2975719509
1	Hogares unipersonales	44246	Valderrobres	259,1252770734
1	Hogares unipersonales	44247	Valjunquera	41,5874931994
1	Hogares unipersonales	44249	Vallecillo (El)	5,1486120998
1	Hogares unipersonales	44250	Veguillas de la Sierra	0,4514774993
1	Hogares unipersonales	44251	Villafranca del Campo	35,0335414103
1	Hogares unipersonales	44252	Villahermosa del Campo	8,5219235637
1	Hogares unipersonales	44256	Villanueva del Rebollar de la Sierra	4,4157528095
1	Hogares unipersonales	44257	Villar del Cobo	22,3622019948
1	Hogares unipersonales	44258	Villar del Salz	14,333989776
1	Hogares unipersonales	44260	Villarluengo	26,173413373
1	Hogares unipersonales	44261	Villarquemado	105,0990615375
1	Hogares unipersonales	44262	Villarroya de los Pinares	20,0433181493
1	Hogares unipersonales	44263	Villastar	44,4979131007
1	Hogares unipersonales	44264	Villel	32,5977021748
1	Hogares unipersonales	44265	Vinaceite	33,3217770721
1	Hogares unipersonales	44266	Visiedo	26,1958958886
1	Hogares unipersonales	44267	Vivel del Río Martín	15,7429594336
1	Hogares unipersonales	44268	Zoma (La)	2,9139412329
1	Hogares unipersonales	50001	Abanto	21,1272186357
1	Hogares unipersonales	50002	Acered	52,6118085357
1	Hogares unipersonales	50003	Agón	22,0450944627
1	Hogares unipersonales	50004	Aguarón	92,5506073295
1	Hogares unipersonales	50005	Aguilón	47,8766977166
1	Hogares unipersonales	50006	Ainzón	124,7177772884
1	Hogares unipersonales	50007	Aladrén	9,8820653373
1	Hogares unipersonales	50008	Alagón	565,7755456773
1	Hogares unipersonales	50009	Alarba	14,704905307
1	Hogares unipersonales	50010	Alberite de San Juan	13,8722436946
1	Hogares unipersonales	50011	Albeta	29,8992210042
1	Hogares unipersonales	50012	Alborge	9,444800926
1	Hogares unipersonales	50013	Alcalá de Ebro	24,9793751118
1	Hogares unipersonales	50014	Alcalá de Moncayo	25,6646106098
1	Hogares unipersonales	50015	Alconchel de Ariza	9,2019072637
1	Hogares unipersonales	50016	Aldehuela de Liestos	22,945071428
1	Hogares unipersonales	50017	Alfajarín	142,8381022131
1	Hogares unipersonales	50018	Alfamén	54,7094744217
1	Hogares unipersonales	50019	Alforque	13,3020885738
1	Hogares unipersonales	50020	Alhama de Aragón	143,398378191
1	Hogares unipersonales	50021	Almochuel	7,9099321936
1	Hogares unipersonales	50022	Almolda (La)	55,4891842187
1	Hogares unipersonales	50023	Almonacid de la Cuba	29,0350500763
1	Hogares unipersonales	50024	Almonacid de la Sierra	120,9111429189
1	Hogares unipersonales	50025	Almunia de Doña Godina (La)	467,8881112623
1	Hogares unipersonales	50026	Alpartir	71,47926291
1	Hogares unipersonales	50027	Ambel	30,4362631422
1	Hogares unipersonales	50028	Anento	7,6453568972
1	Hogares unipersonales	50029	Aniñón	89,7874272808
1	Hogares unipersonales	50030	Añón de Moncayo	41,6006276466
1	Hogares unipersonales	50031	Aranda de Moncayo	39,1388419573
1	Hogares unipersonales	50032	Arándiga	48,2683820718
1	Hogares unipersonales	50033	Ardisa	20,322227807
1	Hogares unipersonales	50034	Ariza	126,8605184881
1	Hogares unipersonales	50035	Artieda	16,7147053735
1	Hogares unipersonales	50036	Asín	29,2297241242
1	Hogares unipersonales	50037	Atea	30,5844921759
1	Hogares unipersonales	50038	Ateca	190,9360796098
1	Hogares unipersonales	50039	Azuara	75,4522684558
1	Hogares unipersonales	50040	Badules	18,0008261508
