Año	Comarca código	Comarca nombre	Rama código	Rama descripción	VAB
2009	17	D.C. Zaragoza	F	Construcción	2201961
2009	17	D.C. Zaragoza	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	3892262,1
2009	17	D.C. Zaragoza	J	Información y comunicaciones	712342,4
2009	17	D.C. Zaragoza	K	Actividades financieras y de seguros	1307786,3
2009	17	D.C. Zaragoza	L	Actividades inmobiliarias	1260589,8
2009	17	D.C. Zaragoza	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	1076896,8
2009	17	D.C. Zaragoza	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	3620033
2009	17	D.C. Zaragoza	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	559954,4
2009	18	Ribera Baja del Ebro	A	Agricultura, ganadería, silvicultura y pesca	28789,9
2009	18	Ribera Baja del Ebro	B+E	Extractivas; Energía y Agua	157912,4
2009	18	Ribera Baja del Ebro	C	Industria manufacturera	62722,1
2009	18	Ribera Baja del Ebro	F	Construcción	27982
2009	18	Ribera Baja del Ebro	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	31929,8
2009	18	Ribera Baja del Ebro	J	Información y comunicaciones	686,4
2009	18	Ribera Baja del Ebro	K	Actividades financieras y de seguros	2163,6
2009	18	Ribera Baja del Ebro	L	Actividades inmobiliarias	3826,5
2009	18	Ribera Baja del Ebro	M_N	Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares	3744,3
2009	18	Ribera Baja del Ebro	O_Q	Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales	19664
2009	18	Ribera Baja del Ebro	R_U	Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios	2647
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	A	Agricultura, ganadería, silvicultura y pesca	42971,2
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	B+E	Extractivas; Energía y Agua	3820,6
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	C	Industria manufacturera	14433,5
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	F	Construcción	27285,7
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	G_I	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería	62357,8
