Municipio código	Municipio nombre	Edad (grupos quinquenales)	Sexo	Personas
22002	Abizanda	50 a 54	Mujeres	5
22002	Abizanda	55 a 59	Mujeres	5
22002	Abizanda	60 a 64	Mujeres	4
22002	Abizanda	65 a 69	Mujeres	4
22002	Abizanda	70 a 74	Mujeres	3
22002	Abizanda	75 a 79	Mujeres	2
22002	Abizanda	80 a 84	Mujeres	2
22002	Abizanda	85 a 90	Mujeres	5
22002	Abizanda	90 ó más	Mujeres	2
22002	Abizanda	00 a 04	Hombres	1
22002	Abizanda	05 a 09	Hombres	1
22002	Abizanda	15 a 19	Hombres	4
22002	Abizanda	20 a 24	Hombres	6
22002	Abizanda	25 a 29	Hombres	3
22002	Abizanda	30 a 34	Hombres	5
22002	Abizanda	35 a 39	Hombres	6
22002	Abizanda	40 a 44	Hombres	4
22002	Abizanda	45 a 49	Hombres	2
22002	Abizanda	50 a 54	Hombres	4
22002	Abizanda	55 a 59	Hombres	8
22002	Abizanda	60 a 64	Hombres	6
22002	Abizanda	65 a 69	Hombres	5
22002	Abizanda	70 a 74	Hombres	5
22002	Abizanda	75 a 79	Hombres	1
22002	Abizanda	80 a 84	Hombres	1
22002	Abizanda	85 a 90	Hombres	1
22002	Abizanda	90 ó más	Hombres	1
22003	Adahuesca	05 a 09	Mujeres	3
22003	Adahuesca	10 a 14	Mujeres	6
22003	Adahuesca	15 a 19	Mujeres	5
22003	Adahuesca	20 a 24	Mujeres	3
22003	Adahuesca	25 a 29	Mujeres	3
22003	Adahuesca	30 a 34	Mujeres	3
22003	Adahuesca	35 a 39	Mujeres	3
22003	Adahuesca	40 a 44	Mujeres	6
22003	Adahuesca	45 a 49	Mujeres	4
22003	Adahuesca	50 a 54	Mujeres	4
22003	Adahuesca	55 a 59	Mujeres	2
22003	Adahuesca	60 a 64	Mujeres	9
22003	Adahuesca	65 a 69	Mujeres	2
22003	Adahuesca	70 a 74	Mujeres	10
22003	Adahuesca	75 a 79	Mujeres	6
22003	Adahuesca	80 a 84	Mujeres	5
22003	Adahuesca	85 a 90	Mujeres	2
22003	Adahuesca	90 ó más	Mujeres	2
22003	Adahuesca	00 a 04	Hombres	1
22003	Adahuesca	05 a 09	Hombres	2
22003	Adahuesca	10 a 14	Hombres	3
22003	Adahuesca	15 a 19	Hombres	2
22003	Adahuesca	20 a 24	Hombres	6
22003	Adahuesca	25 a 29	Hombres	6
22003	Adahuesca	30 a 34	Hombres	5
22003	Adahuesca	35 a 39	Hombres	2
22003	Adahuesca	40 a 44	Hombres	4
22003	Adahuesca	45 a 49	Hombres	4
22003	Adahuesca	50 a 54	Hombres	4
22003	Adahuesca	55 a 59	Hombres	6
22003	Adahuesca	60 a 64	Hombres	3
22003	Adahuesca	65 a 69	Hombres	9
22003	Adahuesca	70 a 74	Hombres	10
22003	Adahuesca	75 a 79	Hombres	5
22003	Adahuesca	80 a 84	Hombres	6
22003	Adahuesca	85 a 90	Hombres	1
22003	Adahuesca	90 ó más	Hombres	2
22004	Agüero	00 a 04	Mujeres	1
22004	Agüero	05 a 09	Mujeres	3
22004	Agüero	10 a 14	Mujeres	1
22004	Agüero	15 a 19	Mujeres	1
22004	Agüero	25 a 29	Mujeres	4
22004	Agüero	30 a 34	Mujeres	4
22004	Agüero	35 a 39	Mujeres	5
22004	Agüero	40 a 44	Mujeres	2
22004	Agüero	45 a 49	Mujeres	2
22004	Agüero	50 a 54	Mujeres	3
22004	Agüero	55 a 59	Mujeres	5
22004	Agüero	60 a 64	Mujeres	6
22004	Agüero	65 a 69	Mujeres	9
22004	Agüero	70 a 74	Mujeres	9
22004	Agüero	75 a 79	Mujeres	9
22004	Agüero	80 a 84	Mujeres	4
22004	Agüero	85 a 90	Mujeres	7
22004	Agüero	90 ó más	Mujeres	5
22004	Agüero	00 a 04	Hombres	3
22004	Agüero	05 a 09	Hombres	3
22004	Agüero	10 a 14	Hombres	1
22004	Agüero	15 a 19	Hombres	2
22004	Agüero	20 a 24	Hombres	5
22004	Agüero	25 a 29	Hombres	9
22004	Agüero	30 a 34	Hombres	2
22004	Agüero	35 a 39	Hombres	6
22004	Agüero	40 a 44	Hombres	4
22004	Agüero	45 a 49	Hombres	4
22004	Agüero	50 a 54	Hombres	4
22004	Agüero	55 a 59	Hombres	9
22004	Agüero	60 a 64	Hombres	3
22004	Agüero	65 a 69	Hombres	7
22004	Agüero	70 a 74	Hombres	10
22004	Agüero	75 a 79	Hombres	5
22004	Agüero	80 a 84	Hombres	5
22004	Agüero	85 a 90	Hombres	3
22004	Agüero	90 ó más	Hombres	6
22006	Aísa	00 a 04	Mujeres	7
22006	Aísa	05 a 09	Mujeres	3
22006	Aísa	10 a 14	Mujeres	5
22006	Aísa	15 a 19	Mujeres	12
22006	Aísa	20 a 24	Mujeres	14
22006	Aísa	25 a 29	Mujeres	15
22006	Aísa	30 a 34	Mujeres	12
22006	Aísa	35 a 39	Mujeres	13
22006	Aísa	40 a 44	Mujeres	23
22006	Aísa	45 a 49	Mujeres	17
22006	Aísa	50 a 54	Mujeres	8
22006	Aísa	55 a 59	Mujeres	8
22006	Aísa	60 a 64	Mujeres	5
22006	Aísa	65 a 69	Mujeres	11
22006	Aísa	70 a 74	Mujeres	7
22006	Aísa	75 a 79	Mujeres	8
22006	Aísa	80 a 84	Mujeres	7
22006	Aísa	85 a 90	Mujeres	3
22006	Aísa	90 ó más	Mujeres	2
22006	Aísa	00 a 04	Hombres	3
22006	Aísa	05 a 09	Hombres	4
22006	Aísa	10 a 14	Hombres	10
22006	Aísa	15 a 19	Hombres	14
22006	Aísa	20 a 24	Hombres	12
22006	Aísa	25 a 29	Hombres	12
22006	Aísa	30 a 34	Hombres	14
22006	Aísa	35 a 39	Hombres	15
22006	Aísa	40 a 44	Hombres	16
22006	Aísa	45 a 49	Hombres	28
22006	Aísa	50 a 54	Hombres	18
22006	Aísa	55 a 59	Hombres	16
22006	Aísa	60 a 64	Hombres	20
22006	Aísa	65 a 69	Hombres	7
22006	Aísa	70 a 74	Hombres	10
22006	Aísa	75 a 79	Hombres	16
22006	Aísa	80 a 84	Hombres	3
22006	Aísa	85 a 90	Hombres	2
22006	Aísa	90 ó más	Hombres	2
22007	Albalate de Cinca	00 a 04	Mujeres	23
22007	Albalate de Cinca	05 a 09	Mujeres	17
22007	Albalate de Cinca	10 a 14	Mujeres	27
22007	Albalate de Cinca	15 a 19	Mujeres	23
22007	Albalate de Cinca	20 a 24	Mujeres	28
22007	Albalate de Cinca	25 a 29	Mujeres	43
22007	Albalate de Cinca	30 a 34	Mujeres	40
22007	Albalate de Cinca	35 a 39	Mujeres	36
22007	Albalate de Cinca	40 a 44	Mujeres	40
22007	Albalate de Cinca	45 a 49	Mujeres	35
22007	Albalate de Cinca	50 a 54	Mujeres	28
22007	Albalate de Cinca	55 a 59	Mujeres	34
22007	Albalate de Cinca	60 a 64	Mujeres	26
22007	Albalate de Cinca	65 a 69	Mujeres	43
22007	Albalate de Cinca	70 a 74	Mujeres	32
22007	Albalate de Cinca	75 a 79	Mujeres	34
22007	Albalate de Cinca	80 a 84	Mujeres	24
22007	Albalate de Cinca	85 a 90	Mujeres	10
22007	Albalate de Cinca	90 ó más	Mujeres	3
22007	Albalate de Cinca	00 a 04	Hombres	14
22007	Albalate de Cinca	05 a 09	Hombres	24
22007	Albalate de Cinca	10 a 14	Hombres	25
22007	Albalate de Cinca	15 a 19	Hombres	33
22007	Albalate de Cinca	20 a 24	Hombres	44
22007	Albalate de Cinca	25 a 29	Hombres	63
22007	Albalate de Cinca	30 a 34	Hombres	63
22007	Albalate de Cinca	35 a 39	Hombres	57
22007	Albalate de Cinca	40 a 44	Hombres	57
22007	Albalate de Cinca	45 a 49	Hombres	46
22007	Albalate de Cinca	50 a 54	Hombres	35
22007	Albalate de Cinca	55 a 59	Hombres	32
22007	Albalate de Cinca	60 a 64	Hombres	36
22007	Albalate de Cinca	65 a 69	Hombres	40
22007	Albalate de Cinca	70 a 74	Hombres	27
22007	Albalate de Cinca	75 a 79	Hombres	34
22007	Albalate de Cinca	80 a 84	Hombres	17
22007	Albalate de Cinca	85 a 90	Hombres	9
22007	Albalate de Cinca	90 ó más	Hombres	1
22008	Albalatillo	00 a 04	Mujeres	4
22008	Albalatillo	05 a 09	Mujeres	2
22008	Albalatillo	15 a 19	Mujeres	1
22008	Albalatillo	20 a 24	Mujeres	6
22008	Albalatillo	25 a 29	Mujeres	11
22008	Albalatillo	30 a 34	Mujeres	5
22008	Albalatillo	35 a 39	Mujeres	2
22008	Albalatillo	40 a 44	Mujeres	6
22008	Albalatillo	45 a 49	Mujeres	12
22008	Albalatillo	50 a 54	Mujeres	3
22008	Albalatillo	55 a 59	Mujeres	8
22008	Albalatillo	60 a 64	Mujeres	8
22008	Albalatillo	65 a 69	Mujeres	8
22008	Albalatillo	70 a 74	Mujeres	15
22008	Albalatillo	75 a 79	Mujeres	14
22008	Albalatillo	80 a 84	Mujeres	9
22008	Albalatillo	85 a 90	Mujeres	8
22008	Albalatillo	90 ó más	Mujeres	3
22008	Albalatillo	00 a 04	Hombres	4
22008	Albalatillo	05 a 09	Hombres	4
22008	Albalatillo	10 a 14	Hombres	1
22008	Albalatillo	15 a 19	Hombres	8
22008	Albalatillo	20 a 24	Hombres	9
22008	Albalatillo	25 a 29	Hombres	10
22008	Albalatillo	30 a 34	Hombres	9
22008	Albalatillo	35 a 39	Hombres	11
22008	Albalatillo	40 a 44	Hombres	7
22008	Albalatillo	45 a 49	Hombres	5
22008	Albalatillo	50 a 54	Hombres	9
22008	Albalatillo	55 a 59	Hombres	10
22008	Albalatillo	60 a 64	Hombres	7
22008	Albalatillo	65 a 69	Hombres	6
22008	Albalatillo	70 a 74	Hombres	12
22008	Albalatillo	75 a 79	Hombres	11
22008	Albalatillo	80 a 84	Hombres	7
22008	Albalatillo	85 a 90	Hombres	3
22008	Albalatillo	90 ó más	Hombres	1
22009	Albelda	00 a 04	Mujeres	6
22009	Albelda	05 a 09	Mujeres	13
22009	Albelda	10 a 14	Mujeres	14
22009	Albelda	15 a 19	Mujeres	22
22009	Albelda	20 a 24	Mujeres	25
22009	Albelda	25 a 29	Mujeres	26
22009	Albelda	30 a 34	Mujeres	26
22009	Albelda	35 a 39	Mujeres	23
22009	Albelda	40 a 44	Mujeres	27
22009	Albelda	45 a 49	Mujeres	24
22009	Albelda	50 a 54	Mujeres	18
22009	Albelda	55 a 59	Mujeres	30
22009	Albelda	60 a 64	Mujeres	27
22009	Albelda	65 a 69	Mujeres	34
22009	Albelda	70 a 74	Mujeres	34
22009	Albelda	75 a 79	Mujeres	43
22009	Albelda	80 a 84	Mujeres	35
22009	Albelda	85 a 90	Mujeres	29
22009	Albelda	90 ó más	Mujeres	8
22009	Albelda	00 a 04	Hombres	10
22009	Albelda	05 a 09	Hombres	10
22009	Albelda	10 a 14	Hombres	14
22009	Albelda	15 a 19	Hombres	21
22009	Albelda	20 a 24	Hombres	22
22009	Albelda	25 a 29	Hombres	25
22009	Albelda	30 a 34	Hombres	29
22009	Albelda	35 a 39	Hombres	29
22009	Albelda	40 a 44	Hombres	25
22009	Albelda	45 a 49	Hombres	30
22009	Albelda	50 a 54	Hombres	31
22009	Albelda	55 a 59	Hombres	30
22009	Albelda	60 a 64	Hombres	27
22009	Albelda	65 a 69	Hombres	42
22009	Albelda	70 a 74	Hombres	33
22009	Albelda	75 a 79	Hombres	38
22009	Albelda	80 a 84	Hombres	21
22009	Albelda	85 a 90	Hombres	18
22009	Albelda	90 ó más	Hombres	7
22011	Albero Alto	00 a 04	Mujeres	3
22011	Albero Alto	05 a 09	Mujeres	1
22011	Albero Alto	10 a 14	Mujeres	1
22011	Albero Alto	25 a 29	Mujeres	2
22011	Albero Alto	30 a 34	Mujeres	8
22011	Albero Alto	35 a 39	Mujeres	4
22011	Albero Alto	40 a 44	Mujeres	5
22011	Albero Alto	45 a 49	Mujeres	2
22011	Albero Alto	50 a 54	Mujeres	3
22011	Albero Alto	55 a 59	Mujeres	2
22011	Albero Alto	65 a 69	Mujeres	5
22011	Albero Alto	70 a 74	Mujeres	8
22011	Albero Alto	75 a 79	Mujeres	1
22011	Albero Alto	80 a 84	Mujeres	2
22011	Albero Alto	85 a 90	Mujeres	2
22011	Albero Alto	90 ó más	Mujeres	1
22011	Albero Alto	00 a 04	Hombres	4
22011	Albero Alto	05 a 09	Hombres	4
22011	Albero Alto	10 a 14	Hombres	2
22011	Albero Alto	15 a 19	Hombres	2
22011	Albero Alto	20 a 24	Hombres	5
22011	Albero Alto	30 a 34	Hombres	4
22011	Albero Alto	35 a 39	Hombres	5
22011	Albero Alto	40 a 44	Hombres	1
22011	Albero Alto	45 a 49	Hombres	4
22011	Albero Alto	50 a 54	Hombres	6
22011	Albero Alto	55 a 59	Hombres	2
22011	Albero Alto	60 a 64	Hombres	4
22011	Albero Alto	65 a 69	Hombres	3
22011	Albero Alto	70 a 74	Hombres	6
22011	Albero Alto	75 a 79	Hombres	4
22011	Albero Alto	80 a 84	Hombres	1
22011	Albero Alto	90 ó más	Hombres	1
22012	Albero Bajo	10 a 14	Mujeres	1
22012	Albero Bajo	15 a 19	Mujeres	1
22012	Albero Bajo	20 a 24	Mujeres	5
22012	Albero Bajo	25 a 29	Mujeres	2
22012	Albero Bajo	30 a 34	Mujeres	3
22012	Albero Bajo	35 a 39	Mujeres	2
22012	Albero Bajo	40 a 44	Mujeres	2
22012	Albero Bajo	50 a 54	Mujeres	1
22012	Albero Bajo	55 a 59	Mujeres	4
22012	Albero Bajo	60 a 64	Mujeres	7
22012	Albero Bajo	65 a 69	Mujeres	5
22012	Albero Bajo	70 a 74	Mujeres	7
22012	Albero Bajo	75 a 79	Mujeres	4
22012	Albero Bajo	80 a 84	Mujeres	1
22012	Albero Bajo	85 a 90	Mujeres	1
22012	Albero Bajo	90 ó más	Mujeres	1
22012	Albero Bajo	00 a 04	Hombres	2
22012	Albero Bajo	05 a 09	Hombres	1
22012	Albero Bajo	25 a 29	Hombres	4
22012	Albero Bajo	30 a 34	Hombres	5
22012	Albero Bajo	35 a 39	Hombres	8
22012	Albero Bajo	40 a 44	Hombres	4
22012	Albero Bajo	45 a 49	Hombres	6
22012	Albero Bajo	50 a 54	Hombres	3
22012	Albero Bajo	55 a 59	Hombres	3
22012	Albero Bajo	60 a 64	Hombres	5
22012	Albero Bajo	65 a 69	Hombres	6
22012	Albero Bajo	70 a 74	Hombres	6
22012	Albero Bajo	75 a 79	Hombres	4
22012	Albero Bajo	80 a 84	Hombres	1
22012	Albero Bajo	85 a 90	Hombres	1
22013	Alberuela de Tubo	00 a 04	Mujeres	4
22013	Alberuela de Tubo	05 a 09	Mujeres	7
22013	Alberuela de Tubo	10 a 14	Mujeres	5
22013	Alberuela de Tubo	15 a 19	Mujeres	8
22013	Alberuela de Tubo	20 a 24	Mujeres	14
22013	Alberuela de Tubo	25 a 29	Mujeres	11
22013	Alberuela de Tubo	30 a 34	Mujeres	12
22013	Alberuela de Tubo	35 a 39	Mujeres	12
22013	Alberuela de Tubo	40 a 44	Mujeres	9
22013	Alberuela de Tubo	45 a 49	Mujeres	12
22013	Alberuela de Tubo	50 a 54	Mujeres	11
22013	Alberuela de Tubo	55 a 59	Mujeres	9
22013	Alberuela de Tubo	60 a 64	Mujeres	2
22013	Alberuela de Tubo	65 a 69	Mujeres	17
22013	Alberuela de Tubo	70 a 74	Mujeres	17
22013	Alberuela de Tubo	75 a 79	Mujeres	13
22013	Alberuela de Tubo	80 a 84	Mujeres	9
22013	Alberuela de Tubo	85 a 90	Mujeres	3
22013	Alberuela de Tubo	90 ó más	Mujeres	1
22013	Alberuela de Tubo	00 a 04	Hombres	2
22013	Alberuela de Tubo	05 a 09	Hombres	8
22013	Alberuela de Tubo	10 a 14	Hombres	15
22013	Alberuela de Tubo	15 a 19	Hombres	12
22013	Alberuela de Tubo	20 a 24	Hombres	10
22013	Alberuela de Tubo	25 a 29	Hombres	12
22013	Alberuela de Tubo	30 a 34	Hombres	10
22013	Alberuela de Tubo	35 a 39	Hombres	8
22013	Alberuela de Tubo	40 a 44	Hombres	17
22013	Alberuela de Tubo	45 a 49	Hombres	16
22013	Alberuela de Tubo	50 a 54	Hombres	19
22013	Alberuela de Tubo	55 a 59	Hombres	11
22013	Alberuela de Tubo	60 a 64	Hombres	4
22013	Alberuela de Tubo	65 a 69	Hombres	7
22013	Alberuela de Tubo	70 a 74	Hombres	15
22013	Alberuela de Tubo	75 a 79	Hombres	13
22013	Alberuela de Tubo	80 a 84	Hombres	6
22013	Alberuela de Tubo	85 a 90	Hombres	3
22014	Alcalá de Gurrea	00 a 04	Mujeres	2
22014	Alcalá de Gurrea	05 a 09	Mujeres	1
22014	Alcalá de Gurrea	10 a 14	Mujeres	3
22014	Alcalá de Gurrea	15 a 19	Mujeres	5
22014	Alcalá de Gurrea	20 a 24	Mujeres	10
22014	Alcalá de Gurrea	25 a 29	Mujeres	8
22014	Alcalá de Gurrea	30 a 34	Mujeres	8
22014	Alcalá de Gurrea	35 a 39	Mujeres	8
22014	Alcalá de Gurrea	40 a 44	Mujeres	7
22014	Alcalá de Gurrea	45 a 49	Mujeres	7
22014	Alcalá de Gurrea	50 a 54	Mujeres	8
22014	Alcalá de Gurrea	55 a 59	Mujeres	12
22014	Alcalá de Gurrea	60 a 64	Mujeres	12
22014	Alcalá de Gurrea	65 a 69	Mujeres	15
22014	Alcalá de Gurrea	70 a 74	Mujeres	9
22014	Alcalá de Gurrea	75 a 79	Mujeres	16
22014	Alcalá de Gurrea	80 a 84	Mujeres	14
22014	Alcalá de Gurrea	85 a 90	Mujeres	4
22014	Alcalá de Gurrea	90 ó más	Mujeres	1
22014	Alcalá de Gurrea	00 a 04	Hombres	3
22014	Alcalá de Gurrea	05 a 09	Hombres	4
22014	Alcalá de Gurrea	15 a 19	Hombres	7
22014	Alcalá de Gurrea	20 a 24	Hombres	9
22014	Alcalá de Gurrea	25 a 29	Hombres	11
22014	Alcalá de Gurrea	30 a 34	Hombres	6
22014	Alcalá de Gurrea	35 a 39	Hombres	10
22014	Alcalá de Gurrea	40 a 44	Hombres	12
22014	Alcalá de Gurrea	45 a 49	Hombres	9
22014	Alcalá de Gurrea	50 a 54	Hombres	10
22014	Alcalá de Gurrea	55 a 59	Hombres	12
22014	Alcalá de Gurrea	60 a 64	Hombres	13
22014	Alcalá de Gurrea	65 a 69	Hombres	19
22014	Alcalá de Gurrea	70 a 74	Hombres	15
22014	Alcalá de Gurrea	75 a 79	Hombres	12
22014	Alcalá de Gurrea	80 a 84	Hombres	7
22014	Alcalá de Gurrea	85 a 90	Hombres	4
22014	Alcalá de Gurrea	90 ó más	Hombres	2
22015	Alcalá del Obispo	00 a 04	Mujeres	7
22015	Alcalá del Obispo	05 a 09	Mujeres	3
22015	Alcalá del Obispo	10 a 14	Mujeres	1
22015	Alcalá del Obispo	15 a 19	Mujeres	11
22015	Alcalá del Obispo	20 a 24	Mujeres	9
22015	Alcalá del Obispo	25 a 29	Mujeres	11
22015	Alcalá del Obispo	30 a 34	Mujeres	13
22015	Alcalá del Obispo	35 a 39	Mujeres	5
22015	Alcalá del Obispo	40 a 44	Mujeres	12
22015	Alcalá del Obispo	45 a 49	Mujeres	10
22015	Alcalá del Obispo	50 a 54	Mujeres	7
22015	Alcalá del Obispo	55 a 59	Mujeres	13
22015	Alcalá del Obispo	60 a 64	Mujeres	9
22015	Alcalá del Obispo	65 a 69	Mujeres	10
22015	Alcalá del Obispo	70 a 74	Mujeres	18
22015	Alcalá del Obispo	75 a 79	Mujeres	19
22015	Alcalá del Obispo	80 a 84	Mujeres	7
22015	Alcalá del Obispo	85 a 90	Mujeres	12
22015	Alcalá del Obispo	90 ó más	Mujeres	4
22015	Alcalá del Obispo	00 a 04	Hombres	3
22015	Alcalá del Obispo	05 a 09	Hombres	2
22015	Alcalá del Obispo	10 a 14	Hombres	5
22015	Alcalá del Obispo	15 a 19	Hombres	10
22015	Alcalá del Obispo	20 a 24	Hombres	9
22015	Alcalá del Obispo	25 a 29	Hombres	16
22015	Alcalá del Obispo	30 a 34	Hombres	10
22015	Alcalá del Obispo	35 a 39	Hombres	13
22015	Alcalá del Obispo	40 a 44	Hombres	12
22015	Alcalá del Obispo	45 a 49	Hombres	14
22015	Alcalá del Obispo	50 a 54	Hombres	15
22015	Alcalá del Obispo	55 a 59	Hombres	9
22015	Alcalá del Obispo	60 a 64	Hombres	13
22015	Alcalá del Obispo	65 a 69	Hombres	13
22015	Alcalá del Obispo	70 a 74	Hombres	13
22015	Alcalá del Obispo	75 a 79	Hombres	11
22015	Alcalá del Obispo	80 a 84	Hombres	10
22015	Alcalá del Obispo	85 a 90	Hombres	6
22015	Alcalá del Obispo	90 ó más	Hombres	4
22016	Alcampell	00 a 04	Mujeres	12
22016	Alcampell	05 a 09	Mujeres	7
22016	Alcampell	10 a 14	Mujeres	8
22016	Alcampell	15 a 19	Mujeres	13
22016	Alcampell	20 a 24	Mujeres	23
22016	Alcampell	25 a 29	Mujeres	26
22016	Alcampell	30 a 34	Mujeres	20
22016	Alcampell	35 a 39	Mujeres	10
22016	Alcampell	40 a 44	Mujeres	29
22016	Alcampell	45 a 49	Mujeres	15
22016	Alcampell	50 a 54	Mujeres	28
22016	Alcampell	55 a 59	Mujeres	30
22016	Alcampell	60 a 64	Mujeres	30
22016	Alcampell	65 a 69	Mujeres	41
22016	Alcampell	70 a 74	Mujeres	43
22016	Alcampell	75 a 79	Mujeres	38
22016	Alcampell	80 a 84	Mujeres	35
22016	Alcampell	85 a 90	Mujeres	26
22016	Alcampell	90 ó más	Mujeres	12
22016	Alcampell	00 a 04	Hombres	4
22016	Alcampell	05 a 09	Hombres	13
22016	Alcampell	10 a 14	Hombres	15
22016	Alcampell	15 a 19	Hombres	10
22016	Alcampell	20 a 24	Hombres	24
22016	Alcampell	25 a 29	Hombres	28
22016	Alcampell	30 a 34	Hombres	30
22016	Alcampell	35 a 39	Hombres	19
22016	Alcampell	40 a 44	Hombres	22
22016	Alcampell	45 a 49	Hombres	24
22016	Alcampell	50 a 54	Hombres	17
22016	Alcampell	55 a 59	Hombres	32
22016	Alcampell	60 a 64	Hombres	37
22016	Alcampell	65 a 69	Hombres	29
22016	Alcampell	70 a 74	Hombres	45
22016	Alcampell	75 a 79	Hombres	40
22016	Alcampell	80 a 84	Hombres	26
22016	Alcampell	85 a 90	Hombres	8
22016	Alcampell	90 ó más	Hombres	4
22017	Alcolea de Cinca	00 a 04	Mujeres	23
22017	Alcolea de Cinca	05 a 09	Mujeres	24
22017	Alcolea de Cinca	10 a 14	Mujeres	26
22017	Alcolea de Cinca	15 a 19	Mujeres	25
22017	Alcolea de Cinca	20 a 24	Mujeres	49
22017	Alcolea de Cinca	25 a 29	Mujeres	41
22017	Alcolea de Cinca	30 a 34	Mujeres	43
22017	Alcolea de Cinca	35 a 39	Mujeres	46
22017	Alcolea de Cinca	40 a 44	Mujeres	28
22017	Alcolea de Cinca	45 a 49	Mujeres	38
22017	Alcolea de Cinca	50 a 54	Mujeres	25
22017	Alcolea de Cinca	55 a 59	Mujeres	32
22017	Alcolea de Cinca	60 a 64	Mujeres	38
22017	Alcolea de Cinca	65 a 69	Mujeres	33
22017	Alcolea de Cinca	70 a 74	Mujeres	45
22017	Alcolea de Cinca	75 a 79	Mujeres	30
22017	Alcolea de Cinca	80 a 84	Mujeres	26
22017	Alcolea de Cinca	85 a 90	Mujeres	15
22017	Alcolea de Cinca	90 ó más	Mujeres	4
22017	Alcolea de Cinca	00 a 04	Hombres	31
22017	Alcolea de Cinca	05 a 09	Hombres	38
22017	Alcolea de Cinca	10 a 14	Hombres	22
22017	Alcolea de Cinca	15 a 19	Hombres	39
22017	Alcolea de Cinca	20 a 24	Hombres	43
22017	Alcolea de Cinca	25 a 29	Hombres	38
22017	Alcolea de Cinca	30 a 34	Hombres	44
22017	Alcolea de Cinca	35 a 39	Hombres	54
22017	Alcolea de Cinca	40 a 44	Hombres	52
22017	Alcolea de Cinca	45 a 49	Hombres	37
22017	Alcolea de Cinca	50 a 54	Hombres	40
22017	Alcolea de Cinca	55 a 59	Hombres	31
22017	Alcolea de Cinca	60 a 64	Hombres	28
22017	Alcolea de Cinca	65 a 69	Hombres	51
22017	Alcolea de Cinca	70 a 74	Hombres	54
22017	Alcolea de Cinca	75 a 79	Hombres	34
22017	Alcolea de Cinca	80 a 84	Hombres	13
22017	Alcolea de Cinca	85 a 90	Hombres	8
22017	Alcolea de Cinca	90 ó más	Hombres	2
22018	Alcubierre	00 a 04	Mujeres	6
22018	Alcubierre	05 a 09	Mujeres	9
22018	Alcubierre	10 a 14	Mujeres	11
22018	Alcubierre	15 a 19	Mujeres	5
22018	Alcubierre	20 a 24	Mujeres	8
22018	Alcubierre	25 a 29	Mujeres	9
22018	Alcubierre	30 a 34	Mujeres	12
22018	Alcubierre	35 a 39	Mujeres	9
22018	Alcubierre	40 a 44	Mujeres	14
22018	Alcubierre	45 a 49	Mujeres	12
22018	Alcubierre	50 a 54	Mujeres	10
22018	Alcubierre	55 a 59	Mujeres	15
22018	Alcubierre	60 a 64	Mujeres	19
22018	Alcubierre	65 a 69	Mujeres	17
22018	Alcubierre	70 a 74	Mujeres	17
22018	Alcubierre	75 a 79	Mujeres	22
22018	Alcubierre	80 a 84	Mujeres	11
22018	Alcubierre	85 a 90	Mujeres	7
22018	Alcubierre	90 ó más	Mujeres	3
22018	Alcubierre	00 a 04	Hombres	2
22018	Alcubierre	05 a 09	Hombres	3
22018	Alcubierre	10 a 14	Hombres	2
22018	Alcubierre	15 a 19	Hombres	13
