Año	Código del municipio	Nombre del municipio	Superficie total regada	Superficie regada por aspersión	Superficie regada por riego localizado (goteo, microaspersión, etc.)	Superficie regada por gravedad	Superficie regada por otros métodos	Superficie regada con aguas subterráneas de pozo o sondeo	Superficie regada con aguas superficiales	Superficie regada con aguas depuradas	Superficie regada con concesión integrada en una Comunidad de Regantes	Superficie regada con concesión individual	Superficie regada con agua suficiente	Superficie regada con agua insuficiente	Superficie no regada, disponiendo la explotación de instalaciones y agua
1989	22126	Ibieca	7,56	1	0	6,55	0,01	0	7,56				7,46	0,1	0
1989	22127	Igriés	38,25	0	0	38,25	0	0	38,25				0	38,25	0
1989	22128	Ilche	2246,01	774,93	0	1471,08	0	0	2246,01				2246,01	0	1,2
1989	22129	Isábena	36,52	0	0	36,29	0,23	5,07	31,45				35,91	0,61	18,05
1989	22130	Jaca	456,59	2	0	448,05	6,54	0,09	456,5				318,64	137,95	22,63
1989	22131	Jasa	3,76	0	0	3,69	0,07	0	3,76				3,04	0,72	0
1989	22133	Labuerda	17,88	0	0	17,88	0	0	17,88				4,61	13,27	1,5
1989	22135	Laluenga	522,76	220,79	0	295,97	6	0	522,76				499,26	23,5	0
1989	22136	Lalueza	5672,77	233	19	5420,77	0	0	5672,77				5634,69	38,08	10
1989	22137	Lanaja	4061,41	6,5	10	4044,91	0	0	4061,41				4020,38	41,03	51,3
1989	22139	Laperdiguera	110,61	51,6	0	58,63	0,38	0,01	110,6				110,61	0	0
1989	22141	Lascellas-Ponzano	15,14	0	0	14,68	0,46	0,11	15,03				0,19	14,95	3
1989	22142	Lascuarre	7,94	0	0	6,63	1,31	0,47	7,47				1,24	6,7	1,28
1989	22143	Laspaúles	33,29	0	0	33,29	0	0	33,29				29,95	3,34	0
1989	22144	Laspuña	12,6	0	0	12,6	0	0	12,6				6,44	6,16	4,4
1989	22149	Loarre	29,62	0	0	29,62	0	0,25	29,37				29,62	0	0
1989	22150	Loporzano	140,96	0	0	136,04	4,92	1,97	138,99				110,81	30,15	20
1989	22151	Loscorrales	182,34	12,2	0	170,14	0	0	182,34				179,24	3,1	28,5
1989	22155	Monesma y Cajigar	0,45	0	0	0,11	0,34	0,22	0,23				0,36	0,09	0
1989	22156	Monflorite-Lascasas	872,43	3	0	869,31	0,12	0	872,43				614,43	258	20,94
1989	22157	Montanuy	84,81	2,02	0	82,79	0	0,01	84,8				84,78	0,03	0
1989	22158	Monzón	8022,04	1138,62	73,82	6802	7,6	15,06	8006,98				5248,76	2773,28	204,99
1989	22160	Naval	2,15	0	0	2,15	0	0	2,15				2,15	0	0
1989	22162	Novales	204,2	0	0	204,2	0	0	204,2				185,8	18,4	0
1989	22163	Nueno	212,65	1,25	0	211,4	0	1,25	211,4				22,61	190,04	0
1989	22164	Olvena	43,5	0	0	43,5	0	0	43,5				41,5	2	0
1989	22165	Ontiñena	381,75	0	4	377,75	0	0,34	381,41				380,25	1,5	0
1989	22167	Osso de Cinca	1492,12	64,2	74,7	1353,22	0	30,2	1461,92				519,21	972,91	27,12
1989	22168	Palo	0,29	0	0	0,29	0	0	0,29				0,29	0	0
1989	22170	Panticosa	7,76	0,03	0	7,73	0	0	7,76				4,09	3,67	1
1989	22172	Peñalba	80,1	58	0	22,1	0	0	80,1				80,1	0	0
1989	22173	Peñas de Riglos (Las)	42,42	0	0	42,42	0	0	42,42				30,17	12,25	0
1989	22174	Peralta de Alcofea	2047,33	1742,66	0	304,67	0	0	2047,33				2000,23	47,1	0
1989	22175	Peralta de Calasanz	215,24	79,47	2	133,77	0	3,08	212,16				191,54	23,7	0
1989	22176	Peraltilla	53,55	0	0	53,55	0	0	53,55				53,55	0	2
1989	22177	Perarrúa	51,8	0	0	51,25	0,55	0,56	51,24				46,79	5,01	27,82
1989	22178	Pertusa	83,36	50,33	0	33,03	0	0	83,36				83,36	0	0
1989	22181	Piracés	230,8	0	0	230,8	0	0	230,8				230,8	0	0
1989	22182	Plan	39,54	1,42	6,01	32,11	0	0,58	38,96				14,84	24,7	3
1989	22184	Poleñino	1557,14	18	0	1539,14	0	0	1557,14				963,94	593,2	0
1989	22186	Pozán de Vero	22,49	0,04	0	22,45	0	0,04	22,45				22,41	0,08	0
1989	22187	Puebla de Castro (La)	2,84	0	0	1,85	0,99	1	1,84				1,2	1,64	0,73
1989	22188	Puente de Montañana	8,26	0	0,1	8,12	0,04	0	8,26				8,17	0,09	2
1989	22189	Puértolas	8,16	0,1	0	8,06	0	0,05	8,11				2,6	5,56	4,47
1989	22190	Pueyo de Araguás (El)	29,21	4,55	1,28	23,38	0	0,04	29,17				11,43	17,78	2
1989	22193	Pueyo de Santa Cruz	646,05	22,8	0	619,95	3,3	0	646,05				622,35	23,7	21,5
1989	22195	Quicena	98,18	0	0	98,18	0	0	98,18				1	97,18	0
1989	22197	Robres	1199,2	6	0	1193,2	0	0	1199,2				1199,2	0	0
1989	22199	Sabiñánigo	281,71	74,94	8	198,51	0,26	4,99	276,72				207,06	74,65	1
1989	22200	Sahún	69,87	1	0	68,87	0	0,6	69,27				42,71	27,16	0
1989	22201	Salas Altas	5,05	0,14	1,26	3,63	0,02	1,21	3,84				4,52	0,53	0
1989	22202	Salas Bajas	11,8	0	0	11,8	0	0,2	11,6				11,8	0	0
1989	22203	Salillas	133,47	0	0	133,47	0	0	133,47				9,6	123,87	0
1989	22204	Sallent de Gállego	25,46	0,23	2,14	23,07	0,02	4,45	21,01				14,93	10,53	5,49
1989	22205	San Esteban de Litera	2031,89	545,78	2,4	1483,71	0	0	2031,89				1837,53	194,36	0
1989	22206	Sangarrén	1233,79	0	0	1231,42	2,37	0	1233,79				1077,7	156,09	27
1989	22207	San Juan de Plan	71,49	0,92	0	70,57	0	0	71,49				70,69	0,8	0
1989	22208	Santa Cilia	52,75	4	0	48,75	0	7,15	45,6				25,75	27	9,02
1989	22209	Santa Cruz de la Serós	40,83	9,5	0	31,33	0	0	40,83				17,94	22,89	4,5
1989	22212	Santaliestra y San Quílez	21,37	0	0	21,37	0	0	21,37				21,37	0	5,29
1989	22213	Sariñena	9801,9	4795,31	28,54	4964,05	14	15,3	9786,6				9488,61	313,29	381,7
1989	22214	Secastilla	6,03	0	4	1,85	0,18	0,49	5,54				5,31	0,72	0,2
1989	22215	Seira	32,8	1,02	0	31,78	0	0	32,8				2,01	30,79	0
1989	22217	Sena	2448,07	2178,64	12	257,43	0	15,5	2432,57				2400,57	47,5	0
1989	22218	Senés de Alcubierre	411,75	75	0	333,75	3	0	411,75				411,75	0	0
1989	22220	Sesa	256,05	0	0	256,05	0	0	256,05				255,55	0,5	0
1989	22221	Sesué	34,56	4	0	30,56	0	0	34,56				16,01	18,55	0
1989	22222	Siétamo	168,32	0	0	167,84	0,48	0	168,32				132,32	36	2
1989	22223	Sopeira	0,46	0	0	0,46	0	0	0,46				0,46	0	1
1989	22225	Tamarite de Litera	7190,72	3654,16	10,57	3519,05	6,94	11,53	7179,19				3065,1	4125,62	53,57
1989	22226	Tardienta	939,14	8,75	0	927,89	2,5	0	939,14				931,14	8	2,85
1989	22227	Tella-Sin	20,84	0,1	0	20,74	0	0	20,84				20,72	0,12	0
1989	22228	Tierz	160,34	0	0	160,34	0	0	160,34				155,34	5	1,5
1989	22229	Tolva	17,7	0	0	16,68	1,02	0,6	17,1				16,67	1,03	0,02
1989	22230	Torla-Ordesa	39,92	0	0	39,92	0	0	39,92				24,92	15	1,97
1989	22232	Torralba de Aragón	878,54	19	10	849,04	0,5	0	878,54				855	23,54	17,95
1989	22233	Torre la Ribera	10,34	0,04	0	10,18	0,12	0,74	9,6				10,14	0,2	0
1989	22234	Torrente de Cinca	656,84	188,1	252,3	216,44	0	8,8	648,04				651,84	5	0
1989	22235	Torres de Alcanadre	503,21	502,59	0,03	0,25	0,34	0	503,21				502,91	0,3	234,01
1989	22236	Torres de Barbués	1006,33	17	0	989,33	0	0	1006,33				1006,33	0	10,5
1989	22239	Tramaced	792,48	36	0	756,48	0	0	792,48				792,48	0	5
1989	22242	Valfarta	0	0	0	0	0	0	0				0	0	0
1989	22243	Valle de Bardají	24,93	2	2	20,93	0	0	24,93				17,72	7,21	0
1989	22244	Valle de Lierp	5,19	2,02	0	0,06	3,11	0,05	5,14				0,07	5,12	0
1989	22245	Velilla de Cinca	350,02	180	26	143,42	0,6	180,19	169,83				350,02	0	0,8
1989	22246	Beranuy	13,19	0	0	13,17	0,02	0,02	13,17				13,18	0,01	0
1989	22247	Viacamp y Litera	14,96	11,9	0	3,05	0,01	0,06	14,9				14,96	0	3,75
1989	22248	Vicién	475,87	0	0	475,87	0	0	475,87				475,87	0	4
1989	22249	Villanova	36,26	0	0	36,26	0	0	36,26				0	36,26	0
1989	22250	Villanúa	23,76	16,15	0	7,61	0	0	23,76				2,15	21,61	3
1989	22251	Villanueva de Sigena	2225,5	1666,65	33,26	525,59	0	0,01	2225,49				2225,35	0,15	43,5
1989	22252	Yebra de Basa	10,46	0	0	10,41	0,05	0,12	10,34				4,29	6,17	8,7
1989	22253	Yésero	0,16	0,07	0	0,09	0	0,07	0,09				0,05	0,11	0
1989	22254	Zaidín	4232,03	601,48	185,44	3435,11	10	46,15	4185,88				3846,11	385,92	230,51
1989	22901	Valle de Hecho	385,39	0	1	384,37	0,02	0	385,39				382,56	2,83	2,05
1989	22902	Puente la Reina de Jaca	64,86	0	0,07	64,43	0,36	0,21	64,65				61,23	3,63	57,55
1989	22903	San Miguel del Cinca	6190,66	1304,18	0	4886,48	0	0	6190,66				6161,16	29,5	834,03
1989	22904	Sotonera (La)	80,15	0	0	80,15	0	1,55	78,6				31,57	48,58	0
1989	22905	Lupiñén-Ortilla	995,1	230,59	0	764,51	0	42,86	952,24				550,8	444,3	5,02
1989	22906	Santa María de Dulcis	52,75	0,08	0	52,67	0	0,08	52,67				52,75	0	0
1989	22907	Aínsa-Sobrarbe	99,07	6	0	93,07	0	0,02	99,05				93,48	5,59	3,49
1989	22908	Hoz y Costeán	66,41	40,5	0	25,91	0	0	66,41				65,81	0,6	0
1989	22909	Vencillón	765,87	333,95	6,35	425,57	0	0	765,87				481,27	284,6	18
1989	44001	Ababuj	12,32	9,3	0	3,02	0	0	12,32				12,32	0	12,11
1989	44002	Abejuela	20	0	0	20	0	0	20				10	10	0
1989	44003	Aguatón	1,8	1	0	0,8	0	1	0,8				1,8	0	0
1989	44004	Aguaviva	262,33	8,32	17,01	0,06	236,94	12,81	249,52				186,23	76,1	0
1989	44005	Aguilar del Alfambra	63,14	0	0	63,14	0	0	63,14				11,84	51,3	0
1989	44006	Alacón	51,04	0	0	51,04	0	0,88	50,16				34,61	16,43	1,2
1989	44007	Alba	455,36	146,11	0	309,25	0	253,4	201,96				410,61	44,75	8
1989	44008	Albalate del Arzobispo	580,31	13,72	47,19	510,8	8,6	0	580,31				572,65	7,66	0
1989	44009	Albarracín	127,64	2,34	8,37	57,12	59,81	10,04	117,6				124,55	3,09	0
1989	44010	Albentosa	38,85	0,03	0,22	38,59	0,01	0,44	38,41				21,92	16,93	24,84
1989	44011	Alcaine	3,38	0	0	3,38	0	0	3,38				3,36	0,02	0
1989	44012	Alcalá de la Selva	14,26	5	0	9,26	0	3,04	11,22				11,11	3,15	14,1
1989	44013	Alcañiz	3772,05	109,52	57,58	3604,43	0,52	15,22	3756,83				3771,29	0,76	0
1989	44014	Alcorisa	292,76	7,11	13,75	271,39	0,51	25,69	267,07				282,83	9,93	4,11
1989	44016	Alfambra	413,81	0	0	413,81	0	0,24	413,57				387,31	26,5	6
1989	44017	Aliaga	34,78	0	0	34,78	0	0	34,78				33,18	1,6	0
1989	44018	Almohaja	1	0	0	1	0	1	0				1	0	0
1989	44019	Alobras	6,5	0	0	6,5	0	0,04	6,46				5,93	0,57	2,22
1989	44020	Alpeñés	0,36	0	0	0,36	0	0	0,36				0,36	0	0
1989	44021	Allepuz	76,14	0	0	76,14	0	0	76,14				8,42	67,72	0
1989	44022	Alloza	74,64	0	2,76	71,88	0	3,11	71,53				69,04	5,6	4,29
1989	44023	Allueva	0,02	0	0	0,02	0	0	0,02				0,02	0	0
1989	44024	Anadón	0,05	0	0	0,05	0	0,01	0,04				0,05	0	0
1989	44025	Andorra	65,05	11,23	4,23	49,36	0,23	13,96	51,09				61,38	3,67	0
1989	44026	Arcos de las Salinas	23,71	0,05	0	23,66	0	0,05	23,66				21,71	2	0
1989	44027	Arens de Lledó	15,32	0,04	0,16	15,05	0,07	3,39	11,93				14,92	0,4	1,01
1989	44028	Argente	1,61	1,5	0	0,11	0	1,61	0				1,61	0	0
1989	44029	Ariño	32,66	3,66	0	29	0	0	32,66				32,66	0	0
1989	44031	Azaila	246,34	0	0	238,14	8,2	0,5	245,84				16,14	230,2	0
1989	44032	Bádenas	0	0	0	0	0	0	0				0	0	0
1989	44033	Báguena	182,86	5,22	1,31	176,32	0,01	4,14	178,72				182,71	0,15	7,75
1989	44034	Bañón	17,4	0	0,03	17,37	0	17,23	0,17				17,37	0,03	0,2
1989	44035	Barrachina	89,17	2,31	0	86,86	0	0	89,17				53,19	35,98	0
1989	44036	Bea	2,31	0	0	2,31	0	0	2,31				2,31	0	0
1989	44037	Beceite	83,37	1	0,51	81,71	0,15	1,79	81,58				76,77	6,6	9,17
1989	44038	Belmonte de San José	5,84	0,02	0,03	5,78	0,01	2,7	3,14				2,26	3,58	0
1989	44039	Bello	122,72	121,71	0	1	0,01	121,72	1				122,72	0	0
1989	44040	Berge	52,18	0,22	0,45	51,28	0,23	0,67	51,51				43,5	8,68	0
1989	44041	Bezas	0,07	0	0	0,07	0	0	0,07				0	0,07	0,06
1989	44042	Blancas	8,5	1	0	7,5	0	1	7,5				1,5	7	0
1989	44043	Blesa	15,18	0	0	15,18	0	0	15,18				15,18	0	0
1989	44044	Bordón	36,46	0	0	36,46	0	0	36,46				32,2	4,26	1,89
1989	44045	Bronchales	0,03	0,02	0	0,01	0	0,01	0,02				0	0,03	0
1989	44046	Bueña	14	5	0,07	8,9	0,03	9,43	4,57				13	1	0
1989	44047	Burbáguena	144,8	21,06	0,28	123,36	0,1	20,62	124,18				143,06	1,74	12,67
1989	44048	Cabra de Mora	17,87	0	0	17,87	0	0	17,87				17,87	0	3,25
1989	44049	Calaceite	96,41	0,24	27,66	67,14	1,37	30,47	65,94				84,23	12,18	3,1
1989	44050	Calamocha	1059,35	101,92	8,58	942,13	6,72	370,98	688,37				950,57	108,78	0,27
1989	44051	Calanda	789,95	0	0	789,95	0	1,7	788,25				789,95	0	0
1989	44052	Calomarde	24,32	0,04	0	0,01	24,27	0,04	24,28				24,29	0,03	0
1989	44053	Camañas	25	11	0	14	0	11	14				11	14	0
1989	44054	Camarena de la Sierra	20	0	0	20	0	0	20				16,35	3,65	0
1989	44055	Camarillas	6,37	3,58	0	2,37	0,42	4	2,37				6,19	0,18	5,9
1989	44056	Caminreal	460,7	60,68	0	400,02	0	89,44	371,26				423,4	37,3	0
1989	44059	Cantavieja	6,56	0,08	0,02	5,79	0,67	1,32	5,24				5,5	1,06	0,32
1989	44060	Cañada de Benatanduz	0	0	0	0	0	0	0				0	0	0
1989	44061	Cañada de Verich (La)	8,26	0,02	0,01	8,19	0,04	8,17	0,09				1,85	6,41	3,05
1989	44062	Cañada Vellida	0,17	0	0	0	0,17	0,16	0,01				0,17	0	0
1989	44063	Cañizar del Olivar	7,92	0,02	0	7,9	0	0	7,92				7,62	0,3	3,99
1989	44064	Cascante del Río	43,9	0	0	43,9	0	0	43,9				2	41,9	0
1989	44065	Castejón de Tornos	0,03	0	0	0	0,03	0,03	0				0,03	0	0
1989	44066	Castel de Cabra	18,9	0	0,47	18,43	0	0,23	18,67				15,6	3,3	0,92
1989	44067	Castelnou	696,11	502	0	188,11	6	0	696,11				150,91	545,2	0
1989	44068	Castelserás	133,63	0	5,12	126,79	1,72	4,16	129,47				117,96	15,67	0
1989	44070	Castellar (El)	0,71	0	0	0,71	0	0	0,71				0,54	0,17	0
1989	44071	Castellote	383,1	4,19	38,34	337,58	2,99	22,09	361,01				300,94	82,16	26,03
1989	44074	Cedrillas	9,6	0,15	0,39	8,99	0,07	0,65	8,95				4,85	4,75	2
1989	44075	Celadas	48,49	10,7	0	36,99	0,8	35,8	12,69				37,99	10,5	0
1989	44076	Cella	1608,53	354,59	1,4	901,15	351,39	355,79	1252,74				1578,58	29,95	40
1989	44077	Cerollera (La)	0,76	0,05	0,05	0,55	0,11	0	0,76				0,52	0,24	0
1989	44080	Codoñera (La)	6,45	0	0	6,44	0,01	1,04	5,41				3,53	2,92	0
1989	44082	Corbalán	0,3	0	0	0,3	0	0	0,3				0,25	0,05	0
1989	44084	Cortes de Aragón	0,92	0	0	0,92	0	0	0,92				0,79	0,13	0
1989	44085	Cosa	1	1	0	0	0	0,72	0,28				0,72	0,28	0
1989	44086	Cretas	54,06	0,33	12,22	41,5	0,01	19,2	34,86				39,81	14,25	0,4
1989	44087	Crivillén	8,06	0	0,21	7,85	0	0,7	7,36				7,89	0,17	0
1989	44088	Cuba (La)	2,07	0	0	2,05	0,02	0,07	2				0,42	1,65	0
1989	44089	Cubla	8,65	0,04	0,91	7,62	0,08	0,34	8,31				0,5	8,15	0
1989	44090	Cucalón	1,41	0	0	1,41	0	0,3	1,11				1,41	0	0
1989	44092	Cuervo (El)	32,66	0	0,05	32,61	0	0,04	32,62				28,81	3,85	5,19
1989	44093	Cuevas de Almudén	18,44	0	0	18,44	0	0	18,44				18,44	0	4,8
1989	44094	Cuevas Labradas	80	0	0	80	0	0	80				78	2	0
1989	44096	Ejulve	17,42	0,03	0,02	17,2	0,17	0,24	17,18				16,8	0,62	9,23
1989	44097	Escorihuela	60,59	2,69	0,03	57,86	0,01	2,03	58,56				2,7	57,89	10,07
1989	44099	Escucha	13,32	0,01	0	13,31	0	1,02	12,3				7,57	5,75	1,04
1989	44100	Estercuel	19,31	0,01	0,05	19,24	0,01	0,79	18,52				15,22	4,09	21,3
1989	44101	Ferreruela de Huerva	0,8	0	0	0,8	0	0,02	0,78				0,78	0,02	0,02
1989	44102	Fonfría	0,34	0	0	0,34	0	0	0,34				0,31	0,03	0
1989	44103	Formiche Alto	5,92	0	0	5,92	0	0	5,92				0	5,92	0
1989	44105	Fórnoles	9,71	0,01	0	9,7	0	0,43	9,28				4,28	5,43	0,73
