Municipio codigo	Municipio nombre	Grandes grupos, código	Grandes grupos	Sexo, código	Sexo	Total	Españoles	Extranjeros
22018	Alcubierre	3	De 46 a 64	1	Hombre	64,0558133081	59,1057923653	4,9500209428
22018	Alcubierre	4	De 65 y más	1	Hombre	62,6065567404	60,457785401	2,1487713394
22018	Alcubierre	5	De 65 y más	1	Hombre	4,3934432599	4,3934432599	0
22019	Alerre	0	Menor de 16	1	Hombre	10,6635629051	10,6635629051	0
22019	Alerre	1	De 16 a 25	1	Hombre	8,8179240285	8,8179240285	0
22019	Alerre	2	De 26 a 45	1	Hombre	29,5523572857	29,5523572857	0
22019	Alerre	3	De 46 a 64	1	Hombre	41,6297186861	40,4970747067	1,1326439794
22019	Alerre	4	De 65 y más	1	Hombre	18,0984307632	18,0984307632	0
22019	Alerre	5	De 65 y más	1	Hombre	2,9015692368	1,8869713437	1,0145978931
22020	Alfántega	0	Menor de 16	1	Hombre	6,7888397238	6,7888397238	0
22020	Alfántega	1	De 16 a 25	1	Hombre	2,2250119552	2,2250119552	0
22020	Alfántega	2	De 26 a 45	1	Hombre	23,1560200595	21,3269237591	1,8290963004
22020	Alfántega	3	De 46 a 64	1	Hombre	12,5535430108	12,5535430108	0
22020	Alfántega	4	De 65 y más	1	Hombre	17,3400621509	17,3400621509	0
22020	Alfántega	5	De 65 y más	1	Hombre	2,6185001836	2,6185001836	0
22021	Almudévar	0	Menor de 16	1	Hombre	165,3720509071	149,3999239141	15,972126993
22021	Almudévar	1	De 16 a 25	1	Hombre	134,9712927018	134,9712927018	0
22021	Almudévar	2	De 26 a 45	1	Hombre	371,300390485	365,8205850485	5,4798054365
22021	Almudévar	3	De 46 a 64	1	Hombre	317,6398750413	317,6398750413	0
22021	Almudévar	4	De 65 y más	1	Hombre	257,3758973454	257,3758973454	0
22021	Almudévar	5	De 65 y más	1	Hombre	36,109402433	36,109402433	0
22022	Almunia de San Juan	0	Menor de 16	1	Hombre	28,9999999999	28,9999999999	0
22022	Almunia de San Juan	1	De 16 a 25	1	Hombre	24,5337644317	24,5337644317	0
