Año	Comarca	Municipio	Entidad singular	Núcleo	Personas
2017	02-Alto Gállego	22199-Sabiñánigo	221990032 - Layés	22199003201 - Layés	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990033 - Molino de Villobas	22199003399 - *Diseminado*	4
2017	02-Alto Gállego	22199-Sabiñánigo	221990034 - Ordovés	22199003499 - *Diseminado*	2
2017	02-Alto Gállego	22199-Sabiñánigo	221990035 - Orna de Gállego	22199003501 - Orna de Gállego	18
2017	02-Alto Gállego	22199-Sabiñánigo	221990036 - Osán	22199003601 - Osán	19
2017	02-Alto Gállego	22199-Sabiñánigo	221990037 - Pardinilla	22199003701 - Pardinilla	24
2017	02-Alto Gállego	22199-Sabiñánigo	221990038 - Puente de Sabiñánigo (El)	22199003801 - Puente de Sabiñánigo (El)	38
2017	02-Alto Gállego	22199-Sabiñánigo	221990039 - Rapún	22199003901 - Rapún	6
2017	02-Alto Gállego	22199-Sabiñánigo	221990039 - Rapún	22199003999 - *Diseminado*	3
2017	02-Alto Gállego	22199-Sabiñánigo	221990040 - Sabiñánigo	22199004001 - Sabiñánigo	8228
2017	02-Alto Gállego	22199-Sabiñánigo	221990041 - Sabiñánigo Alto	22199004101 - Sabiñánigo Alto	47
2017	02-Alto Gállego	22199-Sabiñánigo	221990042 - San Esteban de Guarga	22199004299 - *Diseminado*	4
2017	02-Alto Gállego	22199-Sabiñánigo	221990043 - San Román de Basa	22199004301 - San Román de Basa	7
2017	02-Alto Gállego	22199-Sabiñánigo	221990044 - Sardas	22199004401 - Sardas	43
2017	02-Alto Gállego	22199-Sabiñánigo	221990045 - Sasal	22199004501 - Sasal	14
2017	02-Alto Gállego	22199-Sabiñánigo	221990046 - Satué	22199004601 - Satué	9
2017	02-Alto Gállego	22199-Sabiñánigo	221990047 - Senegüé	22199004701 - Senegüé	100
2017	02-Alto Gállego	22199-Sabiñánigo	221990047 - Senegüé	22199004799 - *Diseminado*	4
2017	02-Alto Gállego	22199-Sabiñánigo	221990048 - Sorripas	22199004801 - Sorripas	39
2017	02-Alto Gállego	22199-Sabiñánigo	221990049 - Yéspola	22199004901 - Yéspola	2
2017	02-Alto Gállego	22199-Sabiñánigo	221990050 - Bentué de Nocito	22199005099 - *Diseminado*	1
2017	02-Alto Gállego	22199-Sabiñánigo	221990052 - Artosilla	22199005201 - Artosilla	23
2017	02-Alto Gállego	22199-Sabiñánigo	221990053 - Ibort	22199005301 - Ibort	83
2017	02-Alto Gállego	22199-Sabiñánigo	221990054 - Solanilla	22199005499 - *Diseminado*	13
2017	02-Alto Gállego	22199-Sabiñánigo	221990055 - Isín	22199005501 - Isín	5
2017	02-Alto Gállego	22204-Sallent de Gállego	222040001 - Escarrilla	22204000101 - Escarrilla	209
2017	02-Alto Gállego	22204-Sallent de Gállego	222040002 - Formigal	22204000201 - Formigal	202
2017	02-Alto Gállego	22204-Sallent de Gállego	222040003 - Sallent de Gállego	22204000301 - Sallent de Gállego	762
2017	02-Alto Gállego	22204-Sallent de Gállego	222040003 - Sallent de Gállego	22204000399 - *Diseminado*	1
2017	02-Alto Gállego	22204-Sallent de Gállego	222040004 - Sandiniés	22204000401 - Sandiniés	54
2017	02-Alto Gállego	22204-Sallent de Gállego	222040005 - Tramacastilla de Tena	22204000501 - Tramacastilla de Tena	179
2017	02-Alto Gállego	22204-Sallent de Gállego	222040007 - Lanuza	22204000701 - Lanuza	37
2017	02-Alto Gállego	22252-Yebra de Basa	222520001 - Fanlillo	22252000101 - Fanlillo	10
2017	02-Alto Gállego	22252-Yebra de Basa	222520002 - Orús	22252000201 - Orús	4
2017	02-Alto Gállego	22252-Yebra de Basa	222520003 - San Julián de Basa	22252000301 - San Julián de Basa	7
2017	02-Alto Gállego	22252-Yebra de Basa	222520004 - Sobás	22252000401 - Sobás	14
2017	02-Alto Gállego	22252-Yebra de Basa	222520005 - Yebra de Basa	22252000501 - Yebra de Basa	112
2017	02-Alto Gállego	22253-Yésero	222530001 - Yésero	22253000101 - Yésero	56
2017	03-Sobrarbe	22002-Abizanda	220020001 - Abizanda	22002000101 - Abizanda	84
2017	03-Sobrarbe	22002-Abizanda	220020002 - Escanilla	22002000201 - Escanilla	21
2017	03-Sobrarbe	22002-Abizanda	220020003 - Lamata	22002000301 - Lamata	41
2017	03-Sobrarbe	22002-Abizanda	220020004 - Ligüerre de Cinca	22002000401 - Ligüerre de Cinca	7
2017	03-Sobrarbe	22002-Abizanda	220020005 - Mesón de Ligüerre	22002000501 - Mesón de Ligüerre	3
2017	03-Sobrarbe	22051-Bárcabo	220510001 - Almazorre	22051000101 - Almazorre	22
2017	03-Sobrarbe	22051-Bárcabo	220510002 - Bárcabo	22051000201 - Bárcabo	28
2017	03-Sobrarbe	22051-Bárcabo	220510003 - Betorz	22051000301 - Betorz	14
2017	03-Sobrarbe	22051-Bárcabo	220510004 - Eripol	22051000401 - Eripol	12
2017	03-Sobrarbe	22051-Bárcabo	220510005 - Hospitaled	22051000501 - Hospitaled	8
2017	03-Sobrarbe	22051-Bárcabo	220510006 - Lecina	22051000601 - Lecina	14
2017	03-Sobrarbe	22051-Bárcabo	220510007 - Santa María de la Nuez	22051000701 - Santa María de la Nuez	7
2017	03-Sobrarbe	22051-Bárcabo	220510007 - Santa María de la Nuez	22051000799 - *Diseminado*	2
2017	03-Sobrarbe	22057-Bielsa	220570001 - Bielsa	22057000101 - Bielsa	313
2017	03-Sobrarbe	22057-Bielsa	220570002 - Chisagüés	22057000201 - Chisagüés	18
2017	03-Sobrarbe	22057-Bielsa	220570003 - Espierba	22057000301 - Espierba	10
2017	03-Sobrarbe	22057-Bielsa	220570003 - Espierba	22057000399 - *Diseminado*	23
2017	03-Sobrarbe	22057-Bielsa	220570004 - Javierre	22057000401 - Javierre	42
2017	03-Sobrarbe	22057-Bielsa	220570005 - Parzán	22057000501 - Parzán	55
2017	03-Sobrarbe	22057-Bielsa	220570005 - Parzán	22057000599 - *Diseminado*	9
2017	03-Sobrarbe	22057-Bielsa	220570006 - Salinas de Bielsa	22057000601 - Salinas de Bielsa	3
2017	03-Sobrarbe	22066-Boltaña	220660001 - Ascaso	22066000199 - *Diseminado*	6
2017	03-Sobrarbe	22066-Boltaña	220660002 - Boltaña	22066000201 - Boltaña	798
2017	03-Sobrarbe	22066-Boltaña	220660002 - Boltaña	22066000299 - *Diseminado*	4
2017	03-Sobrarbe	22066-Boltaña	220660003 - Campodarbe	22066000399 - *Diseminado*	3
2017	03-Sobrarbe	22066-Boltaña	220660004 - Margudgued	22066000401 - Margudgued	81
