Municipio código	Municipio nombre	Sexo	Sector actividad	Rama actividad, código	Rama actividad, descripción	Personas residentes viviendas familiares
22007	Albalate de Cinca	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	5
22007	Albalate de Cinca	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	148
22007	Albalate de Cinca	Varones	Industria y energía	02	Extractivas, energía, gas y agua	2
22007	Albalate de Cinca	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	10
22007	Albalate de Cinca	Varones	Industria y energía	04	Textil y calzado	2
22007	Albalate de Cinca	Varones	Industria y energía	05	Madera y papel	12
22007	Albalate de Cinca	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	18
22007	Albalate de Cinca	Varones	Industria y energía	07	Metal	14
22007	Albalate de Cinca	Varones	Industria y energía	08	Manufactureras diversas	2
22007	Albalate de Cinca	Varones	Construcción	09	Construcción	95
22007	Albalate de Cinca	Varones	Servicios	10	Comercio y reparación	21
22007	Albalate de Cinca	Varones	Servicios	11	Hostelería	8
22007	Albalate de Cinca	Varones	Servicios	12	Transporte y comunicaciones	15
22007	Albalate de Cinca	Varones	Servicios	13	Finanzas y servicios a empresas	3
22007	Albalate de Cinca	Varones	Servicios	14	Administración pública	9
22007	Albalate de Cinca	Varones	Servicios	15	Educación	6
22007	Albalate de Cinca	Varones	Servicios	16	Sanidad	3
22007	Albalate de Cinca	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22008	Albalatillo	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	9
22008	Albalatillo	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22008	Albalatillo	Mujeres	Servicios	10	Comercio y reparación	3
22008	Albalatillo	Mujeres	Servicios	11	Hostelería	3
22008	Albalatillo	Mujeres	Servicios	13	Finanzas y servicios a empresas	1
22008	Albalatillo	Mujeres	Servicios	14	Administración pública	2
22008	Albalatillo	Mujeres	Servicios	15	Educación	1
22008	Albalatillo	Mujeres	Servicios	16	Sanidad	3
22008	Albalatillo	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22008	Albalatillo	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	26
22008	Albalatillo	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22008	Albalatillo	Varones	Industria y energía	05	Madera y papel	1
22008	Albalatillo	Varones	Industria y energía	07	Metal	3
22008	Albalatillo	Varones	Construcción	09	Construcción	13
22008	Albalatillo	Varones	Servicios	10	Comercio y reparación	6
22008	Albalatillo	Varones	Servicios	12	Transporte y comunicaciones	2
22008	Albalatillo	Varones	Servicios	13	Finanzas y servicios a empresas	4
22008	Albalatillo	Varones	Servicios	14	Administración pública	3
22008	Albalatillo	Varones	Servicios	15	Educación	1
22008	Albalatillo	Varones	Servicios	16	Sanidad	1
22009	Albelda	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	11
22009	Albelda	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	1
22009	Albelda	Mujeres	Industria y energía	04	Textil y calzado	4
22009	Albelda	Mujeres	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22009	Albelda	Mujeres	Industria y energía	08	Manufactureras diversas	1
22009	Albelda	Mujeres	Construcción	09	Construcción	2
22009	Albelda	Mujeres	Servicios	10	Comercio y reparación	18
22009	Albelda	Mujeres	Servicios	11	Hostelería	4
22009	Albelda	Mujeres	Servicios	12	Transporte y comunicaciones	5
22009	Albelda	Mujeres	Servicios	13	Finanzas y servicios a empresas	10
22009	Albelda	Mujeres	Servicios	14	Administración pública	14
22009	Albelda	Mujeres	Servicios	15	Educación	15
22009	Albelda	Mujeres	Servicios	16	Sanidad	11
22009	Albelda	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	6
22009	Albelda	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	97
22009	Albelda	Varones	Industria y energía	02	Extractivas, energía, gas y agua	1
22009	Albelda	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	4
22009	Albelda	Varones	Industria y energía	04	Textil y calzado	1
22009	Albelda	Varones	Industria y energía	05	Madera y papel	2
22009	Albelda	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	6
22009	Albelda	Varones	Industria y energía	07	Metal	11
22009	Albelda	Varones	Industria y energía	08	Manufactureras diversas	1
22009	Albelda	Varones	Construcción	09	Construcción	40
22009	Albelda	Varones	Servicios	10	Comercio y reparación	15
22009	Albelda	Varones	Servicios	11	Hostelería	3
22009	Albelda	Varones	Servicios	12	Transporte y comunicaciones	7
22009	Albelda	Varones	Servicios	13	Finanzas y servicios a empresas	9
22009	Albelda	Varones	Servicios	14	Administración pública	5
22009	Albelda	Varones	Servicios	15	Educación	5
22009	Albelda	Varones	Servicios	16	Sanidad	1
22009	Albelda	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22011	Albero Alto	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	2
22011	Albero Alto	Mujeres	Servicios	10	Comercio y reparación	1
22011	Albero Alto	Mujeres	Servicios	13	Finanzas y servicios a empresas	2
22011	Albero Alto	Mujeres	Servicios	14	Administración pública	4
22011	Albero Alto	Mujeres	Servicios	16	Sanidad	3
22011	Albero Alto	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	2
22011	Albero Alto	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	16
22011	Albero Alto	Varones	Industria y energía	08	Manufactureras diversas	1
22011	Albero Alto	Varones	Construcción	09	Construcción	4
22011	Albero Alto	Varones	Servicios	10	Comercio y reparación	3
22011	Albero Alto	Varones	Servicios	13	Finanzas y servicios a empresas	3
22011	Albero Alto	Varones	Servicios	14	Administración pública	2
22012	Albero Bajo	Mujeres	Servicios	10	Comercio y reparación	2
22012	Albero Bajo	Mujeres	Servicios	15	Educación	1
22012	Albero Bajo	Mujeres	Servicios	16	Sanidad	3
22012	Albero Bajo	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22012	Albero Bajo	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	23
22012	Albero Bajo	Varones	Industria y energía	07	Metal	1
22012	Albero Bajo	Varones	Construcción	09	Construcción	3
22012	Albero Bajo	Varones	Servicios	10	Comercio y reparación	1
22012	Albero Bajo	Varones	Servicios	12	Transporte y comunicaciones	1
22012	Albero Bajo	Varones	Servicios	13	Finanzas y servicios a empresas	1
22012	Albero Bajo	Varones	Servicios	14	Administración pública	3
22012	Albero Bajo	Varones	Servicios	16	Sanidad	2
22012	Albero Bajo	Varones	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22013	Alberuela de Tubo	Mujeres	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	1
22013	Alberuela de Tubo	Mujeres	Industria y energía	03	Alimentación, bebidas y tabaco	3
22013	Alberuela de Tubo	Mujeres	Industria y energía	08	Manufactureras diversas	5
22013	Alberuela de Tubo	Mujeres	Construcción	09	Construcción	4
22013	Alberuela de Tubo	Mujeres	Servicios	10	Comercio y reparación	5
22013	Alberuela de Tubo	Mujeres	Servicios	11	Hostelería	1
22013	Alberuela de Tubo	Mujeres	Servicios	13	Finanzas y servicios a empresas	4
22013	Alberuela de Tubo	Mujeres	Servicios	14	Administración pública	2
22013	Alberuela de Tubo	Mujeres	Servicios	16	Sanidad	13
22013	Alberuela de Tubo	Mujeres	Servicios	17	Actividades asociativas, recreativas, servicios personales, ...	1
22013	Alberuela de Tubo	Varones	Agricultura, ganadería y pesca	01	Agricultura, ganadería y pesca	57
22013	Alberuela de Tubo	Varones	Industria y energía	03	Alimentación, bebidas y tabaco	1
22013	Alberuela de Tubo	Varones	Industria y energía	04	Textil y calzado	1
22013	Alberuela de Tubo	Varones	Industria y energía	05	Madera y papel	1
22013	Alberuela de Tubo	Varones	Industria y energía	06	Química, plásticos y otros productos minerales no metálicos	1
22013	Alberuela de Tubo	Varones	Industria y energía	07	Metal	6
22013	Alberuela de Tubo	Varones	Construcción	09	Construcción	18
22013	Alberuela de Tubo	Varones	Servicios	10	Comercio y reparación	3
22013	Alberuela de Tubo	Varones	Servicios	11	Hostelería	3
