Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	CIF	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Marzo 2019	201903	Marzo	2019	44	Teruel	Otros	Hombres	Temporal	1	860	49829	57,94069767441860465116279069767441860465
Marzo 2019	201903	Marzo	2019	44	Teruel	Otros	Mujeres	Temporal	0	380	0	0
Marzo 2019	201903	Marzo	2019	44	Teruel	Otros	Mujeres	Temporal	1	1000	38329	38,329
Marzo 2019	201903	Marzo	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	0	1231	0	0
Marzo 2019	201903	Marzo	2019	50	Zaragoza	A través de una ETT	Hombres	Temporal	1	4241	55487	13,08347087950954963452016033954256071681
Marzo 2019	201903	Marzo	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	0	967	0	0
Marzo 2019	201903	Marzo	2019	50	Zaragoza	A través de una ETT	Mujeres	Temporal	1	2906	25110	8,64074328974535443909153475567790777701
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Otros	Hombres	Temporal	0	4251	0	0
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Otros	Hombres	Temporal	1	6040	389955	64,56208609271523178807947019867549668874
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Otros	Mujeres	Temporal	0	3539	0	0
Marzo 2019	201903	Marzo	2019	50	Zaragoza	Otros	Mujeres	Temporal	1	6879	358728	52,1482773658962058438726559092891408635
Febrero 2019	201902	Febrero	2019	22	Huesca	A través de una ETT	Hombres	Temporal	0	128	0	0
Febrero 2019	201902	Febrero	2019	22	Huesca	A través de una ETT	Hombres	Temporal	1	174	4449	25,56896551724137931034482758620689655172
Febrero 2019	201902	Febrero	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	0	48	0	0
Febrero 2019	201902	Febrero	2019	22	Huesca	A través de una ETT	Mujeres	Temporal	1	87	1278	14,68965517241379310344827586206896551724
Febrero 2019	201902	Febrero	2019	22	Huesca	Otros	Hombres	Temporal	0	1251	0	0
Febrero 2019	201902	Febrero	2019	22	Huesca	Otros	Hombres	Temporal	1	1558	105511	67,72207958921694480102695763799743260591
