Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sector código	Sector descripción	Sexo	Temporalidad	Días duración contrato	Número de contratos	Duración contrato	Duración media contrato
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	0	22	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	3	Construcción	Mujeres	Temporal	1	31	2851	91,96774193548387096774193548387096774194
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	0	2247	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	4	Servicios	Hombres	Temporal	1	6377	272399	42,71585384977262035439862004077152265956
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	0	3287	0	0
Diciembre 2017	201712	Diciembre	2017	50	Zaragoza	4	Servicios	Mujeres	Temporal	1	7798	316525	40,59053603488073865093613747114644780713
Noviembre 2017	201711	Noviembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	556	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	113	10408	92,1061946902654867256637168141592920354
Noviembre 2017	201711	Noviembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	69	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	17	560	32,94117647058823529411764705882352941176
Noviembre 2017	201711	Noviembre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	0	185	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	2	Industria y energía	Hombres	Temporal	1	157	24353	155,114649681528662420382165605095541401
Noviembre 2017	201711	Noviembre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	0	87	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	2	Industria y energía	Mujeres	Temporal	1	51	3647	71,50980392156862745098039215686274509804
Noviembre 2017	201711	Noviembre	2017	22	Huesca	3	Construcción	Hombres	Temporal	0	276	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	3	Construcción	Hombres	Temporal	1	76	6964	91,63157894736842105263157894736842105263
Noviembre 2017	201711	Noviembre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	0	9	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	3	Construcción	Mujeres	Temporal	1	8	462	57,75
Noviembre 2017	201711	Noviembre	2017	22	Huesca	4	Servicios	Hombres	Temporal	0	410	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	4	Servicios	Hombres	Temporal	1	1173	66772	56,92412617220801364023870417732310315431
Noviembre 2017	201711	Noviembre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	0	743	0	0
Noviembre 2017	201711	Noviembre	2017	22	Huesca	4	Servicios	Mujeres	Temporal	1	1503	79104	52,6307385229540918163672654690618762475
Noviembre 2017	201711	Noviembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	0	124	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Hombres	Temporal	1	31	3123	100,741935483870967741935483870967741935
Noviembre 2017	201711	Noviembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	0	15	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	1	Agricultura, ganadería y pesca	Mujeres	Temporal	1	14	1911	136,5
Noviembre 2017	201711	Noviembre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	0	156	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	2	Industria y energía	Hombres	Temporal	1	907	32290	35,60088202866593164277839029768467475193
Noviembre 2017	201711	Noviembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	0	48	0	0
Noviembre 2017	201711	Noviembre	2017	44	Teruel	2	Industria y energía	Mujeres	Temporal	1	192	4097	21,33854166666666666666666666666666666667
Noviembre 2017	201711	Noviembre	2017	44	Teruel	3	Construcción	Hombres	Temporal	0	137	0	0
