Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
44153	Monreal del Campo	73	g) >= 90%  de la SAU en propiedad
44154	Monroyo	4	a) No hay SAU
44154	Monroyo	3	b) < 10% de la SAU en propiedad
44154	Monroyo	6	c) >=10% a < 25%  de la SAU en propiedad
44154	Monroyo	2	d) >=25% a < 50%  de la SAU en propiedad
44154	Monroyo	8	e) >=50% a < 75%  de la SAU en propiedad
44154	Monroyo	4	f) >= 75% a < 90%  de la SAU en propiedad
44154	Monroyo	45	g) >= 90%  de la SAU en propiedad
44155	Montalbán	3	a) No hay SAU
44155	Montalbán	3	b) < 10% de la SAU en propiedad
44155	Montalbán	2	c) >=10% a < 25%  de la SAU en propiedad
44155	Montalbán	7	g) >= 90%  de la SAU en propiedad
44156	Monteagudo del Castillo	3	b) < 10% de la SAU en propiedad
44156	Monteagudo del Castillo	2	c) >=10% a < 25%  de la SAU en propiedad
44156	Monteagudo del Castillo	3	e) >=50% a < 75%  de la SAU en propiedad
44156	Monteagudo del Castillo	10	g) >= 90%  de la SAU en propiedad
44157	Monterde de Albarracín	2	b) < 10% de la SAU en propiedad
44157	Monterde de Albarracín	1	c) >=10% a < 25%  de la SAU en propiedad
44157	Monterde de Albarracín	3	d) >=25% a < 50%  de la SAU en propiedad
44157	Monterde de Albarracín	3	g) >= 90%  de la SAU en propiedad
44158	Mora de Rubielos	1	a) No hay SAU
44158	Mora de Rubielos	14	b) < 10% de la SAU en propiedad
44158	Mora de Rubielos	3	c) >=10% a < 25%  de la SAU en propiedad
44158	Mora de Rubielos	4	d) >=25% a < 50%  de la SAU en propiedad
44158	Mora de Rubielos	2	e) >=50% a < 75%  de la SAU en propiedad
44158	Mora de Rubielos	1	f) >= 75% a < 90%  de la SAU en propiedad
44158	Mora de Rubielos	51	g) >= 90%  de la SAU en propiedad
44159	Moscardón	4	b) < 10% de la SAU en propiedad
44159	Moscardón	1	c) >=10% a < 25%  de la SAU en propiedad
44159	Moscardón	1	d) >=25% a < 50%  de la SAU en propiedad
44159	Moscardón	1	e) >=50% a < 75%  de la SAU en propiedad
44159	Moscardón	1	g) >= 90%  de la SAU en propiedad
44160	Mosqueruela	7	a) No hay SAU
44160	Mosqueruela	18	b) < 10% de la SAU en propiedad
44160	Mosqueruela	7	c) >=10% a < 25%  de la SAU en propiedad
44160	Mosqueruela	4	d) >=25% a < 50%  de la SAU en propiedad
44160	Mosqueruela	2	e) >=50% a < 75%  de la SAU en propiedad
44160	Mosqueruela	2	f) >= 75% a < 90%  de la SAU en propiedad
44160	Mosqueruela	37	g) >= 90%  de la SAU en propiedad
44161	Muniesa	16	b) < 10% de la SAU en propiedad
44161	Muniesa	12	c) >=10% a < 25%  de la SAU en propiedad
44161	Muniesa	10	d) >=25% a < 50%  de la SAU en propiedad
44161	Muniesa	10	e) >=50% a < 75%  de la SAU en propiedad
44161	Muniesa	2	f) >= 75% a < 90%  de la SAU en propiedad
44161	Muniesa	82	g) >= 90%  de la SAU en propiedad
44163	Noguera de Albarracín	2	b) < 10% de la SAU en propiedad
44163	Noguera de Albarracín	2	g) >= 90%  de la SAU en propiedad
44164	Nogueras	2	b) < 10% de la SAU en propiedad
44164	Nogueras	1	c) >=10% a < 25%  de la SAU en propiedad
44164	Nogueras	1	d) >=25% a < 50%  de la SAU en propiedad
44164	Nogueras	2	e) >=50% a < 75%  de la SAU en propiedad
44164	Nogueras	1	f) >= 75% a < 90%  de la SAU en propiedad
44164	Nogueras	8	g) >= 90%  de la SAU en propiedad
44165	Nogueruelas	1	a) No hay SAU
44165	Nogueruelas	5	b) < 10% de la SAU en propiedad
44165	Nogueruelas	1	c) >=10% a < 25%  de la SAU en propiedad
44165	Nogueruelas	2	e) >=50% a < 75%  de la SAU en propiedad
44165	Nogueruelas	5	g) >= 90%  de la SAU en propiedad
44167	Obón	2	b) < 10% de la SAU en propiedad
44167	Obón	12	g) >= 90%  de la SAU en propiedad
44168	Odón	2	a) No hay SAU
44168	Odón	11	b) < 10% de la SAU en propiedad
44168	Odón	4	c) >=10% a < 25%  de la SAU en propiedad
44168	Odón	5	d) >=25% a < 50%  de la SAU en propiedad
44168	Odón	17	e) >=50% a < 75%  de la SAU en propiedad
44168	Odón	11	f) >= 75% a < 90%  de la SAU en propiedad
44168	Odón	20	g) >= 90%  de la SAU en propiedad
44169	Ojos Negros	4	a) No hay SAU
44169	Ojos Negros	19	b) < 10% de la SAU en propiedad
44169	Ojos Negros	6	c) >=10% a < 25%  de la SAU en propiedad
44169	Ojos Negros	10	d) >=25% a < 50%  de la SAU en propiedad
44169	Ojos Negros	7	e) >=50% a < 75%  de la SAU en propiedad
44169	Ojos Negros	1	f) >= 75% a < 90%  de la SAU en propiedad
44169	Ojos Negros	16	g) >= 90%  de la SAU en propiedad
44171	Olba	1	e) >=50% a < 75%  de la SAU en propiedad
44171	Olba	7	g) >= 90%  de la SAU en propiedad
44172	Oliete	7	b) < 10% de la SAU en propiedad
44172	Oliete	2	c) >=10% a < 25%  de la SAU en propiedad
44172	Oliete	4	d) >=25% a < 50%  de la SAU en propiedad
44172	Oliete	3	e) >=50% a < 75%  de la SAU en propiedad
44172	Oliete	3	f) >= 75% a < 90%  de la SAU en propiedad
44172	Oliete	74	g) >= 90%  de la SAU en propiedad
44173	Olmos (Los)	3	b) < 10% de la SAU en propiedad
44173	Olmos (Los)	1	c) >=10% a < 25%  de la SAU en propiedad
44173	Olmos (Los)	3	d) >=25% a < 50%  de la SAU en propiedad
44173	Olmos (Los)	4	e) >=50% a < 75%  de la SAU en propiedad
44173	Olmos (Los)	3	f) >= 75% a < 90%  de la SAU en propiedad
44173	Olmos (Los)	34	g) >= 90%  de la SAU en propiedad
44174	Orihuela del Tremedal	5	b) < 10% de la SAU en propiedad
44174	Orihuela del Tremedal	10	c) >=10% a < 25%  de la SAU en propiedad
44174	Orihuela del Tremedal	1	e) >=50% a < 75%  de la SAU en propiedad
44174	Orihuela del Tremedal	5	g) >= 90%  de la SAU en propiedad
44175	Orrios	11	b) < 10% de la SAU en propiedad
44175	Orrios	2	c) >=10% a < 25%  de la SAU en propiedad
44175	Orrios	5	d) >=25% a < 50%  de la SAU en propiedad
44175	Orrios	8	e) >=50% a < 75%  de la SAU en propiedad
44175	Orrios	1	f) >= 75% a < 90%  de la SAU en propiedad
44175	Orrios	21	g) >= 90%  de la SAU en propiedad
44176	Palomar de Arroyos	2	a) No hay SAU
44176	Palomar de Arroyos	6	b) < 10% de la SAU en propiedad
44176	Palomar de Arroyos	1	c) >=10% a < 25%  de la SAU en propiedad
44176	Palomar de Arroyos	1	d) >=25% a < 50%  de la SAU en propiedad
44176	Palomar de Arroyos	1	e) >=50% a < 75%  de la SAU en propiedad
44176	Palomar de Arroyos	1	f) >= 75% a < 90%  de la SAU en propiedad
44176	Palomar de Arroyos	5	g) >= 90%  de la SAU en propiedad
44177	Pancrudo	1	a) No hay SAU
44177	Pancrudo	6	b) < 10% de la SAU en propiedad
44177	Pancrudo	7	c) >=10% a < 25%  de la SAU en propiedad
44177	Pancrudo	2	d) >=25% a < 50%  de la SAU en propiedad
44177	Pancrudo	7	e) >=50% a < 75%  de la SAU en propiedad
44177	Pancrudo	3	f) >= 75% a < 90%  de la SAU en propiedad
44177	Pancrudo	22	g) >= 90%  de la SAU en propiedad
44178	Parras de Castellote (Las)	1	a) No hay SAU
44178	Parras de Castellote (Las)	1	b) < 10% de la SAU en propiedad
44178	Parras de Castellote (Las)	3	d) >=25% a < 50%  de la SAU en propiedad
44178	Parras de Castellote (Las)	2	e) >=50% a < 75%  de la SAU en propiedad
44178	Parras de Castellote (Las)	1	f) >= 75% a < 90%  de la SAU en propiedad
44178	Parras de Castellote (Las)	13	g) >= 90%  de la SAU en propiedad
44179	Peñarroya de Tastavins	12	a) No hay SAU
44179	Peñarroya de Tastavins	14	b) < 10% de la SAU en propiedad
44179	Peñarroya de Tastavins	1	c) >=10% a < 25%  de la SAU en propiedad
44179	Peñarroya de Tastavins	2	d) >=25% a < 50%  de la SAU en propiedad
44179	Peñarroya de Tastavins	6	e) >=50% a < 75%  de la SAU en propiedad
44179	Peñarroya de Tastavins	5	f) >= 75% a < 90%  de la SAU en propiedad
44179	Peñarroya de Tastavins	44	g) >= 90%  de la SAU en propiedad
44180	Peracense	2	a) No hay SAU
44180	Peracense	3	b) < 10% de la SAU en propiedad
44180	Peracense	2	d) >=25% a < 50%  de la SAU en propiedad
44180	Peracense	2	e) >=50% a < 75%  de la SAU en propiedad
44180	Peracense	6	g) >= 90%  de la SAU en propiedad
44181	Peralejos	4	b) < 10% de la SAU en propiedad
44181	Peralejos	3	c) >=10% a < 25%  de la SAU en propiedad
44181	Peralejos	2	d) >=25% a < 50%  de la SAU en propiedad
44181	Peralejos	1	f) >= 75% a < 90%  de la SAU en propiedad
44181	Peralejos	6	g) >= 90%  de la SAU en propiedad
44182	Perales del Alfambra	1	a) No hay SAU
44182	Perales del Alfambra	18	b) < 10% de la SAU en propiedad
44182	Perales del Alfambra	5	c) >=10% a < 25%  de la SAU en propiedad
44182	Perales del Alfambra	11	d) >=25% a < 50%  de la SAU en propiedad
44182	Perales del Alfambra	11	e) >=50% a < 75%  de la SAU en propiedad
44182	Perales del Alfambra	3	f) >= 75% a < 90%  de la SAU en propiedad
44182	Perales del Alfambra	9	g) >= 90%  de la SAU en propiedad
44183	Pitarque	1	b) < 10% de la SAU en propiedad
44183	Pitarque	1	c) >=10% a < 25%  de la SAU en propiedad
44183	Pitarque	3	d) >=25% a < 50%  de la SAU en propiedad
44183	Pitarque	8	g) >= 90%  de la SAU en propiedad
44184	Plou	1	c) >=10% a < 25%  de la SAU en propiedad
44184	Plou	1	f) >= 75% a < 90%  de la SAU en propiedad
44184	Plou	7	g) >= 90%  de la SAU en propiedad
44185	Pobo (El)	2	a) No hay SAU
44185	Pobo (El)	5	b) < 10% de la SAU en propiedad
44185	Pobo (El)	1	c) >=10% a < 25%  de la SAU en propiedad
44185	Pobo (El)	3	d) >=25% a < 50%  de la SAU en propiedad
44185	Pobo (El)	4	e) >=50% a < 75%  de la SAU en propiedad
44185	Pobo (El)	3	f) >= 75% a < 90%  de la SAU en propiedad
44185	Pobo (El)	16	g) >= 90%  de la SAU en propiedad
44187	Portellada (La)	5	a) No hay SAU
44187	Portellada (La)	4	b) < 10% de la SAU en propiedad
44187	Portellada (La)	1	d) >=25% a < 50%  de la SAU en propiedad
44187	Portellada (La)	4	e) >=50% a < 75%  de la SAU en propiedad
44187	Portellada (La)	1	f) >= 75% a < 90%  de la SAU en propiedad
44187	Portellada (La)	46	g) >= 90%  de la SAU en propiedad
44189	Pozondón	5	b) < 10% de la SAU en propiedad
44189	Pozondón	2	c) >=10% a < 25%  de la SAU en propiedad
44189	Pozondón	5	d) >=25% a < 50%  de la SAU en propiedad
44189	Pozondón	1	e) >=50% a < 75%  de la SAU en propiedad
44189	Pozondón	1	f) >= 75% a < 90%  de la SAU en propiedad
44189	Pozondón	4	g) >= 90%  de la SAU en propiedad
44190	Pozuel del Campo	4	b) < 10% de la SAU en propiedad
44190	Pozuel del Campo	1	c) >=10% a < 25%  de la SAU en propiedad
44190	Pozuel del Campo	2	d) >=25% a < 50%  de la SAU en propiedad
44190	Pozuel del Campo	2	e) >=50% a < 75%  de la SAU en propiedad
44190	Pozuel del Campo	8	g) >= 90%  de la SAU en propiedad
44191	Puebla de Híjar (La)	10	a) No hay SAU
44191	Puebla de Híjar (La)	16	b) < 10% de la SAU en propiedad
44191	Puebla de Híjar (La)	6	c) >=10% a < 25%  de la SAU en propiedad
44191	Puebla de Híjar (La)	5	d) >=25% a < 50%  de la SAU en propiedad
44191	Puebla de Híjar (La)	8	e) >=50% a < 75%  de la SAU en propiedad
44191	Puebla de Híjar (La)	1	f) >= 75% a < 90%  de la SAU en propiedad
44191	Puebla de Híjar (La)	40	g) >= 90%  de la SAU en propiedad
44192	Puebla de Valverde (La)	1	a) No hay SAU
44192	Puebla de Valverde (La)	17	b) < 10% de la SAU en propiedad
44192	Puebla de Valverde (La)	4	c) >=10% a < 25%  de la SAU en propiedad
44192	Puebla de Valverde (La)	6	d) >=25% a < 50%  de la SAU en propiedad
44192	Puebla de Valverde (La)	6	e) >=50% a < 75%  de la SAU en propiedad
44192	Puebla de Valverde (La)	2	f) >= 75% a < 90%  de la SAU en propiedad
44192	Puebla de Valverde (La)	34	g) >= 90%  de la SAU en propiedad
44193	Puertomingalvo	5	b) < 10% de la SAU en propiedad
44193	Puertomingalvo	2	c) >=10% a < 25%  de la SAU en propiedad
44193	Puertomingalvo	22	g) >= 90%  de la SAU en propiedad
44194	Ráfales	1	a) No hay SAU
44194	Ráfales	1	b) < 10% de la SAU en propiedad
44194	Ráfales	3	c) >=10% a < 25%  de la SAU en propiedad
44194	Ráfales	2	e) >=50% a < 75%  de la SAU en propiedad
44194	Ráfales	5	f) >= 75% a < 90%  de la SAU en propiedad
44194	Ráfales	42	g) >= 90%  de la SAU en propiedad
44195	Rillo	2	a) No hay SAU
44195	Rillo	3	b) < 10% de la SAU en propiedad
44195	Rillo	2	c) >=10% a < 25%  de la SAU en propiedad
44195	Rillo	7	e) >=50% a < 75%  de la SAU en propiedad
44195	Rillo	1	f) >= 75% a < 90%  de la SAU en propiedad
44195	Rillo	3	g) >= 90%  de la SAU en propiedad
44196	Riodeva	1	d) >=25% a < 50%  de la SAU en propiedad
44196	Riodeva	1	e) >=50% a < 75%  de la SAU en propiedad
44196	Riodeva	24	g) >= 90%  de la SAU en propiedad
44197	Ródenas	1	b) < 10% de la SAU en propiedad
44197	Ródenas	2	c) >=10% a < 25%  de la SAU en propiedad
44197	Ródenas	5	d) >=25% a < 50%  de la SAU en propiedad
44197	Ródenas	2	e) >=50% a < 75%  de la SAU en propiedad
44197	Ródenas	3	g) >= 90%  de la SAU en propiedad
44198	Royuela	5	b) < 10% de la SAU en propiedad
44198	Royuela	1	d) >=25% a < 50%  de la SAU en propiedad
44198	Royuela	11	g) >= 90%  de la SAU en propiedad
44199	Rubiales	1	c) >=10% a < 25%  de la SAU en propiedad
44199	Rubiales	1	e) >=50% a < 75%  de la SAU en propiedad
44199	Rubiales	2	g) >= 90%  de la SAU en propiedad
44200	Rubielos de la Cérida	2	b) < 10% de la SAU en propiedad
44200	Rubielos de la Cérida	1	d) >=25% a < 50%  de la SAU en propiedad
44200	Rubielos de la Cérida	7	e) >=50% a < 75%  de la SAU en propiedad
44200	Rubielos de la Cérida	14	g) >= 90%  de la SAU en propiedad
44201	Rubielos de Mora	1	a) No hay SAU
44201	Rubielos de Mora	8	b) < 10% de la SAU en propiedad
44201	Rubielos de Mora	1	c) >=10% a < 25%  de la SAU en propiedad
44201	Rubielos de Mora	2	f) >= 75% a < 90%  de la SAU en propiedad
44201	Rubielos de Mora	15	g) >= 90%  de la SAU en propiedad
44203	Salcedillo	1	e) >=50% a < 75%  de la SAU en propiedad
44203	Salcedillo	2	g) >= 90%  de la SAU en propiedad
44204	Saldón	1	b) < 10% de la SAU en propiedad
44204	Saldón	1	f) >= 75% a < 90%  de la SAU en propiedad
44204	Saldón	4	g) >= 90%  de la SAU en propiedad
44205	Samper de Calanda	3	a) No hay SAU
44205	Samper de Calanda	17	b) < 10% de la SAU en propiedad
44205	Samper de Calanda	5	c) >=10% a < 25%  de la SAU en propiedad
44205	Samper de Calanda	9	d) >=25% a < 50%  de la SAU en propiedad
44205	Samper de Calanda	12	e) >=50% a < 75%  de la SAU en propiedad
44205	Samper de Calanda	4	f) >= 75% a < 90%  de la SAU en propiedad
44205	Samper de Calanda	52	g) >= 90%  de la SAU en propiedad
44206	San Agustín	4	b) < 10% de la SAU en propiedad
44206	San Agustín	4	d) >=25% a < 50%  de la SAU en propiedad
44206	San Agustín	3	f) >= 75% a < 90%  de la SAU en propiedad
44206	San Agustín	27	g) >= 90%  de la SAU en propiedad
44207	San Martín del Río	2	b) < 10% de la SAU en propiedad
44207	San Martín del Río	1	c) >=10% a < 25%  de la SAU en propiedad
44207	San Martín del Río	2	e) >=50% a < 75%  de la SAU en propiedad
44207	San Martín del Río	75	g) >= 90%  de la SAU en propiedad
44208	Santa Cruz de Nogueras	1	c) >=10% a < 25%  de la SAU en propiedad
44208	Santa Cruz de Nogueras	2	g) >= 90%  de la SAU en propiedad
44209	Santa Eulalia	3	a) No hay SAU
44209	Santa Eulalia	19	b) < 10% de la SAU en propiedad
44209	Santa Eulalia	9	c) >=10% a < 25%  de la SAU en propiedad
44209	Santa Eulalia	4	d) >=25% a < 50%  de la SAU en propiedad
44209	Santa Eulalia	22	e) >=50% a < 75%  de la SAU en propiedad
44209	Santa Eulalia	5	f) >= 75% a < 90%  de la SAU en propiedad
44209	Santa Eulalia	42	g) >= 90%  de la SAU en propiedad
44210	Sarrión	17	b) < 10% de la SAU en propiedad
44210	Sarrión	6	c) >=10% a < 25%  de la SAU en propiedad
44210	Sarrión	5	d) >=25% a < 50%  de la SAU en propiedad
44210	Sarrión	10	e) >=50% a < 75%  de la SAU en propiedad
44210	Sarrión	1	f) >= 75% a < 90%  de la SAU en propiedad
44210	Sarrión	92	g) >= 90%  de la SAU en propiedad
44211	Segura de los Baños	3	b) < 10% de la SAU en propiedad
44211	Segura de los Baños	1	c) >=10% a < 25%  de la SAU en propiedad
44211	Segura de los Baños	5	d) >=25% a < 50%  de la SAU en propiedad
44211	Segura de los Baños	1	e) >=50% a < 75%  de la SAU en propiedad
44211	Segura de los Baños	2	f) >= 75% a < 90%  de la SAU en propiedad
44211	Segura de los Baños	3	g) >= 90%  de la SAU en propiedad
44212	Seno	1	c) >=10% a < 25%  de la SAU en propiedad
44212	Seno	18	g) >= 90%  de la SAU en propiedad
44213	Singra	4	b) < 10% de la SAU en propiedad
44213	Singra	2	c) >=10% a < 25%  de la SAU en propiedad
44213	Singra	5	d) >=25% a < 50%  de la SAU en propiedad
44213	Singra	2	e) >=50% a < 75%  de la SAU en propiedad
44213	Singra	8	g) >= 90%  de la SAU en propiedad
44215	Terriente	1	a) No hay SAU
44215	Terriente	10	b) < 10% de la SAU en propiedad
44215	Terriente	4	c) >=10% a < 25%  de la SAU en propiedad
44215	Terriente	1	e) >=50% a < 75%  de la SAU en propiedad
44215	Terriente	4	f) >= 75% a < 90%  de la SAU en propiedad
44215	Terriente	10	g) >= 90%  de la SAU en propiedad
44216	Teruel	4	a) No hay SAU
44216	Teruel	40	b) < 10% de la SAU en propiedad
44216	Teruel	28	c) >=10% a < 25%  de la SAU en propiedad
44216	Teruel	26	d) >=25% a < 50%  de la SAU en propiedad
44216	Teruel	29	e) >=50% a < 75%  de la SAU en propiedad
44216	Teruel	15	f) >= 75% a < 90%  de la SAU en propiedad
44216	Teruel	131	g) >= 90%  de la SAU en propiedad
44217	Toril y Masegoso	1	b) < 10% de la SAU en propiedad
44217	Toril y Masegoso	2	c) >=10% a < 25%  de la SAU en propiedad
44217	Toril y Masegoso	1	e) >=50% a < 75%  de la SAU en propiedad
44217	Toril y Masegoso	4	g) >= 90%  de la SAU en propiedad
44219	Tornos	4	b) < 10% de la SAU en propiedad
44219	Tornos	6	c) >=10% a < 25%  de la SAU en propiedad
44219	Tornos	10	d) >=25% a < 50%  de la SAU en propiedad
44219	Tornos	10	e) >=50% a < 75%  de la SAU en propiedad
44219	Tornos	9	f) >= 75% a < 90%  de la SAU en propiedad
44219	Tornos	29	g) >= 90%  de la SAU en propiedad
44220	Torralba de los Sisones	1	a) No hay SAU
44220	Torralba de los Sisones	6	b) < 10% de la SAU en propiedad
44220	Torralba de los Sisones	2	c) >=10% a < 25%  de la SAU en propiedad
44220	Torralba de los Sisones	2	d) >=25% a < 50%  de la SAU en propiedad
44220	Torralba de los Sisones	6	e) >=50% a < 75%  de la SAU en propiedad
44220	Torralba de los Sisones	13	f) >= 75% a < 90%  de la SAU en propiedad
44220	Torralba de los Sisones	12	g) >= 90%  de la SAU en propiedad
44221	Torrecilla de Alcañiz	22	b) < 10% de la SAU en propiedad
44221	Torrecilla de Alcañiz	2	c) >=10% a < 25%  de la SAU en propiedad
44221	Torrecilla de Alcañiz	6	d) >=25% a < 50%  de la SAU en propiedad
44221	Torrecilla de Alcañiz	4	e) >=50% a < 75%  de la SAU en propiedad
44221	Torrecilla de Alcañiz	2	f) >= 75% a < 90%  de la SAU en propiedad
44221	Torrecilla de Alcañiz	26	g) >= 90%  de la SAU en propiedad
44222	Torrecilla del Rebollar	2	b) < 10% de la SAU en propiedad
44222	Torrecilla del Rebollar	7	c) >=10% a < 25%  de la SAU en propiedad
44222	Torrecilla del Rebollar	3	d) >=25% a < 50%  de la SAU en propiedad
44222	Torrecilla del Rebollar	4	e) >=50% a < 75%  de la SAU en propiedad
44222	Torrecilla del Rebollar	1	f) >= 75% a < 90%  de la SAU en propiedad
44222	Torrecilla del Rebollar	14	g) >= 90%  de la SAU en propiedad
44223	Torre de Arcas	4	a) No hay SAU
44223	Torre de Arcas	1	b) < 10% de la SAU en propiedad
44223	Torre de Arcas	1	c) >=10% a < 25%  de la SAU en propiedad
44223	Torre de Arcas	1	d) >=25% a < 50%  de la SAU en propiedad
44223	Torre de Arcas	2	e) >=50% a < 75%  de la SAU en propiedad
44223	Torre de Arcas	10	g) >= 90%  de la SAU en propiedad
44224	Torre de las Arcas	1	b) < 10% de la SAU en propiedad
44224	Torre de las Arcas	2	d) >=25% a < 50%  de la SAU en propiedad
44224	Torre de las Arcas	1	e) >=50% a < 75%  de la SAU en propiedad
44224	Torre de las Arcas	8	g) >= 90%  de la SAU en propiedad
44225	Torre del Compte	3	b) < 10% de la SAU en propiedad
44225	Torre del Compte	2	c) >=10% a < 25%  de la SAU en propiedad
44225	Torre del Compte	2	d) >=25% a < 50%  de la SAU en propiedad
44225	Torre del Compte	4	e) >=50% a < 75%  de la SAU en propiedad
44225	Torre del Compte	4	f) >= 75% a < 90%  de la SAU en propiedad
44225	Torre del Compte	21	g) >= 90%  de la SAU en propiedad
44226	Torrelacárcel	6	b) < 10% de la SAU en propiedad
44226	Torrelacárcel	6	c) >=10% a < 25%  de la SAU en propiedad
44226	Torrelacárcel	3	d) >=25% a < 50%  de la SAU en propiedad
44226	Torrelacárcel	6	e) >=50% a < 75%  de la SAU en propiedad
44226	Torrelacárcel	6	f) >= 75% a < 90%  de la SAU en propiedad
44226	Torrelacárcel	30	g) >= 90%  de la SAU en propiedad
44227	Torre los Negros	1	a) No hay SAU
44227	Torre los Negros	6	b) < 10% de la SAU en propiedad
44227	Torre los Negros	2	c) >=10% a < 25%  de la SAU en propiedad
44227	Torre los Negros	1	e) >=50% a < 75%  de la SAU en propiedad
44227	Torre los Negros	4	g) >= 90%  de la SAU en propiedad
44228	Torremocha de Jiloca	6	b) < 10% de la SAU en propiedad
44228	Torremocha de Jiloca	2	d) >=25% a < 50%  de la SAU en propiedad
44228	Torremocha de Jiloca	4	e) >=50% a < 75%  de la SAU en propiedad
44228	Torremocha de Jiloca	3	f) >= 75% a < 90%  de la SAU en propiedad
44228	Torremocha de Jiloca	12	g) >= 90%  de la SAU en propiedad
44229	Torres de Albarracín	2	b) < 10% de la SAU en propiedad
44229	Torres de Albarracín	2	c) >=10% a < 25%  de la SAU en propiedad
44229	Torres de Albarracín	1	e) >=50% a < 75%  de la SAU en propiedad
44229	Torres de Albarracín	2	f) >= 75% a < 90%  de la SAU en propiedad
44229	Torres de Albarracín	2	g) >= 90%  de la SAU en propiedad
44230	Torrevelilla	4	a) No hay SAU
44230	Torrevelilla	7	b) < 10% de la SAU en propiedad
44230	Torrevelilla	3	c) >=10% a < 25%  de la SAU en propiedad
44230	Torrevelilla	1	e) >=50% a < 75%  de la SAU en propiedad
44230	Torrevelilla	2	f) >= 75% a < 90%  de la SAU en propiedad
44230	Torrevelilla	28	g) >= 90%  de la SAU en propiedad
44231	Torrijas	1	d) >=25% a < 50%  de la SAU en propiedad
44231	Torrijas	4	g) >= 90%  de la SAU en propiedad
44232	Torrijo del Campo	8	a) No hay SAU
44232	Torrijo del Campo	12	b) < 10% de la SAU en propiedad
44232	Torrijo del Campo	2	c) >=10% a < 25%  de la SAU en propiedad
44232	Torrijo del Campo	13	d) >=25% a < 50%  de la SAU en propiedad
44232	Torrijo del Campo	13	e) >=50% a < 75%  de la SAU en propiedad
44232	Torrijo del Campo	2	f) >= 75% a < 90%  de la SAU en propiedad
44232	Torrijo del Campo	29	g) >= 90%  de la SAU en propiedad
44234	Tramacastiel	1	d) >=25% a < 50%  de la SAU en propiedad
44234	Tramacastiel	19	g) >= 90%  de la SAU en propiedad
44235	Tramacastilla	3	b) < 10% de la SAU en propiedad
44235	Tramacastilla	1	c) >=10% a < 25%  de la SAU en propiedad
44235	Tramacastilla	3	g) >= 90%  de la SAU en propiedad
44236	Tronchón	1	a) No hay SAU
44236	Tronchón	5	b) < 10% de la SAU en propiedad
44236	Tronchón	1	c) >=10% a < 25%  de la SAU en propiedad
44236	Tronchón	1	d) >=25% a < 50%  de la SAU en propiedad
44236	Tronchón	1	e) >=50% a < 75%  de la SAU en propiedad
44236	Tronchón	1	f) >= 75% a < 90%  de la SAU en propiedad
44236	Tronchón	12	g) >= 90%  de la SAU en propiedad
44237	Urrea de Gaén	24	a) No hay SAU
44237	Urrea de Gaén	10	b) < 10% de la SAU en propiedad
44237	Urrea de Gaén	4	c) >=10% a < 25%  de la SAU en propiedad
44237	Urrea de Gaén	3	d) >=25% a < 50%  de la SAU en propiedad
44237	Urrea de Gaén	8	e) >=50% a < 75%  de la SAU en propiedad
44237	Urrea de Gaén	3	f) >= 75% a < 90%  de la SAU en propiedad
44237	Urrea de Gaén	29	g) >= 90%  de la SAU en propiedad
44238	Utrillas	1	a) No hay SAU
44238	Utrillas	1	b) < 10% de la SAU en propiedad
44238	Utrillas	1	d) >=25% a < 50%  de la SAU en propiedad
44238	Utrillas	4	e) >=50% a < 75%  de la SAU en propiedad
44238	Utrillas	6	g) >= 90%  de la SAU en propiedad
44239	Valacloche	1	b) < 10% de la SAU en propiedad
44239	Valacloche	1	c) >=10% a < 25%  de la SAU en propiedad
44239	Valacloche	7	g) >= 90%  de la SAU en propiedad
44240	Valbona	5	b) < 10% de la SAU en propiedad
44240	Valbona	1	c) >=10% a < 25%  de la SAU en propiedad
44240	Valbona	1	f) >= 75% a < 90%  de la SAU en propiedad
44240	Valbona	13	g) >= 90%  de la SAU en propiedad
44241	Valdealgorfa	3	a) No hay SAU
44241	Valdealgorfa	6	b) < 10% de la SAU en propiedad
44241	Valdealgorfa	1	c) >=10% a < 25%  de la SAU en propiedad
44241	Valdealgorfa	2	d) >=25% a < 50%  de la SAU en propiedad
44241	Valdealgorfa	9	e) >=50% a < 75%  de la SAU en propiedad
44241	Valdealgorfa	9	f) >= 75% a < 90%  de la SAU en propiedad
44241	Valdealgorfa	101	g) >= 90%  de la SAU en propiedad
44243	Valdecuenca	2	b) < 10% de la SAU en propiedad
44243	Valdecuenca	1	f) >= 75% a < 90%  de la SAU en propiedad
44243	Valdecuenca	1	g) >= 90%  de la SAU en propiedad
44244	Valdelinares	3	b) < 10% de la SAU en propiedad
44244	Valdelinares	1	e) >=50% a < 75%  de la SAU en propiedad
44244	Valdelinares	1	f) >= 75% a < 90%  de la SAU en propiedad
44244	Valdelinares	6	g) >= 90%  de la SAU en propiedad
44245	Valdeltormo	2	a) No hay SAU
44245	Valdeltormo	1	b) < 10% de la SAU en propiedad
44245	Valdeltormo	1	c) >=10% a < 25%  de la SAU en propiedad
44245	Valdeltormo	2	e) >=50% a < 75%  de la SAU en propiedad
44245	Valdeltormo	4	f) >= 75% a < 90%  de la SAU en propiedad
44245	Valdeltormo	25	g) >= 90%  de la SAU en propiedad
44246	Valderrobres	14	a) No hay SAU
