Municipio código	Municipio nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
22022	Almunia de San Juan	17	b) < 10% de la SAU en propiedad
22022	Almunia de San Juan	3	c) >=10% a < 25%  de la SAU en propiedad
22022	Almunia de San Juan	3	d) >=25% a < 50%  de la SAU en propiedad
22022	Almunia de San Juan	2	e) >=50% a < 75%  de la SAU en propiedad
22022	Almunia de San Juan	1	f) >= 75% a < 90%  de la SAU en propiedad
22022	Almunia de San Juan	51	g) >= 90%  de la SAU en propiedad
22023	Almuniente	4	a) No hay SAU
22023	Almuniente	11	b) < 10% de la SAU en propiedad
22023	Almuniente	1	c) >=10% a < 25%  de la SAU en propiedad
22023	Almuniente	6	d) >=25% a < 50%  de la SAU en propiedad
22023	Almuniente	10	e) >=50% a < 75%  de la SAU en propiedad
22023	Almuniente	3	f) >= 75% a < 90%  de la SAU en propiedad
22023	Almuniente	72	g) >= 90%  de la SAU en propiedad
22024	Alquézar	1	a) No hay SAU
22024	Alquézar	6	b) < 10% de la SAU en propiedad
22024	Alquézar	2	d) >=25% a < 50%  de la SAU en propiedad
22024	Alquézar	3	e) >=50% a < 75%  de la SAU en propiedad
22024	Alquézar	2	f) >= 75% a < 90%  de la SAU en propiedad
22024	Alquézar	41	g) >= 90%  de la SAU en propiedad
22025	Altorricón	14	a) No hay SAU
22025	Altorricón	27	b) < 10% de la SAU en propiedad
22025	Altorricón	10	c) >=10% a < 25%  de la SAU en propiedad
22025	Altorricón	15	d) >=25% a < 50%  de la SAU en propiedad
22025	Altorricón	14	e) >=50% a < 75%  de la SAU en propiedad
22025	Altorricón	7	f) >= 75% a < 90%  de la SAU en propiedad
22025	Altorricón	93	g) >= 90%  de la SAU en propiedad
22027	Angüés	17	b) < 10% de la SAU en propiedad
22027	Angüés	2	c) >=10% a < 25%  de la SAU en propiedad
22027	Angüés	6	d) >=25% a < 50%  de la SAU en propiedad
22027	Angüés	5	e) >=50% a < 75%  de la SAU en propiedad
22027	Angüés	2	f) >= 75% a < 90%  de la SAU en propiedad
22027	Angüés	33	g) >= 90%  de la SAU en propiedad
22028	Ansó	3	a) No hay SAU
22028	Ansó	9	b) < 10% de la SAU en propiedad
22028	Ansó	1	c) >=10% a < 25%  de la SAU en propiedad
22028	Ansó	1	d) >=25% a < 50%  de la SAU en propiedad
22028	Ansó	11	g) >= 90%  de la SAU en propiedad
22029	Antillón	4	b) < 10% de la SAU en propiedad
22029	Antillón	2	c) >=10% a < 25%  de la SAU en propiedad
22029	Antillón	1	d) >=25% a < 50%  de la SAU en propiedad
22029	Antillón	3	e) >=50% a < 75%  de la SAU en propiedad
22029	Antillón	1	f) >= 75% a < 90%  de la SAU en propiedad
22029	Antillón	29	g) >= 90%  de la SAU en propiedad
22032	Aragüés del Puerto	3	b) < 10% de la SAU en propiedad
22032	Aragüés del Puerto	1	c) >=10% a < 25%  de la SAU en propiedad
22032	Aragüés del Puerto	5	g) >= 90%  de la SAU en propiedad
22035	Arén	2	a) No hay SAU
22035	Arén	28	b) < 10% de la SAU en propiedad
22035	Arén	6	c) >=10% a < 25%  de la SAU en propiedad
22035	Arén	4	d) >=25% a < 50%  de la SAU en propiedad
22035	Arén	4	e) >=50% a < 75%  de la SAU en propiedad
22035	Arén	9	f) >= 75% a < 90%  de la SAU en propiedad
22035	Arén	32	g) >= 90%  de la SAU en propiedad
22036	Argavieso	2	a) No hay SAU
22036	Argavieso	2	b) < 10% de la SAU en propiedad
