Mes y año	Mes (código)	Provincia código	Provincia nombre	Sexo	Número de contratos	Temporalidad
Enero 2020	202001	44	Teruel	Hombres	1702	Temporal
Enero 2020	202001	44	Teruel	Mujeres	1286	Temporal
Enero 2020	202001	50	Zaragoza	Hombres	1923	Indefinido
Enero 2020	202001	50	Zaragoza	Mujeres	1520	Indefinido
Enero 2020	202001	50	Zaragoza	Hombres	16822	Temporal
Enero 2020	202001	50	Zaragoza	Mujeres	15180	Temporal
Diciembre 2019	201912	22	Huesca	Hombres	389	Indefinido
Diciembre 2019	201912	22	Huesca	Mujeres	283	Indefinido
Diciembre 2019	201912	22	Huesca	Hombres	3540	Temporal
Diciembre 2019	201912	22	Huesca	Mujeres	3395	Temporal
Diciembre 2019	201912	44	Teruel	Hombres	197	Indefinido
Diciembre 2019	201912	44	Teruel	Mujeres	138	Indefinido
Diciembre 2019	201912	44	Teruel	Hombres	1702	Temporal
Diciembre 2019	201912	44	Teruel	Mujeres	1396	Temporal
Diciembre 2019	201912	50	Zaragoza	Hombres	1241	Indefinido
Diciembre 2019	201912	50	Zaragoza	Mujeres	1165	Indefinido
Diciembre 2019	201912	50	Zaragoza	Hombres	14690	Temporal
Diciembre 2019	201912	50	Zaragoza	Mujeres	14747	Temporal
Noviembre 2019	201911	22	Huesca	Hombres	527	Indefinido
Noviembre 2019	201911	22	Huesca	Mujeres	375	Indefinido
Noviembre 2019	201911	22	Huesca	Hombres	3332	Temporal
Noviembre 2019	201911	22	Huesca	Mujeres	2689	Temporal
Noviembre 2019	201911	44	Teruel	Hombres	235	Indefinido
Noviembre 2019	201911	44	Teruel	Mujeres	166	Indefinido
Noviembre 2019	201911	44	Teruel	Hombres	1939	Temporal
Noviembre 2019	201911	44	Teruel	Mujeres	1437	Temporal
Noviembre 2019	201911	50	Zaragoza	Hombres	1643	Indefinido
Noviembre 2019	201911	50	Zaragoza	Mujeres	1418	Indefinido
Noviembre 2019	201911	50	Zaragoza	Hombres	16758	Temporal
Noviembre 2019	201911	50	Zaragoza	Mujeres	16010	Temporal
Octubre 2019	201910	22	Huesca	Hombres	578	Indefinido
Octubre 2019	201910	22	Huesca	Mujeres	427	Indefinido
Octubre 2019	201910	22	Huesca	Hombres	3829	Temporal
Octubre 2019	201910	22	Huesca	Mujeres	3432	Temporal
Octubre 2019	201910	44	Teruel	Hombres	295	Indefinido
Octubre 2019	201910	44	Teruel	Mujeres	223	Indefinido
Octubre 2019	201910	44	Teruel	Hombres	2409	Temporal
Octubre 2019	201910	44	Teruel	Mujeres	1994	Temporal
Octubre 2019	201910	50	Zaragoza	Hombres	2341	Indefinido
Octubre 2019	201910	50	Zaragoza	Mujeres	2053	Indefinido
Octubre 2019	201910	50	Zaragoza	Hombres	22451	Temporal
Octubre 2019	201910	50	Zaragoza	Mujeres	20970	Temporal
Septiembre 2019	201909	22	Huesca	Hombres	706	Indefinido
Septiembre 2019	201909	22	Huesca	Mujeres	482	Indefinido
Septiembre 2019	201909	22	Huesca	Hombres	4123	Temporal
Septiembre 2019	201909	22	Huesca	Mujeres	3485	Temporal
Septiembre 2019	201909	44	Teruel	Hombres	338	Indefinido
Septiembre 2019	201909	44	Teruel	Mujeres	215	Indefinido
Septiembre 2019	201909	44	Teruel	Hombres	2796	Temporal
Septiembre 2019	201909	44	Teruel	Mujeres	2111	Temporal
Septiembre 2019	201909	50	Zaragoza	Hombres	2473	Indefinido
Septiembre 2019	201909	50	Zaragoza	Mujeres	2354	Indefinido
Septiembre 2019	201909	50	Zaragoza	Hombres	22603	Temporal
Septiembre 2019	201909	50	Zaragoza	Mujeres	19384	Temporal
Agosto 2019	201908	22	Huesca	Hombres	346	Indefinido
Agosto 2019	201908	22	Huesca	Mujeres	247	Indefinido
Agosto 2019	201908	22	Huesca	Hombres	5147	Temporal
Agosto 2019	201908	22	Huesca	Mujeres	3438	Temporal
Agosto 2019	201908	44	Teruel	Hombres	186	Indefinido
Agosto 2019	201908	44	Teruel	Mujeres	98	Indefinido
Agosto 2019	201908	44	Teruel	Hombres	1940	Temporal
Agosto 2019	201908	44	Teruel	Mujeres	1790	Temporal
Agosto 2019	201908	50	Zaragoza	Hombres	1381	Indefinido
Agosto 2019	201908	50	Zaragoza	Mujeres	1089	Indefinido
Agosto 2019	201908	50	Zaragoza	Hombres	17556	Temporal
Agosto 2019	201908	50	Zaragoza	Mujeres	13647	Temporal
Julio 2019	201907	22	Huesca	Hombres	542	Indefinido
Julio 2019	201907	22	Huesca	Mujeres	402	Indefinido
Julio 2019	201907	22	Huesca	Hombres	7349	Temporal
Julio 2019	201907	22	Huesca	Mujeres	5629	Temporal
Julio 2019	201907	44	Teruel	Hombres	262	Indefinido
Julio 2019	201907	44	Teruel	Mujeres	166	Indefinido
Julio 2019	201907	44	Teruel	Hombres	3078	Temporal
Julio 2019	201907	44	Teruel	Mujeres	2275	Temporal
Julio 2019	201907	50	Zaragoza	Hombres	1827	Indefinido
Julio 2019	201907	50	Zaragoza	Mujeres	1241	Indefinido
Julio 2019	201907	50	Zaragoza	Hombres	23096	Temporal
Julio 2019	201907	50	Zaragoza	Mujeres	19098	Temporal
Junio 2019	201906	22	Huesca	Hombres	702	Indefinido
Junio 2019	201906	22	Huesca	Mujeres	480	Indefinido
Junio 2019	201906	22	Huesca	Hombres	6278	Temporal
Junio 2019	201906	22	Huesca	Mujeres	4627	Temporal
Junio 2019	201906	44	Teruel	Hombres	276	Indefinido
