Municipio código	Municipio nombre	REGTENEN ORDEN	Régimen de tenencia (agregado)	Régimen de tenencia (detalle)	Número hogares
44197	Ródenas		Otra forma	Otra forma	1
44198	Royuela		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
44198	Royuela		Otra forma	Otra forma	1
44199	Rubiales		Otra forma	Otra forma	2
44200	Rubielos de la Cérida		Otra forma	Otra forma	1
44201	Rubielos de Mora		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
44201	Rubielos de Mora		Otra forma	Otra forma	30
44203	Salcedillo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44205	Samper de Calanda		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	22
44205	Samper de Calanda		Otra forma	Otra forma	8
44206	San Agustín		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44206	San Agustín		Otra forma	Otra forma	1
44207	San Martín del Río		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44207	San Martín del Río		Otra forma	Otra forma	14
44209	Santa Eulalia		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
44209	Santa Eulalia		Otra forma	Otra forma	60
44210	Sarrión		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	24
44210	Sarrión		Otra forma	Otra forma	30
44212	Seno		Otra forma	Otra forma	2
44213	Singra		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44215	Terriente		Otra forma	Otra forma	2
44216	Teruel		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	377
44216	Teruel		Otra forma	Otra forma	245
44219	Tornos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
44219	Tornos		Otra forma	Otra forma	2
44220	Torralba de los Sisones		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
44220	Torralba de los Sisones		Otra forma	Otra forma	5
44221	Torrecilla de Alcañiz		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44221	Torrecilla de Alcañiz		Otra forma	Otra forma	6
44222	Torrecilla del Rebollar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44224	Torre de las Arcas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
44225	Torre del Compte		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44226	Torrelacárcel		Otra forma	Otra forma	42
44228	Torremocha de Jiloca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44228	Torremocha de Jiloca		Otra forma	Otra forma	8
44229	Torres de Albarracín		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
44229	Torres de Albarracín		Otra forma	Otra forma	2
44230	Torrevelilla		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
44230	Torrevelilla		Otra forma	Otra forma	2
44231	Torrijas		Otra forma	Otra forma	2
44232	Torrijo del Campo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
44232	Torrijo del Campo		Otra forma	Otra forma	17
44234	Tramacastiel		Otra forma	Otra forma	2
44235	Tramacastilla		Otra forma	Otra forma	2
44236	Tronchón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44237	Urrea de Gaén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
44237	Urrea de Gaén		Otra forma	Otra forma	1
44238	Utrillas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
44238	Utrillas		Otra forma	Otra forma	27
44240	Valbona		Otra forma	Otra forma	6
44241	Valdealgorfa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	26
44241	Valdealgorfa		Otra forma	Otra forma	2
44245	Valdeltormo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44246	Valderrobres		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	43
44246	Valderrobres		Otra forma	Otra forma	19
44247	Valjunquera		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44247	Valjunquera		Otra forma	Otra forma	10
44250	Veguillas de la Sierra		Otra forma	Otra forma	1
44251	Villafranca del Campo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
44251	Villafranca del Campo		Otra forma	Otra forma	2
44252	Villahermosa del Campo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
44252	Villahermosa del Campo		Otra forma	Otra forma	1
44257	Villar del Cobo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
44257	Villar del Cobo		Otra forma	Otra forma	3
44260	Villarluengo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
44261	Villarquemado		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	20
44261	Villarquemado		Otra forma	Otra forma	34
44262	Villarroya de los Pinares		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
44262	Villarroya de los Pinares		Otra forma	Otra forma	6
44263	Villastar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	12
44263	Villastar		Otra forma	Otra forma	6
44264	Villel		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
44264	Villel		Otra forma	Otra forma	2
44265	Vinaceite		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
44265	Vinaceite		Otra forma	Otra forma	3
44266	Visiedo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50001	Abanto		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50001	Abanto		Otra forma	Otra forma	1
50002	Acered		Otra forma	Otra forma	2
50003	Agón		Otra forma	Otra forma	2
50004	Aguarón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
50004	Aguarón		Otra forma	Otra forma	11
50005	Aguilón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50005	Aguilón		Otra forma	Otra forma	4
50006	Ainzón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	16
50006	Ainzón		Otra forma	Otra forma	26
50007	Aladrén		Otra forma	Otra forma	4
50008	Alagón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	34
50008	Alagón		Otra forma	Otra forma	40
50009	Alarba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50010	Alberite de San Juan		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50010	Alberite de San Juan		Otra forma	Otra forma	3
50011	Albeta		Otra forma	Otra forma	2
50012	Alborge		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50013	Alcalá de Ebro		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50013	Alcalá de Ebro		Otra forma	Otra forma	5
50015	Alconchel de Ariza		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50017	Alfajarín		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
50017	Alfajarín		Otra forma	Otra forma	53
50018	Alfamén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	17
50018	Alfamén		Otra forma	Otra forma	2
50019	Alforque		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50019	Alforque		Otra forma	Otra forma	1
50020	Alhama de Aragón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
50020	Alhama de Aragón		Otra forma	Otra forma	15
50022	Almolda (La)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50022	Almolda (La)		Otra forma	Otra forma	9
50023	Almonacid de la Cuba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50023	Almonacid de la Cuba		Otra forma	Otra forma	8
50024	Almonacid de la Sierra		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50024	Almonacid de la Sierra		Otra forma	Otra forma	4
50025	Almunia de Doña Godina (La)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	81
50025	Almunia de Doña Godina (La)		Otra forma	Otra forma	83
50026	Alpartir		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
50026	Alpartir		Otra forma	Otra forma	10
50027	Ambel		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50027	Ambel		Otra forma	Otra forma	25
50028	Anento		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50028	Anento		Otra forma	Otra forma	3
50029	Aniñón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	11
50031	Aranda de Moncayo		Otra forma	Otra forma	7
50032	Arándiga		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
50032	Arándiga		Otra forma	Otra forma	1
50033	Ardisa		Otra forma	Otra forma	1
50034	Ariza		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
50034	Ariza		Otra forma	Otra forma	5
50035	Artieda		Otra forma	Otra forma	2
50036	Asín		Otra forma	Otra forma	5
50037	Atea		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50037	Atea		Otra forma	Otra forma	4
50038	Ateca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	28
50038	Ateca		Otra forma	Otra forma	21
50039	Azuara		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
50039	Azuara		Otra forma	Otra forma	5
50040	Badules		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50040	Badules		Otra forma	Otra forma	3
50041	Bagüés		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50041	Bagüés		Otra forma	Otra forma	1
50043	Bárboles		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
50043	Bárboles		Otra forma	Otra forma	4
50044	Bardallur		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
50044	Bardallur		Otra forma	Otra forma	5
50045	Belchite		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
50045	Belchite		Otra forma	Otra forma	27
50046	Belmonte de Gracián		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
50046	Belmonte de Gracián		Otra forma	Otra forma	6
50048	Berrueco		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50050	Bijuesca		Otra forma	Otra forma	1
50051	Biota		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	12
50051	Biota		Otra forma	Otra forma	18
50052	Bisimbre		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50052	Bisimbre		Otra forma	Otra forma	4
50053	Boquiñeni		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	19
50053	Boquiñeni		Otra forma	Otra forma	10
50054	Bordalba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50055	Borja		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	43
50055	Borja		Otra forma	Otra forma	15
50056	Botorrita		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
50056	Botorrita		Otra forma	Otra forma	15
50057	Brea de Aragón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	15
50057	Brea de Aragón		Otra forma	Otra forma	23
50058	Bubierca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50058	Bubierca		Otra forma	Otra forma	2
50059	Bujaraloz		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
50059	Bujaraloz		Otra forma	Otra forma	19
50060	Bulbuente		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50060	Bulbuente		Otra forma	Otra forma	15
50061	Bureta		Otra forma	Otra forma	9
50062	Burgo de Ebro (El)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	27
50062	Burgo de Ebro (El)		Otra forma	Otra forma	45
50063	Buste (El)		Otra forma	Otra forma	1
50064	Cabañas de Ebro		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50064	Cabañas de Ebro		Otra forma	Otra forma	24
50065	Cabolafuente		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50066	Cadrete		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	17
50066	Cadrete		Otra forma	Otra forma	46
50067	Calatayud		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	169
50067	Calatayud		Otra forma	Otra forma	105
50068	Calatorao		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	40
50068	Calatorao		Otra forma	Otra forma	56
50069	Calcena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50070	Calmarza		Otra forma	Otra forma	1
50071	Campillo de Aragón		Otra forma	Otra forma	6
50072	Carenas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50073	Cariñena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	24
50073	Cariñena		Otra forma	Otra forma	14
50074	Caspe		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	81
50074	Caspe		Otra forma	Otra forma	115
50076	Castejón de las Armas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
50076	Castejón de las Armas		Otra forma	Otra forma	1
50077	Castejón de Valdejasa		Otra forma	Otra forma	2
50078	Castiliscar		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50078	Castiliscar		Otra forma	Otra forma	17
50079	Cervera de la Cañada		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
50079	Cervera de la Cañada		Otra forma	Otra forma	20
50080	Cerveruela		Otra forma	Otra forma	7
50081	Cetina		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	16
50081	Cetina		Otra forma	Otra forma	2
50082	Cimballa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50085	Codo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50085	Codo		Otra forma	Otra forma	7
50086	Codos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50086	Codos		Otra forma	Otra forma	2
50087	Contamina		Otra forma	Otra forma	2
50088	Cosuenda		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	5
50088	Cosuenda		Otra forma	Otra forma	3
50089	Cuarte de Huerva		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	19
50089	Cuarte de Huerva		Otra forma	Otra forma	10
50091	Cuerlas (Las)		Otra forma	Otra forma	1
50092	Chiprana		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	12
50092	Chiprana		Otra forma	Otra forma	4
50093	Chodes		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50093	Chodes		Otra forma	Otra forma	9
50094	Daroca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	63
50094	Daroca		Otra forma	Otra forma	29
50095	Ejea de los Caballeros		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	169
50095	Ejea de los Caballeros		Otra forma	Otra forma	78
50096	Embid de Ariza		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50098	Encinacorba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50098	Encinacorba		Otra forma	Otra forma	3
50099	Épila		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	46
50099	Épila		Otra forma	Otra forma	45
50100	Erla		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50100	Erla		Otra forma	Otra forma	8
50101	Escatrón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	145
50101	Escatrón		Otra forma	Otra forma	17
50102	Fabara		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	30
50102	Fabara		Otra forma	Otra forma	15
50104	Farlete		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
50104	Farlete		Otra forma	Otra forma	11
50105	Fayón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50105	Fayón		Otra forma	Otra forma	5
50106	Fayos (Los)		Otra forma	Otra forma	9
50107	Figueruelas		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	17
50107	Figueruelas		Otra forma	Otra forma	18
50108	Fombuena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50108	Fombuena		Otra forma	Otra forma	1
50109	Frago (El)		Otra forma	Otra forma	7
50110	Frasno (El)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	7
50110	Frasno (El)		Otra forma	Otra forma	35
50111	Fréscano		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50111	Fréscano		Otra forma	Otra forma	7
50113	Fuendejalón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50114	Fuendetodos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50114	Fuendetodos		Otra forma	Otra forma	2
50115	Fuentes de Ebro		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	87
50115	Fuentes de Ebro		Otra forma	Otra forma	20
50116	Fuentes de Jiloca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50116	Fuentes de Jiloca		Otra forma	Otra forma	4
50117	Gallocanta		Otra forma	Otra forma	3
50118	Gallur		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	31
50118	Gallur		Otra forma	Otra forma	14
50119	Gelsa		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
50119	Gelsa		Otra forma	Otra forma	11
50120	Godojos		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50120	Godojos		Otra forma	Otra forma	1
50121	Gotor		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50121	Gotor		Otra forma	Otra forma	7
50122	Grisel		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50122	Grisel		Otra forma	Otra forma	3
50123	Grisén		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	2
50123	Grisén		Otra forma	Otra forma	28
50124	Herrera de los Navarros		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	10
50124	Herrera de los Navarros		Otra forma	Otra forma	17
50125	Ibdes		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50125	Ibdes		Otra forma	Otra forma	7
50126	Illueca		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	21
50126	Illueca		Otra forma	Otra forma	32
50129	Jaraba		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50129	Jaraba		Otra forma	Otra forma	5
50130	Jarque		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50130	Jarque		Otra forma	Otra forma	9
50131	Jaulín		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50131	Jaulín		Otra forma	Otra forma	7
50132	Joyosa (La)		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	3
50132	Joyosa (La)		Otra forma	Otra forma	10
50134	Langa del Castillo		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50134	Langa del Castillo		Otra forma	Otra forma	9
50135	Layana		Otra forma	Otra forma	8
50136	Lécera		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	18
50136	Lécera		Otra forma	Otra forma	10
50137	Leciñena		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	47
50137	Leciñena		Otra forma	Otra forma	14
50138	Lechón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	1
50138	Lechón		Otra forma	Otra forma	1
50139	Letux		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	8
50140	Litago		Otra forma	Otra forma	2
50143	Longares		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	24
50143	Longares		Otra forma	Otra forma	19
50146	Lucena de Jalón		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	4
50147	Luceni		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	13
50147	Luceni		Otra forma	Otra forma	7
50148	Luesia		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	6
50148	Luesia		Otra forma	Otra forma	30
50149	Luesma		Otra forma	Otra forma	3
50150	Lumpiaque		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	9
50150	Lumpiaque		Otra forma	Otra forma	2
50151	Luna		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	14
50151	Luna		Otra forma	Otra forma	11
50152	Maella		Cedida gratis o a bajo precio por otro hogar, la empresa,¿	Cedida gratis o a bajo precio por otro hogar, la empresa,¿	26
50152	Maella		Otra forma	Otra forma	38
