Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones cuyo titular es persona física	Explotaciones cuyo titular es una sociedad	Explotaciones cuyo titular es una entidad pública	Explotaciones cuyo titular es una cooperativa de producción	Explotaciones con otra condición jurídica	Explotaciones con experiencia práctica exclusiva del titular	Explotaciones con formación universitaria del titular	Explotaciones con formación profesional del titular	Explotaciones con otra formación agrícola del titular
1989	22167	Osso de Cinca	145	139	1	3	1	1	137	1	5	2
1989	22168	Palo	35	32	1	1	0	1	35	0	0	0
1989	22170	Panticosa	65	59	1	3	0	2	61	2	2	0
1989	22172	Peñalba	116	112	2	1	0	1	113	1	1	1
1989	22173	Peñas de Riglos (Las)	99	88	1	4	0	6	96	3	0	0
1989	22174	Peralta de Alcofea	117	114	1	1	0	1	106	2	9	0
1989	22175	Peralta de Calasanz	227	219	2	1	1	4	224	1	1	1
1989	22176	Peraltilla	46	45	0	1	0	0	46	0	0	0
1989	22177	Perarrúa	64	56	4	3	0	1	63	0	1	0
1989	22178	Pertusa	27	25	1	1	0	0	27	0	0	0
1989	22181	Piracés	23	22	0	1	0	0	23	0	0	0
1989	22182	Plan	77	72	0	3	0	2	77	0	0	0
1989	22184	Poleñino	56	53	1	1	0	1	50	2	3	1
1989	22186	Pozán de Vero	93	90	1	2	0	0	90	2	1	0
1989	22187	Puebla de Castro (La)	96	93	1	2	0	0	95	0	1	0
1989	22188	Puente de Montañana	26	23	1	1	0	1	24	1	0	1
1989	22189	Puértolas	67	54	4	2	0	7	66	0	1	0
1989	22190	Pueyo de Araguás (El)	57	49	3	1	0	4	57	0	0	0
1989	22193	Pueyo de Santa Cruz	77	74	0	2	0	1	76	0	0	1
1989	22195	Quicena	12	9	2	0	0	1	12	0	0	0
1989	22197	Robres	117	116	0	1	0	0	115	0	1	1
1989	22199	Sabiñánigo	298	262	3	2	0	31	293	0	5	0
1989	22200	Sahún	59	52	0	3	0	4	59	0	0	0
1989	22201	Salas Altas	128	126	0	1	0	1	128	0	0	0
1989	22202	Salas Bajas	76	74	0	2	0	0	76	0	0	0
1989	22203	Salillas	34	31	1	2	0	0	33	1	0	0
1989	22204	Sallent de Gállego	88	82	1	5	0	0	86	2	0	0
1989	22205	San Esteban de Litera	269	260	6	2	0	1	254	4	10	1
1989	22206	Sangarrén	77	69	2	2	0	4	74	1	1	1
1989	22207	San Juan de Plan	35	32	1	2	0	0	34	1	0	0
1989	22208	Santa Cilia	47	43	0	2	0	2	46	1	0	0
1989	22209	Santa Cruz de la Serós	35	32	0	3	0	0	34	1	0	0
1989	22212	Santaliestra y San Quílez	30	25	4	1	0	0	29	1	0	0
1989	22213	Sariñena	488	475	2	6	0	5	479	4	5	0
1989	22214	Secastilla	63	55	2	4	1	1	59	4	0	0
1989	22215	Seira	39	28	0	6	0	5	39	0	0	0
1989	22217	Sena	146	141	1	3	0	1	115	6	25	0
1989	22218	Senés de Alcubierre	22	20	1	0	0	1	22	0	0	0
1989	22220	Sesa	59	56	0	2	0	1	58	0	1	0
1989	22221	Sesué	19	17	0	0	0	2	19	0	0	0
1989	22222	Siétamo	91	86	2	1	0	2	86	2	1	2
1989	22223	Sopeira	33	29	2	2	0	0	33	0	0	0
1989	22225	Tamarite de Litera	577	561	14	2	0	0	528	9	12	28
1989	22226	Tardienta	216	212	0	2	0	2	211	1	3	1
1989	22227	Tella-Sin	56	49	1	6	0	0	54	1	0	1
1989	22228	Tierz	20	17	0	0	0	3	19	0	1	0
1989	22229	Tolva	77	69	1	2	0	5	73	1	0	3
1989	22230	Torla-Ordesa	55	49	0	6	0	0	54	1	0	0
1989	22232	Torralba de Aragón	46	42	1	1	0	2	43	0	3	0
1989	22233	Torre la Ribera	29	22	4	1	0	2	28	0	0	1
1989	22234	Torrente de Cinca	112	108	1	2	0	1	111	1	0	0
1989	22235	Torres de Alcanadre	29	29	0	0	0	0	28	1	0	0
1989	22236	Torres de Barbués	53	52	0	1	0	0	50	0	2	1
1989	22239	Tramaced	37	33	0	1	0	3	32	0	5	0
1989	22242	Valfarta	33	30	0	1	0	2	32	0	1	0
1989	22243	Valle de Bardají	20	14	0	1	0	5	19	0	0	1
1989	22244	Valle de Lierp	18	13	2	2	0	1	16	1	0	1
1989	22245	Velilla de Cinca	74	71	1	2	0	0	73	1	0	0
1989	22246	Beranuy	35	29	2	2	0	2	34	1	0	0
1989	22247	Viacamp y Litera	30	23	2	2	0	3	27	1	0	2
1989	22248	Vicién	10	8	1	0	0	1	8	1	1	0
1989	22249	Villanova	9	8	0	0	0	1	9	0	0	0
1989	22250	Villanúa	26	23	0	3	0	0	25	1	0	0
1989	22251	Villanueva de Sigena	108	100	3	4	0	1	100	6	2	0
1989	22252	Yebra de Basa	32	24	0	2	0	6	30	1	1	0
1989	22253	Yésero	22	18	0	2	0	2	21	1	0	0
1989	22254	Zaidín	356	348	6	2	0	0	343	4	7	2
1989	22901	Valle de Hecho	191	190	0	1	0	0	189	1	0	1
1989	22902	Puente la Reina de Jaca	72	68	1	2	0	1	71	1	0	0
1989	22903	San Miguel del Cinca	275	268	0	5	0	2	272	2	0	1
1989	22904	Sotonera (La)	410	401	3	2	1	3	402	2	6	0
1989	22905	Lupiñén-Ortilla	109	102	2	1	0	4	103	2	4	0
1989	22906	Santa María de Dulcis	82	80	0	0	0	2	79	2	0	1
1989	22907	Aínsa-Sobrarbe	183	159	4	7	0	13	178	4	1	0
1989	22908	Hoz y Costeán	168	166	0	2	0	0	167	1	0	0
1989	22909	Vencillón	83	82	0	1	0	0	79	0	3	1
1989	44001	Ababuj	32	29	0	3	0	0	30	2	0	0
1989	44002	Abejuela	22	20	0	2	0	0	21	1	0	0
1989	44003	Aguatón	12	11	1	0	0	0	11	1	0	0
1989	44004	Aguaviva	153	151	0	2	0	0	149	2	2	0
1989	44005	Aguilar del Alfambra	34	31	0	3	0	0	33	1	0	0
1989	44006	Alacón	117	113	0	3	0	1	113	2	1	1
1989	44007	Alba	72	68	1	3	0	0	70	2	0	0
1989	44008	Albalate del Arzobispo	366	359	0	7	0	0	358	6	1	1
1989	44009	Albarracín	101	79	5	14	0	3	86	14	0	1
1989	44010	Albentosa	165	158	3	4	0	0	159	4	2	0
1989	44011	Alcaine	32	29	0	3	0	0	30	2	0	0
1989	44012	Alcalá de la Selva	208	181	0	6	1	20	200	7	1	0
1989	44013	Alcañiz	892	868	4	9	1	10	883	8	0	1
1989	44014	Alcorisa	494	484	2	6	0	2	491	3	0	0
1989	44016	Alfambra	164	159	1	4	0	0	161	3	0	0
1989	44017	Aliaga	167	153	1	10	0	3	158	9	0	0
1989	44018	Almohaja	7	5	0	2	0	0	6	1	0	0
1989	44019	Alobras	38	36	0	2	0	0	37	1	0	0
1989	44020	Alpeñés	23	20	0	3	0	0	20	2	1	0
1989	44021	Allepuz	100	94	0	6	0	0	95	5	0	0
1989	44022	Alloza	172	169	0	3	0	0	170	2	0	0
1989	44023	Allueva	6	2	1	3	0	0	4	2	0	0
1989	44024	Anadón	8	6	0	2	0	0	5	2	1	0
1989	44025	Andorra	314	312	0	2	0	0	313	1	0	0
1989	44026	Arcos de las Salinas	52	51	0	1	0	0	51	1	0	0
1989	44027	Arens de Lledó	91	89	0	2	0	0	88	0	0	3
1989	44028	Argente	72	70	0	2	0	0	69	2	1	0
1989	44029	Ariño	189	186	0	3	0	0	187	2	0	0
1989	44031	Azaila	51	50	0	1	0	0	49	1	1	0
1989	44032	Bádenas	13	8	0	5	0	0	9	4	0	0
1989	44033	Báguena	211	207	0	2	0	2	209	1	1	0
1989	44034	Bañón	46	40	0	6	0	0	38	5	3	0
1989	44035	Barrachina	49	46	0	3	0	0	48	1	0	0
1989	44036	Bea	17	12	1	4	0	0	14	3	0	0
1989	44037	Beceite	222	208	0	14	0	0	209	13	0	0
1989	44038	Belmonte de San José	114	112	0	1	0	1	110	4	0	0
1989	44039	Bello	96	94	0	1	0	1	96	0	0	0
1989	44040	Berge	85	84	0	1	0	0	85	0	0	0
1989	44041	Bezas	16	14	0	2	0	0	14	2	0	0
1989	44042	Blancas	51	48	1	2	0	0	48	1	2	0
1989	44043	Blesa	55	50	2	3	0	0	50	2	0	3
1989	44044	Bordón	47	45	0	2	0	0	46	1	0	0
1989	44045	Bronchales	75	73	0	2	0	0	73	1	0	1
1989	44046	Bueña	44	42	2	0	0	0	44	0	0	0
1989	44047	Burbáguena	250	241	0	7	0	2	243	5	0	2
1989	44048	Cabra de Mora	58	46	2	3	1	6	56	2	0	0
1989	44049	Calaceite	360	357	1	2	0	0	321	1	3	35
1989	44050	Calamocha	864	828	5	20	0	11	839	17	5	3
1989	44051	Calanda	402	396	0	2	0	4	398	3	1	0
1989	44052	Calomarde	25	23	0	2	0	0	23	1	0	1
1989	44053	Camañas	46	44	0	2	0	0	45	1	0	0
1989	44054	Camarena de la Sierra	210	208	0	2	0	0	207	3	0	0
1989	44055	Camarillas	70	67	0	3	0	0	68	2	0	0
1989	44056	Caminreal	150	148	0	2	0	0	142	3	3	2
1989	44059	Cantavieja	104	100	0	4	0	0	101	3	0	0
1989	44060	Cañada de Benatanduz	30	26	0	4	0	0	28	2	0	0
1989	44061	Cañada de Verich (La)	66	61	4	1	0	0	66	0	0	0
1989	44062	Cañada Vellida	26	24	0	2	0	0	25	1	0	0
1989	44063	Cañizar del Olivar	61	58	0	2	0	1	59	1	1	0
1989	44064	Cascante del Río	215	212	0	3	0	0	215	0	0	0
1989	44065	Castejón de Tornos	32	28	0	4	0	0	29	2	0	1
1989	44066	Castel de Cabra	50	47	0	2	0	1	49	1	0	0
1989	44067	Castelnou	31	27	1	2	0	1	29	2	0	0
1989	44068	Castelserás	149	147	0	2	0	0	149	0	0	0
1989	44070	Castellar (El)	42	38	0	4	0	0	39	3	0	0
1989	44071	Castellote	415	387	4	19	0	5	396	18	1	0
1989	44074	Cedrillas	152	145	0	6	1	0	147	5	0	0
1989	44075	Celadas	123	121	1	1	0	0	120	1	1	1
1989	44076	Cella	512	501	4	4	0	3	470	3	2	37
1989	44077	Cerollera (La)	56	54	0	2	0	0	56	0	0	0
1989	44080	Codoñera (La)	71	70	0	1	0	0	71	0	0	0
1989	44082	Corbalán	34	33	0	1	0	0	32	1	0	1
1989	44084	Cortes de Aragón	22	20	0	2	0	0	21	1	0	0
1989	44085	Cosa	33	29	0	4	0	0	30	3	0	0
1989	44086	Cretas	266	264	0	2	0	0	260	1	0	5
1989	44087	Crivillén	103	97	1	4	0	1	102	1	0	0
1989	44088	Cuba (La)	25	23	0	1	0	1	25	0	0	0
1989	44089	Cubla	129	127	0	2	0	0	128	1	0	0
1989	44090	Cucalón	15	13	0	2	0	0	13	1	1	0
1989	44092	Cuervo (El)	56	53	1	2	0	0	51	3	2	0
1989	44093	Cuevas de Almudén	31	29	0	2	0	0	30	1	0	0
1989	44094	Cuevas Labradas	50	46	0	4	0	0	46	4	0	0
1989	44096	Ejulve	318	311	0	6	0	1	315	3	0	0
1989	44097	Escorihuela	74	68	1	5	0	0	70	4	0	0
1989	44099	Escucha	89	85	1	2	0	1	88	1	0	0
1989	44100	Estercuel	130	127	2	1	0	0	129	1	0	0
1989	44101	Ferreruela de Huerva	30	26	0	4	0	0	25	3	0	2
1989	44102	Fonfría	14	11	0	3	0	0	12	2	0	0
1989	44103	Formiche Alto	54	49	2	3	0	0	51	3	0	0
1989	44105	Fórnoles	221	218	0	1	0	2	220	1	0	0
1989	44106	Fortanete	102	100	0	2	0	0	99	2	1	0
1989	44107	Foz-Calanda	65	63	0	2	0	0	63	2	0	0
1989	44108	Fresneda (La)	310	309	0	1	0	0	309	0	0	1
1989	44109	Frías de Albarracín	37	34	0	3	0	0	34	2	0	1
1989	44110	Fuenferrada	30	27	0	3	0	0	28	2	0	0
1989	44111	Fuentes Calientes	44	43	0	1	0	0	44	0	0	0
1989	44112	Fuentes Claras	158	153	3	2	0	0	154	1	2	1
1989	44113	Fuentes de Rubielos	93	78	0	3	0	12	91	2	0	0
1989	44114	Fuentespalda	154	149	1	2	0	2	148	6	0	0
1989	44115	Galve	42	40	1	1	0	0	39	1	2	0
1989	44116	Gargallo	99	95	0	4	0	0	96	3	0	0
1989	44117	Gea de Albarracín	128	125	0	2	0	1	116	1	1	10
1989	44118	Ginebrosa (La)	164	157	1	5	0	1	156	4	4	0
1989	44119	Griegos	35	32	0	3	0	0	33	2	0	0
1989	44120	Guadalaviar	53	49	0	4	0	0	48	3	0	2
1989	44121	Gúdar	71	54	2	5	0	10	66	4	1	0
1989	44122	Híjar	373	364	0	5	1	3	362	6	3	2
1989	44123	Hinojosa de Jarque	52	51	0	1	0	0	52	0	0	0
1989	44124	Hoz de la Vieja (La)	90	87	0	3	0	0	88	2	0	0
1989	44125	Huesa del Común	54	48	1	5	0	0	51	3	0	0
1989	44126	Iglesuela del Cid (La)	131	126	0	5	0	0	127	4	0	0
1989	44127	Jabaloyas	35	33	0	2	0	0	33	1	1	0
1989	44128	Jarque de la Val	27	24	0	3	0	0	25	2	0	0
1989	44129	Jatiel	10	9	0	1	0	0	8	1	1	0
1989	44130	Jorcas	22	20	0	2	0	0	21	1	0	0
1989	44131	Josa	60	58	0	2	0	0	59	1	0	0
1989	44132	Lagueruela	27	22	1	4	0	0	22	4	0	1
1989	44133	Lanzuela	19	16	0	3	0	0	16	3	0	0
1989	44135	Libros	134	132	0	2	0	0	125	1	0	8
1989	44136	Lidón	25	23	0	2	0	0	23	2	0	0
1989	44137	Linares de Mora	125	119	0	3	0	3	122	2	1	0
1989	44138	Loscos	58	54	0	4	0	0	53	3	2	0
1989	44141	Lledó	61	61	0	0	0	0	60	0	1	0
1989	44142	Maicas	34	32	0	2	0	0	33	1	0	0
1989	44143	Manzanera	209	203	2	4	0	0	205	4	0	0
1989	44144	Martín del Río	115	109	2	4	0	0	112	3	0	0
1989	44145	Mas de las Matas	144	140	1	2	0	1	141	2	1	0
1989	44146	Mata de los Olmos (La)	58	49	0	6	0	3	54	4	0	0
1989	44147	Mazaleón	222	220	0	2	0	0	213	3	2	4
1989	44148	Mezquita de Jarque	30	27	1	2	0	0	28	1	0	1
1989	44149	Mirambel	42	39	1	2	0	0	42	0	0	0
1989	44150	Miravete de la Sierra	45	41	0	3	0	1	43	2	0	0
1989	44151	Molinos	109	107	0	2	0	0	107	2	0	0
1989	44152	Monforte de Moyuela	39	35	1	3	0	0	36	3	0	0
1989	44153	Monreal del Campo	281	278	0	2	0	1	276	1	0	4
1989	44154	Monroyo	133	125	0	8	0	0	127	5	1	0
1989	44155	Montalbán	146	138	0	5	0	3	143	3	0	0
1989	44156	Monteagudo del Castillo	38	34	0	3	0	1	36	2	0	0
1989	44157	Monterde de Albarracín	19	18	0	1	0	0	19	0	0	0
1989	44158	Mora de Rubielos	322	310	1	9	1	1	313	9	0	0
1989	44159	Moscardón	17	15	0	2	0	0	13	2	2	0
1989	44160	Mosqueruela	230	222	0	7	0	1	224	6	0	0
1989	44161	Muniesa	152	149	0	2	0	1	148	3	1	0
1989	44163	Noguera de Albarracín	48	44	0	2	0	2	44	1	0	3
1989	44164	Nogueras	16	12	0	4	0	0	13	3	0	0
1989	44165	Nogueruelas	124	120	0	3	0	1	122	2	0	0
1989	44167	Obón	89	87	0	2	0	0	88	1	0	0
1989	44168	Odón	82	80	0	2	0	0	81	1	0	0
1989	44169	Ojos Negros	92	90	1	1	0	0	91	0	1	0
1989	44171	Olba	310	305	1	2	0	2	305	2	3	0
1989	44172	Oliete	265	256	2	6	0	1	258	4	0	3
1989	44173	Olmos (Los)	77	70	1	6	0	0	74	3	0	0
1989	44174	Orihuela del Tremedal	44	41	0	3	0	0	41	2	0	1
1989	44175	Orrios	65	61	0	4	0	0	62	3	0	0
1989	44176	Palomar de Arroyos	55	53	0	2	0	0	54	1	0	0
1989	44177	Pancrudo	84	80	0	4	0	0	81	3	0	0
1989	44178	Parras de Castellote (Las)	41	40	0	1	0	0	41	0	0	0
1989	44179	Peñarroya de Tastavins	189	178	1	10	0	0	178	9	2	0
1989	44180	Peracense	19	17	0	2	0	0	18	1	0	0
1989	44181	Peralejos	30	26	1	3	0	0	27	3	0	0
1989	44182	Perales del Alfambra	106	99	2	5	0	0	101	4	1	0
1989	44183	Pitarque	101	97	0	4	0	0	98	3	0	0
1989	44184	Plou	20	18	1	1	0	0	20	0	0	0
1989	44185	Pobo (El)	60	57	0	3	0	0	57	1	1	1
1989	44187	Portellada (La)	70	70	0	0	0	0	70	0	0	0
1989	44189	Pozondón	36	34	0	2	0	0	35	1	0	0
1989	44190	Pozuel del Campo	26	22	0	4	0	0	22	3	1	0
1989	44191	Puebla de Híjar (La)	136	131	1	3	0	1	133	3	0	0
1989	44192	Puebla de Valverde (La)	294	284	1	8	0	1	265	22	5	2
1989	44193	Puertomingalvo	101	97	0	3	0	1	98	3	0	0
1989	44194	Ráfales	72	72	0	0	0	0	72	0	0	0
1989	44195	Rillo	33	30	0	3	0	0	31	2	0	0
1989	44196	Riodeva	282	278	0	3	0	1	280	2	0	0
1989	44197	Ródenas	41	38	1	2	0	0	40	1	0	0
1989	44198	Royuela	46	44	0	2	0	0	44	1	0	1
1989	44199	Rubiales	51	49	0	1	0	1	50	1	0	0
1989	44200	Rubielos de la Cérida	21	17	2	2	0	0	20	1	0	0
1989	44201	Rubielos de Mora	287	271	1	12	0	3	274	11	1	1
1989	44203	Salcedillo	6	4	0	2	0	0	5	1	0	0
1989	44204	Saldón	23	19	0	4	0	0	20	3	0	0
1989	44205	Samper de Calanda	214	210	1	2	0	1	204	1	7	2
1989	44206	San Agustín	190	185	1	3	0	1	186	4	0	0
1989	44207	San Martín del Río	184	184	0	0	0	0	184	0	0	0
1989	44208	Santa Cruz de Nogueras	13	12	0	1	0	0	12	1	0	0
1989	44209	Santa Eulalia	131	127	1	3	0	0	130	1	0	0
1989	44210	Sarrión	277	273	1	3	0	0	275	2	0	0
1989	44211	Segura de los Baños	24	20	0	4	0	0	21	3	0	0
1989	44212	Seno	50	49	0	1	0	0	50	0	0	0
1989	44213	Singra	31	28	1	1	0	1	31	0	0	0
1989	44215	Terriente	59	55	0	3	0	1	56	2	1	0
1989	44216	Teruel	505	476	7	16	1	5	480	18	5	2
1989	44217	Toril y Masegoso	12	10	0	0	0	2	12	0	0	0
1989	44218	Tormón	16	12	0	4	0	0	13	3	0	0
1989	44219	Tornos	77	73	0	3	1	0	75	2	0	0
1989	44220	Torralba de los Sisones	63	60	0	2	0	1	62	1	0	0
1989	44221	Torrecilla de Alcañiz	91	90	0	1	0	0	90	0	1	0
1989	44222	Torrecilla del Rebollar	43	38	0	5	0	0	38	5	0	0
1989	44223	Torre de Arcas	36	28	0	8	0	0	29	7	0	0
1989	44224	Torre de las Arcas	25	22	0	3	0	0	23	2	0	0
1989	44225	Torre del Compte	118	115	0	2	0	1	114	0	0	4
1989	44226	Torrelacárcel	73	71	0	2	0	0	72	1	0	0
1989	44227	Torre los Negros	41	38	0	3	0	0	39	2	0	0
1989	44228	Torremocha de Jiloca	47	46	0	1	0	0	45	1	1	0
1989	44229	Torres de Albarracín	39	36	0	2	0	1	35	2	0	2
1989	44230	Torrevelilla	93	92	0	1	0	0	92	1	0	0
1989	44231	Torrijas	34	33	0	1	0	0	33	1	0	0
