Municipio codigo	Municipio nombre	Estado del edificio	Estado del edificio, código	Nº edificios
22089	Castillonroy	Deficiente	3	17
22089	Castillonroy	Malo	2	2
22090	Colungo	Bueno	4	64
22090	Colungo	Deficiente	3	40
22090	Colungo	Malo	2	6
22090	Colungo	Ruinoso	1	2
22094	Chalamera	Bueno	4	98
22094	Chalamera	Deficiente	3	4
22094	Chalamera	Malo	2	2
22095	Chía	Bueno	4	61
22095	Chía	Deficiente	3	12
22095	Chía	Malo	2	3
22096	Chimillas	Bueno	4	153
22096	Chimillas	Deficiente	3	1
22099	Esplús	Bueno	4	249
22099	Esplús	Deficiente	3	29
22099	Esplús	Malo	2	4
22099	Esplús	Ruinoso	1	1
22102	Estada	Bueno	4	93
22102	Estada	Deficiente	3	8
22102	Estada	Malo	2	5
22103	Estadilla	Bueno	4	244
22103	Estadilla	Deficiente	3	140
22103	Estadilla	Malo	2	8
22103	Estadilla	Ruinoso	1	1
22105	Estopiñán del Castillo	Bueno	4	161
22105	Estopiñán del Castillo	Deficiente	3	17
22105	Estopiñán del Castillo	Malo	2	5
22105	Estopiñán del Castillo	Ruinoso	1	2
22106	Fago	Bueno	4	60
22106	Fago	Deficiente	3	12
22106	Fago	Ruinoso	1	6
22107	Fanlo	Bueno	4	123
22107	Fanlo	Deficiente	3	9
22109	Fiscal	Bueno	4	242
22109	Fiscal	Deficiente	3	4
22109	Fiscal	Malo	2	3
22109	Fiscal	Ruinoso	1	1
22110	Fonz	Bueno	4	534
22110	Fonz	Deficiente	3	58
22110	Fonz	Malo	2	12
22110	Fonz	Ruinoso	1	5
22111	Foradada del Toscar	Bueno	4	136
22111	Foradada del Toscar	Deficiente	3	2
22112	Fraga	Bueno	4	1590
22112	Fraga	Deficiente	3	190
22112	Fraga	Malo	2	44
22112	Fraga	Ruinoso	1	17
22113	Fueva (La)	Bueno	4	362
22113	Fueva (La)	Deficiente	3	33
22113	Fueva (La)	Malo	2	17
22113	Fueva (La)	Ruinoso	1	13
22114	Gistaín	Bueno	4	66
22114	Gistaín	Deficiente	3	1
22115	Grado (El)	Bueno	4	398
22115	Grado (El)	Deficiente	3	41
22115	Grado (El)	Malo	2	23
22115	Grado (El)	Ruinoso	1	8
22116	Grañén	Bueno	4	601
22116	Grañén	Deficiente	3	87
22116	Grañén	Malo	2	9
22116	Grañén	Ruinoso	1	1
22117	Graus	Bueno	4	1098
22117	Graus	Deficiente	3	85
22117	Graus	Malo	2	55
22117	Graus	Ruinoso	1	1
22119	Gurrea de Gállego	Bueno	4	829
22119	Gurrea de Gállego	Deficiente	3	21
22119	Gurrea de Gállego	Malo	2	1
22122	Hoz de Jaca	Bueno	4	103
22124	Huerto	Bueno	4	105
22124	Huerto	Deficiente	3	50
22124	Huerto	Malo	2	7
22125	Huesca	Bueno	4	2742
22125	Huesca	Deficiente	3	296
22125	Huesca	Malo	2	51
22125	Huesca	Ruinoso	1	20
22126	Ibieca	Bueno	4	73
22126	Ibieca	Deficiente	3	4
22126	Ibieca	Malo	2	1
22126	Ibieca	Ruinoso	1	1
22127	Igriés	Bueno	4	231
22127	Igriés	Deficiente	3	1
22128	Ilche	Bueno	4	109
22128	Ilche	Deficiente	3	10
22128	Ilche	Malo	2	2
22128	Ilche	Ruinoso	1	1
22129	Isábena	Bueno	4	175
22129	Isábena	Deficiente	3	9
22129	Isábena	Malo	2	9
22130	Jaca	Bueno	4	1892
22130	Jaca	Deficiente	3	146
22130	Jaca	Malo	2	20
22130	Jaca	Ruinoso	1	3
22131	Jasa	Bueno	4	129
22131	Jasa	Deficiente	3	5
22131	Jasa	Malo	2	1
22133	Labuerda	Bueno	4	118
22133	Labuerda	Deficiente	3	8
22133	Labuerda	Malo	2	3
22133	Labuerda	Ruinoso	1	2
22135	Laluenga	Bueno	4	159
22135	Laluenga	Deficiente	3	4
22135	Laluenga	Malo	2	1
22135	Laluenga	Ruinoso	1	2
22136	Lalueza	Bueno	4	403
22136	Lalueza	Deficiente	3	99
22136	Lalueza	Malo	2	25
22136	Lalueza	Ruinoso	1	2
22137	Lanaja	Bueno	4	776
22137	Lanaja	Deficiente	3	19
22137	Lanaja	Malo	2	27
22137	Lanaja	Ruinoso	1	7
22139	Laperdiguera	Bueno	4	69
22139	Laperdiguera	Deficiente	3	6
22139	Laperdiguera	Malo	2	2
22139	Laperdiguera	Ruinoso	1	1
22141	Lascellas-Ponzano	Bueno	4	129
22141	Lascellas-Ponzano	Deficiente	3	10
22141	Lascellas-Ponzano	Malo	2	2
22141	Lascellas-Ponzano	Ruinoso	1	4
22142	Lascuarre	Bueno	4	65
22142	Lascuarre	Deficiente	3	22
22142	Lascuarre	Malo	2	2
22143	Laspaúles	Bueno	4	254
22143	Laspaúles	Deficiente	3	26
22143	Laspaúles	Malo	2	9
22143	Laspaúles	Ruinoso	1	7
22144	Laspuña	Bueno	4	231
22144	Laspuña	Deficiente	3	10
22144	Laspuña	Malo	2	6
22144	Laspuña	Ruinoso	1	2
22149	Loarre	Bueno	4	251
22149	Loarre	Deficiente	3	7
22149	Loarre	Malo	2	2
22150	Loporzano	Bueno	4	374
22150	Loporzano	Deficiente	3	34
22150	Loporzano	Malo	2	6
22150	Loporzano	Ruinoso	1	5
22151	Loscorrales	Bueno	4	71
22151	Loscorrales	Deficiente	3	2
22155	Monesma y Cajigar	Bueno	4	42
22155	Monesma y Cajigar	Deficiente	3	2
22155	Monesma y Cajigar	Malo	2	2
22155	Monesma y Cajigar	Ruinoso	1	1
22156	Monflorite-Lascasas	Bueno	4	159
22156	Monflorite-Lascasas	Deficiente	3	18
22157	Montanuy	Bueno	4	202
22157	Montanuy	Deficiente	3	11
22157	Montanuy	Malo	2	5
22158	Monzón	Bueno	4	2849
22158	Monzón	Deficiente	3	334
22158	Monzón	Malo	2	105
22158	Monzón	Ruinoso	1	13
22160	Naval	Bueno	4	130
22160	Naval	Deficiente	3	28
22160	Naval	Malo	2	1
22162	Novales	Bueno	4	77
22162	Novales	Deficiente	3	1
22163	Nueno	Bueno	4	250
22163	Nueno	Deficiente	3	42
22163	Nueno	Malo	2	9
22164	Olvena	Bueno	4	49
22164	Olvena	Deficiente	3	4
22165	Ontiñena	Bueno	4	332
22165	Ontiñena	Deficiente	3	17
22165	Ontiñena	Malo	2	11
22165	Ontiñena	Ruinoso	1	3
22167	Osso de Cinca	Bueno	4	246
22167	Osso de Cinca	Deficiente	3	19
22167	Osso de Cinca	Malo	2	6
22167	Osso de Cinca	Ruinoso	1	1
22168	Palo	Bueno	4	32
22168	Palo	Deficiente	3	10
22168	Palo	Malo	2	4
22168	Palo	Ruinoso	1	3
22170	Panticosa	Bueno	4	327
22170	Panticosa	Deficiente	3	11
22170	Panticosa	Malo	2	3
22172	Peñalba	Bueno	4	245
22172	Peñalba	Deficiente	3	5
22172	Peñalba	Malo	2	2
22173	Peñas de Riglos (Las)	Bueno	4	377
22173	Peñas de Riglos (Las)	Deficiente	3	4
22173	Peñas de Riglos (Las)	Malo	2	3
22174	Peralta de Alcofea	Bueno	4	388
22174	Peralta de Alcofea	Deficiente	3	28
22174	Peralta de Alcofea	Malo	2	7
22174	Peralta de Alcofea	Ruinoso	1	3
22175	Peralta de Calasanz	Bueno	4	329
22175	Peralta de Calasanz	Deficiente	3	31
22175	Peralta de Calasanz	Malo	2	6
22176	Peraltilla	Bueno	4	88
22176	Peraltilla	Deficiente	3	5
22176	Peraltilla	Malo	2	1
22176	Peraltilla	Ruinoso	1	1
22177	Perarrúa	Bueno	4	124
22177	Perarrúa	Deficiente	3	1
22177	Perarrúa	Malo	2	1
22177	Perarrúa	Ruinoso	1	1
22178	Pertusa	Bueno	4	90
22178	Pertusa	Deficiente	3	8
22181	Piracés	Bueno	4	42
22181	Piracés	Deficiente	3	1
22182	Plan	Bueno	4	159
22182	Plan	Deficiente	3	10
22182	Plan	Malo	2	8
22184	Poleñino	Bueno	4	109
22184	Poleñino	Deficiente	3	12
22184	Poleñino	Malo	2	2
22184	Poleñino	Ruinoso	1	3
22186	Pozán de Vero	Bueno	4	108
22186	Pozán de Vero	Deficiente	3	30
22186	Pozán de Vero	Malo	2	3
22187	Puebla de Castro (La)	Bueno	4	302
22187	Puebla de Castro (La)	Deficiente	3	4
22187	Puebla de Castro (La)	Malo	2	2
22187	Puebla de Castro (La)	Ruinoso	1	1
22188	Puente de Montañana	Bueno	4	101
22188	Puente de Montañana	Deficiente	3	10
22188	Puente de Montañana	Malo	2	1
22189	Puértolas	Bueno	4	79
22189	Puértolas	Deficiente	3	19
22190	Pueyo de Araguás (El)	Bueno	4	39
22190	Pueyo de Araguás (El)	Deficiente	3	9
22190	Pueyo de Araguás (El)	Malo	2	3
22190	Pueyo de Araguás (El)	Ruinoso	1	1
22193	Pueyo de Santa Cruz	Bueno	4	154
22193	Pueyo de Santa Cruz	Deficiente	3	26
22193	Pueyo de Santa Cruz	Malo	2	11
22193	Pueyo de Santa Cruz	Ruinoso	1	4
22195	Quicena	Bueno	4	82
22195	Quicena	Deficiente	3	10
22197	Robres	Bueno	4	245
22197	Robres	Deficiente	3	11
22197	Robres	Malo	2	1
22197	Robres	Ruinoso	1	2
22199	Sabiñánigo	Bueno	4	1629
22199	Sabiñánigo	Deficiente	3	58
22199	Sabiñánigo	Malo	2	5
22199	Sabiñánigo	Ruinoso	1	4
22200	Sahún	Bueno	4	177
22200	Sahún	Deficiente	3	29
22200	Sahún	Malo	2	9
22201	Salas Altas	Bueno	4	167
22201	Salas Altas	Deficiente	3	8
22202	Salas Bajas	Bueno	4	68
22202	Salas Bajas	Deficiente	3	42
22202	Salas Bajas	Malo	2	3
22202	Salas Bajas	Ruinoso	1	3
22203	Salillas	Bueno	4	82
22203	Salillas	Deficiente	3	3
22204	Sallent de Gállego	Bueno	4	809
22204	Sallent de Gállego	Deficiente	3	26
22204	Sallent de Gállego	Malo	2	12
22204	Sallent de Gállego	Ruinoso	1	1
22205	San Esteban de Litera	Bueno	4	368
22205	San Esteban de Litera	Deficiente	3	25
22205	San Esteban de Litera	Malo	2	12
22205	San Esteban de Litera	Ruinoso	1	1
22206	Sangarrén	Bueno	4	111
22206	Sangarrén	Deficiente	3	22
22206	Sangarrén	Malo	2	3
22206	Sangarrén	Ruinoso	1	6
22207	San Juan de Plan	Bueno	4	68
22207	San Juan de Plan	Deficiente	3	14
22207	San Juan de Plan	Malo	2	3
22207	San Juan de Plan	Ruinoso	1	1
22208	Santa Cilia	Bueno	4	125
22209	Santa Cruz de la Serós	Bueno	4	102
22209	Santa Cruz de la Serós	Deficiente	3	2
22209	Santa Cruz de la Serós	Ruinoso	1	1
22212	Santaliestra y San Quílez	Bueno	4	54
22212	Santaliestra y San Quílez	Deficiente	3	13
22212	Santaliestra y San Quílez	Malo	2	8
22212	Santaliestra y San Quílez	Ruinoso	1	2
22213	Sariñena	Bueno	4	1367
22213	Sariñena	Deficiente	3	330
22213	Sariñena	Malo	2	44
22213	Sariñena	Ruinoso	1	8
22214	Secastilla	Bueno	4	77
22214	Secastilla	Deficiente	3	10
22214	Secastilla	Malo	2	7
22214	Secastilla	Ruinoso	1	3
22215	Seira	Bueno	4	80
22215	Seira	Deficiente	3	12
22215	Seira	Malo	2	7
22217	Sena	Bueno	4	209
22217	Sena	Deficiente	3	115
22217	Sena	Malo	2	31
22218	Senés de Alcubierre	Bueno	4	42
22218	Senés de Alcubierre	Deficiente	3	7
22218	Senés de Alcubierre	Ruinoso	1	1
22220	Sesa	Bueno	4	139
22220	Sesa	Deficiente	3	14
22220	Sesa	Malo	2	1
22220	Sesa	Ruinoso	1	1
22221	Sesué	Bueno	4	96
22221	Sesué	Deficiente	3	4
22221	Sesué	Malo	2	2
22222	Siétamo	Bueno	4	358
22222	Siétamo	Deficiente	3	41
22223	Sopeira	Bueno	4	116
22223	Sopeira	Deficiente	3	7
22225	Tamarite de Litera	Bueno	4	989
22225	Tamarite de Litera	Deficiente	3	96
22225	Tamarite de Litera	Malo	2	21
22225	Tamarite de Litera	Ruinoso	1	1
22226	Tardienta	Bueno	4	330
22226	Tardienta	Deficiente	3	36
22226	Tardienta	Malo	2	5
22226	Tardienta	Ruinoso	1	3
22227	Tella-Sin	Bueno	4	107
22227	Tella-Sin	Deficiente	3	6
22228	Tierz	Bueno	4	248
22228	Tierz	Deficiente	3	14
22228	Tierz	Malo	2	4
22228	Tierz	Ruinoso	1	2
22229	Tolva	Bueno	4	155
22229	Tolva	Deficiente	3	15
22229	Tolva	Malo	2	3
22229	Tolva	Ruinoso	1	1
22230	Torla	Bueno	4	180
22230	Torla	Deficiente	3	14
22230	Torla	Malo	2	1
22232	Torralba de Aragón	Bueno	4	60
22232	Torralba de Aragón	Deficiente	3	1
22233	Torre la Ribera	Bueno	4	55
22233	Torre la Ribera	Deficiente	3	10
22233	Torre la Ribera	Malo	2	1
22234	Torrente de Cinca	Bueno	4	344
22234	Torrente de Cinca	Deficiente	3	31
22234	Torrente de Cinca	Ruinoso	1	3
22235	Torres de Alcanadre	Bueno	4	60
22235	Torres de Alcanadre	Deficiente	3	16
22235	Torres de Alcanadre	Malo	2	9
22235	Torres de Alcanadre	Ruinoso	1	3
22236	Torres de Barbués	Bueno	4	132
22236	Torres de Barbués	Deficiente	3	18
22236	Torres de Barbués	Malo	2	2
22236	Torres de Barbués	Ruinoso	1	2
22239	Tramaced	Bueno	4	37
22239	Tramaced	Deficiente	3	6
22239	Tramaced	Malo	2	3
22242	Valfarta	Bueno	4	39
22242	Valfarta	Deficiente	3	10
22242	Valfarta	Malo	2	11
22242	Valfarta	Ruinoso	1	1
22243	Valle de Bardají	Bueno	4	16
22244	Valle de Lierp	Bueno	4	51
22244	Valle de Lierp	Deficiente	3	3
22245	Velilla de Cinca	Bueno	4	186
22245	Velilla de Cinca	Deficiente	3	36
22245	Velilla de Cinca	Malo	2	8
22245	Velilla de Cinca	Ruinoso	1	3
22246	Beranuy	Bueno	4	99
22246	Beranuy	Deficiente	3	5
22246	Beranuy	Malo	2	1
22247	Viacamp y Litera	Bueno	4	25
22247	Viacamp y Litera	Deficiente	3	2
22248	Vicién	Bueno	4	66
22248	Vicién	Deficiente	3	1
22249	Villanova	Bueno	4	83
22249	Villanova	Deficiente	3	4
22250	Villanúa	Bueno	4	348
22250	Villanúa	Deficiente	3	5
22250	Villanúa	Malo	2	1
22251	Villanueva de Sigena	Bueno	4	211
22251	Villanueva de Sigena	Deficiente	3	8
22251	Villanueva de Sigena	Malo	2	3
22251	Villanueva de Sigena	Ruinoso	1	2
22252	Yebra de Basa	Bueno	4	53
22252	Yebra de Basa	Deficiente	3	7
22252	Yebra de Basa	Malo	2	2
22253	Yésero	Bueno	4	62
22253	Yésero	Deficiente	3	10
22254	Zaidín	Bueno	4	566
22254	Zaidín	Deficiente	3	64
22254	Zaidín	Malo	2	13
22254	Zaidín	Ruinoso	1	3
22901	Valle de Hecho	Bueno	4	569
22901	Valle de Hecho	Deficiente	3	56
22901	Valle de Hecho	Malo	2	7
22901	Valle de Hecho	Ruinoso	1	5
22902	Puente la Reina de Jaca	Bueno	4	178
22902	Puente la Reina de Jaca	Deficiente	3	1
22903	San Miguel del Cinca	Bueno	4	439
22903	San Miguel del Cinca	Deficiente	3	4
22903	San Miguel del Cinca	Malo	2	6
22903	San Miguel del Cinca	Ruinoso	1	8
22904	Sotonera (La)	Bueno	4	557
22904	Sotonera (La)	Deficiente	3	136
22904	Sotonera (La)	Malo	2	31
22905	Lupiñén-Ortilla	Bueno	4	201
22905	Lupiñén-Ortilla	Deficiente	3	28
22905	Lupiñén-Ortilla	Malo	2	9
22905	Lupiñén-Ortilla	Ruinoso	1	2
22906	Santa María de Dulcis	Bueno	4	65
22906	Santa María de Dulcis	Deficiente	3	33
22906	Santa María de Dulcis	Malo	2	3
22907	Aínsa-Sobrarbe	Bueno	4	694
22907	Aínsa-Sobrarbe	Deficiente	3	62
22907	Aínsa-Sobrarbe	Malo	2	12
22907	Aínsa-Sobrarbe	Ruinoso	1	5
22908	Hoz y Costeán	Bueno	4	128
22908	Hoz y Costeán	Deficiente	3	20
22908	Hoz y Costeán	Malo	2	3
22908	Hoz y Costeán	Ruinoso	1	2
22909	Vencillón	Bueno	4	181
22909	Vencillón	Deficiente	3	7
22909	Vencillón	Malo	2	4
44001	Ababuj	Bueno	4	88
44001	Ababuj	Deficiente	3	11
44001	Ababuj	Malo	2	1
44002	Abejuela	Bueno	4	98
44002	Abejuela	Deficiente	3	42
44002	Abejuela	Malo	2	3
44002	Abejuela	Ruinoso	1	3
44003	Aguatón	Bueno	4	20
44003	Aguatón	Deficiente	3	5
44004	Aguaviva	Bueno	4	485
44004	Aguaviva	Deficiente	3	48
44004	Aguaviva	Malo	2	7
44005	Aguilar del Alfambra	Bueno	4	90
44005	Aguilar del Alfambra	Deficiente	3	17
44005	Aguilar del Alfambra	Malo	2	19
44005	Aguilar del Alfambra	Ruinoso	1	1
44006	Alacón	Bueno	4	345
44006	Alacón	Deficiente	3	20
44007	Alba	Bueno	4	190
44007	Alba	Deficiente	3	4
44007	Alba	Malo	2	8
44007	Alba	Ruinoso	1	2
44008	Albalate del Arzobispo	Bueno	4	912
44008	Albalate del Arzobispo	Deficiente	3	140
44008	Albalate del Arzobispo	Malo	2	61
44008	Albalate del Arzobispo	Ruinoso	1	15
44009	Albarracín	Bueno	4	421
44009	Albarracín	Deficiente	3	46
44009	Albarracín	Malo	2	12
44009	Albarracín	Ruinoso	1	1
44010	Albentosa	Bueno	4	299
44010	Albentosa	Deficiente	3	12
44010	Albentosa	Malo	2	1
44010	Albentosa	Ruinoso	1	5
44011	Alcaine	Bueno	4	207
44011	Alcaine	Deficiente	3	10
44011	Alcaine	Malo	2	1
44012	Alcalá de la Selva	Bueno	4	713
44012	Alcalá de la Selva	Deficiente	3	28
44012	Alcalá de la Selva	Malo	2	5
44012	Alcalá de la Selva	Ruinoso	1	2
