Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	06	América	Resto de América	03	Sobrarbe	Hombre	119
2009	06	América	Resto de América	03	Sobrarbe	Mujer	118
2009	06	América	Resto de América	04	La Ribagorza	Hombre	92
2009	06	América	Resto de América	04	La Ribagorza	Mujer	102
2009	06	América	Resto de América	05	Cinco Villas	Hombre	196
2009	06	América	Resto de América	05	Cinco Villas	Mujer	238
2009	06	América	Resto de América	06	Hoya de Huesca / Plana de Uesca	Hombre	275
2009	06	América	Resto de América	06	Hoya de Huesca / Plana de Uesca	Mujer	270
2009	06	América	Resto de América	07	Somontano de Barbastro	Hombre	104
2009	06	América	Resto de América	07	Somontano de Barbastro	Mujer	121
2009	06	América	Resto de América	08	Cinca Medio	Hombre	62
2009	06	América	Resto de América	08	Cinca Medio	Mujer	65
2009	06	América	Resto de América	09	La Litera / La Llitera	Hombre	62
2009	06	América	Resto de América	09	La Litera / La Llitera	Mujer	74
2009	06	América	Resto de América	10	Los Monegros	Hombre	82
2009	06	América	Resto de América	10	Los Monegros	Mujer	93
2009	06	América	Resto de América	11	Bajo Cinca / Baix Cinca	Hombre	44
2009	06	América	Resto de América	11	Bajo Cinca / Baix Cinca	Mujer	62
2009	06	América	Resto de América	12	Tarazona y el Moncayo	Hombre	73
2009	06	América	Resto de América	12	Tarazona y el Moncayo	Mujer	68
2009	06	América	Resto de América	13	Campo de Borja	Hombre	56
2009	06	América	Resto de América	13	Campo de Borja	Mujer	63
2009	06	América	Resto de América	14	Aranda	Hombre	14
2009	06	América	Resto de América	14	Aranda	Mujer	18
2009	06	América	Resto de América	15	Ribera Alta del Ebro	Hombre	42
2009	06	América	Resto de América	15	Ribera Alta del Ebro	Mujer	34
2009	06	América	Resto de América	16	Valdejalón	Hombre	59
2009	06	América	Resto de América	16	Valdejalón	Mujer	59
2009	06	América	Resto de América	17	Central	Hombre	2376
2009	06	América	Resto de América	17	Central	Mujer	2446
2009	06	América	Resto de América	18	Ribera Baja del Ebro	Hombre	51
2009	06	América	Resto de América	18	Ribera Baja del Ebro	Mujer	44
2009	06	América	Resto de América	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	38
2009	06	América	Resto de América	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujer	50
2009	06	América	Resto de América	20	Comunidad de Calatayud	Hombre	157
2009	06	América	Resto de América	20	Comunidad de Calatayud	Mujer	158
2009	06	América	Resto de América	21	Campo de Cariñena	Hombre	28
2009	06	América	Resto de América	21	Campo de Cariñena	Mujer	46
2009	06	América	Resto de América	22	Campo de Belchite	Hombre	36
2009	06	América	Resto de América	22	Campo de Belchite	Mujer	52
2009	06	América	Resto de América	23	Bajo Martín	Hombre	25
2009	06	América	Resto de América	23	Bajo Martín	Mujer	23
2009	06	América	Resto de América	24	Campo de Daroca	Hombre	29
2009	06	América	Resto de América	24	Campo de Daroca	Mujer	27
2009	06	América	Resto de América	25	Jiloca	Hombre	41
2009	06	América	Resto de América	25	Jiloca	Mujer	46
2009	06	América	Resto de América	26	Cuencas Mineras	Hombre	76
2009	06	América	Resto de América	26	Cuencas Mineras	Mujer	77
2009	06	América	Resto de América	27	Andorra-Sierra de Arcos	Hombre	36
2009	06	América	Resto de América	27	Andorra-Sierra de Arcos	Mujer	44
2009	06	América	Resto de América	28	Bajo Aragón	Hombre	126
2009	06	América	Resto de América	28	Bajo Aragón	Mujer	184
2009	06	América	Resto de América	29	Comunidad de Teruel	Hombre	265
2009	06	América	Resto de América	29	Comunidad de Teruel	Mujer	240
2009	06	América	Resto de América	30	Maestrazgo	Hombre	50
2009	06	América	Resto de América	30	Maestrazgo	Mujer	71
2009	06	América	Resto de América	31	Sierra de Albarracín	Hombre	47
2009	06	América	Resto de América	31	Sierra de Albarracín	Mujer	31
2009	06	América	Resto de América	32	Gúdar-Javalambre	Hombre	58
2009	06	América	Resto de América	32	Gúdar-Javalambre	Mujer	62
2009	06	América	Resto de América	33	Matarraña / Matarranya	Hombre	39
2009	06	América	Resto de América	33	Matarraña / Matarranya	Mujer	44
2009	07	Asia	Asia	01	La Jacetania	Hombre	1
2009	07	Asia	Asia	01	La Jacetania	Mujer	1
2009	07	Asia	Asia	02	Alto Gállego	Hombre	2
2009	07	Asia	Asia	02	Alto Gállego	Mujer	3
2009	07	Asia	Asia	04	La Ribagorza	Hombre	1
2009	07	Asia	Asia	06	Hoya de Huesca / Plana de Uesca	Hombre	10
2009	07	Asia	Asia	06	Hoya de Huesca / Plana de Uesca	Mujer	2
2009	07	Asia	Asia	07	Somontano de Barbastro	Mujer	1
