Comarca codigo	Comarca nombre	Personalidad jurídica	Explotaciones
26	Cuencas Mineras	Sociedad mercantil	20
27	Andorra-Sierra de Arcos	Entidad pública	3
27	Andorra-Sierra de Arcos	Otras condiciones jurídicas	16
27	Andorra-Sierra de Arcos	Persona física	726
27	Andorra-Sierra de Arcos	Sociedad cooperativa	4
27	Andorra-Sierra de Arcos	Sociedad mercantil	8
28	Bajo Aragón	Entidad pública	7
28	Bajo Aragón	Otras condiciones jurídicas	81
28	Bajo Aragón	Persona física	2012
28	Bajo Aragón	Sociedad cooperativa	11
28	Bajo Aragón	Sociedad mercantil	34
29	Comunidad de Teruel	Entidad pública	39
29	Comunidad de Teruel	Otras condiciones jurídicas	45
29	Comunidad de Teruel	Persona física	2037
29	Comunidad de Teruel	Sociedad cooperativa	12
29	Comunidad de Teruel	Sociedad mercantil	14
30	Maestrazgo	Entidad pública	13
30	Maestrazgo	Otras condiciones jurídicas	15
30	Maestrazgo	Persona física	555
30	Maestrazgo	Sociedad cooperativa	1
30	Maestrazgo	Sociedad mercantil	12
31	Sierra de Albarracín	Entidad pública	20
31	Sierra de Albarracín	Otras condiciones jurídicas	9
31	Sierra de Albarracín	Persona física	325
31	Sierra de Albarracín	Sociedad cooperativa	3
31	Sierra de Albarracín	Sociedad mercantil	6
32	Gúdar-Javalambre	Entidad pública	23
32	Gúdar-Javalambre	Otras condiciones jurídicas	19
32	Gúdar-Javalambre	Persona física	733
32	Gúdar-Javalambre	Sociedad cooperativa	5
32	Gúdar-Javalambre	Sociedad mercantil	18
33	Matarraña / Matarranya	Otras condiciones jurídicas	27
33	Matarraña / Matarranya	Persona física	1571
33	Matarraña / Matarranya	Sociedad cooperativa	7
33	Matarraña / Matarranya	Sociedad mercantil	25
