Municipio código	Municipio nombre	Unidades trabajo-año totales	Unidades trabajo-año asalariados	Unidades trabajo-año asalariados fijos	Unidades trabajo-año asalariados eventuales	Unidades trabajo-año mano obra familiar	Unidades trabajo-año titular	Unidades trabajo-año jefe explotación	Unidades trabajo-año otros miembros familia
22043	Baells	38,607	3,462	2,411	1,051	35,145	24,296	26,452	10,849
22044	Bailo	42,504	7,994	7,977	0,017	34,51	25,51	31,233	9
22045	Baldellou	27,454	3,116	2,1	1,016	24,338	14,895	16,735	9,443
22046	Ballobar	147,641	34,832	25,79	9,042	112,809	63,94	77,512	48,869
22047	Banastás	1,962	0,477	0,477	0	1,485	0,985	1,462	0,5
22048	Barbastro	317,55	151,386	120,367	31,019	166,164	90,96	113,665	75,204
22049	Barbués	30,72	10,171	9,299	0,872	20,549	14,263	18,293	6,286
22050	Barbuñales	17,428	5,907	4,85	1,057	11,521	6,697	8,442	4,824
22051	Bárcabo	57,786	21,253	18,12	3,133	36,533	23,943	33,273	12,59
22052	Belver de Cinca	317,945	150,379	92,362	58,017	167,566	103,029	124,838	64,537
22053	Benabarre	129,775	59,641	56,737	2,904	70,134	50,905	77,905	19,229
22054	Benasque	24,444	11,958	11,954	0,004	12,486	9,118	16,974	3,368
22055	Berbegal	58,376	12,582	7,879	4,703	45,794	26,558	31,668	19,236
22057	Bielsa	12,76	0,087	0,087	0	12,673	12,156	12,51	0,517
22058	Bierge	79,324	28,097	24,788	3,309	51,227	28,769	46,76	22,458
22059	Biescas	50,709	6,889	6,802	0,087	43,82	33,669	36,972	10,151
22060	Binaced	270,758	92,902	51,558	41,344	177,856	117,723	146,374	60,133
22061	Binéfar	87,619	27,257	25,578	1,679	60,362	38,817	54,73	21,545
22062	Bisaurri	38,429	2,013	1,926	0,087	36,416	27,541	28,467	8,875
22063	Biscarrués	38,975	5,02	3,114	1,906	33,955	19,804	23,693	14,151
22064	Blecua y Torres	33,877	7,884	5,342	2,542	25,993	13,666	19,445	12,327
22066	Boltaña	30,117	8,109	8,088	0,021	22,008	18,345	21,417	3,663
22067	Bonansa	14,259	2,57	2	0,57	11,689	9,064	10,064	2,625
22068	Borau	5,685	1,004	1,004	0	4,681	3,806	3,81	0,875
22069	Broto	37,143	4,36	3,988	0,372	32,783	27,783	28,896	5
22072	Caldearenas	35,65	11,644	11,605	0,039	24,006	19,696	25,107	4,31
22074	Campo	13,846	5,193	4,799	0,394	8,653	8,028	9,452	0,625
22075	Camporrells	22,884	3,605	3,523	0,082	19,279	14,658	19,235	4,621
22076	Canal de Berdún	56,332	16,303	14,85	1,453	40,029	30,599	34,952	9,43
22077	Candasnos	141,609	73,754	28,655	45,099	67,855	52,077	61,959	15,778
22078	Canfranc	2,727	0,223	0,004	0,219	2,504	2,004	2,008	0,5
22079	Capdesaso	18,584	6,028	4,697	1,331	12,556	8,806	11,628	3,75
22080	Capella	60,99	27,782	27,495	0,287	33,208	20,583	24,436	12,625
22081	Casbas de Huesca	69,53	9,023	4,865	4,158	60,507	38,026	42,912	22,481
22082	Castejón del Puente	30,199	9,514	9,191	0,323	20,685	13,747	19,389	6,938
22083	Castejón de Monegros	94,625	36,745	34,702	2,043	57,88	40,196	57,019	17,684
22084	Castejón de Sos	15,873	5,589	5,559	0,03	10,284	10,284	13,843	0
22085	Castelflorite	40,032	10,79	7,169	3,621	29,242	21,735	22,53	7,507
22086	Castiello de Jaca	14,256	8,078	8,078	0	6,178	3,674	4,748	2,504
22087	Castigaleu	15,084	1,454	1,191	0,263	13,63	10,793	11,984	2,837
22088	Castillazuelo	26,96	2,345	0,168	2,177	24,615	13,713	15,458	10,902
22089	Castillonroy	65,142	19,274	15,152	4,122	45,868	29,939	36,758	15,929
22090	Colungo	18,676	2,304	2,173	0,131	16,372	8,453	10,343	7,919
22094	Chalamera	23,788	4,013	4,013	0	19,775	12,025	14,839	7,75
22095	Chía	11,819	3,676	3,676	0	8,143	6,893	7,944	1,25
22096	Chimillas	10,565	3	3	0	7,565	6,19	7,19	1,375
22099	Esplús	108,299	66,729	62,029	4,7	41,57	26,425	51,755	15,145
22102	Estada	26,896	7,251	7,187	0,064	19,645	9,737	13,683	9,908
22103	Estadilla	129,527	46,995	24,717	22,278	82,532	48,186	60,255	34,346
22105	Estopiñán del Castillo	78,1	41,366	39,302	2,064	36,734	25,5	33,421	11,234
22106	Fago	0,442	0	0	0	0,442	0,004	0,438	0,438
22107	Fanlo	33,064	20,904	20,904	0	12,16	8,785	15,492	3,375
22109	Fiscal	30,053	4,459	4,459	0	25,594	20,844	21,303	4,75
22110	Fonz	129,393	40,635	38,407	2,228	88,758	54,748	76,307	34,01
22111	Foradada del Toscar	52,33	16,114	13,538	2,576	36,216	27,918	38,207	8,298
22112	Fraga	1710,756	1046,283	448,564	597,719	664,473	387,644	492,499	276,829
22113	Fueva (La)	88,455	22,031	20,254	1,777	66,424	49,331	66,815	17,093
22114	Gistaín	23,599	0,181	0,181	0	23,418	17,064	16,97	6,354
22115	Grado (El)	57,89	7,293	5,441	1,852	50,597	30,126	32,268	20,471
22116	Grañén	178,034	70,883	65,103	5,78	107,151	84,505	120,403	22,646
22117	Graus	211,252	37,43	27,785	9,645	173,822	103,299	125,344	70,523
22119	Gurrea de Gállego	167,628	43,696	43,476	0,22	123,932	87,87	110,622	36,062
22122	Hoz de Jaca	3,135	0,004	0,004	0	3,131	3,131	3,135	0
22124	Huerto	66,72	13,47	13,17	0,3	53,25	39,036	46,816	14,214
22125	Huesca	249,293	106,731	94,005	12,726	142,562	88,395	125,61	54,167
22126	Ibieca	13,896	3,552	3,423	0,129	10,344	6,594	9,763	3,75
22127	Igriés	35,569	18,086	17,342	0,744	17,483	11,677	13,643	5,806
22128	Ilche	86,516	20,757	18,697	2,06	65,759	40,705	47,625	25,054
22129	Isábena	40,704	7,465	6,542	0,923	33,239	21,445	27,023	11,794
22130	Jaca	153,343	31,173	30,001	1,172	122,17	92,02	100,307	30,15
22131	Jasa	4,413	0,375	0,375	0	4,038	3,069	3,288	0,969
22133	Labuerda	5,593	2,125	2,125	0	3,468	3,339	3,339	0,129
22135	Laluenga	45,77	0,902	0,902	0	44,868	30,447	31,217	14,421
22136	Lalueza	143,348	30,642	25,872	4,77	112,706	90,493	106,435	22,213
22137	Lanaja	153,671	40,898	37,176	3,722	112,773	72,969	91,858	39,804
22139	Laperdiguera	11,103	0,174	0,174	0	10,929	8,222	9,137	2,707
22141	Lascellas-Ponzano	33,022	6,394	4,253	2,141	26,628	17,164	20,098	9,464
22142	Lascuarre	25,429	6,095	5,013	1,082	19,334	13,709	15,722	5,625
22143	Laspaúles	35,303	6,507	3,508	2,999	28,796	23,046	24,054	5,75
22144	Laspuña	22,39	1,004	1,004	0	21,386	18,593	18,64	2,793
22149	Loarre	63,941	5,305	4,5	0,805	58,636	37,626	44,093	21,01
22150	Loporzano	77,341	15,789	10,323	5,466	61,552	39,447	46,254	22,105
22151	Loscorrales	23,875	0,246	0,246	0	23,629	12,856	15,922	10,773
22155	Monesma y Cajigar	34,851	14,052	14,048	0,004	20,799	13,242	15,445	7,557
22156	Monflorite-Lascasas	30,558	8,215	8,04	0,175	22,343	17,401	21,816	4,942
22157	Montanuy	105,076	27,789	25,104	2,685	77,287	55,136	69,588	22,151
22158	Monzón	313,153	100,334	87,744	12,59	212,819	148,923	198,537	63,896
22160	Naval	29,124	6,78	5,465	1,315	22,344	13,463	16,18	8,881
22162	Novales	15,792	2,397	1,004	1,393	13,395	10,221	10,395	3,174
22163	Nueno	58,799	24,594	18,433	6,161	34,205	21,517	29,012	12,688
22164	Olvena	13,603	1,328	1,013	0,315	12,275	6,982	7,034	5,293
22165	Ontiñena	93,374	15,758	15,449	0,309	77,616	49,124	66,37	28,492
22167	Osso de Cinca	219,508	118,668	49,074	69,594	100,84	63,176	84,301	37,664
22168	Palo	5,953	4	4	0	1,953	1,41	2,41	0,543
22170	Panticosa	10,976	0,008	0,008	0	10,968	9,804	10,514	1,164
22172	Peñalba	106,999	51,159	45,936	5,223	55,84	47,253	63,536	8,587
22173	Peñas de Riglos (Las)	31,377	8,961	8,961	0	22,416	13,132	18,17	9,284
22174	Peralta de Alcofea	126,132	16,138	13,876	2,262	109,994	64,749	76,921	45,245
22175	Peralta de Calasanz	80,7	16,293	11,263	5,03	64,407	34,411	44,828	29,996
22176	Peraltilla	22,113	1,74	1,74	0	20,373	12,373	13,609	8
22177	Perarrúa	18,791	4,517	4,517	0	14,274	9,407	13,41	4,867
22178	Pertusa	26,815	5,701	4,331	1,37	21,114	16,846	20,633	4,268
22181	Piracés	19,407	4,327	4,327	0	15,08	11,58	14,899	3,5
22182	Plan	25,022	3,759	2,637	1,122	21,263	15,612	17,063	5,651
22184	Poleñino	39,435	7,459	7,346	0,113	31,976	22,63	29,17	9,346
22186	Pozán de Vero	44,059	5,275	3,057	2,218	38,784	19,65	22,59	19,134
22187	Puebla de Castro (La)	20,595	1,276	1,246	0,03	19,319	12,357	12,926	6,962
22188	Puente de Montañana	4,869	2,089	2,089	0	2,78	2,401	2,619	0,379
22189	Puértolas	15,504	2,286	2,286	0	13,218	11,173	12,504	2,045
22190	Pueyo de Araguás (El)	26,099	1,024	1,02	0,004	25,075	19,95	20,966	5,125
22193	Pueyo de Santa Cruz	21,474	4,18	4,133	0,047	17,294	11,919	13,965	5,375
22195	Quicena	7,98	3,608	3,442	0,166	4,372	2,872	5,314	1,5
22197	Robres	101,681	30,465	29,798	0,667	71,216	50,599	68,853	20,617
22199	Sabiñánigo	116,159	34,771	34,432	0,339	81,388	57,266	76,582	24,122
22200	Sahún	13,804	2,133	2,133	0	11,671	9,358	10,8	2,313
22201	Salas Altas	78,092	8,301	2,691	5,61	69,791	40,649	43,934	29,142
22202	Salas Bajas	28,044	2,164	0	2,164	25,88	12,438	16,142	13,442
22203	Salillas	25,521	11,358	9,15	2,208	14,163	9,038	11,563	5,125
22204	Sallent de Gállego	34,694	6,377	5,369	1,008	28,317	23,342	24,582	4,975
22205	San Esteban de Litera	128,835	31,344	27,003	4,341	97,491	59,724	81,301	37,767
22206	Sangarrén	33,055	17,426	17,383	0,043	15,629	12,009	20,952	3,62
22207	San Juan de Plan	20,646	1,073	1,008	0,065	19,573	14,948	15,956	4,625
22208	Santa Cilia	26,734	7,883	5,875	2,008	18,851	12,54	13,722	6,311
22209	Santa Cruz de la Serós	21,85	4,272	1,872	2,4	17,578	13,578	14,143	4
22212	Santaliestra y San Quílez	6,306	1,718	1,455	0,263	4,588	2,838	4,293	1,75
22213	Sariñena	320,424	81,508	63,22	18,288	238,916	175,159	208,577	63,757
22214	Secastilla	20,298	6,013	5,146	0,867	14,285	9,285	11,302	5
22215	Seira	12,537	2,037	2,037	0	10,5	7,505	8,542	2,995
22217	Sena	168,192	87,462	46,519	40,943	80,73	53,674	68,35	27,056
22218	Senés de Alcubierre	11,793	2,276	2,276	0	9,517	7,517	9,418	2
22220	Sesa	27,704	5,619	5,519	0,1	22,085	14,134	17,555	7,951
22221	Sesué	8,248	0,727	0,727	0	7,521	6,021	6,748	1,5
22222	Siétamo	46,735	9,169	8,156	1,013	37,566	26,252	29,831	11,314
22223	Sopeira	11,797	1,601	1,58	0,021	10,196	7,071	7,526	3,125
22225	Tamarite de Litera	435,402	190,54	159,182	31,358	244,862	155,824	222,619	89,038
22226	Tardienta	49,548	7,697	7,602	0,095	41,851	29,178	37,18	12,673
22227	Tella-Sin	14,087	0,954	0,954	0	13,133	10,633	11,587	2,5
22228	Tierz	11,589	1,499	1,499	0	10,09	7,948	9,447	2,142
22229	Tolva	31,89	6,806	5,684	1,122	25,084	19,803	22,241	5,281
22230	Torla	33,452	5,365	5,365	0	28,087	23,212	24,452	4,875
22232	Torralba de Aragón	27,32	10,955	10,636	0,319	16,365	12,36	20,759	4,005
22233	Torre la Ribera	16,714	0,276	0,276	0	16,438	11,688	11,576	4,75
22234	Torrente de Cinca	186,295	120,324	53,015	67,309	65,971	38,528	50,534	27,443
22235	Torres de Alcanadre	19,333	3,924	2,802	1,122	15,409	11,409	14,207	4
22236	Torres de Barbués	34,243	13,704	13,478	0,226	20,539	17,158	20,741	3,381
22239	Tramaced	22,401	8,381	8,381	0	14,02	10,672	18,401	3,348
22242	Valfarta	21,339	1,297	1,21	0,087	20,042	15,62	15,83	4,422
22243	Valle de Bardají	26,961	11,704	11,573	0,131	15,257	8,495	15,017	6,762
22244	Valle de Lierp	22,179	6,11	6,067	0,043	16,069	10,796	15,113	5,273
22245	Velilla de Cinca	66,095	17,678	8,686	8,992	48,417	28,864	31,972	19,553
22246	Veracruz	9,359	0,88	0,88	0	8,479	5,354	6,23	3,125
22247	Viacamp y Litera	35,858	15,947	14,194	1,753	19,911	13,05	23,863	6,861
22248	Vicién	12,872	7,795	7,27	0,525	5,077	4,409	6,319	0,668
22249	Villanova	4,059	0,004	0,004	0	4,055	4,055	4,059	0
22250	Villanúa	9,13	2,565	2,302	0,263	6,565	5,19	5,242	1,375
22251	Villanueva de Sigena	136,328	76,764	58,671	18,093	59,564	39,635	51,864	19,929
22252	Yebra de Basa	16,546	1,539	1,539	0	15,007	10,619	12,421	4,388
22253	Yésero	2,056	0,004	0,004	0	2,052	1,802	1,806	0,25
22254	Zaidín	501,515	234,707	130,211	104,496	266,808	169,082	214,139	97,726
22901	Valle de Hecho	50,484	2,004	2,004	0	48,48	37,836	39,226	10,644
22902	Puente la Reina de Jaca	41,406	9,52	9,409	0,111	31,886	20,358	24,117	11,528
22903	San Miguel del Cinca	213,631	94,704	71,297	23,407	118,927	84,685	119,293	34,242
22904	Sotonera (La)	162,175	42,797	38,472	4,325	119,378	74,7	84,969	44,678
22905	Lupiñén-Ortilla	69,4	36,782	34,409	2,373	32,618	24,532	31,174	8,086
22906	Santa María de Dulcis	37,312	2,86	2,017	0,843	34,452	18,44	20,608	16,012
22907	Aínsa-Sobrarbe	103,752	11,894	7,754	4,14	91,858	67,578	70,908	24,28
22908	Hoz y Costeán	56,007	5,819	4,221	1,598	50,188	26,941	30,122	23,247
22909	Vencillón	45,794	15,166	15,112	0,054	30,628	27,176	34,428	3,452
44001	Ababuj	16,209	3,817	3,817	0	12,392	9,604	11,454	2,788
44002	Abejuela	2,789	0,004	0,004	0	2,785	1,658	2,535	1,127
44003	Aguatón	6,37	0,017	0,017	0	6,353	5,226	5,243	1,127
44004	Aguaviva	34,048	4,304	4,095	0,209	29,744	18,369	22,333	11,375
44005	Aguilar del Alfambra	13,247	1,648	1,513	0,135	11,599	7,395	10,227	4,204
44006	Alacón	43,506	3,424	3,298	0,126	40,082	24,748	27,926	15,334
44007	Alba	48,948	11,82	11,146	0,674	37,128	26,648	29,31	10,48
44008	Albalate del Arzobispo	185,673	26,161	16,453	9,708	159,512	80,553	86,882	78,959
44009	Albarracín	58,149	28,219	27,178	1,041	29,93	17,962	24,698	11,968
44010	Albentosa	35,381	9,449	9,406	0,043	25,932	16,145	17,791	9,787
44011	Alcaine	5,795	0,516	0,473	0,043	5,279	4,279	4,498	1
44012	Alcalá de la Selva	25,598	3,163	3,134	0,029	22,435	14,446	17,875	7,989
44013	Alcañiz	615,48	190,149	118,843	71,306	425,331	238,812	295,618	186,519
44014	Alcorisa	165,926	20,372	17,161	3,211	145,554	64,585	78,394	80,969
44016	Alfambra	60,443	18,542	17,395	1,147	41,901	28,851	40,188	13,05
44017	Aliaga	33,807	4,026	4,013	0,013	29,781	26,166	29,273	3,615
44018	Almohaja	3,27	0,179	0,179	0	3,091	3,091	3,266	0
44019	Alobras	8,368	2,129	2,129	0	6,239	6,08	6,11	0,159
44020	Alpeñés	8,82	0,228	0,228	0	8,592	5,967	7,195	2,625
44021	Allepuz	24,725	3,788	3,694	0,094	20,937	17,368	21,998	3,569
44022	Alloza	81,993	10,862	10,362	0,5	71,131	26,621	33,227	44,51
44023	Allueva	0,504	0	0	0	0,504	0,504	0,504	0
44024	Anadón	4,046	1,004	1,004	0	3,042	1,792	1,796	1,25
44025	Andorra	171,484	24,994	19,949	5,045	146,49	64,332	76,444	82,158
44026	Arcos de las Salinas	9,214	4,047	4,004	0,043	5,167	4,58	5,452	0,587
44027	Arens de Lledó	54,074	1,731	0,488	1,243	52,343	29,676	32,842	22,667
44028	Argente	33,171	4,371	4,298	0,073	28,8	24,531	27,796	4,269
44029	Ariño	16,644	0,034	0,026	0,008	16,61	7,029	8,431	9,581
44031	Azaila	16,755	2,163	2,098	0,065	14,592	9,884	12,995	4,708
44032	Bádenas	3,98	3	3	0	0,98	0,355	1,355	0,625
44033	Báguena	47,878	5,625	3,168	2,457	42,253	22,799	24,526	19,454
44034	Bañón	29,216	1,139	1,139	0	28,077	18,036	21,875	10,041
44035	Barrachina	11,977	1,129	1,129	0	10,848	9,912	10,916	0,936
44036	Bea	1,879	0,881	0,881	0	0,998	0,998	1,879	0
44037	Beceite	48,543	0,45	0	0,45	48,093	33,397	33,397	14,696
44038	Belmonte de San José	31,189	2,24	1,81	0,43	28,949	14,886	16,108	14,063
44039	Bello	43,43	7,452	7,102	0,35	35,978	25,002	33,638	10,976
44040	Berge	26,982	2,31	1,438	0,872	24,672	11,452	13,964	13,22
44041	Bezas	4,854	2,479	0,879	1,6	2,375	1,25	1,254	1,125
44042	Blancas	29,649	7,722	7,096	0,626	21,927	20,34	22,557	1,587
44043	Blesa	17,48	0,017	0,017	0	17,463	11,957	11,992	5,506
44044	Bordón	19,537	1,943	1,943	0	17,594	12,219	13,266	5,375
44045	Bronchales	10,863	0,933	0,881	0,052	9,93	5,984	6,966	3,946
44046	Bueña	17,127	3,595	3,595	0	13,532	8,901	12,449	4,631
44047	Burbáguena	28,992	5,831	5,07	0,761	23,161	14,325	16,348	8,836
44048	Cabra de Mora	7,292	1,646	0,652	0,994	5,646	3,271	3,638	2,375
44049	Calaceite	204,687	15,624	10,289	5,335	189,063	113,058	121,638	76,005
44050	Calamocha	182,991	19,153	16,847	2,306	163,838	115,261	126,93	48,577
44051	Calanda	294,913	63,341	34,521	28,82	231,572	127,247	151,031	104,325
44052	Calomarde	2,698	0,004	0,004	0	2,694	2,156	2,182	0,538
44053	Camañas	39,107	20,222	19,179	1,043	18,885	14,91	18,466	3,975
44054	Camarena de la Sierra	3,469	0,004	0,004	0	3,465	3,09	3,094	0,375
44055	Camarillas	18,512	4,491	3,255	1,236	14,021	10,98	12,544	3,041
44056	Caminreal	77,892	14,319	14,306	0,013	63,573	44,182	52,003	19,391
44059	Cantavieja	89,693	6,777	5,91	0,867	82,916	52,099	56,067	30,817
44060	Cañada de Benatanduz	12,092	0,047	0,047	0	12,045	9,719	9,723	2,326
44061	Cañada de Verich (La)	6,932	3,552	3,552	0	3,38	2,38	4,182	1
44062	Cañada Vellida	13,499	0,095	0,091	0,004	13,404	8,686	8,908	4,718
44063	Cañizar del Olivar	2,269	0	0	0	2,269	1,351	1,39	0,918
44064	Cascante del Río	4,706	0,091	0,004	0,087	4,615	2,865	2,869	1,75
44065	Castejón de Tornos	13,526	0,052	0	0,052	13,474	11,057	11,13	2,417
44066	Castel de Cabra	9,302	5,141	5,141	0	4,161	2,536	5,535	1,625
44067	Castelnou	18,486	5,939	3,442	2,497	12,547	7,565	9,783	4,982
44068	Castelserás	52,716	5,556	5,413	0,143	47,16	27,235	34,658	19,925
44070	Castellar (El)	9,945	4,567	4,567	0	5,378	3,361	4,803	2,017
44071	Castellote	116,308	8,254	6,267	1,987	108,054	65,037	72,064	43,017
44074	Cedrillas	28,889	0,959	0,951	0,008	27,93	23,626	23,381	4,304
44075	Celadas	63,829	4,62	4,389	0,231	59,209	41,905	44,672	17,304
44076	Cella	131,594	10,539	10,257	0,282	121,055	90,053	94,373	31,002
44077	Cerollera (La)	7,561	2,844	2,625	0,219	4,717	2,426	5,092	2,291
44080	Codoñera (La)	48,235	1,872	1	0,872	46,363	29,155	29,988	17,208
44082	Corbalán	11,518	3,794	3,794	0	7,724	6,38	6,954	1,344
44084	Cortes de Aragón	6,991	0,033	0,025	0,008	6,958	3,565	3,647	3,393
44085	Cosa	19,84	0,025	0,004	0,021	19,815	18,2	18,44	1,615
44086	Cretas	133,215	19,41	16,498	2,912	113,805	62,467	71,428	51,338
44087	Crivillén	13,994	5,06	5,06	0	8,934	3,239	4,3	5,695
44088	Cuba (La)	11,528	2,622	2,622	0	8,906	6,781	7,653	2,125
44089	Cubla	3,942	0,392	0,392	0	3,55	2,675	2,942	0,875
44090	Cucalón	21,554	2,314	1,854	0,46	19,24	11,249	13,547	7,991
44092	Cuervo (El)	3,025	0	0	0	3,025	1,262	1,306	1,763
44093	Cuevas de Almudén	14,447	2,961	2,961	0	11,486	7,218	8,443	4,268
44094	Cuevas Labradas	8,999	1,438	1,438	0	7,561	6,936	8,374	0,625
44096	Ejulve	19,944	2,184	2,12	0,064	17,76	9,029	10,609	8,731
44097	Escorihuela	27,786	5,232	4,935	0,297	22,554	14,03	18,913	8,524
44099	Escucha	15,575	2,372	2	0,372	13,203	9,016	10,454	4,187
44100	Estercuel	11,551	4,992	4,554	0,438	6,559	4,016	6,234	2,543
44101	Ferreruela de Huerva	15,183	1,882	1,882	0	13,301	8,987	10,55	4,314
44102	Fonfría	5,481	0,438	0,438	0	5,043	4,043	4,481	1
44103	Formiche Alto	17,584	3,068	3,068	0	14,516	12,609	15,334	1,907
44105	Fórnoles	22,126	1,415	1,402	0,013	20,711	10,276	11,157	10,435
44106	Fortanete	21,699	0,87	0,744	0,126	20,829	15,973	16,469	4,856
44107	Foz-Calanda	49,699	15,126	12,58	2,546	34,573	21,053	26,152	13,52
44108	Fresneda (La)	75,432	9,121	4,431	4,69	66,311	36,96	39,787	29,351
44109	Frías de Albarracín	18,051	2,759	2,264	0,495	15,292	7,501	9,215	7,791
44110	Fuenferrada	8,536	0,349	0,341	0,008	8,187	5,499	5,853	2,688
44111	Fuentes Calientes	33,818	3,544	2,48	1,064	30,274	18,573	19,577	11,701
44112	Fuentes Claras	44,975	4,562	3,183	1,379	40,413	32,537	35,588	7,876
44113	Fuentes de Rubielos	1,905	0,335	0,292	0,043	1,57	1,57	1,862	0
44114	Fuentespalda	67,379	6,584	4,793	1,791	60,795	36,549	38,827	24,246
44115	Galve	23,509	5,25	4,966	0,284	18,259	15,204	16,833	3,055
44116	Gargallo	7,86	3,249	3,004	0,245	4,611	2,149	4,24	2,462
44117	Gea de Albarracín	15,229	1,418	1,418	0	13,811	9,35	10,35	4,461
44118	Ginebrosa (La)	76,858	25,461	22,946	2,515	51,397	27,631	34,759	23,766
44119	Griegos	6,218	0,004	0,004	0	6,214	5,408	5,412	0,806
44120	Guadalaviar	40,611	1,004	1,004	0	39,607	24,857	24,861	14,75
44121	Gúdar	18,282	2,004	2,004	0	16,278	14,077	15,217	2,201
44122	Híjar	121,14	48,904	26,047	22,857	72,236	45,509	60,725	26,727
44123	Hinojosa de Jarque	29,739	18,541	17,039	1,502	11,198	7,849	9,845	3,349
44124	Hoz de la Vieja (La)	11,491	0,004	0,004	0	11,487	8,046	8,102	3,441
44125	Huesa del Común	17,697	6,66	4,346	2,314	11,037	8,818	10,375	2,219
44126	Iglesuela del Cid (La)	15,543	0,012	0,004	0,008	15,531	11,312	10,535	4,219
44127	Jabaloyas	4,159	0,538	0,004	0,534	3,621	2,048	2,34	1,573
44128	Jarque de la Val	10,061	1,931	1,884	0,047	8,13	7,093	7,389	1,037
44129	Jatiel	5,339	0,004	0,004	0	5,335	2,647	3,089	2,688
44130	Jorcas	5,127	0,462	0,462	0	4,665	4,436	4,48	0,229
44131	Josa	3,375	0,659	0,642	0,017	2,716	2,091	2,358	0,625
44132	Lagueruela	16,947	5,361	5,142	0,219	11,586	9,961	10,978	1,625
44133	Lanzuela	5,61	1,034	1,004	0,03	4,576	3,826	3,83	0,75
44135	Libros	16,76	0,991	0,944	0,047	15,769	7,876	8,266	7,893
44136	Lidón	21,699	7,991	6,062	1,929	13,708	9,958	12,295	3,75
44137	Linares de Mora	23,512	1,33	1,222	0,108	22,182	14,974	15,978	7,208
44138	Loscos	27,268	3,213	3,004	0,209	24,055	15,813	18,246	8,242
44141	Lledó	47,961	8,731	8,285	0,446	39,23	23,19	25,011	16,04
44142	Maicas	32,569	29,131	29	0,131	3,438	2,438	12,438	1
44143	Manzanera	28,546	1,45	1,407	0,043	27,096	17,524	21,747	9,572
44144	Martín del Río	13,28	3,077	3,077	0	10,203	7,114	9,651	3,089
44145	Mas de las Matas	56,223	7,109	5,231	1,878	49,114	30,868	35,191	18,246
44146	Mata de los Olmos (La)	21,781	5,913	5,475	0,438	15,868	7,91	9,092	7,958
44147	Mazaleón	181,938	35,177	16,894	18,283	146,761	85,774	93,006	60,987
