Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
2004	Mujeres	92	02	Aragón	1146	0,00426228621668504
2005	Hombres	92	02	Aragón	-575	-0,00213858165322329
2005	Mujeres	92	02	Aragón	1241	0,00461561709852193
2006	Hombres	92	02	Aragón	-487	-0,00181128567846912
2006	Mujeres	92	02	Aragón	1223	0,00454867019459494
2007	Hombres	92	02	Aragón	-531	-0,00197493366584621
2007	Mujeres	92	02	Aragón	1301	0,00483877344494523
2008	Hombres	92	02	Aragón	-548	-0,00203816129733281
2008	Mujeres	92	02	Aragón	1260	0,00468628327488931
2009	Hombres	92	02	Aragón	-500	-0,00185963622019417
2009	Mujeres	92	02	Aragón	1248	0,00464165200560465
2010	Hombres	92	02	Aragón	-534	-0,00198609148316737
2010	Mujeres	92	02	Aragón	1335	0,00496522870791843
2011	Hombres	92	02	Aragón	-546	-0,00203072275245203
2011	Mujeres	92	02	Aragón	1491	0,00554543520861901
2012	Hombres	92	02	Aragón	-580	-0,00215717801542524
2012	Mujeres	92	02	Aragón	1523	0,00566445192671144
2013	Hombres	92	02	Aragón	-735	-0,00273366524368543
2013	Mujeres	92	02	Aragón	1727	0,00642318350455066
2014	Hombres	92	02	Aragón	-844	-0,00313906593968776
2014	Mujeres	92	02	Aragón	1850	0,00688065401471843
2015	Hombres	92	02	Aragón	-868	-0,00322832847825708
2015	Mujeres	92	02	Aragón	1943	0,00722654635167454
2016	Hombres	92	02	Aragón	-929	-0,00345520409712077
2016	Mujeres	92	02	Aragón	1995	0,00741994851857473
2017	Hombres	92	02	Aragón	-977	-0,00363372917425941
2017	Mujeres	92	02	Aragón	2132	0,00792948884290794
2018	Hombres	92	02	Aragón	-957	-0,00355934372545164
2018	Mujeres	92	02	Aragón	2015	0,0074943339673825
1998	Hombres	91	02	Aragón	-515	-0,00191542530679999
1998	Mujeres	91	02	Aragón	1091	0,00405772623246368
1999	Hombres	91	02	Aragón	-563	-0,00209395038393863
1999	Mujeres	91	02	Aragón	1119	0,00416186586079455
2000	Hombres	91	02	Aragón	-601	-0,00223528273667339
2000	Mujeres	91	02	Aragón	1190	0,00442593420406212
2001	Hombres	91	02	Aragón	-555	-0,00206419620441553
2001	Mujeres	91	02	Aragón	1262	0,00469372181977008
2002	Hombres	91	02	Aragón	-567	-0,00210882747370019
2002	Mujeres	91	02	Aragón	1396	0,00519210432678212
2003	Hombres	91	02	Aragón	-589	-0,00219065146738873
2003	Mujeres	91	02	Aragón	1369	0,00509168397089163
2004	Hombres	91	02	Aragón	-698	-0,00259605216339106
2004	Mujeres	91	02	Aragón	1480	0,00550452321177474
2005	Hombres	91	02	Aragón	-603	-0,00224272128155417
2005	Mujeres	91	02	Aragón	1467	0,00545617267004969
2006	Hombres	91	02	Aragón	-651	-0,00242124635869281
2006	Mujeres	91	02	Aragón	1547	0,00575371446528076
2007	Hombres	91	02	Aragón	-680	-0,00252910525946407
2007	Mujeres	91	02	Aragón	1520	0,00565329410939027
2008	Hombres	91	02	Aragón	-612	-0,00227619473351766
2008	Mujeres	91	02	Aragón	1486	0,00552683884641707
2009	Hombres	91	02	Aragón	-660	-0,0024547198106563
2009	Mujeres	91	02	Aragón	1576	0,00586157336605202
2010	Hombres	91	02	Aragón	-679	-0,00252538598702368
2010	Mujeres	91	02	Aragón	1703	0,00633392096598134
2011	Hombres	91	02	Aragón	-718	-0,00267043761219883
2011	Mujeres	91	02	Aragón	1772	0,00659055076436813
2012	Hombres	91	02	Aragón	-913	-0,00339569573807455
2012	Mujeres	91	02	Aragón	2066	0,00768401686184231
2013	Hombres	91	02	Aragón	-1037	-0,00385688552068271
2013	Mujeres	91	02	Aragón	2144	0,0079741201121926
