Continente	Area nacionalidad, código	Área	Nacionalidad, código	Nacionalidad, nombre	Personas	Aragón
Asia	07	Asia	416	JORDANIA	32	Aragón
Asia	07	Asia	419	LAOS	7	Aragón
Asia	07	Asia	420	LIBANO	20	Aragón
Asia	07	Asia	421	MALASIA	2	Aragón
Asia	07	Asia	423	MONGOLIA	1	Aragón
Asia	07	Asia	426	PAKISTAN	275	Aragón
Asia	07	Asia	430	COREA	28	Aragón
Asia	07	Asia	432	SINGAPUR	1	Aragón
Asia	07	Asia	433	SIRIA	31	Aragón
Asia	07	Asia	434	SRI LANKA	3	Aragón
Asia	07	Asia	435	TAILANDIA	9	Aragón
Asia	07	Asia	437	VIETNAM	1	Aragón
Asia	07	Asia	442	AZERBAIYAN	5	Aragón
Asia	07	Asia	443	KAZAJSTAN	1	Aragón
Asia	07	Asia	447	UZBEKISTAN	7	Aragón
Oceanía	08	Oceanía	501	AUSTRALIA	14	Aragón
Oceanía	08	Oceanía	504	NUEVA ZELANDA	3	Aragón
Oceanía	08	Oceanía	511	MICRONESIA	3	Aragón
Oceanía	08	Oceanía	512	TUVALU	19	Aragón
 Apátridas y no consta	09	Apátridas y no consta	555	APÁTRIDAS	11	Aragón
 Apátridas y no consta	09	Apátridas y no consta	600	PALESTINA	2	Aragón
