Municipio código	Municipio nombre	Plazas garaje	Número de edificios
22028	Ansó	00	269
22028	Ansó	01	56
22028	Ansó	02	2
22028	Ansó	03 a 05	5
22028	Ansó	06 a 10	5
22028	Ansó	11 a 20	1
22029	Antillón	00	54
22029	Antillón	01	12
22029	Antillón	02	2
22032	Aragüés del Puerto	00	122
22032	Aragüés del Puerto	01	11
22035	Arén	00	217
22035	Arén	01	7
22035	Arén	02	4
22035	Arén	03 a 05	1
22036	Argavieso	00	35
22036	Argavieso	01	19
22036	Argavieso	02	7
22036	Argavieso	03 a 05	5
22037	Arguis	00	50
22037	Arguis	01	5
22037	Arguis	02	5
22039	Ayerbe	00	435
22039	Ayerbe	01	80
22039	Ayerbe	02	14
22039	Ayerbe	03 a 05	4
22040	Azanuy-Alins	00	156
22040	Azanuy-Alins	01	42
22040	Azanuy-Alins	02	2
22041	Azara	00	56
22041	Azara	01	10
22041	Azara	02	22
22041	Azara	03 a 05	6
22041	Azara	06 a 10	1
22042	Azlor	00	68
22042	Azlor	01	16
22042	Azlor	02	17
22042	Azlor	03 a 05	2
22043	Baells	00	74
22043	Baells	01	10
22043	Baells	02	10
22043	Baells	03 a 05	3
22044	Bailo	00	116
22044	Bailo	01	30
22044	Bailo	02	12
22044	Bailo	03 a 05	1
22045	Baldellou	00	108
22045	Baldellou	01	11
22045	Baldellou	02	22
22045	Baldellou	03 a 05	2
22046	Ballobar	00	282
22046	Ballobar	01	123
22046	Ballobar	02	50
22046	Ballobar	03 a 05	12
22046	Ballobar	06 a 10	1
22046	Ballobar	11 a 20	1
22047	Banastás	00	26
22047	Banastás	01	15
22047	Banastás	02	20
22047	Banastás	03 a 05	7
22048	Barbastro	00	1185
22048	Barbastro	01	339
22048	Barbastro	02	307
22048	Barbastro	03 a 05	83
22048	Barbastro	06 a 10	24
22048	Barbastro	11 a 20	68
22048	Barbastro	21 a 50	34
22049	Barbués	00	39
22049	Barbués	01	12
22049	Barbués	02	6
22049	Barbués	03 a 05	2
22050	Barbuñales	00	61
22050	Barbuñales	01	25
22050	Barbuñales	02	1
22051	Bárcabo	00	58
22051	Bárcabo	01	2
22051	Bárcabo	02	3
22051	Bárcabo	03 a 05	2
22051	Bárcabo	06 a 10	1
22052	Belver de Cinca	00	305
22052	Belver de Cinca	01	33
22052	Belver de Cinca	02	116
22052	Belver de Cinca	03 a 05	83
22052	Belver de Cinca	06 a 10	1
22053	Benabarre	00	328
22053	Benabarre	01	168
22053	Benabarre	02	51
22053	Benabarre	03 a 05	14
22053	Benabarre	06 a 10	4
22054	Benasque	00	381
22054	Benasque	01	38
22054	Benasque	02	13
22054	Benasque	03 a 05	6
22054	Benasque	06 a 10	21
22054	Benasque	11 a 20	9
22054	Benasque	21 a 50	4
22054	Benasque	50 o más	1
22055	Berbegal	00	193
22055	Berbegal	01	54
22055	Berbegal	02	24
22055	Berbegal	03 a 05	1
22057	Bielsa	00	163
22057	Bielsa	01	30
22057	Bielsa	02	57
22057	Bielsa	03 a 05	12
22057	Bielsa	06 a 10	6
22058	Bierge	00	192
22058	Bierge	02	1
22059	Biescas	00	605
22059	Biescas	01	150
22059	Biescas	02	35
22059	Biescas	03 a 05	7
22059	Biescas	06 a 10	34
22059	Biescas	11 a 20	14
22060	Binaced	00	265
22060	Binaced	01	120
22060	Binaced	02	129
22060	Binaced	03 a 05	87
22060	Binaced	06 a 10	6
22061	Binéfar	00	1794
22061	Binéfar	01	15
22061	Binéfar	02	8
22061	Binéfar	03 a 05	9
22061	Binéfar	06 a 10	5
22061	Binéfar	11 a 20	2
22061	Binéfar	21 a 50	2
22062	Bisaurri	00	97
22062	Bisaurri	01	14
22062	Bisaurri	02	10
22062	Bisaurri	03 a 05	5
22063	Biscarrués	00	87
22063	Biscarrués	01	40
22063	Biscarrués	02	8
22063	Biscarrués	03 a 05	5
22064	Blecua y Torres	00	79
22064	Blecua y Torres	01	53
22064	Blecua y Torres	02	1
22064	Blecua y Torres	03 a 05	2
22066	Boltaña	00	223
22066	Boltaña	01	48
22066	Boltaña	02	29
22066	Boltaña	03 a 05	15
22066	Boltaña	06 a 10	14
22066	Boltaña	11 a 20	2
22066	Boltaña	21 a 50	2
22067	Bonansa	00	41
22067	Bonansa	01	2
22067	Bonansa	02	6
22067	Bonansa	03 a 05	3
22067	Bonansa	06 a 10	1
22068	Borau	00	78
22068	Borau	01	3
22068	Borau	02	2
22069	Broto	00	266
22069	Broto	01	22
22069	Broto	02	10
22069	Broto	03 a 05	3
22069	Broto	06 a 10	8
22072	Caldearenas	00	158
22072	Caldearenas	01	14
22072	Caldearenas	02	13
22072	Caldearenas	03 a 05	3
22074	Campo	00	152
22074	Campo	01	60
22074	Campo	02	1
22074	Campo	06 a 10	2
22074	Campo	11 a 20	2
22075	Camporrells	00	151
22075	Camporrells	01	20
22075	Camporrells	02	17
22075	Camporrells	03 a 05	13
22076	Canal de Berdún	00	180
22076	Canal de Berdún	01	65
22076	Canal de Berdún	02	32
22076	Canal de Berdún	03 a 05	3
22077	Candasnos	00	109
22077	Candasnos	01	57
22077	Candasnos	02	80
22077	Candasnos	03 a 05	24
22077	Candasnos	21 a 50	1
22078	Canfranc	00	151
22078	Canfranc	01	6
22078	Canfranc	02	4
22078	Canfranc	03 a 05	2
22078	Canfranc	06 a 10	2
22078	Canfranc	11 a 20	4
22078	Canfranc	21 a 50	3
22078	Canfranc	50 o más	1
22079	Capdesaso	00	74
22079	Capdesaso	01	27
22080	Capella	00	118
22080	Capella	01	30
22080	Capella	02	53
22080	Capella	03 a 05	20
22080	Capella	06 a 10	1
22081	Casbas de Huesca	00	323
22081	Casbas de Huesca	01	26
22081	Casbas de Huesca	02	5
22082	Castejón del Puente	00	135
22082	Castejón del Puente	01	40
22082	Castejón del Puente	02	38
22082	Castejón del Puente	03 a 05	8
22082	Castejón del Puente	06 a 10	2
22083	Castejón de Monegros	00	162
22083	Castejón de Monegros	01	109
22083	Castejón de Monegros	02	60
22083	Castejón de Monegros	03 a 05	12
22084	Castejón de Sos	00	170
22084	Castejón de Sos	01	38
22084	Castejón de Sos	02	16
22084	Castejón de Sos	03 a 05	5
22084	Castejón de Sos	06 a 10	2
22084	Castejón de Sos	11 a 20	2
22084	Castejón de Sos	21 a 50	4
22085	Castelflorite	00	34
22085	Castelflorite	01	17
22085	Castelflorite	02	8
22085	Castelflorite	03 a 05	2
22086	Castiello de Jaca	00	82
22086	Castiello de Jaca	01	31
22086	Castiello de Jaca	03 a 05	8
22086	Castiello de Jaca	06 a 10	11
22087	Castigaleu	00	24
22087	Castigaleu	01	10
22087	Castigaleu	02	12
22087	Castigaleu	03 a 05	1
22088	Castillazuelo	00	73
22088	Castillazuelo	01	50
22088	Castillazuelo	02	10
22088	Castillazuelo	03 a 05	1
22089	Castillonroy	00	122
22089	Castillonroy	01	40
22089	Castillonroy	02	64
22089	Castillonroy	03 a 05	23
22089	Castillonroy	06 a 10	7
22090	Colungo	00	87
22090	Colungo	01	3
22090	Colungo	02	4
22090	Colungo	03 a 05	1
22094	Chalamera	00	47
22094	Chalamera	01	27
22094	Chalamera	02	14
22094	Chalamera	03 a 05	4
22095	Chía	00	44
22095	Chía	01	7
22095	Chía	02	3
22095	Chía	03 a 05	2
22096	Chimillas	00	34
22096	Chimillas	01	21
22096	Chimillas	02	20
22096	Chimillas	03 a 05	2
22099	Esplús	00	189
22099	Esplús	01	50
22099	Esplús	02	20
22099	Esplús	03 a 05	3
22099	Esplús	06 a 10	2
22102	Estada	00	47
22102	Estada	01	15
22102	Estada	02	26
22102	Estada	03 a 05	12
22103	Estadilla	00	137
22103	Estadilla	01	79
22103	Estadilla	02	99
22103	Estadilla	03 a 05	54
22103	Estadilla	06 a 10	2
22103	Estadilla	11 a 20	2
22105	Estopiñán del Castillo	00	134
22105	Estopiñán del Castillo	01	31
22105	Estopiñán del Castillo	02	12
22105	Estopiñán del Castillo	03 a 05	1
22106	Fago	00	61
22106	Fago	01	16
22107	Fanlo	00	125
22109	Fiscal	00	190
22109	Fiscal	01	17
22109	Fiscal	02	6
22110	Fonz	00	380
22110	Fonz	01	161
22110	Fonz	02	48
22110	Fonz	03 a 05	5
22111	Foradada del Toscar	00	113
22111	Foradada del Toscar	01	21
22111	Foradada del Toscar	02	5
22112	Fraga	00	983
22112	Fraga	01	394
22112	Fraga	02	422
22112	Fraga	03 a 05	326
22112	Fraga	06 a 10	70
22112	Fraga	11 a 20	15
22112	Fraga	21 a 50	9
22112	Fraga	50 o más	2
22113	Fueva (La)	00	202
22113	Fueva (La)	01	45
22113	Fueva (La)	02	25
22113	Fueva (La)	03 a 05	7
22114	Gistaín	00	60
22114	Gistaín	01	1
22114	Gistaín	02	1
22115	Grado (El)	00	330
22115	Grado (El)	01	52
22115	Grado (El)	02	15
22115	Grado (El)	03 a 05	10
22116	Grañén	00	468
22116	Grañén	01	129
22116	Grañén	02	100
22116	Grañén	03 a 05	2
22116	Grañén	06 a 10	1
22116	Grañén	11 a 20	2
22116	Grañén	21 a 50	1
22117	Graus	00	957
22117	Graus	01	226
22117	Graus	02	100
22117	Graus	03 a 05	19
22117	Graus	06 a 10	20
22117	Graus	11 a 20	16
22117	Graus	21 a 50	4
22117	Graus	50 o más	3
22119	Gurrea de Gállego	00	436
22119	Gurrea de Gállego	01	334
22119	Gurrea de Gállego	02	23
22119	Gurrea de Gállego	03 a 05	5
22122	Hoz de Jaca	00	41
22122	Hoz de Jaca	01	28
22122	Hoz de Jaca	02	2
22124	Huerto	00	112
22124	Huerto	01	29
22124	Huerto	02	44
22124	Huerto	03 a 05	13
22124	Huerto	06 a 10	1
22125	Huesca	00	2037
22125	Huesca	01	213
22125	Huesca	02	74
22125	Huesca	03 a 05	39
22125	Huesca	06 a 10	40
22125	Huesca	11 a 20	223
22125	Huesca	21 a 50	180
22125	Huesca	50 o más	32
22126	Ibieca	00	52
22126	Ibieca	01	26
22126	Ibieca	02	1
22127	Igriés	00	53
22127	Igriés	01	38
22127	Igriés	02	18
22127	Igriés	03 a 05	2
22128	Ilche	00	103
22128	Ilche	01	13
22128	Ilche	02	12
22128	Ilche	03 a 05	12
22128	Ilche	06 a 10	1
22129	Isábena	00	113
22129	Isábena	01	26
22129	Isábena	02	6
22130	Jaca	00	1421
22130	Jaca	01	255
22130	Jaca	02	110
22130	Jaca	03 a 05	30
22130	Jaca	06 a 10	62
22130	Jaca	11 a 20	87
22130	Jaca	21 a 50	72
22130	Jaca	50 o más	15
22131	Jasa	00	117
22131	Jasa	01	13
22131	Jasa	02	2
22133	Labuerda	00	63
22133	Labuerda	01	22
22133	Labuerda	02	3
22133	Labuerda	03 a 05	2
22133	Labuerda	06 a 10	1
22135	Laluenga	00	77
22135	Laluenga	01	74
22135	Laluenga	02	8
22136	Lalueza	00	284
22136	Lalueza	01	128
22136	Lalueza	02	111
22136	Lalueza	03 a 05	21
22136	Lalueza	11 a 20	1
22137	Lanaja	00	481
22137	Lanaja	01	304
22137	Lanaja	03 a 05	2
22139	Laperdiguera	00	43
22139	Laperdiguera	01	31
22139	Laperdiguera	02	1
22141	Lascellas-Ponzano	00	98
22141	Lascellas-Ponzano	01	46
22141	Lascellas-Ponzano	02	1
22141	Lascellas-Ponzano	03 a 05	1
22142	Lascuarre	00	65
22142	Lascuarre	01	9
22142	Lascuarre	02	34
22142	Lascuarre	03 a 05	8
22143	Laspaúles	00	128
22143	Laspaúles	01	19
22143	Laspaúles	02	26
22143	Laspaúles	03 a 05	3
22143	Laspaúles	06 a 10	1
22144	Laspuña	00	71
22144	Laspuña	01	31
22144	Laspuña	02	7
22144	Laspuña	03 a 05	3
22149	Loarre	00	165
22149	Loarre	01	64
22149	Loarre	02	42
22149	Loarre	03 a 05	7
22150	Loporzano	00	157
22150	Loporzano	01	39
22150	Loporzano	02	27
22150	Loporzano	03 a 05	5
22151	Loscorrales	00	52
22151	Loscorrales	01	9
22151	Loscorrales	02	6
22151	Loscorrales	03 a 05	2
22155	Monesma y Cajigar	00	51
22155	Monesma y Cajigar	01	4
22155	Monesma y Cajigar	02	7
22156	Monflorite-Lascasas	00	18
22156	Monflorite-Lascasas	01	12
22156	Monflorite-Lascasas	02	37
22156	Monflorite-Lascasas	03 a 05	19
22157	Montanuy	00	156
22157	Montanuy	01	15
22157	Montanuy	02	13
22157	Montanuy	03 a 05	3
22158	Monzón	00	1473
22158	Monzón	01	891
22158	Monzón	02	413
22158	Monzón	03 a 05	143
22158	Monzón	06 a 10	49
22158	Monzón	11 a 20	48
22158	Monzón	21 a 50	13
22158	Monzón	50 o más	5
22160	Naval	00	107
22160	Naval	01	28
22160	Naval	02	16
22160	Naval	03 a 05	5
22162	Novales	00	44
22162	Novales	01	21
22162	Novales	02	3
22162	Novales	03 a 05	7
22163	Nueno	00	93
22163	Nueno	01	76
22163	Nueno	02	47
22163	Nueno	03 a 05	2
22164	Olvena	00	33
22164	Olvena	01	7
22165	Ontiñena	00	246
22165	Ontiñena	01	85
22165	Ontiñena	02	61
22165	Ontiñena	03 a 05	16
22167	Osso de Cinca	00	123
22167	Osso de Cinca	01	30
22167	Osso de Cinca	02	65
22167	Osso de Cinca	03 a 05	50
22167	Osso de Cinca	06 a 10	1
22168	Palo	00	24
22168	Palo	01	14
22168	Palo	02	1
22168	Palo	03 a 05	1
22170	Panticosa	00	235
22170	Panticosa	01	44
22170	Panticosa	02	5
22170	Panticosa	03 a 05	3
22170	Panticosa	06 a 10	9
22170	Panticosa	11 a 20	3
22170	Panticosa	21 a 50	3
22170	Panticosa	50 o más	1
22172	Peñalba	00	112
22172	Peñalba	01	37
22172	Peñalba	02	60
22172	Peñalba	03 a 05	42
22172	Peñalba	06 a 10	6
22173	Peñas de Riglos (Las)	00	364
22173	Peñas de Riglos (Las)	01	37
22173	Peñas de Riglos (Las)	02	15
22173	Peñas de Riglos (Las)	03 a 05	1
22174	Peralta de Alcofea	00	242
22174	Peralta de Alcofea	01	89
22174	Peralta de Alcofea	02	72
22174	Peralta de Alcofea	03 a 05	10
22175	Peralta de Calasanz	00	257
22175	Peralta de Calasanz	01	51
22175	Peralta de Calasanz	02	28
22175	Peralta de Calasanz	03 a 05	8
22176	Peraltilla	00	77
22176	Peraltilla	01	11
22176	Peraltilla	02	2
22176	Peraltilla	03 a 05	2
22176	Peraltilla	06 a 10	1
22177	Perarrúa	00	70
22177	Perarrúa	01	23
22177	Perarrúa	02	4
22178	Pertusa	00	76
22178	Pertusa	01	25
22181	Piracés	00	26
22181	Piracés	01	6
22181	Piracés	02	8
22181	Piracés	03 a 05	6
22182	Plan	00	122
22182	Plan	01	7
22182	Plan	02	3
22182	Plan	03 a 05	3
22184	Poleñino	00	82
22184	Poleñino	01	18
22184	Poleñino	02	10
22184	Poleñino	03 a 05	10
22186	Pozán de Vero	00	90
22186	Pozán de Vero	01	43
22186	Pozán de Vero	02	7
22187	Puebla de Castro (La)	00	152
22187	Puebla de Castro (La)	01	133
22187	Puebla de Castro (La)	02	8
22187	Puebla de Castro (La)	03 a 05	1
22187	Puebla de Castro (La)	11 a 20	1
22188	Puente de Montañana	00	80
22188	Puente de Montañana	01	5
22188	Puente de Montañana	02	6
22189	Puértolas	00	74
22189	Puértolas	01	14
22189	Puértolas	02	8
22189	Puértolas	03 a 05	1
22189	Puértolas	06 a 10	4
22190	Pueyo de Araguás (El)	00	35
22190	Pueyo de Araguás (El)	01	12
22190	Pueyo de Araguás (El)	02	6
22190	Pueyo de Araguás (El)	03 a 05	6
22193	Pueyo de Santa Cruz	00	63
22193	Pueyo de Santa Cruz	01	56
22193	Pueyo de Santa Cruz	02	27
22193	Pueyo de Santa Cruz	03 a 05	4
22195	Quicena	00	31
22195	Quicena	01	15
22195	Quicena	02	10
22195	Quicena	03 a 05	3
22197	Robres	00	105
22197	Robres	01	51
22197	Robres	02	70
22197	Robres	03 a 05	38
22197	Robres	06 a 10	1
22199	Sabiñánigo	00	958
22199	Sabiñánigo	01	356
22199	Sabiñánigo	02	69
22199	Sabiñánigo	03 a 05	18
22199	Sabiñánigo	06 a 10	13
22199	Sabiñánigo	11 a 20	6
22199	Sabiñánigo	21 a 50	1
22199	Sabiñánigo	50 o más	1
22200	Sahún	00	152
22200	Sahún	01	28
22200	Sahún	02	4
22200	Sahún	03 a 05	3
22201	Salas Altas	00	67
22201	Salas Altas	01	29
22201	Salas Altas	02	30
22201	Salas Altas	03 a 05	20
22201	Salas Altas	06 a 10	3
22202	Salas Bajas	00	67
22202	Salas Bajas	01	18
22202	Salas Bajas	02	14
22202	Salas Bajas	03 a 05	6
22203	Salillas	00	56
22203	Salillas	01	5
22203	Salillas	02	13
22203	Salillas	03 a 05	5
22204	Sallent de Gállego	00	327
22204	Sallent de Gállego	01	102
22204	Sallent de Gállego	02	29
22204	Sallent de Gállego	03 a 05	23
22204	Sallent de Gállego	06 a 10	43
22204	Sallent de Gállego	11 a 20	19
22204	Sallent de Gállego	21 a 50	11
22204	Sallent de Gállego	50 o más	1
22205	San Esteban de Litera	00	264
22205	San Esteban de Litera	01	69
22205	San Esteban de Litera	02	70
22205	San Esteban de Litera	03 a 05	53
22206	Sangarrén	00	104
22206	Sangarrén	01	11
22206	Sangarrén	02	10
22206	Sangarrén	03 a 05	4
22207	San Juan de Plan	00	44
22207	San Juan de Plan	01	3
22207	San Juan de Plan	02	2
22208	Santa Cilia	00	62
22208	Santa Cilia	01	40
22208	Santa Cilia	02	3
22209	Santa Cruz de la Serós	00	52
22209	Santa Cruz de la Serós	01	22
22209	Santa Cruz de la Serós	02	1
22212	Santaliestra y San Quílez	00	59
22212	Santaliestra y San Quílez	01	8
22212	Santaliestra y San Quílez	02	10
22213	Sariñena	00	994
22213	Sariñena	01	289
22213	Sariñena	02	238
22213	Sariñena	03 a 05	43
22213	Sariñena	06 a 10	7
22213	Sariñena	11 a 20	1
22214	Secastilla	00	68
22214	Secastilla	01	7
22215	Seira	00	69
22215	Seira	01	17
22215	Seira	02	7
22215	Seira	03 a 05	1
22215	Seira	06 a 10	5
22217	Sena	00	243
22217	Sena	01	68
22217	Sena	02	26
22217	Sena	03 a 05	2
22218	Senés de Alcubierre	00	31
22218	Senés de Alcubierre	01	5
22218	Senés de Alcubierre	06 a 10	1
22220	Sesa	00	89
22220	Sesa	01	29
22220	Sesa	02	19
22220	Sesa	03 a 05	7
22220	Sesa	06 a 10	1
22221	Sesué	00	47
22221	Sesué	01	37
22221	Sesué	02	1
22221	Sesué	03 a 05	1
22221	Sesué	11 a 20	2
22222	Siétamo	00	177
22222	Siétamo	01	33
22222	Siétamo	02	15
22222	Siétamo	03 a 05	11
22223	Sopeira	00	54
22223	Sopeira	01	7
22223	Sopeira	02	1
22225	Tamarite de Litera	00	663
22225	Tamarite de Litera	01	339
22225	Tamarite de Litera	02	184
22225	Tamarite de Litera	03 a 05	42
22225	Tamarite de Litera	06 a 10	10
22225	Tamarite de Litera	11 a 20	5
22226	Tardienta	00	233
22226	Tardienta	01	88
22226	Tardienta	02	34
22226	Tardienta	03 a 05	52
22226	Tardienta	06 a 10	1
22226	Tardienta	11 a 20	1
22227	Tella-Sin	00	69
22227	Tella-Sin	01	13
22227	Tella-Sin	02	5
22227	Tella-Sin	03 a 05	6
22227	Tella-Sin	06 a 10	3
22227	Tella-Sin	11 a 20	1
22228	Tierz	00	28
22228	Tierz	01	23
22228	Tierz	02	16
22228	Tierz	03 a 05	5
22228	Tierz	06 a 10	1
22229	Tolva	00	81
22229	Tolva	01	36
22229	Tolva	02	36
22229	Tolva	03 a 05	11
22229	Tolva	06 a 10	1
22230	Torla	00	146
22230	Torla	01	10
22230	Torla	02	2
22232	Torralba de Aragón	00	58
22232	Torralba de Aragón	01	14
22232	Torralba de Aragón	02	1
22233	Torre la Ribera	00	43
22233	Torre la Ribera	01	8
22233	Torre la Ribera	02	1
22234	Torrente de Cinca	00	132
22234	Torrente de Cinca	01	112
22234	Torrente de Cinca	02	116
22234	Torrente de Cinca	03 a 05	66
22234	Torrente de Cinca	06 a 10	1
22235	Torres de Alcanadre	00	53
22235	Torres de Alcanadre	01	26
22235	Torres de Alcanadre	02	12
22236	Torres de Barbués	00	54
22236	Torres de Barbués	01	52
22236	Torres de Barbués	02	41
22236	Torres de Barbués	03 a 05	5
22239	Tramaced	00	27
22239	Tramaced	01	11
22239	Tramaced	02	8
22239	Tramaced	03 a 05	1
22242	Valfarta	00	27
22242	Valfarta	01	10
22242	Valfarta	02	17
22242	Valfarta	03 a 05	5
22243	Valle de Bardají	00	12
22243	Valle de Bardají	01	4
22243	Valle de Bardají	02	4
22244	Valle de Lierp	00	31
22244	Valle de Lierp	01	5
22244	Valle de Lierp	02	4
22245	Velilla de Cinca	00	112
22245	Velilla de Cinca	01	42
22245	Velilla de Cinca	02	62
22245	Velilla de Cinca	03 a 05	21
22246	Veracruz	00	65
22246	Veracruz	01	10
22246	Veracruz	02	1
22247	Viacamp y Litera	00	15
22247	Viacamp y Litera	01	6
22247	Viacamp y Litera	02	1
22247	Viacamp y Litera	03 a 05	2
22248	Vicién	00	54
22248	Vicién	01	2
22249	Villanova	00	45
22249	Villanova	01	50
22249	Villanova	02	6
22249	Villanova	03 a 05	5
22249	Villanova	11 a 20	1
22250	Villanúa	00	131
22250	Villanúa	01	190
22250	Villanúa	02	12
22250	Villanúa	03 a 05	6
22250	Villanúa	06 a 10	42
22250	Villanúa	11 a 20	6
22250	Villanúa	21 a 50	12
22251	Villanueva de Sigena	00	103
22251	Villanueva de Sigena	01	98
22251	Villanueva de Sigena	02	34
22251	Villanueva de Sigena	03 a 05	7
22252	Yebra de Basa	00	37
22252	Yebra de Basa	01	27
22252	Yebra de Basa	02	1
22253	Yésero	00	41
22253	Yésero	01	13
22253	Yésero	02	5
22254	Zaidín	00	313
22254	Zaidín	01	178
22254	Zaidín	02	72
22254	Zaidín	03 a 05	24
22254	Zaidín	06 a 10	7
22901	Valle de Hecho	00	431
22901	Valle de Hecho	01	84
22901	Valle de Hecho	02	14
22901	Valle de Hecho	03 a 05	5
22901	Valle de Hecho	06 a 10	4
22902	Puente la Reina de Jaca	00	89
22902	Puente la Reina de Jaca	01	31
22902	Puente la Reina de Jaca	02	11
22902	Puente la Reina de Jaca	03 a 05	2
22903	San Miguel del Cinca	00	265
22903	San Miguel del Cinca	01	59
22903	San Miguel del Cinca	02	60
22903	San Miguel del Cinca	03 a 05	29
22903	San Miguel del Cinca	06 a 10	3
22904	Sotonera (La)	00	472
22904	Sotonera (La)	01	161
22904	Sotonera (La)	02	43
22904	Sotonera (La)	03 a 05	15
22904	Sotonera (La)	06 a 10	1
22905	Lupiñén-Ortilla	00	126
22905	Lupiñén-Ortilla	01	50
22905	Lupiñén-Ortilla	02	15
22905	Lupiñén-Ortilla	03 a 05	13
22906	Santa María de Dulcis	00	76
22906	Santa María de Dulcis	01	12
22906	Santa María de Dulcis	02	9
22906	Santa María de Dulcis	03 a 05	6
22907	Aínsa-Sobrarbe	00	400
22907	Aínsa-Sobrarbe	01	133
22907	Aínsa-Sobrarbe	02	49
22907	Aínsa-Sobrarbe	03 a 05	12
22907	Aínsa-Sobrarbe	06 a 10	12
22907	Aínsa-Sobrarbe	11 a 20	1
22908	Hoz y Costeán	00	129
22908	Hoz y Costeán	01	9
22908	Hoz y Costeán	02	10
22908	Hoz y Costeán	03 a 05	3
22909	Vencillón	00	14
22909	Vencillón	01	17
22909	Vencillón	02	66
22909	Vencillón	03 a 05	70
44001	Ababuj	00	84
44002	Abejuela	00	134
44002	Abejuela	01	3
44002	Abejuela	02	1
44002	Abejuela	03 a 05	1
44003	Aguatón	00	32
44003	Aguatón	01	1
44004	Aguaviva	00	293
44004	Aguaviva	01	154
44004	Aguaviva	02	49
44004	Aguaviva	03 a 05	13
44004	Aguaviva	06 a 10	1
44005	Aguilar del Alfambra	00	86
44006	Alacón	00	275
44006	Alacón	01	45
44006	Alacón	02	21
44006	Alacón	03 a 05	10
44007	Alba	00	196
44007	Alba	01	14
44007	Alba	02	13
44007	Alba	03 a 05	1
44008	Albalate del Arzobispo	00	872
44008	Albalate del Arzobispo	01	150
44008	Albalate del Arzobispo	02	65
44008	Albalate del Arzobispo	03 a 05	45
44008	Albalate del Arzobispo	06 a 10	13
44008	Albalate del Arzobispo	11 a 20	2
44009	Albarracín	00	370
44009	Albarracín	01	61
44009	Albarracín	02	41
44009	Albarracín	03 a 05	17
44009	Albarracín	11 a 20	1
44010	Albentosa	00	238
44010	Albentosa	01	11
44010	Albentosa	02	1
44010	Albentosa	03 a 05	3
44010	Albentosa	06 a 10	1
44011	Alcaine	00	213
44012	Alcalá de la Selva	00	722
