Año	Código del municipio	Nombre del municipio	Número total de explotaciones	Explotaciones sin tierras	Explotaciones con tierras labranza, pastos y otras	Explotaciones con tierras labranza y pastos	Explotaciones con tierras labranza y otras	Explotaciones con sólo tierras labranza	Explotaciones con pastos y otras tierras	Explotaciones con sólo pastos	Explotaciones con sólo otras tierras	Explotaciones con tierras
1989	22141	Lascellas-Ponzano	51	0	1	0	36	14	0	0	0	51
1989	22142	Lascuarre	44	0	2	1	33	3	0	0	5	44
1989	22143	Laspaúles	74	0	45	9	1	0	14	4	1	74
1989	22144	Laspuña	64	0	35	5	6	13	4	1	0	64
1989	22149	Loarre	133	5	3	0	98	20	0	0	7	128
1989	22150	Loporzano	186	2	13	8	92	49	3	1	18	184
1989	22151	Loscorrales	48	0	0	1	33	14	0	0	0	48
1989	22155	Monesma y Cajigar	32	0	3	20	5	1	1	0	2	32
1989	22156	Monflorite-Lascasas	45	0	5	5	8	23	1	0	3	45
1989	22157	Montanuy	102	0	59	15	2	0	16	4	6	102
1989	22158	Monzón	829	1	2	7	259	532	1	1	26	828
1989	22160	Naval	94	0	0	4	49	3	1	0	37	94
1989	22162	Novales	38	0	0	0	17	20	0	0	1	38
1989	22163	Nueno	86	0	4	0	50	9	1	0	22	86
1989	22164	Olvena	30	0	0	0	24	0	0	0	6	30
1989	22165	Ontiñena	135	4	1	0	0	128	1	1	0	131
1989	22167	Osso de Cinca	145	0	1	7	62	69	0	0	6	145
1989	22168	Palo	35	0	0	0	24	0	0	0	11	35
1989	22170	Panticosa	65	2	1	33	0	0	2	21	6	63
1989	22172	Peñalba	116	1	0	0	3	110	0	0	2	115
1989	22173	Peñas de Riglos (Las)	99	0	3	0	59	9	2	0	26	99
1989	22174	Peralta de Alcofea	117	0	2	79	0	35	0	1	0	117
1989	22175	Peralta de Calasanz	227	0	2	1	173	26	0	0	25	227
1989	22176	Peraltilla	46	0	0	0	38	5	0	0	3	46
1989	22177	Perarrúa	64	0	0	0	40	1	0	0	23	64
1989	22178	Pertusa	27	0	2	2	12	9	0	1	1	27
1989	22181	Piracés	23	0	1	0	15	5	0	0	2	23
1989	22182	Plan	77	0	28	18	4	0	14	6	7	77
1989	22184	Poleñino	56	0	0	6	14	34	0	0	2	56
1989	22186	Pozán de Vero	93	1	0	0	48	42	0	0	2	92
1989	22187	Puebla de Castro (La)	96	0	0	0	55	8	0	0	33	96
1989	22188	Puente de Montañana	26	0	0	10	9	1	0	0	6	26
1989	22189	Puértolas	67	0	24	1	4	5	18	3	12	67
1989	22190	Pueyo de Araguás (El)	57	0	30	0	4	0	11	0	12	57
1989	22193	Pueyo de Santa Cruz	77	0	0	3	5	66	0	0	3	77
1989	22195	Quicena	12	0	2	1	2	6	0	1	0	12
1989	22197	Robres	117	1	0	6	2	106	0	1	1	116
1989	22199	Sabiñánigo	298	0	22	5	142	38	22	2	67	298
1989	22200	Sahún	59	0	2	25	0	0	2	16	14	59
1989	22201	Salas Altas	128	0	0	0	57	66	0	0	5	128
1989	22202	Salas Bajas	76	0	0	0	53	15	0	0	8	76
1989	22203	Salillas	34	0	0	0	27	5	0	0	2	34
1989	22204	Sallent de Gállego	88	2	3	39	1	1	2	36	4	86
1989	22205	San Esteban de Litera	269	3	3	2	132	108	0	1	20	266
1989	22206	Sangarrén	77	0	0	26	8	35	2	3	3	77
1989	22207	San Juan de Plan	35	0	10	21	0	1	0	0	3	35
1989	22208	Santa Cilia	47	0	9	1	25	5	0	0	7	47
1989	22209	Santa Cruz de la Serós	35	0	0	0	29	1	1	0	4	35
1989	22212	Santaliestra y San Quílez	30	0	1	0	20	0	0	0	9	30
1989	22213	Sariñena	488	6	4	9	108	347	0	0	14	482
1989	22214	Secastilla	63	0	4	0	38	4	0	0	17	63
1989	22215	Seira	39	0	6	9	0	0	1	2	21	39
1989	22217	Sena	146	1	1	0	63	78	1	0	2	145
1989	22218	Senés de Alcubierre	22	0	0	1	1	19	0	0	1	22
1989	22220	Sesa	59	0	0	0	41	13	0	0	5	59
1989	22221	Sesué	19	0	0	6	0	0	0	11	2	19
1989	22222	Siétamo	91	0	15	7	46	17	1	0	5	91
1989	22223	Sopeira	33	0	1	1	21	5	2	0	3	33
1989	22225	Tamarite de Litera	577	1	11	2	408	143	0	0	12	576
1989	22226	Tardienta	216	4	4	19	12	174	1	0	2	212
1989	22227	Tella-Sin	56	0	28	8	1	0	13	0	6	56
1989	22228	Tierz	20	2	3	0	4	10	0	1	0	18
1989	22229	Tolva	77	0	4	10	46	6	1	3	7	77
1989	22230	Torla-Ordesa	55	0	7	17	0	0	12	18	1	55
1989	22232	Torralba de Aragón	46	0	2	6	14	22	0	0	2	46
1989	22233	Torre la Ribera	29	0	11	7	2	0	4	3	2	29
