Comarca código	Comarca nombre	Superficie útil agrupada (m2)	Número de viviendas
22	Campo de Belchite	076 - 090	472
22	Campo de Belchite	091 - 105	456
22	Campo de Belchite	106 - 120	454
22	Campo de Belchite	121 - 150	339
22	Campo de Belchite	151 o más	322
23	Bajo Martín	045 o menos	90
23	Bajo Martín	046 - 060	260
23	Bajo Martín	061 - 075	328
23	Bajo Martín	076 - 090	867
23	Bajo Martín	091 - 105	573
23	Bajo Martín	106 - 120	316
23	Bajo Martín	121 - 150	252
23	Bajo Martín	151 o más	218
24	Campo de Daroca	045 o menos	44
24	Campo de Daroca	046 - 060	178
24	Campo de Daroca	061 - 075	352
24	Campo de Daroca	076 - 090	767
24	Campo de Daroca	091 - 105	557
24	Campo de Daroca	106 - 120	318
24	Campo de Daroca	121 - 150	233
24	Campo de Daroca	151 o más	214
25	Jiloca	045 o menos	47
25	Jiloca	046 - 060	196
25	Jiloca	061 - 075	353
25	Jiloca	076 - 090	1405
25	Jiloca	091 - 105	1037
25	Jiloca	106 - 120	1067
25	Jiloca	121 - 150	793
25	Jiloca	151 o más	657
26	Cuencas Mineras	045 o menos	38
26	Cuencas Mineras	046 - 060	249
26	Cuencas Mineras	061 - 075	699
26	Cuencas Mineras	076 - 090	1024
26	Cuencas Mineras	091 - 105	614
26	Cuencas Mineras	106 - 120	444
26	Cuencas Mineras	121 - 150	287
26	Cuencas Mineras	151 o más	230
27	Andorra-Sierra de Arcos	045 o menos	59
27	Andorra-Sierra de Arcos	046 - 060	226
27	Andorra-Sierra de Arcos	061 - 075	373
27	Andorra-Sierra de Arcos	076 - 090	1634
27	Andorra-Sierra de Arcos	091 - 105	656
27	Andorra-Sierra de Arcos	106 - 120	490
27	Andorra-Sierra de Arcos	121 - 150	277
27	Andorra-Sierra de Arcos	151 o más	238
28	Bajo Aragón	045 o menos	171
28	Bajo Aragón	046 - 060	738
28	Bajo Aragón	061 - 075	1376
28	Bajo Aragón	076 - 090	3458
28	Bajo Aragón	091 - 105	1429
28	Bajo Aragón	106 - 120	1092
28	Bajo Aragón	121 - 150	715
28	Bajo Aragón	151 o más	534
29	Comunidad de Teruel	045 o menos	269
29	Comunidad de Teruel	046 - 060	828
29	Comunidad de Teruel	061 - 075	1986
29	Comunidad de Teruel	076 - 090	5345
29	Comunidad de Teruel	091 - 105	2771
29	Comunidad de Teruel	106 - 120	1818
29	Comunidad de Teruel	121 - 150	1337
29	Comunidad de Teruel	151 o más	1143
30	Maestrazgo	045 o menos	54
30	Maestrazgo	046 - 060	109
30	Maestrazgo	061 - 075	96
30	Maestrazgo	076 - 090	374
30	Maestrazgo	091 - 105	295
30	Maestrazgo	106 - 120	193
30	Maestrazgo	121 - 150	167
30	Maestrazgo	151 o más	215
31	Sierra de Albarracín	045 o menos	41
31	Sierra de Albarracín	046 - 060	167
31	Sierra de Albarracín	061 - 075	298
31	Sierra de Albarracín	076 - 090	595
31	Sierra de Albarracín	091 - 105	403
31	Sierra de Albarracín	106 - 120	272
31	Sierra de Albarracín	121 - 150	144
31	Sierra de Albarracín	151 o más	98
32	Gúdar-Javalambre	045 o menos	92
32	Gúdar-Javalambre	046 - 060	269
32	Gúdar-Javalambre	061 - 075	387
32	Gúdar-Javalambre	076 - 090	915
32	Gúdar-Javalambre	091 - 105	579
32	Gúdar-Javalambre	106 - 120	361
32	Gúdar-Javalambre	121 - 150	289
32	Gúdar-Javalambre	151 o más	315
33	Matarraña / Matarranya	045 o menos	123
33	Matarraña / Matarranya	046 - 060	301
33	Matarraña / Matarranya	061 - 075	357
33	Matarraña / Matarranya	076 - 090	802
33	Matarraña / Matarranya	091 - 105	560
33	Matarraña / Matarranya	106 - 120	473
33	Matarraña / Matarranya	121 - 150	402
33	Matarraña / Matarranya	151 o más	317
