Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2005	44	Teruel	87	34	Fabricación de vehículos de motor, remolques y semirremolques
2005	44	Teruel	69	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2005	44	Teruel	69	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2005	44	Teruel	66	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2005	44	Teruel	65	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2004	50	Zaragoza	3175	45	Construcción
2004	50	Zaragoza	1078	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2004	50	Zaragoza	918	29	Industria de la construción de maquinaria y equipo mecánico
2004	22	Huesca	908	45	Construcción
2004	50	Zaragoza	784	60	Transporte terrestre; transporte por tuberías
2004	50	Zaragoza	698	34	Fabricación de vehículos de motor, remolques y semirremolques
2004	50	Zaragoza	650	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	50	Zaragoza	491	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2004	44	Teruel	446	45	Construcción
2004	50	Zaragoza	408	75	Administración pública, defensa y seguridad social obligatoria
2004	50	Zaragoza	354	36	Fabricación de muebles; otras industrias manufactureras
2004	50	Zaragoza	344	25	Fabricacion de productos de caucho y materias plasticas
2004	22	Huesca	163	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2004	22	Huesca	158	15	Industria de productos alimenticios y bebidas
2004	22	Huesca	154	29	Industria de la construción de maquinaria y equipo mecánico
2004	22	Huesca	150	60	Transporte terrestre; transporte por tuberías
2004	22	Huesca	147	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2004	44	Teruel	125	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2004	44	Teruel	114	60	Transporte terrestre; transporte por tuberías
2004	44	Teruel	105	15	Industria de productos alimenticios y bebidas
2004	22	Huesca	104	26	Fabricación de otros productos minerales no metálicos
2004	22	Huesca	104	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2004	22	Huesca	101	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2004	22	Huesca	99	75	Administración pública, defensa y seguridad social obligatoria
2004	44	Teruel	88	26	Fabricación de otros productos minerales no metálicos
2004	44	Teruel	71	34	Fabricación de vehículos de motor, remolques y semirremolques
2004	44	Teruel	67	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2004	44	Teruel	59	75	Administración pública, defensa y seguridad social obligatoria
2004	44	Teruel	52	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2004	44	Teruel	41	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2003	50	Zaragoza	3237	45	Construcción
2003	50	Zaragoza	1060	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2003	22	Huesca	940	45	Construcción
2003	50	Zaragoza	935	29	Industria de la construción de maquinaria y equipo mecánico
2003	50	Zaragoza	788	60	Transporte terrestre; transporte por tuberías
2003	50	Zaragoza	657	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2003	50	Zaragoza	652	34	Fabricación de vehículos de motor, remolques y semirremolques
2003	50	Zaragoza	471	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos
2003	44	Teruel	457	45	Construcción
2003	50	Zaragoza	398	75	Administración pública, defensa y seguridad social obligatoria
2003	50	Zaragoza	379	15	Industria de productos alimenticios y bebidas
2003	50	Zaragoza	355	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2003	22	Huesca	164	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2003	22	Huesca	156	15	Industria de productos alimenticios y bebidas
2003	22	Huesca	156	28	Fabricación de productos metálicos, excepto maquinaria y equipo
2003	22	Huesca	144	60	Transporte terrestre; transporte por tuberías
2003	22	Huesca	138	29	Industria de la construción de maquinaria y equipo mecánico
2003	44	Teruel	131	10	Extracción y aglomeración de antracita, hulla, lignito y turba
2003	44	Teruel	116	15	Industria de productos alimenticios y bebidas
2003	44	Teruel	116	26	Fabricación de otros productos minerales no metálicos
2003	44	Teruel	116	34	Fabricación de vehículos de motor, remolques y semirremolques
2003	22	Huesca	112	26	Fabricación de otros productos minerales no metálicos
2003	22	Huesca	108	75	Administración pública, defensa y seguridad social obligatoria
2003	44	Teruel	99	60	Transporte terrestre; transporte por tuberías
2003	22	Huesca	96	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2003	22	Huesca	91	50	Venta, mantenimiento y reparación de vehículos de motor, motocicletas y ciclomotores; venta al por menor de combustible para vehículos de motor
2003	44	Teruel	70	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas
2003	44	Teruel	60	20	Industria de la madera y del corcho, excepto muebles; cestería y espartería
2003	44	Teruel	58	75	Administración pública, defensa y seguridad social obligatoria
2003	44	Teruel	56	28	Fabricación de productos metálicos, excepto maquinaria y equipo
