Mes y año	'Aragón'	Sexo	Nº parados	Grupos 1 duración demanda código	Grupos 1 duración demanda descripción
Noviembre 2015	Aragón	Hombres	2702	5	De 2 a 3 años
Noviembre 2015	Aragón	Hombres	6251	6	Más de 3 años
Noviembre 2015	Aragón	Mujeres	17264	1	Hasta 3 meses
Noviembre 2015	Aragón	Mujeres	5707	2	De 3 a 6 meses
Noviembre 2015	Aragón	Mujeres	6268	3	De 6 a 12 meses
Noviembre 2015	Aragón	Mujeres	7463	4	De 1 a 2 años
Noviembre 2015	Aragón	Mujeres	4385	5	De 2 a 3 años
Noviembre 2015	Aragón	Mujeres	9538	6	Más de 3 años
Octubre 2015	Aragón	Hombres	16821	1	Hasta 3 meses
Octubre 2015	Aragón	Hombres	4758	2	De 3 a 6 meses
Octubre 2015	Aragón	Hombres	4757	3	De 6 a 12 meses
Octubre 2015	Aragón	Hombres	5588	4	De 1 a 2 años
Octubre 2015	Aragón	Hombres	2773	5	De 2 a 3 años
Octubre 2015	Aragón	Hombres	6259	6	Más de 3 años
Octubre 2015	Aragón	Mujeres	17181	1	Hasta 3 meses
Octubre 2015	Aragón	Mujeres	5529	2	De 3 a 6 meses
Octubre 2015	Aragón	Mujeres	6597	3	De 6 a 12 meses
Octubre 2015	Aragón	Mujeres	7590	4	De 1 a 2 años
Octubre 2015	Aragón	Mujeres	4464	5	De 2 a 3 años
Octubre 2015	Aragón	Mujeres	9500	6	Más de 3 años
Septiembre 2015	Aragón	Hombres	15238	1	Hasta 3 meses
Septiembre 2015	Aragón	Hombres	4394	2	De 3 a 6 meses
Septiembre 2015	Aragón	Hombres	5507	3	De 6 a 12 meses
Septiembre 2015	Aragón	Hombres	5785	4	De 1 a 2 años
Septiembre 2015	Aragón	Hombres	2903	5	De 2 a 3 años
Septiembre 2015	Aragón	Hombres	6361	6	Más de 3 años
Septiembre 2015	Aragón	Mujeres	15619	1	Hasta 3 meses
Septiembre 2015	Aragón	Mujeres	5373	2	De 3 a 6 meses
Septiembre 2015	Aragón	Mujeres	7441	3	De 6 a 12 meses
Septiembre 2015	Aragón	Mujeres	7723	4	De 1 a 2 años
