Año	Comarca Código	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre
2018	08	28	20	Industria química	08	Cinca Medio
2018	33	28	10	Industria de la alimentación	33	Matarraña / Matarranya
2018	28	26	23	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón
2018	05	25	43	Actividades de construcción especializada	05	Cinco Villas
2018	07	25	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	07	Somontano de Barbastro
2018	11	25	10	Industria de la alimentación	11	Bajo Cinca / Baix Cinca
2018	20	25	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud
2018	20	23	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	20	Comunidad de Calatayud
2018	21	23	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	21	Campo de Cariñena
2018	28	23	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	28	Bajo Aragón
2018	13	22	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	13	Campo de Borja
2018	21	22	31	Fabricación de muebles	21	Campo de Cariñena
2018	28	22	43	Actividades de construcción especializada	28	Bajo Aragón
2018		22	41	Construcción de edificios	NC	Municipio del centro de trabajo fuera de Aragón
2018	07	21	43	Actividades de construcción especializada	07	Somontano de Barbastro
2018	12	21	29	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2018	13	21	29	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2018	01	19	49	Transporte terrestre y por tubería	01	La Jacetania
2018	10	19	41	Construcción de edificios	10	Los Monegros
2018	11	19	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca
2018	20	19	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	20	Comunidad de Calatayud
2018	20	19	43	Actividades de construcción especializada	20	Comunidad de Calatayud
2018	20	19	49	Transporte terrestre y por tubería	20	Comunidad de Calatayud
2018	25	19	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	25	Jiloca
2018	11	18	49	Transporte terrestre y por tubería	11	Bajo Cinca / Baix Cinca
2018	26	18	29	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2018	28	18	41	Construcción de edificios	28	Bajo Aragón
2018	02	17	93	Actividades deportivas, recreativas y de entretenimiento	02	Alto Gállego
2018	04	17	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	04	La Ribagorza
2018	04	17	41	Construcción de edificios	04	La Ribagorza
2018	07	17	20	Industria química	07	Somontano de Barbastro
2018	09	17	25	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2018	09	17	33	Reparación e instalación de maquinaria y equipo	09	La Litera / La Llitera
2018	25	17	41	Construcción de edificios	25	Jiloca
2018	28	17	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28	Bajo Aragón
2018		17	43	Actividades de construcción especializada	NC	Municipio del centro de trabajo fuera de Aragón
2018	02	15	43	Actividades de construcción especializada	02	Alto Gállego
2018	11	15	43	Actividades de construcción especializada	11	Bajo Cinca / Baix Cinca
2018	13	15	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	13	Campo de Borja
2018	18	15	10	Industria de la alimentación	18	Ribera Baja del Ebro
2018	10	14	10	Industria de la alimentación	10	Los Monegros
2018	32	14	43	Actividades de construcción especializada	32	Gúdar-Javalambre
2018	01	13	41	Construcción de edificios	01	La Jacetania
2018	13	13	41	Construcción de edificios	13	Campo de Borja
2018	21	13	11	Fabricación de bebidas	21	Campo de Cariñena
2018	01	12	84	Administración Pública y defensa; Seguridad Social obligatoria	01	La Jacetania
2018	04	12	93	Actividades deportivas, recreativas y de entretenimiento	04	La Ribagorza
2018	07	12	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	07	Somontano de Barbastro
2018	07	12	84	Administración Pública y defensa; Seguridad Social obligatoria	07	Somontano de Barbastro
2018	12	12	49	Transporte terrestre y por tubería	12	Tarazona y el Moncayo
2018	13	12	10	Industria de la alimentación	13	Campo de Borja
2018	23	12	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	23	Bajo Martín
2018	32	12	10	Industria de la alimentación	32	Gúdar-Javalambre
2018		12	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón
2018	03	11	41	Construcción de edificios	03	Sobrarbe
2018	21	11	25	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena
2018	32	11	41	Construcción de edificios	32	Gúdar-Javalambre
2018	01	10	56	Servicios de comidas y bebidas	01	La Jacetania
2018	04	10	49	Transporte terrestre y por tubería	04	La Ribagorza
2018	12	10	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	12	Tarazona y el Moncayo
2018	12	10	84	Administración Pública y defensa; Seguridad Social obligatoria	12	Tarazona y el Moncayo
2018	21	10	10	Industria de la alimentación	21	Campo de Cariñena
2018	25	10	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	25	Jiloca
2018	25	10	10	Industria de la alimentación	25	Jiloca
2018	32	10	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2018	01	9	55	Servicios de alojamiento	01	La Jacetania
2018	02	9	41	Construcción de edificios	02	Alto Gállego
2018	02	9	55	Servicios de alojamiento	02	Alto Gállego
2018	04	9	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	04	La Ribagorza
2018	04	9	84	Administración Pública y defensa; Seguridad Social obligatoria	04	La Ribagorza
2018	12	9	25	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2018	14	9	15	Industria del cuero y del calzado	14	Aranda
2018	18	9	25	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2018	19	9	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	23	9	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	23	Bajo Martín
2018	24	9	84	Administración Pública y defensa; Seguridad Social obligatoria	24	Campo de Daroca
2018	33	9	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	33	Matarraña / Matarranya
2018		9	10	Industria de la alimentación	NC	Municipio del centro de trabajo fuera de Aragón
2018	02	8	49	Transporte terrestre y por tubería	02	Alto Gállego
2018	24	8	02	Silvicultura y explotación forestal	24	Campo de Daroca
2018	27	8	08	Otras industrias extractivas	27	Andorra-Sierra de Arcos
2018	32	8	20	Industria química	32	Gúdar-Javalambre
2018	10	7	18	Artes gráficas y reproducción de soportes grabados	10	Los Monegros
2018	10	7	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	10	Los Monegros
2018	18	7	20	Industria química	18	Ribera Baja del Ebro
2018	18	7	41	Construcción de edificios	18	Ribera Baja del Ebro
2018	18	7	43	Actividades de construcción especializada	18	Ribera Baja del Ebro
2018	18	7	49	Transporte terrestre y por tubería	18	Ribera Baja del Ebro
2018	26	7	33	Reparación e instalación de maquinaria y equipo	26	Cuencas Mineras
2018	26	7	41	Construcción de edificios	26	Cuencas Mineras
2018	27	7	43	Actividades de construcción especializada	27	Andorra-Sierra de Arcos
2018	03	6	55	Servicios de alojamiento	03	Sobrarbe
2018	19	6	43	Actividades de construcción especializada	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	19	6	84	Administración Pública y defensa; Seguridad Social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	24	6	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	24	Campo de Daroca
2018	33	6	41	Construcción de edificios	33	Matarraña / Matarranya
2018		6	33	Reparación e instalación de maquinaria y equipo	NC	Municipio del centro de trabajo fuera de Aragón
2018		6	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	NC	Municipio del centro de trabajo fuera de Aragón
2018	19	5	41	Construcción de edificios	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2018	22	5	49	Transporte terrestre y por tubería	22	Campo de Belchite
2018	24	5	49	Transporte terrestre y por tubería	24	Campo de Daroca
2018	25	5	23	Fabricación de otros productos minerales no metálicos	25	Jiloca
2018	25	5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	25	Jiloca
2018	26	5	10	Industria de la alimentación	26	Cuencas Mineras
2018	26	5	20	Industria química	26	Cuencas Mineras
2018	27	5	05	Extracción de antracita, hulla y lignito	27	Andorra-Sierra de Arcos
2018	31	5	11	Fabricación de bebidas	31	Sierra de Albarracín
2018	03	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	03	Sobrarbe
2018	03	4	08	Otras industrias extractivas	03	Sobrarbe
2018	14	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	14	Aranda
2018	14	4	84	Administración Pública y defensa; Seguridad Social obligatoria	14	Aranda
2018	22	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	22	Campo de Belchite
2018	23	4	41	Construcción de edificios	23	Bajo Martín
2018	24	4	10	Industria de la alimentación	24	Campo de Daroca
2018	27	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	27	Andorra-Sierra de Arcos
2018	27	4	17	Industria del papel	27	Andorra-Sierra de Arcos
2018	27	4	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	27	Andorra-Sierra de Arcos
2018	27	4	49	Transporte terrestre y por tubería	27	Andorra-Sierra de Arcos
2018	27	4	84	Administración Pública y defensa; Seguridad Social obligatoria	27	Andorra-Sierra de Arcos
2018	31	4	41	Construcción de edificios	31	Sierra de Albarracín
2018	33	4	49	Transporte terrestre y por tubería	33	Matarraña / Matarranya
2018	33	4	84	Administración Pública y defensa; Seguridad Social obligatoria	33	Matarraña / Matarranya
2018	14	3	25	Fabricación de productos metálicos, excepto maquinaria y equipo	14	Aranda
2018	31	3	43	Actividades de construcción especializada	31	Sierra de Albarracín
2018	31	3	55	Servicios de alojamiento	31	Sierra de Albarracín
2018	03	2	25	Fabricación de productos metálicos, excepto maquinaria y equipo	03	Sobrarbe
2018	03	2	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	03	Sobrarbe
2018	03	2	56	Servicios de comidas y bebidas	03	Sobrarbe
2018	14	2	13	Industria textil	14	Aranda
2018	14	2	22	Fabricación de productos de caucho y plásticos	14	Aranda
2018	22	2	23	Fabricación de otros productos minerales no metálicos	22	Campo de Belchite
2018	22	2	33	Reparación e instalación de maquinaria y equipo	22	Campo de Belchite
2018	22	2	84	Administración Pública y defensa; Seguridad Social obligatoria	22	Campo de Belchite
2018	30	2	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	30	Maestrazgo
2018	30	2	41	Construcción de edificios	30	Maestrazgo
2018	31	2	02	Silvicultura y explotación forestal	31	Sierra de Albarracín
2018	31	2	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2018	30	1	02	Silvicultura y explotación forestal	30	Maestrazgo
2018	30	1	55	Servicios de alojamiento	30	Maestrazgo
2018	30	1	84	Administración Pública y defensa; Seguridad Social obligatoria	30	Maestrazgo
2017	17	455	43	Actividades de construcción especializada	17	D.C. Zaragoza
2017	17	439	49	Transporte terrestre y por tubería	17	D.C. Zaragoza
2017	17	383	25	Fabricación de productos metálicos, excepto maquinaria y equipo	17	D.C. Zaragoza
2017	17	319	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	17	D.C. Zaragoza
2017	17	266	84	Administración Pública y defensa; Seguridad Social obligatoria	17	D.C. Zaragoza
2017	15	176	29	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro
2017	11	156	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca
2017	15	94	49	Transporte terrestre y por tubería	15	Ribera Alta del Ebro
2017	05	93	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	05	Cinco Villas
2017	19	86	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	16	84	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	16	Valdejalón
2017	15	65	52	Almacenamiento y actividades anexas al transporte	15	Ribera Alta del Ebro
2017	10	59	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	10	Los Monegros
2017	06	56	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	06	Hoya de Huesca / Plana de Uesca
2017	06	55	84	Administración Pública y defensa; Seguridad Social obligatoria	06	Hoya de Huesca / Plana de Uesca
2017	06	54	41	Construcción de edificios	06	Hoya de Huesca / Plana de Uesca
2017	15	54	25	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro
2017	05	50	23	Fabricación de otros productos minerales no metálicos	05	Cinco Villas
2017	29	49	29	Fabricación de vehículos de motor, remolques y semirremolques	29	Comunidad de Teruel
2017	08	48	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	08	Cinca Medio
2017	29	47	10	Industria de la alimentación	29	Comunidad de Teruel
2017	15	46	43	Actividades de construcción especializada	15	Ribera Alta del Ebro
2017	06	45	43	Actividades de construcción especializada	06	Hoya de Huesca / Plana de Uesca
2017	08	44	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	08	Cinca Medio
2017	09	41	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	09	La Litera / La Llitera
2017	06	40	25	Fabricación de productos metálicos, excepto maquinaria y equipo	06	Hoya de Huesca / Plana de Uesca
2017	09	38	10	Industria de la alimentación	09	La Litera / La Llitera
2017	05	36	10	Industria de la alimentación	05	Cinco Villas
2017	08	34	43	Actividades de construcción especializada	08	Cinca Medio
2017	16	34	29	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón
2017	16	33	25	Fabricación de productos metálicos, excepto maquinaria y equipo	16	Valdejalón
2017	16	32	49	Transporte terrestre y por tubería	16	Valdejalón
2017	29	32	84	Administración Pública y defensa; Seguridad Social obligatoria	29	Comunidad de Teruel
2017	08	31	28	Fabricación de maquinaria y equipo n.c.o.p.	08	Cinca Medio
2017	20	31	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud
2017	07	30	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	07	Somontano de Barbastro
2017	11	28	10	Industria de la alimentación	11	Bajo Cinca / Baix Cinca
2017	16	28	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón
2017	26	28	29	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras
2017	29	28	02	Silvicultura y explotación forestal	29	Comunidad de Teruel
2017	29	27	41	Construcción de edificios	29	Comunidad de Teruel
2017	08	26	25	Fabricación de productos metálicos, excepto maquinaria y equipo	08	Cinca Medio
2017	20	26	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	20	Comunidad de Calatayud
2017	21	26	31	Fabricación de muebles	21	Campo de Cariñena
2017	05	25	41	Construcción de edificios	05	Cinco Villas
2017	13	24	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	13	Campo de Borja
2017	09	23	43	Actividades de construcción especializada	09	La Litera / La Llitera
2017	28	23	43	Actividades de construcción especializada	28	Bajo Aragón
2017	01	22	49	Transporte terrestre y por tubería	01	La Jacetania
2017	02	22	93	Actividades deportivas, recreativas y de entretenimiento	02	Alto Gállego
2017	05	22	28	Fabricación de maquinaria y equipo n.c.o.p.	05	Cinco Villas
2017	05	22	84	Administración Pública y defensa; Seguridad Social obligatoria	05	Cinco Villas
2017	25	22	10	Industria de la alimentación	25	Jiloca
2017	28	22	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	28	Bajo Aragón
2017	11	21	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca
2017	28	21	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	28	Bajo Aragón
2017	21	20	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	21	Campo de Cariñena
2017	32	20	10	Industria de la alimentación	32	Gúdar-Javalambre
2017		20	43	Actividades de construcción especializada	NC	Municipio del centro de trabajo fuera de Aragón
2017	23	19	23	Fabricación de otros productos minerales no metálicos	23	Bajo Martín
2017	33	19	10	Industria de la alimentación	33	Matarraña / Matarranya
2017	01	18	84	Administración Pública y defensa; Seguridad Social obligatoria	01	La Jacetania
2017	04	18	93	Actividades deportivas, recreativas y de entretenimiento	04	La Ribagorza
2017	20	18	49	Transporte terrestre y por tubería	20	Comunidad de Calatayud
2017	01	17	41	Construcción de edificios	01	La Jacetania
2017	04	17	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	04	La Ribagorza
2017	11	17	25	Fabricación de productos metálicos, excepto maquinaria y equipo	11	Bajo Cinca / Baix Cinca
2017	13	17	29	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja
2017	28	17	10	Industria de la alimentación	28	Bajo Aragón
2017	11	16	43	Actividades de construcción especializada	11	Bajo Cinca / Baix Cinca
2017	20	16	84	Administración Pública y defensa; Seguridad Social obligatoria	20	Comunidad de Calatayud
2017	13	15	10	Industria de la alimentación	13	Campo de Borja
2017	28	15	49	Transporte terrestre y por tubería	28	Bajo Aragón
2017	04	14	41	Construcción de edificios	04	La Ribagorza
2017	13	14	41	Construcción de edificios	13	Campo de Borja
2017	13	14	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	13	Campo de Borja
2017	20	14	41	Construcción de edificios	20	Comunidad de Calatayud
2017	21	14	11	Fabricación de bebidas	21	Campo de Cariñena
2017	23	14	49	Transporte terrestre y por tubería	23	Bajo Martín
2017	01	13	43	Actividades de construcción especializada	01	La Jacetania
2017	02	13	43	Actividades de construcción especializada	02	Alto Gállego
2017	07	13	43	Actividades de construcción especializada	07	Somontano de Barbastro
2017	07	13	84	Administración Pública y defensa; Seguridad Social obligatoria	07	Somontano de Barbastro
2017	09	13	49	Transporte terrestre y por tubería	09	La Litera / La Llitera
2017	09	12	25	Fabricación de productos metálicos, excepto maquinaria y equipo	09	La Litera / La Llitera
2017	10	12	43	Actividades de construcción especializada	10	Los Monegros
2017	18	12	25	Fabricación de productos metálicos, excepto maquinaria y equipo	18	Ribera Baja del Ebro
2017	19	12	84	Administración Pública y defensa; Seguridad Social obligatoria	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017		12	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	NC	Municipio del centro de trabajo fuera de Aragón
2017	07	11	20	Industria química	07	Somontano de Barbastro
2017	12	11	29	Fabricación de vehículos de motor, remolques y semirremolques	12	Tarazona y el Moncayo
2017	18	11	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	18	Ribera Baja del Ebro
2017	25	11	41	Construcción de edificios	25	Jiloca
2017	27	11	08	Otras industrias extractivas	27	Andorra-Sierra de Arcos
2017		11	41	Construcción de edificios	NC	Municipio del centro de trabajo fuera de Aragón
2017	02	10	55	Servicios de alojamiento	02	Alto Gállego
2017	07	10	41	Construcción de edificios	07	Somontano de Barbastro
2017	10	10	10	Industria de la alimentación	10	Los Monegros
2017	10	10	41	Construcción de edificios	10	Los Monegros
2017	18	10	10	Industria de la alimentación	18	Ribera Baja del Ebro
2017	21	10	10	Industria de la alimentación	21	Campo de Cariñena
2017	26	10	33	Reparación e instalación de maquinaria y equipo	26	Cuencas Mineras
2017	32	10	43	Actividades de construcción especializada	32	Gúdar-Javalambre
2017	02	9	41	Construcción de edificios	02	Alto Gállego
2017	02	9	56	Servicios de comidas y bebidas	02	Alto Gállego
2017	19	9	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	21	9	25	Fabricación de productos metálicos, excepto maquinaria y equipo	21	Campo de Cariñena
2017	21	9	27	Fabricación de material y equipo eléctrico	21	Campo de Cariñena
2017	24	9	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	24	Campo de Daroca
2017	24	9	02	Silvicultura y explotación forestal	24	Campo de Daroca
2017	24	9	84	Administración Pública y defensa; Seguridad Social obligatoria	24	Campo de Daroca
2017	25	9	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	25	Jiloca
2017	32	9	41	Construcción de edificios	32	Gúdar-Javalambre
2017	01	8	85	Educación	01	La Jacetania
2017	10	8	49	Transporte terrestre y por tubería	10	Los Monegros
2017	18	8	20	Industria química	18	Ribera Baja del Ebro
2017	23	8	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	23	Bajo Martín
2017	25	8	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	25	Jiloca
2017	03	7	55	Servicios de alojamiento	03	Sobrarbe
2017	12	7	25	Fabricación de productos metálicos, excepto maquinaria y equipo	12	Tarazona y el Moncayo
2017	12	7	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2017	19	7	10	Industria de la alimentación	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	23	7	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	23	Bajo Martín
2017	27	7	05	Extracción de antracita, hulla y lignito	27	Andorra-Sierra de Arcos
2017	27	7	49	Transporte terrestre y por tubería	27	Andorra-Sierra de Arcos
2017	32	7	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	32	Gúdar-Javalambre
2017		7	42	Ingeniería civil	NC	Municipio del centro de trabajo fuera de Aragón
2017	04	6	43	Actividades de construcción especializada	04	La Ribagorza
2017	04	6	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	04	La Ribagorza
2017	12	6	45	Venta y reparación de vehículos de motor y motocicletas	12	Tarazona y el Moncayo
2017	14	6	15	Industria del cuero y del calzado	14	Aranda
2017	24	6	10	Industria de la alimentación	24	Campo de Daroca
2017	26	6	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	26	Cuencas Mineras
2017	26	6	38	Recogida, tratamiento y eliminación de residuos; valorización	26	Cuencas Mineras
2017	26	6	41	Construcción de edificios	26	Cuencas Mineras
2017	27	6	84	Administración Pública y defensa; Seguridad Social obligatoria	27	Andorra-Sierra de Arcos
2017	32	6	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	32	Gúdar-Javalambre
2017	12	5	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	12	Tarazona y el Moncayo
2017	12	5	43	Actividades de construcción especializada	12	Tarazona y el Moncayo
2017	12	5	84	Administración Pública y defensa; Seguridad Social obligatoria	12	Tarazona y el Moncayo
2017	18	5	41	Construcción de edificios	18	Ribera Baja del Ebro
2017	19	5	45	Venta y reparación de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	19	5	49	Transporte terrestre y por tubería	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	27	5	43	Actividades de construcción especializada	27	Andorra-Sierra de Arcos
2017	33	5	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	33	Matarraña / Matarranya
2017	33	5	02	Silvicultura y explotación forestal	33	Matarraña / Matarranya
2017	33	5	41	Construcción de edificios	33	Matarraña / Matarranya
2017	33	5	45	Venta y reparación de vehículos de motor y motocicletas	33	Matarraña / Matarranya
2017		5	10	Industria de la alimentación	NC	Municipio del centro de trabajo fuera de Aragón
2017		5	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	NC	Municipio del centro de trabajo fuera de Aragón
2017		5	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	NC	Municipio del centro de trabajo fuera de Aragón
2017	03	4	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	03	Sobrarbe
2017	25	4	22	Fabricación de productos de caucho y plásticos	25	Jiloca
2017	31	4	02	Silvicultura y explotación forestal	31	Sierra de Albarracín
2017	31	4	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	31	Sierra de Albarracín
2017	03	3	41	Construcción de edificios	03	Sobrarbe
2017	03	3	56	Servicios de comidas y bebidas	03	Sobrarbe
