Mes y año	Mes (código)	Mes nombre	Año	Sexo	Número de contratos	Temporalidad	Modalidad	Grupo de tipo de contrato	CCAA nombre
Julio 2020	202007	Julio	2020	Hombres	10	Temporal	Otros	Otros	Aragón
Julio 2020	202007	Julio	2020	Hombres	9	Temporal	Otros	Temp. Inserción	Aragón
Julio 2020	202007	Julio	2020	Mujeres	3	Temporal	Otros	Otros	Aragón
Julio 2020	202007	Julio	2020	Mujeres	16	Temporal	Otros	Temp. Inserción	Aragón
Julio 2020	202007	Julio	2020	Hombres	1097	Indefinido	Indefinido	Indef. Fomento	Aragón
Julio 2020	202007	Julio	2020	Hombres	1130	Indefinido	Indefinido	Indef. Ordinario	Aragón
Julio 2020	202007	Julio	2020	Mujeres	766	Indefinido	Indefinido	Indef. Fomento	Aragón
Julio 2020	202007	Julio	2020	Mujeres	925	Indefinido	Indefinido	Indef. Ordinario	Aragón
Julio 2020	202007	Julio	2020	Hombres	16	Indefinido	Discapacitados	Minusválidos	Aragón
Julio 2020	202007	Julio	2020	Mujeres	6	Indefinido	Discapacitados	Minusválidos	Aragón
Junio 2020	202006	Junio	2020	Hombres	11864	Temporal	Obra o servicio	Obra o servicio	Aragón
Junio 2020	202006	Junio	2020	Mujeres	5906	Temporal	Obra o servicio	Obra o servicio	Aragón
Junio 2020	202006	Junio	2020	Hombres	8587	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Junio 2020	202006	Junio	2020	Mujeres	6766	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Junio 2020	202006	Junio	2020	Hombres	538	Temporal	Interinidad	Interinidad	Aragón
Junio 2020	202006	Junio	2020	Mujeres	1388	Temporal	Interinidad	Interinidad	Aragón
Junio 2020	202006	Junio	2020	Hombres	41	Temporal	Discapacitados	Temp. Minusv	Aragón
Junio 2020	202006	Junio	2020	Mujeres	15	Temporal	Discapacitados	Temp. Minusv	Aragón
Junio 2020	202006	Junio	2020	Hombres	43	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Junio 2020	202006	Junio	2020	Hombres	15	Temporal	Ligados a la jubilación	Relevo	Aragón
Junio 2020	202006	Junio	2020	Hombres	2	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Junio 2020	202006	Junio	2020	Mujeres	13	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Junio 2020	202006	Junio	2020	Mujeres	10	Temporal	Ligados a la jubilación	Relevo	Aragón
Junio 2020	202006	Junio	2020	Hombres	6	Temporal	Ligados a la formación	Formación	Aragón
Junio 2020	202006	Junio	2020	Hombres	40	Temporal	Ligados a la formación	Prácticas	Aragón
Junio 2020	202006	Junio	2020	Mujeres	4	Temporal	Ligados a la formación	Formación	Aragón
Junio 2020	202006	Junio	2020	Mujeres	44	Temporal	Ligados a la formación	Prácticas	Aragón
Junio 2020	202006	Junio	2020	Hombres	10	Temporal	Otros	Otros	Aragón
Junio 2020	202006	Junio	2020	Hombres	6	Temporal	Otros	Temp. Inserción	Aragón
Junio 2020	202006	Junio	2020	Mujeres	8	Temporal	Otros	Otros	Aragón
Junio 2020	202006	Junio	2020	Mujeres	3	Temporal	Otros	Temp. Inserción	Aragón
Junio 2020	202006	Junio	2020	Hombres	809	Indefinido	Indefinido	Indef. Fomento	Aragón
Junio 2020	202006	Junio	2020	Hombres	1198	Indefinido	Indefinido	Indef. Ordinario	Aragón
Junio 2020	202006	Junio	2020	Mujeres	527	Indefinido	Indefinido	Indef. Fomento	Aragón
Junio 2020	202006	Junio	2020	Mujeres	1011	Indefinido	Indefinido	Indef. Ordinario	Aragón
Junio 2020	202006	Junio	2020	Hombres	10	Indefinido	Discapacitados	Minusválidos	Aragón
Junio 2020	202006	Junio	2020	Mujeres	9	Indefinido	Discapacitados	Minusválidos	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	10970	Temporal	Obra o servicio	Obra o servicio	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	4542	Temporal	Obra o servicio	Obra o servicio	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	5956	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	4424	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	390	Temporal	Interinidad	Interinidad	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	1009	Temporal	Interinidad	Interinidad	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	12	Temporal	Discapacitados	Temp. Minusv	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	7	Temporal	Discapacitados	Temp. Minusv	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	42	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	12	Temporal	Ligados a la jubilación	Relevo	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	7	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	7	Temporal	Ligados a la jubilación	Relevo	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	29	Temporal	Ligados a la formación	Prácticas	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	3	Temporal	Ligados a la formación	Formación	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	15	Temporal	Ligados a la formación	Prácticas	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	2	Temporal	Otros	Otros	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	4	Temporal	Otros	Temp. Inserción	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	1	Temporal	Otros	Otros	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	3	Temporal	Otros	Temp. Inserción	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	593	Indefinido	Indefinido	Indef. Fomento	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	878	Indefinido	Indefinido	Indef. Ordinario	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	420	Indefinido	Indefinido	Indef. Fomento	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	690	Indefinido	Indefinido	Indef. Ordinario	Aragón
Mayo 2020	202005	Mayo	2020	Hombres	10	Indefinido	Discapacitados	Minusválidos	Aragón
Mayo 2020	202005	Mayo	2020	Mujeres	7	Indefinido	Discapacitados	Minusválidos	Aragón
Abril 2020	202004	Abril	2020	Hombres	6378	Temporal	Obra o servicio	Obra o servicio	Aragón
Abril 2020	202004	Abril	2020	Mujeres	2572	Temporal	Obra o servicio	Obra o servicio	Aragón
Abril 2020	202004	Abril	2020	Hombres	3566	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Abril 2020	202004	Abril	2020	Mujeres	3047	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Abril 2020	202004	Abril	2020	Hombres	328	Temporal	Interinidad	Interinidad	Aragón
Abril 2020	202004	Abril	2020	Mujeres	1016	Temporal	Interinidad	Interinidad	Aragón
Abril 2020	202004	Abril	2020	Hombres	6	Temporal	Discapacitados	Temp. Minusv	Aragón
Abril 2020	202004	Abril	2020	Mujeres	6	Temporal	Discapacitados	Temp. Minusv	Aragón
Abril 2020	202004	Abril	2020	Hombres	25	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Abril 2020	202004	Abril	2020	Hombres	9	Temporal	Ligados a la jubilación	Relevo	Aragón
Abril 2020	202004	Abril	2020	Mujeres	10	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Abril 2020	202004	Abril	2020	Mujeres	9	Temporal	Ligados a la jubilación	Relevo	Aragón
Abril 2020	202004	Abril	2020	Mujeres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Abril 2020	202004	Abril	2020	Hombres	18	Temporal	Ligados a la formación	Prácticas	Aragón
Abril 2020	202004	Abril	2020	Mujeres	1	Temporal	Ligados a la formación	Formación	Aragón
Abril 2020	202004	Abril	2020	Mujeres	22	Temporal	Ligados a la formación	Prácticas	Aragón
Abril 2020	202004	Abril	2020	Hombres	9	Temporal	Otros	Otros	Aragón
Abril 2020	202004	Abril	2020	Hombres	1	Temporal	Otros	Temp. Inserción	Aragón
Abril 2020	202004	Abril	2020	Mujeres	3	Temporal	Otros	Otros	Aragón
Abril 2020	202004	Abril	2020	Mujeres	1	Temporal	Otros	Temp. Inserción	Aragón
Abril 2020	202004	Abril	2020	Hombres	588	Indefinido	Indefinido	Indef. Fomento	Aragón
Abril 2020	202004	Abril	2020	Hombres	653	Indefinido	Indefinido	Indef. Ordinario	Aragón
Abril 2020	202004	Abril	2020	Mujeres	381	Indefinido	Indefinido	Indef. Fomento	Aragón
Abril 2020	202004	Abril	2020	Mujeres	309	Indefinido	Indefinido	Indef. Ordinario	Aragón
Abril 2020	202004	Abril	2020	Hombres	7	Indefinido	Discapacitados	Minusválidos	Aragón
Abril 2020	202004	Abril	2020	Mujeres	4	Indefinido	Discapacitados	Minusválidos	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	5744	Temporal	Obra o servicio	Obra o servicio	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	3626	Temporal	Obra o servicio	Obra o servicio	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	9346	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	7792	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	709	Temporal	Interinidad	Interinidad	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	2184	Temporal	Interinidad	Interinidad	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	43	Temporal	Discapacitados	Temp. Minusv	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	16	Temporal	Discapacitados	Temp. Minusv	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	36	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	14	Temporal	Ligados a la jubilación	Relevo	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	3	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	11	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	7	Temporal	Ligados a la jubilación	Relevo	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	3	Temporal	Ligados a la formación	Formación	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	44	Temporal	Ligados a la formación	Prácticas	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	6	Temporal	Ligados a la formación	Formación	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	33	Temporal	Ligados a la formación	Prácticas	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	6	Temporal	Otros	Otros	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	4	Temporal	Otros	Temp. Inserción	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	4	Temporal	Otros	Otros	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	3	Temporal	Otros	Temp. Inserción	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	1341	Indefinido	Indefinido	Indef. Fomento	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	1148	Indefinido	Indefinido	Indef. Ordinario	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	857	Indefinido	Indefinido	Indef. Fomento	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	905	Indefinido	Indefinido	Indef. Ordinario	Aragón
Marzo 2020	202003	Marzo	2020	Hombres	18	Indefinido	Discapacitados	Minusválidos	Aragón
Marzo 2020	202003	Marzo	2020	Mujeres	10	Indefinido	Discapacitados	Minusválidos	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	7742	Temporal	Obra o servicio	Obra o servicio	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	4627	Temporal	Obra o servicio	Obra o servicio	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	12508	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	10689	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	875	Temporal	Interinidad	Interinidad	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	2996	Temporal	Interinidad	Interinidad	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	36	Temporal	Discapacitados	Temp. Minusv	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	23	Temporal	Discapacitados	Temp. Minusv	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	31	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	21	Temporal	Ligados a la jubilación	Relevo	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	9	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	6	Temporal	Ligados a la jubilación	Relevo	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	205	Temporal	Ligados a la formación	Formación	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	55	Temporal	Ligados a la formación	Prácticas	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	283	Temporal	Ligados a la formación	Formación	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	48	Temporal	Ligados a la formación	Prácticas	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	28	Temporal	Otros	Otros	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	6	Temporal	Otros	Temp. Inserción	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	16	Temporal	Otros	Otros	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	7	Temporal	Otros	Temp. Inserción	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	1307	Indefinido	Indefinido	Indef. Fomento	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	1422	Indefinido	Indefinido	Indef. Ordinario	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	978	Indefinido	Indefinido	Indef. Fomento	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	931	Indefinido	Indefinido	Indef. Ordinario	Aragón
Febrero 2020	202002	Febrero	2020	Hombres	16	Indefinido	Discapacitados	Minusválidos	Aragón
Febrero 2020	202002	Febrero	2020	Mujeres	18	Indefinido	Discapacitados	Minusválidos	Aragón
Enero 2020	202001	Enero	2020	Hombres	8152	Temporal	Obra o servicio	Obra o servicio	Aragón
Enero 2020	202001	Enero	2020	Mujeres	5058	Temporal	Obra o servicio	Obra o servicio	Aragón
Enero 2020	202001	Enero	2020	Hombres	13182	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Enero 2020	202001	Enero	2020	Mujeres	11146	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Enero 2020	202001	Enero	2020	Hombres	773	Temporal	Interinidad	Interinidad	Aragón
Enero 2020	202001	Enero	2020	Mujeres	3104	Temporal	Interinidad	Interinidad	Aragón
Enero 2020	202001	Enero	2020	Hombres	23	Temporal	Discapacitados	Temp. Minusv	Aragón
Enero 2020	202001	Enero	2020	Mujeres	22	Temporal	Discapacitados	Temp. Minusv	Aragón
Enero 2020	202001	Enero	2020	Hombres	33	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Enero 2020	202001	Enero	2020	Hombres	21	Temporal	Ligados a la jubilación	Relevo	Aragón
Enero 2020	202001	Enero	2020	Hombres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Enero 2020	202001	Enero	2020	Mujeres	8	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Enero 2020	202001	Enero	2020	Mujeres	15	Temporal	Ligados a la jubilación	Relevo	Aragón
Enero 2020	202001	Enero	2020	Hombres	22	Temporal	Ligados a la formación	Formación	Aragón
Enero 2020	202001	Enero	2020	Hombres	80	Temporal	Ligados a la formación	Prácticas	Aragón
Enero 2020	202001	Enero	2020	Mujeres	12	Temporal	Ligados a la formación	Formación	Aragón
Enero 2020	202001	Enero	2020	Mujeres	57	Temporal	Ligados a la formación	Prácticas	Aragón
Enero 2020	202001	Enero	2020	Hombres	49	Temporal	Otros	Otros	Aragón
Enero 2020	202001	Enero	2020	Hombres	6	Temporal	Otros	Temp. Inserción	Aragón
Enero 2020	202001	Enero	2020	Mujeres	29	Temporal	Otros	Otros	Aragón
Enero 2020	202001	Enero	2020	Mujeres	3	Temporal	Otros	Temp. Inserción	Aragón
Enero 2020	202001	Enero	2020	Hombres	1330	Indefinido	Indefinido	Indef. Fomento	Aragón
Enero 2020	202001	Enero	2020	Hombres	1454	Indefinido	Indefinido	Indef. Ordinario	Aragón
Enero 2020	202001	Enero	2020	Mujeres	911	Indefinido	Indefinido	Indef. Fomento	Aragón
Enero 2020	202001	Enero	2020	Mujeres	1122	Indefinido	Indefinido	Indef. Ordinario	Aragón
Enero 2020	202001	Enero	2020	Hombres	18	Indefinido	Discapacitados	Minusválidos	Aragón
Enero 2020	202001	Enero	2020	Mujeres	15	Indefinido	Discapacitados	Minusválidos	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	6519	Temporal	Obra o servicio	Obra o servicio	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	4650	Temporal	Obra o servicio	Obra o servicio	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	12462	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	12060	Temporal	Eventual por circunstancias de la producción	Eventual producción	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	727	Temporal	Interinidad	Interinidad	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	2684	Temporal	Interinidad	Interinidad	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	40	Temporal	Discapacitados	Temp. Minusv	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Temporal	Discapacitados	Temp. Minusv	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	59	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	26	Temporal	Ligados a la jubilación	Relevo	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	22	Temporal	Ligados a la jubilación	Jubilación parcial	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	25	Temporal	Ligados a la jubilación	Relevo	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	1	Temporal	Ligados a la jubilación	Sust. Jubilación	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	15	Temporal	Ligados a la formación	Formación	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	56	Temporal	Ligados a la formación	Prácticas	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	13	Temporal	Ligados a la formación	Formación	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	38	Temporal	Ligados a la formación	Prácticas	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	26	Temporal	Otros	Otros	Aragón
Diciembre 2019	201912	Diciembre	2019	Hombres	2	Temporal	Otros	Temp. Inserción	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	20	Temporal	Otros	Otros	Aragón
Diciembre 2019	201912	Diciembre	2019	Mujeres	3	Temporal	Otros	Temp. Inserción	Aragón
