Fuente y fecha	Año	Municipio código	Municipio nombre	Total edificios	Antes de 1950	1950-1959	1960-1969	1970-1979	1980-1989	1990-1999	2000-2009	2010 y posterior	Sin definir
Catastro (diciembre de 2019                          )	2019	22144	Laspuña	428	175	4	1	11	14	27	157	38	1
Catastro (diciembre de 2019                          )	2019	22149	Loarre	567	254	63	62	74	51	30	18	11	4
Catastro (diciembre de 2019                          )	2019	22150	Loporzano	815	517	19	30	67	61	39	55	25	2
Catastro (diciembre de 2019                          )	2019	22151	Loscorrales	162	83	17	25	18	7	4	7	1	0
Catastro (diciembre de 2019                          )	2019	22155	Monesma y Cajigar	78	50	2	6	2	4	8	5	1	0
Catastro (diciembre de 2019                          )	2019	22156	Monflorite-Lascasas	342	73	31	33	42	31	21	65	43	3
Catastro (diciembre de 2019                          )	2019	22157	Montanuy	494	289	5	2	20	28	27	102	20	1
Catastro (diciembre de 2019                          )	2019	22158	Monzón	14501	1266	530	2357	2267	1311	2344	3556	866	4
Catastro (diciembre de 2019                          )	2019	22160	Naval	274	197	3	4	1	17	34	12	4	2
Catastro (diciembre de 2019                          )	2019	22162	Novales	127	77	11	12	11	6	5	4	1	0
Catastro (diciembre de 2019                          )	2019	22163	Nueno	591	254	1	5	31	51	82	149	17	1
Catastro (diciembre de 2019                          )	2019	22164	Olvena	77	53	5	1	4	8	1	1	4	0
Catastro (diciembre de 2019                          )	2019	22165	Ontiñena	555	337	18	40	45	37	41	31	6	0
Catastro (diciembre de 2019                          )	2019	22167	Osso de Cinca	413	180	18	41	70	31	36	24	11	2
Catastro (diciembre de 2019                          )	2019	22168	Palo	79	48	0	1	3	7	7	11	1	1
Catastro (diciembre de 2019                          )	2019	22170	Panticosa	3686	185	13	12	202	473	1134	1572	93	2
Catastro (diciembre de 2019                          )	2019	22172	Peñalba	499	257	10	42	31	47	42	49	20	1
Catastro (diciembre de 2019                          )	2019	22173	Peñas de Riglos (Las)	782	480	69	56	64	47	24	28	14	0
Catastro (diciembre de 2019                          )	2019	22174	Peralta de Alcofea	660	407	6	26	50	60	33	60	18	0
Catastro (diciembre de 2019                          )	2019	22175	Peralta de Calasanz	593	307	92	65	40	23	17	41	8	0
