Aragón	Sexo	Edad	Nivel estudios (agregado)	Nivel estudios (detalle)	Personas residentes viviendas familiares
Aragón	Mujeres	80 a 84	Tercer grado	Licenciatura	90
Aragón	Mujeres	80 a 84	Tercer grado	Diplomatura	296
Aragón	Mujeres	80 a 84	Tercer grado	Doctorado	9
Aragón	Mujeres	85 a 90	Analfabetos	No sabe leer o escribir	890
Aragón	Mujeres	85 a 90	Sin estudios	Sin estudios	4590
Aragón	Mujeres	85 a 90	Primer grado	Primer grado	4533
Aragón	Mujeres	85 a 90	Segundo grado	FP Grado Medio	33
Aragón	Mujeres	85 a 90	Segundo grado	Bachillerato Superior	114
Aragón	Mujeres	85 a 90	Segundo grado	ESO, EGB, Bachillerato Ele.	865
Aragón	Mujeres	85 a 90	Segundo grado	FP Grado Superior	40
Aragón	Mujeres	85 a 90	Tercer grado	Licenciatura	40
Aragón	Mujeres	85 a 90	Tercer grado	Diplomatura	197
Aragón	Mujeres	85 a 90	Tercer grado	Doctorado	4
Aragón	Mujeres	90 ó más	Analfabetos	No sabe leer o escribir	814
Aragón	Mujeres	90 ó más	Sin estudios	Sin estudios	2217
Aragón	Mujeres	90 ó más	Primer grado	Primer grado	1971
Aragón	Mujeres	90 ó más	Segundo grado	FP Grado Superior	3
Aragón	Mujeres	90 ó más	Segundo grado	Bachillerato Superior	49
Aragón	Mujeres	90 ó más	Segundo grado	ESO, EGB, Bachillerato Ele.	293
Aragón	Mujeres	90 ó más	Segundo grado	FP Grado Medio	16
Aragón	Mujeres	90 ó más	Tercer grado	Licenciatura	14
Aragón	Mujeres	90 ó más	Tercer grado	Doctorado	2
Aragón	Mujeres	90 ó más	Tercer grado	Diplomatura	64
Aragón	Hombres	16 a 19	Analfabetos	No sabe leer o escribir	100
Aragón	Hombres	16 a 19	Sin estudios	Sin estudios	496
Aragón	Hombres	16 a 19	Primer grado	Primer grado	5077
Aragón	Hombres	16 a 19	Segundo grado	Bachillerato Superior	5635
Aragón	Hombres	16 a 19	Segundo grado	FP Grado Superior	630
Aragón	Hombres	16 a 19	Segundo grado	FP Grado Medio	1570
Aragón	Hombres	16 a 19	Segundo grado	ESO, EGB, Bachillerato Ele.	13084
Aragón	Hombres	20 a 24	Analfabetos	No sabe leer o escribir	184
Aragón	Hombres	20 a 24	Sin estudios	Sin estudios	576
Aragón	Hombres	20 a 24	Primer grado	Primer grado	3321
Aragón	Hombres	20 a 24	Segundo grado	Bachillerato Superior	10894
Aragón	Hombres	20 a 24	Segundo grado	FP Grado Superior	5340
Aragón	Hombres	20 a 24	Segundo grado	FP Grado Medio	5051
Aragón	Hombres	20 a 24	Segundo grado	ESO, EGB, Bachillerato Ele.	11955
Aragón	Hombres	20 a 24	Tercer grado	Diplomatura	4023
Aragón	Hombres	20 a 24	Tercer grado	Licenciatura	1329
Aragón	Hombres	25 a 29	Analfabetos	No sabe leer o escribir	319
Aragón	Hombres	25 a 29	Sin estudios	Sin estudios	819
Aragón	Hombres	25 a 29	Primer grado	Primer grado	4050
Aragón	Hombres	25 a 29	Segundo grado	FP Grado Medio	4912
Aragón	Hombres	25 a 29	Segundo grado	FP Grado Superior	6312
Aragón	Hombres	25 a 29	Segundo grado	ESO, EGB, Bachillerato Ele.	13491
Aragón	Hombres	25 a 29	Segundo grado	Bachillerato Superior	7320
Aragón	Hombres	25 a 29	Tercer grado	Diplomatura	5915
Aragón	Hombres	25 a 29	Tercer grado	Doctorado	171
Aragón	Hombres	25 a 29	Tercer grado	Licenciatura	5898
Aragón	Hombres	30 a 34	Analfabetos	No sabe leer o escribir	285
Aragón	Hombres	30 a 34	Sin estudios	Sin estudios	867
Aragón	Hombres	30 a 34	Primer grado	Primer grado	4665
Aragón	Hombres	30 a 34	Segundo grado	Bachillerato Superior	6339
Aragón	Hombres	30 a 34	Segundo grado	FP Grado Medio	4939
Aragón	Hombres	30 a 34	Segundo grado	FP Grado Superior	5712
Aragón	Hombres	30 a 34	Segundo grado	ESO, EGB, Bachillerato Ele.	14590
Aragón	Hombres	30 a 34	Tercer grado	Licenciatura	5261
Aragón	Hombres	30 a 34	Tercer grado	Doctorado	400
Aragón	Hombres	30 a 34	Tercer grado	Diplomatura	4517
Aragón	Hombres	35 a 39	Analfabetos	No sabe leer o escribir	288
Aragón	Hombres	35 a 39	Sin estudios	Sin estudios	968
Aragón	Hombres	35 a 39	Primer grado	Primer grado	5651
Aragón	Hombres	35 a 39	Segundo grado	FP Grado Superior	4580
Aragón	Hombres	35 a 39	Segundo grado	FP Grado Medio	4263
Aragón	Hombres	35 a 39	Segundo grado	ESO, EGB, Bachillerato Ele.	16634
Aragón	Hombres	35 a 39	Segundo grado	Bachillerato Superior	7004
Aragón	Hombres	35 a 39	Tercer grado	Diplomatura	3681
Aragón	Hombres	35 a 39	Tercer grado	Doctorado	566
Aragón	Hombres	35 a 39	Tercer grado	Licenciatura	4627
Aragón	Hombres	40 a 44	Analfabetos	No sabe leer o escribir	281
Aragón	Hombres	40 a 44	Sin estudios	Sin estudios	1123
Aragón	Hombres	40 a 44	Primer grado	Primer grado	6610
Aragón	Hombres	40 a 44	Segundo grado	FP Grado Superior	3031
Aragón	Hombres	40 a 44	Segundo grado	Bachillerato Superior	6748
Aragón	Hombres	40 a 44	Segundo grado	ESO, EGB, Bachillerato Ele.	16095
Aragón	Hombres	40 a 44	Segundo grado	FP Grado Medio	2942
Aragón	Hombres	40 a 44	Tercer grado	Diplomatura	3619
Aragón	Hombres	40 a 44	Tercer grado	Doctorado	603
Aragón	Hombres	40 a 44	Tercer grado	Licenciatura	4186
Aragón	Hombres	45 a 49	Analfabetos	No sabe leer o escribir	261
Aragón	Hombres	45 a 49	Sin estudios	Sin estudios	1244
Aragón	Hombres	45 a 49	Primer grado	Primer grado	8151
Aragón	Hombres	45 a 49	Segundo grado	Bachillerato Superior	4680
Aragón	Hombres	45 a 49	Segundo grado	FP Grado Medio	1882
Aragón	Hombres	45 a 49	Segundo grado	FP Grado Superior	2067
Aragón	Hombres	45 a 49	Segundo grado	ESO, EGB, Bachillerato Ele.	14609
Aragón	Hombres	45 a 49	Tercer grado	Doctorado	491
Aragón	Hombres	45 a 49	Tercer grado	Diplomatura	2903
Aragón	Hombres	45 a 49	Tercer grado	Licenciatura	3407
Aragón	Hombres	50 a 54	Analfabetos	No sabe leer o escribir	216
Aragón	Hombres	50 a 54	Sin estudios	Sin estudios	1744
Aragón	Hombres	50 a 54	Primer grado	Primer grado	9809
Aragón	Hombres	50 a 54	Segundo grado	FP Grado Superior	1671
Aragón	Hombres	50 a 54	Segundo grado	Bachillerato Superior	2926
Aragón	Hombres	50 a 54	Segundo grado	ESO, EGB, Bachillerato Ele.	13572
Aragón	Hombres	50 a 54	Segundo grado	FP Grado Medio	1527
Aragón	Hombres	50 a 54	Tercer grado	Diplomatura	2417
Aragón	Hombres	50 a 54	Tercer grado	Licenciatura	2449
Aragón	Hombres	50 a 54	Tercer grado	Doctorado	443
Aragón	Hombres	55 a 59	Analfabetos	No sabe leer o escribir	227
Aragón	Hombres	55 a 59	Sin estudios	Sin estudios	2541
Aragón	Hombres	55 a 59	Primer grado	Primer grado	11236
Aragón	Hombres	55 a 59	Segundo grado	ESO, EGB, Bachillerato Ele.	11684
Aragón	Hombres	55 a 59	Segundo grado	Bachillerato Superior	2101
Aragón	Hombres	55 a 59	Segundo grado	FP Grado Medio	987
Aragón	Hombres	55 a 59	Segundo grado	FP Grado Superior	1128
Aragón	Hombres	55 a 59	Tercer grado	Doctorado	348
Aragón	Hombres	55 a 59	Tercer grado	Licenciatura	1705
Aragón	Hombres	55 a 59	Tercer grado	Diplomatura	1963
Aragón	Hombres	60 a 64	Analfabetos	No sabe leer o escribir	277
Aragón	Hombres	60 a 64	Sin estudios	Sin estudios	3747
Aragón	Hombres	60 a 64	Primer grado	Primer grado	11595
Aragón	Hombres	60 a 64	Segundo grado	Bachillerato Superior	1310
Aragón	Hombres	60 a 64	Segundo grado	FP Grado Superior	507
Aragón	Hombres	60 a 64	Segundo grado	ESO, EGB, Bachillerato Ele.	7194
Aragón	Hombres	60 a 64	Segundo grado	FP Grado Medio	547
Aragón	Hombres	60 a 64	Tercer grado	Diplomatura	1118
Aragón	Hombres	60 a 64	Tercer grado	Licenciatura	1014
Aragón	Hombres	60 a 64	Tercer grado	Doctorado	191
Aragón	Hombres	65 a 69	Analfabetos	No sabe leer o escribir	428
Aragón	Hombres	65 a 69	Sin estudios	Sin estudios	6648
Aragón	Hombres	65 a 69	Primer grado	Primer grado	16012
Aragón	Hombres	65 a 69	Segundo grado	Bachillerato Superior	1189
Aragón	Hombres	65 a 69	Segundo grado	FP Grado Superior	390
Aragón	Hombres	65 a 69	Segundo grado	ESO, EGB, Bachillerato Ele.	6195
Aragón	Hombres	65 a 69	Segundo grado	FP Grado Medio	394
Aragón	Hombres	65 a 69	Tercer grado	Doctorado	197
Aragón	Hombres	65 a 69	Tercer grado	Licenciatura	912
Aragón	Hombres	65 a 69	Tercer grado	Diplomatura	899
Aragón	Hombres	70 a 74	Analfabetos	No sabe leer o escribir	490
Aragón	Hombres	70 a 74	Sin estudios	Sin estudios	8433
Aragón	Hombres	70 a 74	Primer grado	Primer grado	14588
Aragón	Hombres	70 a 74	Segundo grado	ESO, EGB, Bachillerato Ele.	4196
Aragón	Hombres	70 a 74	Segundo grado	FP Grado Medio	259
Aragón	Hombres	70 a 74	Segundo grado	FP Grado Superior	257
Aragón	Hombres	70 a 74	Segundo grado	Bachillerato Superior	818
Aragón	Hombres	70 a 74	Tercer grado	Licenciatura	758
Aragón	Hombres	70 a 74	Tercer grado	Doctorado	161
Aragón	Hombres	70 a 74	Tercer grado	Diplomatura	650
Aragón	Hombres	75 a 79	Analfabetos	No sabe leer o escribir	460
Aragón	Hombres	75 a 79	Sin estudios	Sin estudios	7465
Aragón	Hombres	75 a 79	Primer grado	Primer grado	11409
Aragón	Hombres	75 a 79	Segundo grado	FP Grado Medio	145
Aragón	Hombres	75 a 79	Segundo grado	FP Grado Superior	142
Aragón	Hombres	75 a 79	Segundo grado	Bachillerato Superior	547
Aragón	Hombres	75 a 79	Segundo grado	ESO, EGB, Bachillerato Ele.	2673
Aragón	Hombres	75 a 79	Tercer grado	Licenciatura	462
Aragón	Hombres	75 a 79	Tercer grado	Diplomatura	387
Aragón	Hombres	75 a 79	Tercer grado	Doctorado	94
Aragón	Hombres	80 a 84	Analfabetos	No sabe leer o escribir	324
Aragón	Hombres	80 a 84	Sin estudios	Sin estudios	4610
Aragón	Hombres	80 a 84	Primer grado	Primer grado	5841
Aragón	Hombres	80 a 84	Segundo grado	FP Grado Medio	53
Aragón	Hombres	80 a 84	Segundo grado	FP Grado Superior	71
Aragón	Hombres	80 a 84	Segundo grado	Bachillerato Superior	339
Aragón	Hombres	80 a 84	Segundo grado	ESO, EGB, Bachillerato Ele.	1308
Aragón	Hombres	80 a 84	Tercer grado	Licenciatura	229
Aragón	Hombres	80 a 84	Tercer grado	Diplomatura	226
Aragón	Hombres	80 a 84	Tercer grado	Doctorado	46
Aragón	Hombres	85 a 90	Analfabetos	No sabe leer o escribir	169
Aragón	Hombres	85 a 90	Sin estudios	Sin estudios	2323
Aragón	Hombres	85 a 90	Primer grado	Primer grado	2535
Aragón	Hombres	85 a 90	Segundo grado	FP Grado Medio	40
Aragón	Hombres	85 a 90	Segundo grado	ESO, EGB, Bachillerato Ele.	548
Aragón	Hombres	85 a 90	Segundo grado	Bachillerato Superior	130
Aragón	Hombres	85 a 90	Segundo grado	FP Grado Superior	40
Aragón	Hombres	85 a 90	Tercer grado	Licenciatura	144
Aragón	Hombres	85 a 90	Tercer grado	Diplomatura	137
Aragón	Hombres	85 a 90	Tercer grado	Doctorado	27
Aragón	Hombres	90 ó más	Analfabetos	No sabe leer o escribir	124
Aragón	Hombres	90 ó más	Sin estudios	Sin estudios	1119
Aragón	Hombres	90 ó más	Primer grado	Primer grado	914
Aragón	Hombres	90 ó más	Segundo grado	Bachillerato Superior	32
Aragón	Hombres	90 ó más	Segundo grado	ESO, EGB, Bachillerato Ele.	147
Aragón	Hombres	90 ó más	Segundo grado	FP Grado Medio	12
Aragón	Hombres	90 ó más	Segundo grado	FP Grado Superior	8
Aragón	Hombres	90 ó más	Tercer grado	Diplomatura	32
Aragón	Hombres	90 ó más	Tercer grado	Licenciatura	33
Aragón	Hombres	90 ó más	Tercer grado	Doctorado	17
