Año	Dirección Provincial Código	Dirección Provincial Nombre	Sexo	Nº Accidentes	Código	Municipio	Grupo Grado Código	Grupo Grado Código
2020	50	Zaragoza	Hombres	1	50211	Plasencia de Jalón	1	Leves
2020	50	Zaragoza	Hombres	1	50217	Pradilla de Ebro	1	Leves
2020	50	Zaragoza	Hombres	10	50219	Puebla de Alfindén (La)	1	Leves
2020	50	Zaragoza	Mujeres	4	50219	Puebla de Alfindén (La)	1	Leves
2020	50	Zaragoza	Mujeres	3	50222	Quinto	1	Leves
2020	50	Zaragoza	Hombres	3	50225	Ricla	1	Leves
2020	50	Zaragoza	Mujeres	1	50230	Sádaba	1	Leves
2020	50	Zaragoza	Hombres	1	50231	Salillas de Jalón	1	Leves
2020	50	Zaragoza	Mujeres	3	50235	San Mateo de Gállego	1	Leves
2020	50	Zaragoza	Mujeres	1	50240	Sástago	1	Leves
2020	50	Zaragoza	Hombres	1	50244	Sierra de Luna	1	Leves
2020	50	Zaragoza	Hombres	9	50251	Tarazona	1	Leves
2020	50	Zaragoza	Mujeres	7	50251	Tarazona	1	Leves
2020	50	Zaragoza	Hombres	2	50252	Tauste	1	Leves
2020	50	Zaragoza	Hombres	1	50252	Tauste	2	Graves o muy graves
2020	50	Zaragoza	Mujeres	2	50252	Tauste	1	Leves
2020	50	Zaragoza	Mujeres	1	50269	Urrea de Jalón	1	Leves
2020	50	Zaragoza	Hombres	11	50272	Utebo	1	Leves
2020	50	Zaragoza	Hombres	1	50272	Utebo	3	Mortales
2020	50	Zaragoza	Mujeres	8	50272	Utebo	1	Leves
2020	50	Zaragoza	Hombres	1	50283	Villadoz	1	Leves
2020	50	Zaragoza	Hombres	6	50288	Villanueva de Gállego	1	Leves
2020	50	Zaragoza	Mujeres	1	50288	Villanueva de Gállego	1	Leves
2020	50	Zaragoza	Hombres	2	50290	Villanueva de Huerva	1	Leves
2020	44	Teruel	Hombres	1	50297	Zaragoza	1	Leves
2020	50	Zaragoza	Hombres	367	50297	Zaragoza	1	Leves
2020	50	Zaragoza	Hombres	6	50297	Zaragoza	2	Graves o muy graves
2020	50	Zaragoza	Mujeres	631	50297	Zaragoza	1	Leves
2020	50	Zaragoza	Mujeres	1	50297	Zaragoza	2	Graves o muy graves
2020	50	Zaragoza	Mujeres	1	50297	Zaragoza	3	Mortales
2020	50	Zaragoza	Hombres	14	50298	Zuera	1	Leves
2020	50	Zaragoza	Mujeres	6	50298	Zuera	1	Leves
2020	50	Zaragoza	Hombres	1	50903	Villamayor de Gállego	1	Leves
2020	50	Zaragoza	Hombres	7	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2020	50	Zaragoza	Mujeres	1	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2019	22	Huesca	Mujeres	1	22018	Alcubierre	1	Leves
2019	22	Huesca	Mujeres	1	22021	Almudévar	1	Leves
2019	22	Huesca	Hombres	1	22023	Almuniente	1	Leves
2019	22	Huesca	Hombres	2	22025	Altorricón	1	Leves
2019	22	Huesca	Mujeres	1	22032	Aragüés del Puerto	1	Leves
2019	22	Huesca	Hombres	2	22046	Ballobar	1	Leves
2019	22	Huesca	Hombres	6	22048	Barbastro	1	Leves
2019	22	Huesca	Hombres	1	22048	Barbastro	3	Mortales
2019	22	Huesca	Mujeres	16	22048	Barbastro	1	Leves
2019	22	Huesca	Mujeres	6	22052	Belver de Cinca	1	Leves
2019	22	Huesca	Hombres	1	22053	Benabarre	1	Leves
2019	22	Huesca	Hombres	2	22054	Benasque	1	Leves
2019	22	Huesca	Mujeres	1	22058	Bierge	1	Leves
2019	22	Huesca	Mujeres	1	22060	Binaced	1	Leves
2019	22	Huesca	Hombres	12	22061	Binéfar	1	Leves
2019	22	Huesca	Mujeres	7	22061	Binéfar	1	Leves
2019	22	Huesca	Mujeres	1	22066	Boltaña	1	Leves
2019	22	Huesca	Hombres	1	22077	Candasnos	1	Leves
2019	22	Huesca	Hombres	1	22078	Canfranc	1	Leves
2019	22	Huesca	Hombres	1	22080	Capella	1	Leves
2019	22	Huesca	Mujeres	1	22082	Castejón del Puente	1	Leves
2019	22	Huesca	Mujeres	1	22096	Chimillas	1	Leves
2019	22	Huesca	Mujeres	1	22103	Estadilla	1	Leves
2019	22	Huesca	Mujeres	1	22110	Fonz	1	Leves
2019	22	Huesca	Hombres	3	22112	Fraga	1	Leves
2019	50	Zaragoza	Hombres	1	22112	Fraga	1	Leves
2019	22	Huesca	Mujeres	14	22112	Fraga	1	Leves
2019	22	Huesca	Hombres	2	22116	Grañén	1	Leves
2019	22	Huesca	Mujeres	5	22116	Grañén	1	Leves
2019	22	Huesca	Mujeres	1	22117	Graus	1	Leves
2019	22	Huesca	Hombres	2	22119	Gurrea de Gállego	1	Leves
2019	22	Huesca	Mujeres	5	22119	Gurrea de Gállego	1	Leves
2019	22	Huesca	Hombres	40	22125	Huesca	1	Leves
2019	22	Huesca	Mujeres	57	22125	Huesca	1	Leves
2019	50	Zaragoza	Mujeres	1	22125	Huesca	1	Leves
2019	22	Huesca	Hombres	1	22130	Jaca	1	Leves
2019	22	Huesca	Mujeres	3	22130	Jaca	1	Leves
2019	22	Huesca	Mujeres	1	22133	Labuerda	1	Leves
2019	22	Huesca	Mujeres	2	22136	Lalueza	1	Leves
2019	22	Huesca	Hombres	1	22149	Loarre	2	Graves o muy graves
2019	22	Huesca	Hombres	1	22156	Monflorite-Lascasas	1	Leves
2019	22	Huesca	Hombres	17	22158	Monzón	1	Leves
2019	22	Huesca	Mujeres	6	22158	Monzón	1	Leves
2019	22	Huesca	Hombres	1	22167	Osso de Cinca	1	Leves
2019	22	Huesca	Hombres	1	22170	Panticosa	1	Leves
2019	22	Huesca	Mujeres	2	22170	Panticosa	1	Leves
2019	22	Huesca	Hombres	1	22172	Peñalba	1	Leves
2019	22	Huesca	Hombres	1	22193	Pueyo de Santa Cruz	1	Leves
2019	22	Huesca	Hombres	2	22199	Sabiñánigo	1	Leves
2019	22	Huesca	Mujeres	2	22199	Sabiñánigo	1	Leves
2019	22	Huesca	Hombres	2	22204	Sallent de Gállego	1	Leves
2019	22	Huesca	Mujeres	3	22204	Sallent de Gállego	1	Leves
2019	22	Huesca	Hombres	3	22213	Sariñena	1	Leves
2019	22	Huesca	Hombres	3	22225	Tamarite de Litera	1	Leves
2019	22	Huesca	Mujeres	3	22225	Tamarite de Litera	1	Leves
2019	22	Huesca	Mujeres	1	22225	Tamarite de Litera	2	Graves o muy graves
2019	22	Huesca	Hombres	2	22228	Tierz	1	Leves
2019	22	Huesca	Hombres	1	22904	Sotonera (La)	1	Leves
2019	22	Huesca	Mujeres	1	22904	Sotonera (La)	1	Leves
2019	22	Huesca	Mujeres	1	22907	Aínsa-Sobrarbe	1	Leves
2019	44	Teruel	Hombres	1	44007	Alba	1	Leves
2019	44	Teruel	Hombres	5	44013	Alcañiz	1	Leves
2019	44	Teruel	Mujeres	9	44013	Alcañiz	1	Leves
2019	44	Teruel	Hombres	1	44014	Alcorisa	1	Leves
2019	44	Teruel	Mujeres	2	44016	Alfambra	1	Leves
2019	44	Teruel	Hombres	3	44025	Andorra	1	Leves
2019	44	Teruel	Mujeres	2	44025	Andorra	1	Leves
2019	44	Teruel	Mujeres	1	44031	Azaila	1	Leves
2019	44	Teruel	Hombres	1	44039	Bello	1	Leves
2019	44	Teruel	Hombres	1	44045	Bronchales	1	Leves
2019	44	Teruel	Hombres	1	44049	Calaceite	1	Leves
2019	44	Teruel	Hombres	1	44050	Calamocha	1	Leves
2019	44	Teruel	Mujeres	2	44050	Calamocha	1	Leves
2019	44	Teruel	Hombres	1	44051	Calanda	1	Leves
2019	44	Teruel	Mujeres	1	44051	Calanda	1	Leves
2019	44	Teruel	Mujeres	1	44059	Cantavieja	1	Leves
2019	44	Teruel	Hombres	1	44071	Castellote	1	Leves
2019	44	Teruel	Hombres	1	44107	Foz-Calanda	1	Leves
2019	44	Teruel	Hombres	1	44118	Ginebrosa (La)	2	Graves o muy graves
2019	44	Teruel	Hombres	1	44129	Jatiel	1	Leves
2019	44	Teruel	Mujeres	1	44144	Martín del Río	1	Leves
2019	44	Teruel	Mujeres	3	44153	Monreal del Campo	1	Leves
2019	44	Teruel	Mujeres	1	44154	Monroyo	1	Leves
2019	44	Teruel	Mujeres	1	44161	Muniesa	1	Leves
2019	44	Teruel	Mujeres	2	44191	Puebla de Híjar (La)	1	Leves
2019	44	Teruel	Mujeres	1	44209	Santa Eulalia	1	Leves
2019	44	Teruel	Hombres	18	44216	Teruel	1	Leves
2019	44	Teruel	Mujeres	22	44216	Teruel	1	Leves
2019	44	Teruel	Hombres	1	44238	Utrillas	1	Leves
2019	44	Teruel	Mujeres	1	44238	Utrillas	1	Leves
2019	44	Teruel	Mujeres	1	44240	Valbona	1	Leves
2019	44	Teruel	Hombres	1	44246	Valderrobres	1	Leves
2019	44	Teruel	Hombres	4	44265	Vinaceite	1	Leves
2019	50	Zaragoza	Hombres	6	50008	Alagón	1	Leves
2019	50	Zaragoza	Mujeres	13	50008	Alagón	1	Leves
2019	50	Zaragoza	Mujeres	1	50012	Alborge	1	Leves
2019	50	Zaragoza	Hombres	1	50017	Alfajarín	1	Leves
2019	50	Zaragoza	Mujeres	2	50017	Alfajarín	1	Leves
2019	50	Zaragoza	Mujeres	3	50020	Alhama de Aragón	1	Leves
2019	50	Zaragoza	Hombres	1	50022	Almolda (La)	1	Leves
2019	50	Zaragoza	Hombres	3	50025	Almunia de Doña Godina (La)	1	Leves
2019	50	Zaragoza	Mujeres	8	50025	Almunia de Doña Godina (La)	1	Leves
2019	50	Zaragoza	Mujeres	1	50043	Bárboles	1	Leves
2019	50	Zaragoza	Hombres	1	50045	Belchite	2	Graves o muy graves
2019	50	Zaragoza	Hombres	1	50053	Boquiñeni	1	Leves
2019	50	Zaragoza	Hombres	1	50055	Borja	1	Leves
2019	50	Zaragoza	Mujeres	5	50055	Borja	1	Leves
2019	50	Zaragoza	Mujeres	1	50055	Borja	2	Graves o muy graves
2019	50	Zaragoza	Hombres	1	50059	Bujaraloz	1	Leves
2019	50	Zaragoza	Hombres	3	50062	Burgo de Ebro (El)	1	Leves
2019	50	Zaragoza	Mujeres	4	50062	Burgo de Ebro (El)	1	Leves
2019	50	Zaragoza	Mujeres	2	50066	Cadrete	1	Leves
2019	50	Zaragoza	Hombres	11	50067	Calatayud	1	Leves
2019	50	Zaragoza	Mujeres	14	50067	Calatayud	1	Leves
2019	50	Zaragoza	Hombres	1	50068	Calatorao	1	Leves
2019	50	Zaragoza	Mujeres	1	50068	Calatorao	1	Leves
2019	50	Zaragoza	Hombres	4	50073	Cariñena	1	Leves
2019	50	Zaragoza	Hombres	4	50074	Caspe	1	Leves
2019	50	Zaragoza	Mujeres	1	50074	Caspe	1	Leves
2019	50	Zaragoza	Hombres	11	50089	Cuarte de Huerva	1	Leves
2019	50	Zaragoza	Mujeres	9	50089	Cuarte de Huerva	1	Leves
2019	50	Zaragoza	Hombres	1	50091	Cuerlas (Las)	1	Leves
2019	50	Zaragoza	Hombres	2	50092	Chiprana	1	Leves
2019	50	Zaragoza	Mujeres	1	50094	Daroca	1	Leves
2019	50	Zaragoza	Hombres	11	50095	Ejea de los Caballeros	1	Leves
2019	50	Zaragoza	Mujeres	12	50095	Ejea de los Caballeros	1	Leves
2019	50	Zaragoza	Hombres	4	50099	Épila	1	Leves
2019	50	Zaragoza	Mujeres	7	50099	Épila	1	Leves
2019	50	Zaragoza	Hombres	1	50100	Erla	1	Leves
2019	50	Zaragoza	Hombres	2	50101	Escatrón	1	Leves
2019	50	Zaragoza	Mujeres	2	50101	Escatrón	1	Leves
2019	50	Zaragoza	Hombres	35	50107	Figueruelas	1	Leves
2019	50	Zaragoza	Mujeres	11	50107	Figueruelas	1	Leves
2019	50	Zaragoza	Hombres	1	50110	Frasno (El)	1	Leves
2019	50	Zaragoza	Hombres	1	50114	Fuendetodos	1	Leves
2019	44	Teruel	Hombres	2	50115	Fuentes de Ebro	1	Leves
2019	50	Zaragoza	Hombres	3	50115	Fuentes de Ebro	1	Leves
2019	44	Teruel	Hombres	3	50115	Fuentes de Ebro	2	Graves o muy graves
2019	50	Zaragoza	Mujeres	1	50115	Fuentes de Ebro	1	Leves
2019	50	Zaragoza	Hombres	5	50118	Gallur	1	Leves
2019	50	Zaragoza	Hombres	1	50126	Illueca	1	Leves
2019	50	Zaragoza	Mujeres	1	50126	Illueca	1	Leves
2019	50	Zaragoza	Hombres	1	50129	Jaraba	1	Leves
2019	50	Zaragoza	Hombres	1	50152	Maella	1	Leves
2019	50	Zaragoza	Mujeres	1	50152	Maella	1	Leves
2019	50	Zaragoza	Hombres	1	50153	Magallón	1	Leves
2019	50	Zaragoza	Hombres	1	50157	Malón	1	Leves
2019	50	Zaragoza	Hombres	2	50160	Mallén	1	Leves
2019	50	Zaragoza	Mujeres	1	50160	Mallén	1	Leves
2019	50	Zaragoza	Hombres	1	50163	María de Huerva	1	Leves
2019	50	Zaragoza	Mujeres	1	50163	María de Huerva	1	Leves
2019	50	Zaragoza	Mujeres	1	50169	Miedes de Aragón	1	Leves
2019	50	Zaragoza	Mujeres	1	50176	Morata de Jiloca	1	Leves
2019	50	Zaragoza	Hombres	1	50181	Muel	3	Mortales
2019	50	Zaragoza	Mujeres	1	50181	Muel	1	Leves
2019	50	Zaragoza	Hombres	16	50182	Muela (La)	1	Leves
2019	50	Zaragoza	Mujeres	16	50182	Muela (La)	1	Leves
2019	50	Zaragoza	Hombres	1	50183	Munébrega	1	Leves
2019	50	Zaragoza	Hombres	1	50192	Nuévalos	1	Leves
2019	50	Zaragoza	Hombres	1	50193	Nuez de Ebro	1	Leves
2019	50	Zaragoza	Hombres	1	50194	Olvés	1	Leves
2019	50	Zaragoza	Hombres	20	50204	Pedrola	1	Leves
2019	50	Zaragoza	Mujeres	8	50204	Pedrola	1	Leves
2019	50	Zaragoza	Hombres	1	50208	Pina de Ebro	1	Leves
2019	50	Zaragoza	Mujeres	5	50208	Pina de Ebro	1	Leves
2019	50	Zaragoza	Hombres	2	50209	Pinseque	1	Leves
2019	50	Zaragoza	Mujeres	2	50209	Pinseque	1	Leves
2019	50	Zaragoza	Hombres	1	50216	Pozuelo de Aragón	1	Leves
2019	50	Zaragoza	Hombres	10	50219	Puebla de Alfindén (La)	1	Leves
2019	50	Zaragoza	Hombres	1	50219	Puebla de Alfindén (La)	2	Graves o muy graves
2019	50	Zaragoza	Mujeres	5	50219	Puebla de Alfindén (La)	1	Leves
2019	50	Zaragoza	Hombres	1	50222	Quinto	1	Leves
2019	50	Zaragoza	Mujeres	1	50230	Sádaba	1	Leves
2019	50	Zaragoza	Mujeres	8	50235	San Mateo de Gállego	1	Leves
2019	50	Zaragoza	Hombres	5	50251	Tarazona	1	Leves
2019	50	Zaragoza	Mujeres	6	50251	Tarazona	1	Leves
2019	50	Zaragoza	Hombres	3	50252	Tauste	1	Leves
2019	50	Zaragoza	Mujeres	9	50252	Tauste	1	Leves
2019	50	Zaragoza	Hombres	12	50272	Utebo	1	Leves
2019	50	Zaragoza	Hombres	1	50272	Utebo	2	Graves o muy graves
2019	50	Zaragoza	Mujeres	14	50272	Utebo	1	Leves
2019	50	Zaragoza	Mujeres	1	50285	Villafranca de Ebro	1	Leves
2019	50	Zaragoza	Hombres	12	50288	Villanueva de Gállego	1	Leves
2019	50	Zaragoza	Mujeres	15	50288	Villanueva de Gállego	1	Leves
2019	50	Zaragoza	Mujeres	1	50296	Zaida (La)	1	Leves
2019	50	Zaragoza	Hombres	506	50297	Zaragoza	1	Leves
2019	50	Zaragoza	Hombres	6	50297	Zaragoza	2	Graves o muy graves
2019	50	Zaragoza	Hombres	1	50297	Zaragoza	3	Mortales
2019	50	Zaragoza	Mujeres	862	50297	Zaragoza	1	Leves
2019	50	Zaragoza	Hombres	6	50298	Zuera	1	Leves
2019	50	Zaragoza	Mujeres	5	50298	Zuera	1	Leves
2019	50	Zaragoza	Mujeres	1	50901	Biel	1	Leves
2019	50	Zaragoza	Mujeres	1	50903	Villamayor de Gállego	1	Leves
2019	22	Huesca	Hombres	1	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2019	44	Teruel	Hombres	3	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2019	50	Zaragoza	Hombres	12	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2019	50	Zaragoza	Mujeres	3	99999	Municipio del centro de trabajo fuera de Aragón	1	Leves
2018	22	Huesca	Mujeres	1	22002	Abizanda	1	Leves
2018	22	Huesca	Hombres	1	22007	Albalate de Cinca	3	Mortales
2018	22	Huesca	Hombres	1	22009	Albelda	1	Leves
2018	22	Huesca	Mujeres	1	22014	Alcalá de Gurrea	1	Leves
2018	22	Huesca	Hombres	1	22017	Alcolea de Cinca	1	Leves
2018	22	Huesca	Hombres	1	22021	Almudévar	1	Leves
2018	22	Huesca	Hombres	3	22025	Altorricón	1	Leves
