Municipio código	Municipio nombre	Explotaciones	Cursos jefe explotación
22025	Altorricón	53	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22025	Altorricón	127	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22027	Angüés	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22027	Angüés	60	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22028	Ansó	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22028	Ansó	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22029	Antillón	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22029	Antillón	33	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22032	Aragüés del Puerto	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22032	Aragüés del Puerto	8	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22035	Arén	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22035	Arén	69	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22036	Argavieso	28	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22037	Arguis	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22037	Arguis	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22039	Ayerbe	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22039	Ayerbe	82	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22040	Azanuy-Alins	11	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22040	Azanuy-Alins	51	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22041	Azara	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22041	Azara	34	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22042	Azlor	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22042	Azlor	36	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22043	Baells	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22043	Baells	39	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22044	Bailo	17	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22044	Bailo	54	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22045	Baldellou	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22045	Baldellou	50	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22046	Ballobar	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22046	Ballobar	131	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22047	Banastás	5	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22048	Barbastro	30	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22048	Barbastro	344	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22049	Barbués	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22049	Barbués	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22050	Barbuñales	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22050	Barbuñales	24	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22051	Bárcabo	26	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22051	Bárcabo	42	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22052	Belver de Cinca	47	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22052	Belver de Cinca	184	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22053	Benabarre	21	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22053	Benabarre	143	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22054	Benasque	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22054	Benasque	30	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22055	Berbegal	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22055	Berbegal	74	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22057	Bielsa	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22057	Bielsa	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22058	Bierge	24	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22058	Bierge	87	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22059	Biescas	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22059	Biescas	75	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22060	Binaced	39	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22060	Binaced	233	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22061	Binéfar	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22061	Binéfar	165	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22062	Bisaurri	21	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22062	Bisaurri	27	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22063	Biscarrués	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22063	Biscarrués	45	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22064	Blecua y Torres	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22064	Blecua y Torres	35	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22066	Boltaña	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22066	Boltaña	36	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22067	Bonansa	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22067	Bonansa	9	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22068	Borau	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22068	Borau	5	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22069	Broto	25	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22069	Broto	24	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22072	Caldearenas	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22072	Caldearenas	52	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22074	Campo	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22074	Campo	8	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22075	Camporrells	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22075	Camporrells	36	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22076	Canal de Berdún	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22076	Canal de Berdún	86	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22077	Candasnos	27	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22077	Candasnos	75	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22078	Canfranc	4	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22079	Capdesaso	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22079	Capdesaso	19	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22080	Capella	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22080	Capella	60	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22081	Casbas de Huesca	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22081	Casbas de Huesca	94	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22082	Castejón del Puente	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22082	Castejón del Puente	44	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22083	Castejón de Monegros	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22083	Castejón de Monegros	111	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22084	Castejón de Sos	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22084	Castejón de Sos	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22085	Castelflorite	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22085	Castelflorite	35	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22086	Castiello de Jaca	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22086	Castiello de Jaca	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22087	Castigaleu	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22087	Castigaleu	17	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22088	Castillazuelo	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22088	Castillazuelo	39	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22089	Castillonroy	11	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22089	Castillonroy	66	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22090	Colungo	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22090	Colungo	38	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22094	Chalamera	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22094	Chalamera	18	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22095	Chía	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22095	Chía	7	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22096	Chimillas	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22096	Chimillas	11	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22099	Esplús	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22099	Esplús	105	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22102	Estada	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22102	Estada	26	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22103	Estadilla	20	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22103	Estadilla	111	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22105	Estopiñán del Castillo	22	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22105	Estopiñán del Castillo	63	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22106	Fago	1	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22107	Fanlo	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22107	Fanlo	23	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22109	Fiscal	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22109	Fiscal	20	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22110	Fonz	24	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22110	Fonz	156	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22111	Foradada del Toscar	22	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22111	Foradada del Toscar	47	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22112	Fraga	159	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22112	Fraga	672	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22113	Fueva (La)	31	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22113	Fueva (La)	97	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22114	Gistaín	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22114	Gistaín	33	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22115	Grado (El)	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22115	Grado (El)	92	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22116	Grañén	43	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22116	Grañén	163	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22117	Graus	43	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22117	Graus	240	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22119	Gurrea de Gállego	33	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22119	Gurrea de Gállego	178	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22122	Hoz de Jaca	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22122	Hoz de Jaca	4	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22124	Huerto	18	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22124	Huerto	69	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22125	Huesca	37	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22125	Huesca	279	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22126	Ibieca	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22126	Ibieca	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22127	Igriés	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22127	Igriés	26	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22128	Ilche	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22128	Ilche	73	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22129	Isábena	16	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22129	Isábena	37	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22130	Jaca	37	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22130	Jaca	169	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22131	Jasa	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22131	Jasa	3	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22133	Labuerda	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22133	Labuerda	7	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22135	Laluenga	11	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22135	Laluenga	47	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22136	Lalueza	34	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22136	Lalueza	162	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22137	Lanaja	27	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22137	Lanaja	207	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22139	Laperdiguera	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22139	Laperdiguera	14	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22141	Lascellas-Ponzano	6	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22141	Lascellas-Ponzano	42	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22142	Lascuarre	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22142	Lascuarre	28	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22143	Laspaúles	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22143	Laspaúles	23	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22144	Laspuña	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22144	Laspuña	25	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22149	Loarre	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22149	Loarre	73	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22150	Loporzano	19	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22150	Loporzano	97	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22151	Loscorrales	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22151	Loscorrales	34	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22155	Monesma y Cajigar	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22155	Monesma y Cajigar	28	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22156	Monflorite-Lascasas	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22156	Monflorite-Lascasas	36	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22157	Montanuy	42	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22157	Montanuy	56	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22158	Monzón	48	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22158	Monzón	429	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22160	Naval	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22160	Naval	30	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22162	Novales	6	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22162	Novales	18	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22163	Nueno	15	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22163	Nueno	53	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22164	Olvena	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22164	Olvena	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22165	Ontiñena	26	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22165	Ontiñena	112	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22167	Osso de Cinca	48	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22167	Osso de Cinca	76	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22168	Palo	12	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22170	Panticosa	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22170	Panticosa	12	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22172	Peñalba	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22172	Peñalba	130	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22173	Peñas de Riglos (Las)	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22173	Peñas de Riglos (Las)	46	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22174	Peralta de Alcofea	37	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22174	Peralta de Alcofea	104	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22175	Peralta de Calasanz	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22175	Peralta de Calasanz	99	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22176	Peraltilla	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22176	Peraltilla	33	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22177	Perarrúa	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22177	Perarrúa	23	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22178	Pertusa	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22178	Pertusa	24	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22181	Piracés	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22181	Piracés	22	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22182	Plan	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22182	Plan	31	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22184	Poleñino	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22184	Poleñino	46	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22186	Pozán de Vero	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22186	Pozán de Vero	58	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22187	Puebla de Castro (La)	6	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22187	Puebla de Castro (La)	34	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22188	Puente de Montañana	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22188	Puente de Montañana	9	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22189	Puértolas	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22189	Puértolas	18	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22190	Pueyo de Araguás (El)	7	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22190	Pueyo de Araguás (El)	29	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22193	Pueyo de Santa Cruz	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22193	Pueyo de Santa Cruz	32	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22195	Quicena	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22195	Quicena	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22197	Robres	18	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22197	Robres	113	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22199	Sabiñánigo	39	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22199	Sabiñánigo	131	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22200	Sahún	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22200	Sahún	20	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22201	Salas Altas	13	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22201	Salas Altas	84	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22202	Salas Bajas	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22202	Salas Bajas	40	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22203	Salillas	5	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22203	Salillas	16	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22204	Sallent de Gállego	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22204	Sallent de Gállego	55	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22205	San Esteban de Litera	35	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22205	San Esteban de Litera	205	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22206	Sangarrén	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22206	Sangarrén	39	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22207	San Juan de Plan	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22207	San Juan de Plan	15	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22208	Santa Cilia	11	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22208	Santa Cilia	20	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22209	Santa Cruz de la Serós	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22209	Santa Cruz de la Serós	21	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22212	Santaliestra y San Quílez	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22212	Santaliestra y San Quílez	12	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22213	Sariñena	64	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22213	Sariñena	319	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22214	Secastilla	25	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22215	Seira	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22215	Seira	20	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22217	Sena	20	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22217	Sena	112	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22218	Senés de Alcubierre	1	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22218	Senés de Alcubierre	20	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22220	Sesa	2	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22220	Sesa	32	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22221	Sesué	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22221	Sesué	7	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22222	Siétamo	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22222	Siétamo	50	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22223	Sopeira	9	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22223	Sopeira	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22225	Tamarite de Litera	76	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22225	Tamarite de Litera	404	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22226	Tardienta	6	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22226	Tardienta	72	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22227	Tella-Sin	10	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22227	Tella-Sin	12	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22228	Tierz	3	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22228	Tierz	13	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22229	Tolva	4	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22229	Tolva	56	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22230	Torla	20	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22230	Torla	15	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22232	Torralba de Aragón	12	El jefe de explotación ha realizado algún curso en los últimos 12 meses
22232	Torralba de Aragón	34	El jefe de explotación no ha realizado algún curso en los últimos 12 meses
22233	Torre la Ribera	8	El jefe de explotación ha realizado algún curso en los últimos 12 meses
