Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Fondo de contingencia
2003	22062	Bisaurri	Liquidaciones	Consolidada	486177,57	40295,78	72915,91	0,14	19085,69	353880,05	0	0	0	
2003	22063	Biscarrués	Liquidaciones	Consolidada	241107,46	39080,56	57912,83	2549,7	16422,58	119141,79	0	0	6000	
2003	22064	Blecua y Torres	Liquidaciones	Consolidada	351986,6	54165,01	35327,12	1083,64	8048,32	253362,51	0	0	0	
2003	22066	Boltaña	Liquidaciones	Consolidada	1872235,33	291709,34	292236,19	21736,02	65228,93	1165830,91	0	0	35493,94	
2003	22067	Bonansa	Liquidaciones	Sin información										
2003	22068	Borau	Liquidaciones	Sin información										
2003	22069	Broto	Liquidaciones	Consolidada	803011,79	75787,12	184889,37	8081,88	35118,61	455614,59	22011,13	0	21509,09	
2003	22072	Caldearenas	Liquidaciones	Consolidada	744204,85	127065,06	84761,4	5577,59	21713,84	486058,75	0	0	19028,21	
2003	22074	Campo	Liquidaciones	Consolidada	963552,34	112934,91	191119,52	23418,67	49381,53	221910,25	285148,08	0	79639,38	
2003	22075	Camporrells	Liquidaciones	Sin información										
2003	22076	Canal de Berdún	Liquidaciones	Consolidada	466267,95	142302,91	228097,53	300,88	9086,48	86284,15	0	0	196	
2003	22077	Candasnos	Liquidaciones	Sin información										
2003	22078	Canfranc	Liquidaciones	Consolidada	2840125,29	293128,89	284753,38	6863,66	65397,08	2186751,56	0	0	3230,72	
2003	22079	Capdesaso	Liquidaciones	Consolidada	268603,23	21217,32	86427,93	1306,51	3145,92	156505,55	0	0	0	
2003	22080	Capella	Liquidaciones	Consolidada	410738,73	43059,48	93153,95	3299,74	19721,61	231212,46	0	0	20291,49	
2003	22081	Casbas de Huesca	Liquidaciones	Consolidada	381894,44	31896,3	74096,17	434,32	28975,73	244283,56	0	0	2208,36	
2003	22082	Castejón del Puente	Liquidaciones	Consolidada	852513,65	113243,54	128258,94	818,52	14178,77	592888,62	0	0	3125,26	
2003	22083	Castejón de Monegros	Liquidaciones	Consolidada	702072,18	91012,45	191323,44	22392,47	36614,5	324914,78	0	0	35814,54	
2003	22084	Castejón de Sos	Liquidaciones	Consolidada	1253065,01	452524,86	316215,05	3478,36	53508,94	411023,18	0	0	16314,62	
2003	22085	Castelflorite	Liquidaciones	Consolidada	138655,41	15662,82	45462,1	842,89	13381,87	58517,65	0	0	4788,08	
2003	22086	Castiello de Jaca	Liquidaciones	Sin información										
2003	22087	Castigaleu	Liquidaciones	Consolidada	1009883,7	8415,98	25843,19	0	3018,37	972606,16	0	0	0	
2003	22088	Castillazuelo	Liquidaciones	Consolidada	284261,12	52090,9	54067,23	3,32	11072,92	163420,68	0	0	3606,07	
2003	22089	Castillonroy	Liquidaciones	Consolidada	339894,08	57382,92	133165,35	692,27	6068,78	135980,7	0	0	6604,06	
2003	22090	Colungo	Liquidaciones	Consolidada	484798,94	7093,01	37983,34	42,41	2576,72	436290,44	813,02	0	0	
2003	22094	Chalamera	Liquidaciones	Sin información										
2003	22095	Chía	Liquidaciones	Consolidada	614872,01	9353,22	38200,3	602,18	7946,79	537704,17	17972,96	0	3092,39	
2003	22096	Chimillas	Liquidaciones	Consolidada	195361,83	15133,78	40993,65	0	2198,97	137035,43	0	0	0	
2003	22099	Esplús	Liquidaciones	Consolidada	584949,98	150559,11	216761,32	3332,45	31580,06	145927,02	0	0	36790,02	
2003	22102	Estada	Liquidaciones	Consolidada	154823,1	24118,26	42849,46	0	15028,28	72827,1	0	0	0	
2003	22103	Estadilla	Liquidaciones	Consolidada	1668349,87	217182,64	1167356,82	2009,61	61079,55	169173,74	0	0	51547,51	
2003	22105	Estopiñán del Castillo	Liquidaciones	Consolidada	981753,88	43792,44	163422,93	6581,23	2180,15	749630,6	3119,36	0	13027,17	
2003	22106	Fago	Liquidaciones	Sin información										
2003	22107	Fanlo	Liquidaciones	Consolidada	523612,69	19226,24	76369,93	0	5490,65	422525,87	0	0	0	
2003	22109	Fiscal	Liquidaciones	Consolidada	705236,68	62111,09	90843,3	4450,03	9996,4	518523,06	19312,8	0	0	
2003	22110	Fonz	Liquidaciones	Sin información										
2003	22111	Foradada del Toscar	Liquidaciones	Sin información										
2003	22112	Fraga	Liquidaciones	Consolidada	10591461,43	3466830,69	2378814,76	139394,66	622899,44	3115282,7	0	0	868239,18	
2003	22113	Fueva (La)	Liquidaciones	Consolidada	1468611,12	22030,39	244933,45	12317,11	72426,7	966736,64	0	0	150166,83	
2003	22114	Gistaín	Liquidaciones	Consolidada	204166,11	7846,43	79557,25	1057,26	29738,88	82185,17	0	0	3781,12	
2003	22115	Grado (El)	Liquidaciones	Consolidada	772852,39	147839,47	203775,26	14650,7	28974,06	325816,09	3257,65	0	48539,16	
2003	22116	Grañén	Liquidaciones	Consolidada	1792472,44	314970,81	365894,67	25011,05	142984,67	860572,4	0	0	83038,84	
2003	22117	Graus	Liquidaciones	Consolidada	4132388,03	744934,56	1068576,98	50900,21	229654,91	1499926,54	3442,99	336138,58	198813,26	
2003	22119	Gurrea de Gállego	Liquidaciones	Consolidada	1669255,26	253474,7	308627,7	127478,83	211627,12	679996,22	0	0	88050,69	
2003	22122	Hoz de Jaca	Liquidaciones	Consolidada	386509,93	7077,3	62893,02	0	853,86	315685,75	0	0	0	
2003	22124	Huerto	Liquidaciones	Consolidada	323533,67	76157,6	89245,83	1508,42	19740,06	127881,76	0	0	9000	
2003	22125	Huesca	Liquidaciones	Consolidada	37175957,56	13214189,3	10462991,38	764013,86	1614834,06	6037413,23	1100106,04	23576,28	3958833,41	
2003	22126	Ibieca	Liquidaciones	Consolidada	94736	7969,37	20653,7	100	5159,55	60853,38	0	0	0	
2003	22127	Igriés	Liquidaciones	Consolidada	211972,39	39660,15	91672,06	203,77	11177,44	69258,97	0	0	0	
2003	22128	Ilche	Liquidaciones	Sin información										
2003	22129	Isábena	Liquidaciones	Consolidada	445953,57	42013,3	78201,17	377,31	16618,53	307669,93	0	0	1073,33	
2003	22130	Jaca	Liquidaciones	Consolidada	19233179,61	5278193,29	4755435,34	297910,52	591132,71	6334611,25	355287,5	0	1620609	
2003	22131	Jasa	Liquidaciones	Sin información										
2003	22133	Labuerda	Liquidaciones	Consolidada	367143,32	53971,57	56845,71	181,49	15549,04	240595,51	0	0	0	
2003	22135	Laluenga	Liquidaciones	Consolidada	203182,62	25794,68	85228,37	923,48	11630,59	79605,5	0	0	0	
2003	22136	Lalueza	Liquidaciones	Consolidada	837166	173494,2	195518,05	11296,73	82600,02	354732	0	0	19525	
2003	22137	Lanaja	Liquidaciones	Consolidada	874511,43	238413,91	296630,13	1388,81	54644,66	282218,05	1215,87	0	0	
2003	22139	Laperdiguera	Liquidaciones	Consolidada	82290,41	8081,21	26777,41	126,13	4680,83	42624,83	0	0	0	
2003	22141	Lascellas-Ponzano	Liquidaciones	Consolidada	168000,42	14897	57460,77	943,08	9261,1	81835,54	0	0	3602,93	
2003	22142	Lascuarre	Liquidaciones	Consolidada	1108994,77	23296,05	85045,58	2332,16	8832,88	980368,65	0	0	9119,45	
2003	22143	Laspaúles	Liquidaciones	Consolidada	359905,15	102656,6	84390,85	14619,25	16141,03	116529,98	0	0	25567,44	
2003	22144	Laspuña	Liquidaciones	Consolidada	1444384,07	53423,41	168392,24	5565,91	10816,76	1188155,23	0	0	18030,52	
2003	22149	Loarre	Liquidaciones	Consolidada	598610,7	67253,18	61055,68	3752,39	15012,65	438063,03	0	0	13473,77	
2003	22150	Loporzano	Liquidaciones	Consolidada	413285,37	72208,77	142982,59	83,24	26908,23	168185,43	0	0	2917,11	
2003	22151	Loscorrales	Liquidaciones	Consolidada	122068,27	9498,07	30532,42	1152,6	5000,83	74301,49	0	0	1582,86	
2003	22155	Monesma y Cajigar	Liquidaciones	Consolidada	185004,99	9165,54	34356,12	208,68	2200,89	134269	0	0	4804,76	
2003	22156	Monflorite-Lascasas	Liquidaciones	Consolidada	223871,15	34632,39	50490,22	1776,59	13577,11	118152,66	0	0	5242,18	
2003	22157	Montanuy	Liquidaciones	Sin información										
2003	22158	Monzón	Liquidaciones	Consolidada	13382095,46	4272948,9	3457659,98	276549,28	367745,26	4014825,73	1362,68	0	991003,63	
2003	22160	Naval	Liquidaciones	Consolidada	522341,86	81993,7	146848,79	999,64	32659,71	252604,92	0	0	7235,1	
2003	22162	Novales	Liquidaciones	Consolidada	241466,29	32432,28	55043,93	595,34	3226,34	150168,4	0	0	0	
2003	22163	Nueno	Liquidaciones	Consolidada	981734,54	47093,7	205834,85	259,28	4565,09	719158,62	0	0	4823	
2003	22164	Olvena	Liquidaciones	Consolidada	1077584,26	3126,48	76045,33	443,17	6383,97	991585,31	0	0	0	
2003	22165	Ontiñena	Liquidaciones	Consolidada	609301,25	70099,74	145776,79	2514,9	59781,18	323315,48	0	0	7813,16	
2003	22167	Osso de Cinca	Liquidaciones	Consolidada	745508,52	79232,54	213430,21	6803,92	55827,33	365525,14	0	0	24689,38	
2003	22168	Palo	Liquidaciones	Consolidada	388508,73	1598,03	30731,22	7045,35	17041,42	257897,09	0	0	74195,62	
2003	22170	Panticosa	Liquidaciones	Consolidada	4223891,85	274213,81	381729,42	3192,93	49752,21	3472932,64	0	0	42070,84	
2003	22172	Peñalba	Liquidaciones	Consolidada	548854,77	105851,36	230792,14	71,86	74257,56	137881,85	0	0	0	
2003	22173	Peñas de Riglos (Las)	Liquidaciones	Consolidada	626258,78	15786	69564,38	752,48	182106,24	358049,68	0	0	0	
2003	22174	Peralta de Alcofea	Liquidaciones	Consolidada	493645,47	81964,09	139076,23	3413,98	27156,35	176646,85	0	0	65387,97	
2003	22175	Peralta de Calasanz	Liquidaciones	Consolidada	405208,4	61489,42	56993,67	1998,29	10376,78	233466,04	0	0	40884,2	
2003	22176	Peraltilla	Liquidaciones	Consolidada	150768,21	24011,43	34205,3	2340,43	5876,31	75920,58	0	0	8414,16	
2003	22177	Perarrúa	Liquidaciones	Consolidada	860530,68	0	80613,6	544,33	10626,64	768746,11	0	0	0	
2003	22178	Pertusa	Liquidaciones	Consolidada	250201,91	26762,87	48141,1	1410,34	5574,43	164503,61	0	0	3809,56	
2003	22181	Piracés	Liquidaciones	Consolidada	111542,66	9836,29	39827,39	872,23	1701,73	59305,02	0	0	0	
2003	22182	Plan	Liquidaciones	Consolidada	567750,92	78901,71	151794,77	4372,5	34467,81	297794,13	420	0	0	
2003	22184	Poleñino	Liquidaciones	Consolidada	390268,72	52265,26	87674,37	4518,99	11278,22	224175,41	0	0	10356,47	
2003	22186	Pozán de Vero	Liquidaciones	Consolidada	278855,81	36460,17	64281,86	730,47	10263,11	163514,13	0	0	3606,07	
2003	22187	Puebla de Castro (La)	Liquidaciones	Consolidada	404381,22	96844,37	141037,46	3008,58	20804,85	140215,16	0	0	2470,8	
2003	22188	Puente de Montañana	Liquidaciones	Sin información										
2003	22189	Puértolas	Liquidaciones	Consolidada	489392,88	0	55476,86	6710,9	28121,96	171770,89	0	0	227312,27	
2003	22190	Pueyo de Araguás (El)	Liquidaciones	Consolidada	258522,38	28267,79	50310,77	493,8	7879,44	171528,25	0	0	42,33	
2003	22193	Pueyo de Santa Cruz	Liquidaciones	Consolidada	237901,64	42191,6	71708,61	1220,38	7287,45	111068,82	0	0	4424,78	
2003	22195	Quicena	Liquidaciones	Consolidada	184350,58	22183,41	54316,29	1700,08	3269,59	97648,82	0	0	5232,39	
2003	22197	Robres	Liquidaciones	Consolidada	963844,51	90337,34	84778	1487,01	31016,89	752320,21	0	0	3905,06	
2003	22199	Sabiñánigo	Liquidaciones	Consolidada	10157777,1	2526985,37	2199450,77	133660,79	236911,76	4159465,84	397452,48	606,52	503243,57	
2003	22200	Sahún	Liquidaciones	Sin información										
2003	22201	Salas Altas	Liquidaciones	Consolidada	105282,28	16897,82	43505,86	2800,56	4810,12	37267,92	0	0	0	
2003	22202	Salas Bajas	Liquidaciones	Consolidada	309977,71	47159,8	79131,02	0	11905,05	171781,84	0	0	0	
2003	22203	Salillas	Liquidaciones	Sin información										
2003	22204	Sallent de Gállego	Liquidaciones	Consolidada	2736621,68	520993,39	555409,74	27715,77	241811,53	1313482,15	3010	0	74199,1	
2003	22205	San Esteban de Litera	Liquidaciones	Sin información										
2003	22206	Sangarrén	Liquidaciones	Consolidada	204769,89	43953,44	73504,51	4428,75	9500,2	71815,68	1567,31	0	0	
2003	22207	San Juan de Plan	Liquidaciones	Consolidada	216330,18	11604,45	44776,24	155,69	24263,34	135530,46	0	0	0	
2003	22208	Santa Cilia	Liquidaciones	Sin información										
2003	22209	Santa Cruz de la Serós	Liquidaciones	Sin información										
2003	22212	Santaliestra y San Quílez	Liquidaciones	Consolidada	57078,79	11807,04	22702,51	0	0	22569,24	0	0	0	
2003	22213	Sariñena	Liquidaciones	Consolidada	3526382,84	1235130,07	1388189,29	100472,03	253963,35	469413,49	0	0	79214,61	
2003	22214	Secastilla	Liquidaciones	Consolidada	671453,93	66405,48	181681,82	447,62	14514,21	406907,2	0	0	1497,6	
2003	22215	Seira	Liquidaciones	Consolidada	380484,87	54549,19	74767,71	1504,69	14986,28	231895,58	0	0	2781,42	
2003	22217	Sena	Liquidaciones	Consolidada	277360,5	52204,72	164435,83	2059,21	12142,51	44518,23	0	0	2000	
2003	22218	Senés de Alcubierre	Liquidaciones	Consolidada	90903,69	8891,88	37934,09	2,78	1946,36	42128,58	0	0	0	
2003	22220	Sesa	Liquidaciones	Sin información										
2003	22221	Sesué	Liquidaciones	Consolidada	229599,83	49649,3	65885,55	248,32	39487,23	70729,43	0	0	3600	
2003	22222	Siétamo	Liquidaciones	Consolidada	494813,13	131462,42	93223,77	1012,15	17200,19	250918,27	0	0	996,33	
2003	22223	Sopeira	Liquidaciones	Consolidada	311573,29	46672,26	40341,1	444,22	6857,24	216210,11	0	0	1048,36	
2003	22225	Tamarite de Litera	Liquidaciones	Sin información										
2003	22226	Tardienta	Liquidaciones	Consolidada	770437,38	213388,12	309886,23	3386,83	47007,16	154604,18	0	0	42164,86	
2003	22227	Tella-Sin	Liquidaciones	Consolidada	815265,6	71107,12	240274,99	14306,51	76047,61	409134,89	4394,48	0	0	
2003	22228	Tierz	Liquidaciones	Consolidada	346520,41	27906,87	46631,03	144,42	12698,92	258957,35	0	0	181,82	
2003	22229	Tolva	Liquidaciones	Consolidada	270057,84	33932,21	34787,38	963,36	5307,61	194742,97	0	0	324,31	
2003	22230	Torla-Ordesa	Liquidaciones	Consolidada	703775,36	19081,15	73217,86	0	11643,96	599832,39	0	0	0	
2003	22232	Torralba de Aragón	Liquidaciones	Consolidada	344554,76	13916,83	108199	310,52	5692,15	213902,47	0	0	2533,79	
2003	22233	Torre la Ribera	Liquidaciones	Sin información										
2003	22234	Torrente de Cinca	Liquidaciones	Consolidada	613665,36	143705,31	283629,11	9155,87	41370,37	124561,29	0	0	11243,41	
2003	22235	Torres de Alcanadre	Liquidaciones	Consolidada	136734	15549,04	31770,34	687,23	17199,54	71527,85	0	0	0	
2003	22236	Torres de Barbués	Liquidaciones	Consolidada	265185,27	23099,76	66090,47	98,94	23167,23	152728,87	0	0	0	
2003	22239	Tramaced	Liquidaciones	Consolidada	208632,43	25926,1	41573,86	195,41	2740,61	138196,45	0	0	0	
2003	22242	Valfarta	Liquidaciones	Consolidada	145045,33	13832,61	33965,48	39,15	6136,73	91071,36	0	0	0	
2003	22243	Valle de Bardají	Liquidaciones	Sin información										
2003	22244	Valle de Lierp	Liquidaciones	Sin información										
2003	22245	Velilla de Cinca	Liquidaciones	Consolidada	308040,54	42697,65	105020,1	448,95	19100,69	140773,15	0	0	0	
2003	22246	Beranuy	Liquidaciones	Sin información										
2003	22247	Viacamp y Litera	Liquidaciones	Sin información										
2003	22248	Vicién	Liquidaciones	Sin información										
2003	22249	Villanova	Liquidaciones	Sin información										
2003	22250	Villanúa	Liquidaciones	Sin información										
2003	22251	Villanueva de Sigena	Liquidaciones	Consolidada	525985,4	47330,56	217171,15	252,78	15805,57	245425,34	0	0	0	
2003	22252	Yebra de Basa	Liquidaciones	Consolidada	503972,22	38398,29	33130,54	444,4	4949,92	416612,34	0	0	10436,73	
2003	22253	Yésero	Liquidaciones	Consolidada	411403,97	9166,2	19556,83	0	1309,4	381371,54	0	0	0	
2003	22254	Zaidín	Liquidaciones	Consolidada	1	1	0	0	0	0	0	0	0	
2003	22901	Valle de Hecho	Liquidaciones	Consolidada	578765,09	188576,49	238470,26	6058,03	25889,38	117718,32	0	0	2052,61	
2003	22902	Puente la Reina de Jaca	Liquidaciones	Sin información										
2003	22903	San Miguel del Cinca	Liquidaciones	Consolidada	733290,02	77261,83	195081,6	6459,23	48374,66	384634,49	0	0	21478,21	
2003	22904	Sotonera (La)	Liquidaciones	Consolidada	629636,49	139839,65	192998,7	7483,83	29869,07	215585,39	0	0	43859,85	
2003	22905	Lupiñén-Ortilla	Liquidaciones	Consolidada	271165,01	33388,82	112233,17	8282,37	12896,55	78743,19	0	0	25620,91	
2003	22906	Santa María de Dulcis	Liquidaciones	Consolidada	294046,88	10166,03	50267,5	3582,66	0	215147,14	10813,5	0	4070,05	
2003	22907	Aínsa-Sobrarbe	Liquidaciones	Sin información										
2003	22908	Hoz y Costeán	Liquidaciones	Consolidada	212406,43	8699,35	74602,65	7019,48	8725	113359,95	0	0	0	
2003	22909	Vencillón	Liquidaciones	Sin información										
2003	44001	Ababuj	Liquidaciones	Consolidada	190035	7602,93	31018,14	47,95	5865,98	145500	0	0	0	
2003	44002	Abejuela	Liquidaciones	Sin información										
2003	44003	Aguatón	Liquidaciones	Sin información										
2003	44004	Aguaviva	Liquidaciones	Sin información										
2003	44005	Aguilar del Alfambra	Liquidaciones	Consolidada	229327,88	16264,52	28810,5	189,8	3161,67	176002,83	0	0	4898,56	
2003	44006	Alacón	Liquidaciones	Consolidada	768665,6	31108,43	81470,74	2051,03	15777,01	635235,58	0	0	3022,81	
2003	44007	Alba	Liquidaciones	Consolidada	310627,89	27382,76	39363,02	171,29	8826,49	188829,57	0	0	46054,76	
2003	44008	Albalate del Arzobispo	Liquidaciones	Sin información										
2003	44009	Albarracín	Liquidaciones	Consolidada	1835337,72	267304,13	363753,76	16240,49	351072,84	773625,54	1672,67	0	61668,29	
2003	44010	Albentosa	Liquidaciones	Consolidada	857908,6	67581,17	129673,95	2572,17	20093,72	635990,02	0	0	1997,57	
2003	44011	Alcaine	Liquidaciones	Consolidada	297786,93	9002,68	39609,5	379,35	8427,52	240367,88	0	0	0	
2003	44012	Alcalá de la Selva	Liquidaciones	Sin información										
2003	44013	Alcañiz	Liquidaciones	Consolidada	9835246,44	3310859,8	2622784,97	208902,89	295637,05	2035447,85	492392,62	123670	745551,26	
2003	44014	Alcorisa	Liquidaciones	Consolidada	4642170,28	635584,57	761735,23	51644,53	74348,31	2927977,38	0	0	190880,26	
2003	44016	Alfambra	Liquidaciones	Consolidada	421968,62	97253,15	112225,78	0	2499,69	209990	0	0	0	
2003	44017	Aliaga	Liquidaciones	Sin información										
2003	44018	Almohaja	Liquidaciones	Consolidada	68756,65	1913,16	13165,59	58,38	990,46	51000	0	0	1629,06	
2003	44019	Alobras	Liquidaciones	Sin información										
2003	44020	Alpeñés	Liquidaciones	Consolidada	48834,77	1897,6	13607,85	0	3087,18	30242,14	0	0	0	
2003	44021	Allepuz	Liquidaciones	Sin información										
2003	44022	Alloza	Liquidaciones	Consolidada	1415918,45	72280,94	141525,68	6362,27	7118,46	1167100,35	0	0	21530,75	
2003	44023	Allueva	Liquidaciones	Consolidada	98380,02	3678,24	26124,71	258,87	3360,51	64518,21	0	0	439,48	
2003	44024	Anadón	Liquidaciones	Consolidada	46306,66	1961	14295,05	0	0	30050,61	0	0	0	
2003	44025	Andorra	Liquidaciones	Consolidada	8778945,45	2252469,3	1711883,11	20187,89	244760,15	4315505,63	50037,8	0	184101,57	
2003	44026	Arcos de las Salinas	Liquidaciones	Consolidada	340088,5	41979,54	57954,82	1811,4	890,07	233814,25	0	0	3638,42	
2003	44027	Arens de Lledó	Liquidaciones	Consolidada	300653,11	23755,95	51938,08	2511,58	15291,74	188391,95	0	0	18763,81	
2003	44028	Argente	Liquidaciones	Sin información										
2003	44029	Ariño	Liquidaciones	Consolidada	1749984,46	169812,89	209746,09	444,96	54584,77	1315393,17	0	0	2,58	
2003	44031	Azaila	Liquidaciones	Sin información										
2003	44032	Bádenas	Liquidaciones	Sin información										
2003	44033	Báguena	Liquidaciones	Consolidada	653868,87	55502,78	94865,86	5335,59	15132,22	468057,9	0	0	14974,52	
2003	44034	Bañón	Liquidaciones	Consolidada	149752,29	10643,55	38186,79	1635,07	6942,6	72344,28	0	0	20000	
2003	44035	Barrachina	Liquidaciones	Consolidada	259113,46	17855,47	45533,58	1050	4208	188051,36	0	0	2415,05	
2003	44036	Bea	Liquidaciones	Sin información										
2003	44037	Beceite	Liquidaciones	Consolidada	434126,11	48752,46	136467,32	5877,83	10194,15	219432,67	0	0	13401,68	
2003	44038	Belmonte de San José	Liquidaciones	Sin información										
2003	44039	Bello	Liquidaciones	Consolidada	356518,4	43925,16	85964,58	1829,95	20483,01	173705,49	7615,93	0	22994,28	
2003	44040	Berge	Liquidaciones	Sin información										
