CCAA código	CCAA nombre	Año	Sector código	Sector	Rama código	Rama de actividad	Número de actividades
02	Aragón	2012	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	3350
02	Aragón	2012	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	6598
02	Aragón	2013	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	8477
02	Aragón	2013	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	362
02	Aragón	2013	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	1875
02	Aragón	2013	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	993
02	Aragón	2013	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1390
02	Aragón	2013	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	302
02	Aragón	2013	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	822
02	Aragón	2013	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2470
02	Aragón	2013	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1030
02	Aragón	2013	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	306
02	Aragón	2013	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1765
02	Aragón	2013	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1906
02	Aragón	2013	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	698
02	Aragón	2013	3	Construcción	14	Construcción (cnae 41, 42, 43)	26314
02	Aragón	2013	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	49476
02	Aragón	2013	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	9000
02	Aragón	2013	4	Servicios	17	Hostelería (cnae 55, 56)	16001
02	Aragón	2013	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	2746
02	Aragón	2013	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	5228
02	Aragón	2013	4	Servicios	20	Actividades inmobiliarias (cnae 68)	17032
02	Aragón	2013	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	16585
02	Aragón	2013	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	8921
02	Aragón	2013	4	Servicios	23	Educación (cnae 85)	5711
02	Aragón	2013	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	5412
02	Aragón	2013	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	4374
02	Aragón	2013	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	7642
02	Aragón	2014	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	8094
02	Aragón	2014	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	342
02	Aragón	2014	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	1866
02	Aragón	2014	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	929
02	Aragón	2014	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1316
02	Aragón	2014	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	298
02	Aragón	2014	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	777
02	Aragón	2014	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2336
02	Aragón	2014	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1006
02	Aragón	2014	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	295
02	Aragón	2014	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1692
02	Aragón	2014	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1755
02	Aragón	2014	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	642
02	Aragón	2014	3	Construcción	14	Construcción (cnae 41, 42, 43)	23263
02	Aragón	2014	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	46411
02	Aragón	2014	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	8368
02	Aragón	2014	4	Servicios	17	Hostelería (cnae 55, 56)	13926
02	Aragón	2014	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	2584
02	Aragón	2014	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	4857
02	Aragón	2014	4	Servicios	20	Actividades inmobiliarias (cnae 68)	16933
02	Aragón	2014	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	15577
02	Aragón	2014	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	8802
02	Aragón	2014	4	Servicios	23	Educación (cnae 85)	5402
02	Aragón	2014	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	5374
02	Aragón	2014	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	4208
02	Aragón	2014	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	7198
02	Aragón	2015	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	8919
02	Aragón	2015	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	332
02	Aragón	2015	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	2013
02	Aragón	2015	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	1056
02	Aragón	2015	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1456
02	Aragón	2015	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	324
02	Aragón	2015	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	824
02	Aragón	2015	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2469
02	Aragón	2015	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1055
02	Aragón	2015	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	305
02	Aragón	2015	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1834
02	Aragón	2015	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1930
02	Aragón	2015	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	689
02	Aragón	2015	3	Construcción	14	Construcción (cnae 41, 42, 43)	26202
02	Aragón	2015	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	51166
02	Aragón	2015	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	8928
02	Aragón	2015	4	Servicios	17	Hostelería (cnae 55, 56)	16329
02	Aragón	2015	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	3096
02	Aragón	2015	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	5269
02	Aragón	2015	4	Servicios	20	Actividades inmobiliarias (cnae 68)	19058
02	Aragón	2015	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	18418
02	Aragón	2015	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	10231
02	Aragón	2015	4	Servicios	23	Educación (cnae 85)	6808
02	Aragón	2015	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	6135
02	Aragón	2015	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	5213
02	Aragón	2015	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	8243
02	Aragón	2016	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	9068
02	Aragón	2016	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	319
02	Aragón	2016	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	2071
02	Aragón	2016	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	1081
02	Aragón	2016	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1475
02	Aragón	2016	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	322
02	Aragón	2016	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	807
02	Aragón	2016	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2453
02	Aragón	2016	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1061
02	Aragón	2016	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	304
02	Aragón	2016	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1862
02	Aragón	2016	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	2045
02	Aragón	2016	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	690
02	Aragón	2016	3	Construcción	14	Construcción (cnae 41, 42, 43)	26041
02	Aragón	2016	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	51594
02	Aragón	2016	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	9032
02	Aragón	2016	4	Servicios	17	Hostelería (cnae 55, 56)	16665
02	Aragón	2016	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	3216
02	Aragón	2016	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	5244
02	Aragón	2016	4	Servicios	20	Actividades inmobiliarias (cnae 68)	20502
02	Aragón	2016	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	18827
02	Aragón	2016	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	10313
02	Aragón	2016	4	Servicios	23	Educación (cnae 85)	7237
02	Aragón	2016	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	6377
02	Aragón	2016	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	5610
02	Aragón	2016	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	8424
02	Aragón	2017	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	9217
02	Aragón	2017	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	311
02	Aragón	2017	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	2105
02	Aragón	2017	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	1023
02	Aragón	2017	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1447
02	Aragón	2017	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	323
02	Aragón	2017	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	802
02	Aragón	2017	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2400
02	Aragón	2017	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1037
